"Playlist URL","https://www.youtube.com/playlist?list=PLiiEr5EE-YgxqzcU1Yo_1aIF6ZvP7dCOi"
"Playlist title","Anime"
"Playlist author","Super Eyepatch Wolf"
"Videos","28"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"IqVoEpRIaKg","The Impact of Akira: The Film that Changed Everything","Super Eyepatch Wolf","2020-04-23","2018-05-05","https://i.ytimg.com/vi/IqVoEpRIaKg/hqdefault.jpg","CORRECTION:
 The music in Akira is not “Traditional Japanese music” it is a mix of world music but primarily Gamelan from Indonesia, Indonesia having had some… colonization issues with Japan, so that’s a pretty bad mistake to make. I Apologize for the mistake, and to anyone who was offended.


Hey. Akira’s a pretty good movie. Kind of changed the history of anime. Gonna talk about it now.

Patreon: https://www.patreon.com/Supereyepatchwolf

Regular Eyepatch Wolf:
https://www.youtube.com/watch?v=VhIFBMoKysw


Akira: Story Behind the Film:
https://www.empireonline.com/movies/features/story-behind-film-akira/

Akira fan Poster
http://blahknow.blogspot.ie/2014/05/fan-made-akira-live-action-trailer-is.html

Akira colours:
https://www.youtube.com/watch?v=DO-Wo3jFJes

Making of Akira (Dvd Extra)

Variety Review:
https://variety.com/1987/film/reviews/akira-1200427683/

Lets Fight a Boss Podcast:

Itunes: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2
Sound Cloud: https://soundcloud.com/letsfightaboss
Youtube: https://www.youtube.com/channel/UCawXJIKUj2o_tFPMZ4xiXBw

Twitter: https://twitter.com/EyePatchWolf
Instagram: https://www.instagram.com/super_eyepatch_wolf/


Song List:

Scandroid - Neo Tokyo (Dance with the Dead Remix)
Dance with the Dead - Nightdrive
C418- Septic Shock
Hotline Miami 2 - Around
Nikey 9 - Exhausted Divinity
Edamame - Ochre
Makeup and Vanity set - Standing on the edge of a moment
Akira OST - Requiem"
"MJmK5SOeQBc","Why Perfect Blue is Terrifying","Super Eyepatch Wolf","2020-04-23","2017-05-13","https://i.ytimg.com/vi/MJmK5SOeQBc/hqdefault.jpg","Patreon:
https://www.patreon.com/Supereyepatchwolf

Lets Fight a Boss Podcast:

Itunes: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2
Sound Cloud: https://soundcloud.com/letsfightaboss
Youtube: https://www.youtube.com/channel/UCawXJIKUj2o_tFPMZ4xiXBw

Twitter: https://twitter.com/EyePatchWolf
Instagram: https://www.instagram.com/super_eyepatch_wolf/

Song List:
Imaginary- 999 OST
The Girl in The Drawing- Durarara OST
Nightmare- Perfect Blue OST
Possibly Maybe- Bjork
Virtua Mima (Voice Version)- Perfect Blue OST
Angel of Love- Perfect Blue OST"
"kkg9BhISfdA","""Non Battle"" Battle Anime","Super Eyepatch Wolf","2020-04-23","2019-05-04","https://i.ytimg.com/vi/kkg9BhISfdA/hqdefault.jpg","I like them anime where like, people fight but they don't actually fight. You know. Death Note, Kaguya Love is War, Promised Neverland and stuff.

Patreon: https://www.patreon.com/Supereyepatchwolf

Lets Fight a Boss Podcast:

Itunes: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2
Sound Cloud: https://soundcloud.com/letsfightaboss
Youtube: https://www.youtube.com/channel/UCawXJIKUj2o_tFPMZ4xiXBw

https://www.twitch.tv/supereyepatchwolf
Instagram: https://www.instagram.com/super_eyepatch_wolf/
Twitter: https://twitter.com/EyePatchWolf

Sources:
http://www.koreatimes.co.kr/www/news/include/print.asp?newsIdx=16193

https://www.telegraph.co.uk/news/worldnews/asia/japan/2796701/Cartoon-character-from-Kami-no-Shizuku-drives-up-wine-sales-in-Japan.html

https://www.theguardian.com/lifeandstyle/2010/sep/22/french-winemaker-vintage-manga-cartoon

https://www.reuters.com/article/idUST29578320070604

Song List:

https://imgur.com/a/tjxx889"
"tuvSwb5KM6Q","The Impact of Dragon Ball Z: The Series that Changed Everything","Super Eyepatch Wolf","2020-04-23","2018-02-17","https://i.ytimg.com/vi/tuvSwb5KM6Q/hqdefault.jpg","This videos been a long time coming, Dragon Ball Z is one of my all time favorite shows, and with the recent release of Dragon Ball Fighter Z, I thought it was about time we talk about why that is.

Patreon: https://www.patreon.com/Supereyepatchwolf

Lets Fight a Boss Podcast:

Itunes: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2
Sound Cloud: https://soundcloud.com/letsfightaboss
Youtube: https://www.youtube.com/channel/UCawXJIKUj2o_tFPMZ4xiXBw

Twitter: https://twitter.com/EyePatchWolf
Instagram: https://www.instagram.com/super_eyepatch_wolf/

Seamus on Twitter:
https://twitter.com/SeamusHanly

Genius of Dragon Ball Video:
https://www.youtube.com/watch?v=jJK7oysHoMw


Sources:

Shonen Jump interview:
http://www.myfavoritegames.com/dragonball-z/Info/Interviews/Interviews-AkiraToriyama.htm

Dragon Ball 30th Anniversary
“Super History Book” (21 January 2016)

Interview with Wired
http://www.kanzenshuu.com/translations/wired-japan-1997-akira-toriyama-interview/

Early Dragon Ball:
https://www.forbes.com/sites/olliebarder/2016/10/15/kazuhiko-torishima-on-shaping-the-success-of-dragon-ball-and-the-origins-of-dragon-quest/#26f5d51125e5

Song List:
Help - Bignic
Children - Robert Miles
Adagio for Strings - DJ Tetsuo
Rayden- aLIEz
Fortress of Lies - Nier Automata OST
His Dream- Nier OST
Paul Ending - Tekken 4
Sanctuary - Infinity Shred"
"yp_Nts2XpfA","Aggretsuko is an Existential Nightmare","Super Eyepatch Wolf","2020-04-23","2018-06-09","https://i.ytimg.com/vi/yp_Nts2XpfA/hqdefault.jpg","I will now talk about Aggretsuko, the most terrifying anime of the year.

Patreon: https://www.patreon.com/Supereyepatchwolf

Lets Fight a Boss Podcast:

Itunes: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2
Sound Cloud: https://soundcloud.com/letsfightaboss
Youtube: https://www.youtube.com/channel/UCawXJIKUj2o_tFPMZ4xiXBw

Twitter: https://twitter.com/EyePatchWolf
Instagram: https://www.instagram.com/super_eyepatch_wolf/

Sources:
http://www.bbc.com/news/world-asia-38606355

http://www.theweek.co.uk/business/61149/hello-kitty-turns-40-how-did-she-become-so-popular

http://www.bbc.com/news/business-39981997

https://alexy.asian.lsa.umich.edu/courses/readings/Kinsella_Cuties%20in%20Japan.pdf

https://mckinneylaw.iu.edu/ilr/pdf/vol39p51.pdf

https://www.japantimes.co.jp/opinion/2016/10/12/editorials/governments-karoshi-report/#.Wxee5kgvyUk


Additional Footage from
https://www.youtube.com/watch?v=FAplyNf7uuE
The Toys that Made Us (Netflix) Season 2 Episode 4

Song List:
https://imgur.com/a/CqCkwgx"
"uVagWJhvVbM","Why You Should Watch Paranoia Agent","Super Eyepatch Wolf","2020-04-23","2017-10-31","https://i.ytimg.com/vi/uVagWJhvVbM/hqdefault.jpg","Patreon:
https://www.patreon.com/Supereyepatchwolf

Lets Fight a Boss Podcast:

Itunes: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2
Sound Cloud: https://soundcloud.com/letsfightaboss
Youtube: https://www.youtube.com/channel/UCawXJIKUj2o_tFPMZ4xiXBw

Twitter: https://twitter.com/EyePatchWolf
Instagram: https://www.instagram.com/super_eyepatch_wolf/

Song List:
The last Mariachi- Silent Hill 4 OST
Penatgon Jr Theme- Lucha Underground OST
Silent Hill Shattered Memories- Different Persons
Anxious- Boketto
Who is Zero 9 Hours 9 persons 9 Doors OST
Welcome to Despiar Acadaemy- Super Dangan Ronpa 2 OST
Toubou- PAranoia Agent OST"
"zIzpA1Lqluw","Why You Should Watch Kaiji Ultimate Survivor","Super Eyepatch Wolf","2020-04-23","2017-09-30","https://i.ytimg.com/vi/zIzpA1Lqluw/hqdefault.jpg","Patreon:
https://www.patreon.com/Supereyepatchwolf

Space BG from Footageisland
https://www.youtube.com/user/footageisland

Animation used for Heros Journey segment:
https://www.youtube.com/watch?v=Hhk4N9A0oCA

Further reading on the Heroes Joureny
http://www.thewritersjourney.com/hero's_journey.htm

Lets Fight a Boss Podcast:

Itunes: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2
Sound Cloud: https://soundcloud.com/letsfightaboss
Youtube: https://www.youtube.com/channel/UCawXJIKUj2o_tFPMZ4xiXBw

Twitter: https://twitter.com/EyePatchWolf

Song List:

Black Sun- Kaiji OST
Memories- Kaiji OST
Transperant- Kaiji OST
Kaiji Theme- Kaiji OST
Despair- Kaiji OST
Kaiji Theme- Kaiji OST
Fate- Kaiji OST"
"uUeaYaI-VAI","Why Redline is an Amazing Movie, and Why That Matters Today","Super Eyepatch Wolf","2020-04-23","2017-08-26","https://i.ytimg.com/vi/uUeaYaI-VAI/hqdefault.jpg","Patreon:
https://www.patreon.com/Supereyepatchwolf

Coffee with Clemps Podcast:
https://www.youtube.com/watch?v=wkzMv1nuFjU&t=1417s

Space BG from Footageisland
https://www.youtube.com/user/footageisland

Lets Fight a Boss Podcast:

Itunes: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2
Sound Cloud: https://soundcloud.com/letsfightaboss
Youtube: https://www.youtube.com/channel/UCawXJIKUj2o_tFPMZ4xiXBw

Twitter: https://twitter.com/EyePatchWolf
Instagram: https://www.instagram.com/super_eyepatch_wolf/

Song List:

Recall- Persona 5 OST
Tension- Redline OST
Dead Heat- Redline OST
OASIS- Redline OST
Monitor Room - Redline OST
Boys Memory- Redline OST
Redline Day- Redline OST"
"MYtz2ZhKxFE","Why You Should Watch/ Read One Piece","Super Eyepatch Wolf","2020-04-23","2017-06-27","https://i.ytimg.com/vi/MYtz2ZhKxFE/hqdefault.jpg","Patreon:
https://www.patreon.com/Supereyepatchwolf

Lets Fight a Boss Podcast:

Itunes: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2
Sound Cloud: https://soundcloud.com/letsfightaboss

Youtube: https://www.youtube.com/channel/UCawXJIKUj2o_tFPMZ4xiXBw

Twitter: https://twitter.com/EyePatchWolf
Instagram: https://www.instagram.com/super_eyepatch_wolf/

The Appeal of One Piece: Where to Start

https://www.youtube.com/watch?v=2ZqnC-eVwrE

Song List:
His Theme - Undertale OST
Old Friends - Transistor OST
Gateless -  Transistor OST
Transperant II - Kaiji OSt
Fetus- Tekken 4 OST (Tekken 4 gets a bad rap, its a very atmospheric fighting game)
Devils Pit Round 1 - Tekken 7 OST"
"5DHEr87uwgE","Why You Should Watch Yu Yu Hakusho","Super Eyepatch Wolf","2020-04-23","2017-04-03","https://i.ytimg.com/vi/5DHEr87uwgE/hqdefault.jpg","Patreon:
https://www.patreon.com/Supereyepatchwolf

Twitter https://twitter.com/EyePatchWolf
Instagram: https://www.instagram.com/super_eyepatch_wolf/

Lets Fight a Boss video game podcast:

Itunes: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2

Sound Cloud: https://soundcloud.com/letsfightaboss

Youtube: https://www.youtube.com/watch?v=dXLtu0JhMnM

Song List:
Black Burn- Killer 7 Ost
YYH sound track- Time Limit
YYH sound track- Smile Bomb
YYH sound track-Subete ga Owatta
YYH sound track- Sensuis Territory
YYH sound track- Sentou Kaishi
YYH sound track- Tataki no Hate (which roughly translates to ""fight to fight"" which I love -sew)"
