"Playlist URL","https://www.youtube.com/playlist?list=PLp-wjw6lssYlfw3htF0I4uBqfvooDLoYI"
"Playlist title","Daggerfall [Linguist]"
"Playlist author","Grimith"
"Videos","16"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"wnrabkKdVGo","LGWI Live! - Daggerfall Linguist 1","Grimith","2016-02-29","2016-02-29","https://i.ytimg.com/vi/wnrabkKdVGo/hqdefault.jpg","I apparently wanted to relive the time I recorded Fallout 2 as a ""hurr-durr"" class. Man, I'm fucking stupid.

- Broadcasted on February 25, 2016. -
http://www.hitbox.tv/grimith"
"kNk_rNY0eyw","LGWI Live! - Daggerfall Linguist 2","Grimith","2016-12-15","2016-12-15","https://i.ytimg.com/vi/kNk_rNY0eyw/hqdefault.jpg","51:25 to 56:05 is one of the best moments I've ever had in Daggerfall.

- Broadcasted on December 15, 2016. -
https://beam.pro/Grimith"
"pNYb-2fl7J8","LGWI Live! - Daggerfall Linguist 3","Grimith","2016-12-20","2016-12-20","https://i.ytimg.com/vi/pNYb-2fl7J8/hqdefault.jpg","We abandon one quest to pursue several more. Of course, I end up in a dungeon again. But, this time, I bite off more than I desire...

- Broadcasted on December 19, 2016. -
https://beam.pro/Grimith"
"z8oCt_d3bvc","LGWI Live! - Daggerfall Linguist 4","Grimith","2016-12-20","2016-12-20","https://i.ytimg.com/vi/z8oCt_d3bvc/hqdefault.jpg","Welcome to my nightmare.

- Broadcasted on December 19, 2016. -
https://beam.pro/Grimith"
"BukkP4wRWSw","LGWI Live! - Daggerfall Linguist 5","Grimith","2016-12-20","2016-12-20","https://i.ytimg.com/vi/BukkP4wRWSw/hqdefault.jpg","Actually, welcome to my night terror.

- Broadcasted on December 19, 2016. -
https://beam.pro/Grimith"
"N0o2hpBeKFw","LGWI Live! - Daggerfall Linguist 6","Grimith","2017-01-03","2017-01-05","https://i.ytimg.com/vi/N0o2hpBeKFw/hqdefault.jpg","These dungeons, man. They are both fascinating and horrifying. But I love this game ever so.

- Broadcasted on January 2, 2017. -
https://beam.pro/Grimith"
"mrwkQH7t4qk","LGWI Live! - Daggerfall Linguist 7","Grimith","2017-01-11","2017-01-11","https://i.ytimg.com/vi/mrwkQH7t4qk/hqdefault.jpg","I really do love this game. No matter the quirks. No matter the fuckery. EVERY VIDEO OF THIS SERIES HAS BEEN SOMETHING NEW AND FUN. It's a gift that keeps on giving.

- Broadcasted on January 9, 2017. -
https://beam.pro/Grimith"
"ij5uEh9k1Mo","LGWI Live! - Daggerfall Linguist 8","Grimith","2017-01-20","2017-01-20","https://i.ytimg.com/vi/ij5uEh9k1Mo/hqdefault.jpg","It's another beautiful day in this game, complete with dungeon delving and character advancement.

- Broadcasted on January 16, 2017. -
https://beam.pro/Grimith"
"Vexs-t_Y4FA","LGWI Live! - Daggerfall Linguist 9","Grimith","2017-01-20","2017-01-20","https://i.ytimg.com/vi/Vexs-t_Y4FA/hqdefault.jpg","The YouTube thumbnail accurately summarizes what transpires during this entire series. It's NEVER a dull session in Daggerfall.

- Broadcasted on January 16, 2017. -
https://beam.pro/Grimith"
"BtL8e8pDN50","LGWI Live! - Daggerfall Linguist 10","Grimith","2017-02-10","2017-02-10","https://i.ytimg.com/vi/BtL8e8pDN50/hqdefault.jpg","I start on the main quest line. It involves lots of undead - because, well, of course it fucking does. But Ersilia's not who she used to be. She's prepared for... almost any challenge.

- Broadcasted on February 6, 2017. -
https://beam.pro/Grimith"
