"Playlist URL","https://www.youtube.com/playlist?list=PL4U3DZwZafJAWOgDnfSMdmKfrz8lYOOVq"
"Playlist title","Eternal Sonata"
"Playlist author","RenegadeConstabulary"
"Videos","74"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"6kVw98hOYtU","Let's Play Eternal Sonata -- Part 1: Emphasis on ETERNAL","RenegadeConstabulary","2013-08-12","2013-08-12","https://i.ytimg.com/vi/6kVw98hOYtU/hqdefault.jpg","Now that it's begun, this game will haunt Tek forever...you know, ETERNAL-ly?



It's finally time, you guys! Eternal Sonata (the true story of the life and times of Polish composer Frederic Francois Chopin) is one of Vasco's favorite games of all time, and one that Tek historically hates with a passion. For some reason Tek has finally relented and the parade of meaningless cutscenes can begin! Today's episode really sets the pace and tone of the story, and really only covers the most basic aspects of combat, but this JRPG will only get better from here!

This episode covers the Path to Tenuto and arriving and Tenuto (plus relevant cutscenes) in Chapter 1: Raindrops.

Renegade Constabulary presents ""Let's Play Eternal Sonata"" for the Playstation 3.

Narrated by TekAzurik and VascoDaGamer."
"-g8jEDIDCjs","Let's Play Eternal Sonata -- Part 2: This World's Pretty Messed Up","RenegadeConstabulary","2013-08-16","2013-08-16","https://i.ytimg.com/vi/-g8jEDIDCjs/hqdefault.jpg","It's not that I disagree with you, but could you be a little more specific?



The tutorial continues as the boys get to play as a pair of new characters: Alegretto and Beat. Think Oliver Twist and the Artful Dodger, since these weird baroque-anime children are instantly caught in the act of stealing bread. Today marks the formal introduction to special attacks, as well as the first opportunity to use light and shadow on the battlefield strategically. To top it all off, Tek gets to face the game's first boss in a test of the skills he's learned so far. How will it go? You'd better see for yourself!

This episode covers Polka's first return Tenuto and Alegretto and Beat's adventures in the Ritardando Sewers (plus relevant cutscenes) in Chapter 1: Raindrops.

Renegade Constabulary presents ""Let's Play Eternal Sonata"" for the Playstation 3.

Narrated by TekAzurik and VascoDaGamer."
"8SSX6LJihAI","Let's Play Eternal Sonata -- Part 3: The Pig Monster Gave Us the Bamboo Shaft","RenegadeConstabulary","2013-08-19","2013-08-19","https://i.ytimg.com/vi/8SSX6LJihAI/hqdefault.jpg","There was no way to stop its relentless wood shaft.



Now that the constables have defeated their first boss, learned all the basics of combat, and met several playable characters, it's time to finally start the game off with opening credits. And if you thought starting the game after an hour of playtime was bad, just wait until you see how Polka and her new best friend get along in the forest. Which is to say nothing of how the wildlife there responds to their presence.

This episode covers Chopin's introduction, his meeting of Polka and their journey through the Heaven's Mirror Forest (plus relevant cutscenes) in Chapter 1: Raindrops.

Renegade Constabulary presents ""Let's Play Eternal Sonata"" for the Playstation 3.

Narrated by TekAzurik and VascoDaGamer."
"tRe0SbGVGQY","Let's Play Eternal Sonata -- Part 4: Who's Giving Them Peach Cookies?","RenegadeConstabulary","2013-08-23","2013-08-23","https://i.ytimg.com/vi/tRe0SbGVGQY/hqdefault.jpg","And if you can get food and medicine by killing rats, why is everything so expensive?



After nearly losing a ""critical"" cutscene to some technical difficulty, the boys begin to use save files more judiciously. This will be especially important as they begin to not only collect useful equipment, but also to gather essential items for a central trade quest in the game. All of this an more as the constables lead Beat and Allegretto out of Ritardando to go tell Count Waltz to fix the economy. Based on a true story.

This episode covers Beat and Allegretto leaving Ritardando and entering the Agogo Forest plus the first two steps of the main trade quest (with relevant cutscenes) in Chapter 1: Raindrops.

Renegade Constabulary presents ""Let's Play Eternal Sonata"" for the Playstation 3.

Narrated by TekAzurik and VascoDaGamer."
"yAkEbDcnz6A","Let's Play Eternal Sonata -- Part 5: Koalabee","RenegadeConstabulary","2013-08-26","2013-08-26","https://i.ytimg.com/vi/yAkEbDcnz6A/hqdefault.jpg","It just seems more descriptive than kawallaby. Don't you think?



As Tek reclaims control of the game, it quickly becomes apparent that he's forgotten everything about how to play this game since the last episode. This is especially unfortunate as he gets his second crack at a boss fight almost immediately. He is eventually rewarded for his efforts with the thing he hates most about this game: a historically informative slideshow. Then it's back to Chopin and Polka to try and avoid catching their death of cold (or coconuts) in the rain.

This episode continues the coverage of Beat and Allegretto the Agogo Forest and begins Chopin and Polka's journey through Agogo Forest in the rain (with relevant cutscenes and slideshows) in Chapter 1: Raindrops.

Renegade Constabulary presents ""Let's Play Eternal Sonata"" for the Playstation 3.

Narrated by TekAzurik and VascoDaGamer."
"fyLjgu41awI","Let's Play Eternal Sonata -- Part 6: There's Power Within My Madness","RenegadeConstabulary","2013-08-30","2013-08-30","https://i.ytimg.com/vi/fyLjgu41awI/hqdefault.jpg","OH! So THAT's the sickness that's giving Chopin his powers!



In the wake of the last episode's challenges, Tek buckles down and begins some proper character and inventory management, to survive the dark and stormy night of coconuts. But how will Tek fare against the first appearance of a major antagonist in boss form? If there's one person more annoyed about the weather conditions than Tek, it's Fugue. Also, Vasco partners up with the game to offer consistent insight into Chopin's history (of mental illness).

This episode carries on Chopin and Polka's trip through the Agogo Forest in the rain and catches back up with Beat and Allegretto in the aftermath, also in Agogo Forest (with relevant cutscenes) in Chapter 1: Raindrops.

Renegade Constabulary presents ""Let's Play Eternal Sonata"" for the Playstation 3.

Narrated by TekAzurik and VascoDaGamer."
"GtUmrKMPKVU","Let's Play Eternal Sonata -- Part 7: Have You Ever Seen the Music Man?","RenegadeConstabulary","2013-09-02","2013-09-02","https://i.ytimg.com/vi/GtUmrKMPKVU/hqdefault.jpg","I think that was Chopin's nickname in college, when he lived on Drewery Lane.



After sauntering casually through the once doom-filled Agogo Forest, Beat and Allegretto meet up with Polka and Chopin, causing the story to finally begin in earnest (just 3 and a half hours in)! A series of cutscenes helpfully explains for Tek every problem that's existed in this world so he can keep up as Vasco leads our heroes in the mission to tell the king to solve every single problem ever.

This episode concludes Beat and Allegretto's romp through the Agogo Forest, as the gang enters Agogo Village, wrapping up Chapter 1: Raindrops (with relevant cutscenes). Then, Chapter 2 kicks off with another slideshow and more cutscenes.

Renegade Constabulary presents ""Let's Play Eternal Sonata"" for the Playstation 3.

Narrated by TekAzurik and VascoDaGamer."
"ohJ3qEFANZc","Let's Play Eternal Sonata -- Part 8: There is a Way to Stop His Relentless Advance","RenegadeConstabulary","2013-09-09","2013-09-06","https://i.ytimg.com/vi/ohJ3qEFANZc/hqdefault.jpg","And believe it or not it requires neither a rape whistle nor the help of an adult.



Picking back up after Tek's month-long hiatus, Vasco struggles to remember the minutiae of the secrets hidden in and around Agogo Village. Then, the constables discovers a way to stop Chopin's relentless attack, and it's not even sick enough to wield magical powers. And of course all of this comes after the game's second historical slideshow, which confirms Chopin's nationality and reveals his favored real-world weapon.

This episode concludes Beat and Allegretto's romp through the Agogo Forest, as the gang enters Agogo Village, wrapping up Chapter 1: Raindrops (with relevant cutscenes). Then, Chapter 2 kicks off with another slideshow and more cutscenes.

Renegade Constabulary presents ""Let's Play Eternal Sonata"" for the Playstation 3.

Narrated by TekAzurik and VascoDaGamer."
"iS8ns4BTTFU","Let's Play Eternal Sonata -- Part 9: I'm Going to Pound You Fair and Square","RenegadeConstabulary","2013-09-09","2013-09-09","https://i.ytimg.com/vi/iS8ns4BTTFU/hqdefault.jpg","Seriously, WHO is responsible for this game's localization?



Tek's in charge for the first time in about a month...so there's some catchup back up to speed to be done. Making matter more difficult, the enemies of the Chorus Plains are definitely a cut above Great Coconuts and L'Opera Knights. But once Tek is given a Chance he makes some good progress towards the next boss fight, where a comedy of errors conspires to ruin the constables' efforts to make a new friend.

This episode sees our heroes traversing the Chorus Plains and making a new friend in Chapter 2: Revolucion (with relevant cutscenes).

Renegade Constabulary presents ""Let's Play Eternal Sonata"" for the Playstation 3.

Narrated by TekAzurik and VascoDaGamer."
"l8avL_0EEYA","Let's Play Eternal Sonata -- Part 10: You Guys, I Think I'm going to Wet Myself","RenegadeConstabulary","2013-09-13","2013-09-13","https://i.ytimg.com/vi/l8avL_0EEYA/hqdefault.jpg","Alright Beat, from now on we're ghostwriting your battle cries.



After some time to regroup, the constables manage to cobble together a strategy to combat the bird-witch-men they discovered last time (along with that person). Theirs is a strategy that would make the military genius of Chopin proud as evidenced by the swarm of cutscenes which attempt to set a world record for the longest amount of time to cross a single bridge. But once they're on the other side, Tek and Vasco may well regret wishing that voyage a hasty end, as Fort Fermata awaits.

This episode completes the first trip through Chorus Plains and meeting up with Viola, then enters the labyrinth known as Fort Fermata in Chapter 2: Revolucion (with relevant cutscenes).

Renegade Constabulary presents ""Let's Play Eternal Sonata"" for the Playstation 3.

Narrated by TekAzurik and VascoDaGamer."
