"Playlist URL","https://www.youtube.com/playlist?list=PLw4g3aekL8HZ9G02A5boYB3nFItxrJrGI"
"Playlist title","Every quest in morrowind"
"Playlist author","The Guild of Awesome"
"Videos","13"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"1SocZNW1PZc","Every quest in Morrowind Episode 1: Seyda neen","The Guild of Awesome","2019-05-12","2019-02-24","https://i.ytimg.com/vi/1SocZNW1PZc/hqdefault.jpg","Support us on Patreon!: https://www.patreon.com/Guildawesome
Our Twitch channel: https://www.twitch.tv/theguildofawesome
Current News on twitter  : https://twitter.com/GuildAwesome

Quests:
00:00 intro
00:45 Fargoth's ring
01:20 Fargoth's hiding place
03:55 Vodunius Nuccius
04:41 Death of a tax man


Mods:
Dramatic Vivec: https://www.nexusmods.com/morrowind/mods/43385

Epic Ald Ruhn
https://www.nexusmods.com/morrowind/mods/43072

Epic Balmora
https://www.nexusmods.com/morrowind/mods/43014

Epic Dagon Fel
https://www.nexusmods.com/morrowind/mods/43939

Epic Sadrith Mora
https://www.nexusmods.com/morrowind/mods/43057

weapon sheathing
https://www.nexusmods.com/morrowind/mods/46069

Landscape retexture 2K + bloodmoon: https://www.nexusmods.com/morrowind/mods/42575
https://www.nexusmods.com/morrowind/mods/42575

Official plugins
https://en.uesp.net/wiki/Morrowind:Plugins

Patch project
https://en.uesp.net/wiki/Tes3Mod:Morrowind_Patch_Project

Morrowind Graphics extender
https://www.nexusmods.com/morrowind/mods/41102/"
"rVz7_-U4_wI","Every quest in Morrowind episode 2: Imperial legion","The Guild of Awesome","2019-05-11","2019-05-12","https://i.ytimg.com/vi/rVz7_-U4_wI/hqdefault.jpg","Interactive map: https://mwmap.uesp.net/
fast travel map: https://en.uesp.net/wiki/File:MW-map-Travel_Routes.png

00:00 intro
01:46 Widow vabdas's land deed
06:00 Gnisis eggmine
07:30 Rescue Madura Seran
08:55 Rescue Ragash gra-Shuzgub
10:50 Talos cult conspiracy
13:00 Dwemer artifacts at Drinar vayrons place
13:44 Rescue Joncis dalomax
16:05 Maidens token
17:38 Scrap metal
18:32 Rescue Jocien ancols
20:45 Rescue dandsa
22:10 Breeding netch
23:17 Sorkvild the raven
25:40 Courtesy
27:13 Honthjolf is a traitor
28:20 Suryn athones slanders
29:15 Saprius entius
31:18 lords mail
33:45 Chrysmere
35:20 Grandmaster duel

Support us on Patreon!: https://www.patreon.com/Guildawesome
Our Twitch channel: https://www.twitch.tv/theguildofawesome
Current News on twitter  : https://twitter.com/GuildAwesome"
"jOhcPGbgH8s","Every quest in Morrowind episode 3: Mages guild","The Guild of Awesome","2020-01-13","2020-01-13","https://i.ytimg.com/vi/jOhcPGbgH8s/hqdefault.jpg","Support us on Patreon!: https://www.patreon.com/Guildawesome
Our Twitch channel: https://www.twitch.tv/theguildofawesome
Current News on twitter  : https://twitter.com/GuildAwesome

Interactive map: https://mwmap.uesp.net/
fast travel map: https://en.uesp.net/wiki/File:MW-map-Travel_Routes.png

00:00 intro
01:41 Four types of mushrooms
03:04 Fake soul gem
03:43 Four types of flowers
05:30 Ceramic bowl
05:53 Stolen reports
06:43 Chronicles of Nchuleft
07:26 A Potion from Skink-in-Tree's-Shade
07:58 Steal Chimarvamidium
08:40 Huleens Hut
09:46 Return Chimarvamidium
10:24 Escort Tenyeminwe
11:50 Vampires of Vvardenfell, Vol II
12:54 Meeting with a Wise Woman
14:54 Kill Necromancer Telura Ulver
15:40 Join us and Manwe's dues
17:44 Unsanctioned Training
18:34 Escort Itermerel
19:34 Kill Necromancer Tashpi Ashibael
20:49 Catch a Spy
22:00 Dwemer tube, Bethamez and a book needed for Mystery of the dwarves
23:43 Nchuleftingth Expedition and a book needed for Mystery of the dwarves
25:24 Scarab Plans in Mzuleft and a book needed for Mystery of the dwarves
27:05 Mystery of the dwarves
29:00 Staff of Magnus
30:00 Warlocks ring
30:41 Wizards staff
32:00 Soul of an ash ghoul
33:15 Galur Rithari's Papers
34:00 Archmage"
"C0_ncmIsnjU","Every quest in Morrowind episode 4: Fighters and Thieves guild","The Guild of Awesome","2020-11-23","2020-11-24","https://i.ytimg.com/vi/C0_ncmIsnjU/hqdefault.jpg","Support us on Patreon!: https://www.patreon.com/Guildawesome
Our Twitch channel: https://www.twitch.tv/theguildofawesome
Current News on twitter  : https://twitter.com/GuildAwesome

Interactive map: https://mwmap.uesp.net/
fast travel map: https://en.uesp.net/wiki/File:MW-map-Travel_Routes.png

00:00:00 Intro
02:49 Fighters guild - Exterminator
04:52 Fighters guild - Egg Poachers
06:48 Fighters guild - Telvanni Agents - Thieves guild - Books for Vala
08:42 Fighters guild - The Code Book
10:12 Thieves guild - Diamonds for Habasi
10:56 Thieves guild - Nerano Manor Key
11:47 Thieves guild - Ra'Zhid's Dwemer Artifacts
12:36 Thieves guild - The Vintage Brandy
13:26 Thieves guild - Free New-Shoes Bragor
15:00 Thieves guild - Master of Security
15:52 Thieves guild - Loot the Mages Guild - Withershins
17:25 Thieves guild - Redoran Master Helm - Naughty Gandosa -  Retrieve the Scrap - The Darts of Judgement - Redoran Cookbook - The Hlervu Locket
22:21 Fighters guild - Desele's Debt
23:10 Fighters guild - Gra-Bol's Bounty
23:44 Fighters guild - Juicedaw Ring
24:37 Fighters guild - Silence Tongue-Toad
25:31 Fighters guild - Dro'Sakhar's Bounty
26:13 Fighters guild - Lirielle's Debt
27:39 Fighters guild - Battle at Nchurdamz
29:59 Fighters guild - The Dissapla Mine
32:49 Fighters guild - Berwen's Stalker - Tenim's Bounty - Thieves guild - The Grandmaster's Retort
37:02 Fighters guild - Sujamma to Dunirai
38:16 Thieves guild - Potion Recipe - Wizard For Hire - Redoran Cookbook hand in
40:15 Thieves guild - Felen's Ebony Staff
43:01 Thieves guild - The Hlervu Locket hand in - Yngling's Ledger
44:46 Thieves guild - Land Deed
45:55 Thieves guild - Enamor
46:57 Thieves guild - Brallion's Ring
48:00 Thieves guild - Books for Vala hand in
48:29 Thieves guild - The Dwemer Goblet
49:32 Thieves guild - Find Brother Nads
50:36 Thieves guild - Speak With Percius
51:47 Thieves guild - The Bitter Cup
53:32 Thieves guild - Hrundi's Lover
54:13 Thieves guild - The Brothers Ienith Quest get
54:59 Morag tong - Writ for Feruren Oran
57:21 Morag tong - Writ for Odaishah Yasalmibaal - Writ for Toris Saren
58:17 Morag tong - Writ for Sarayn Sadus - Writ for Ethal Seloth and Idroso Vendu
59:39 Morag tong - Writ for Guril Retheran - Writ for Galasa Uvayn
01:00:58 Morag tong - Writ for Mavon Drenim - Writ for Tirer Belvayn
01:02:39 Morag tong - Writ for Mathyn Bemis - Writ for Brilnosu Llarys
01:05:16 Morag tong - Writ for Navil and Ranes Ienith - Thieves guild - The Brothers Ienith Quest do
01:06:42 Thieves guild - Kill Hard-Heart quest get
01:07:02 Fighters guild - The Necromancer of Vas
01:09:38 Fighters guild - Beneran's Bounty
01:11:48 Fighters guild - Bandits in Suran
01:13:31 Fighters guild - Flin for Elith-Pal
01:15:28 Fighters guild - Alof and the Orcs
01:16:42 Fighters guild - The Verethi Gang
01:16:24 Fighters guild - Hunger in the Sarano Tomb
01:19:30 Fighters guild - Sondaale
01:22:58 Fighters guild - Engaer's Bounty
01:23:35 Fighters guild - The Pudai Eggmine
01:25:38 Fighters guild - Vandacia's Bounty
01:26:15 Fighters guild - Alleius' Bounty
Bad Ending
01:27:35 Fighters guild - Remove the Heads of the Thieves Guild
01:28:15 Fighters guild - Kill the Master Thief
Good ending
01:28:53 Fighters guild - Remove Sjoring's Supporters
01:29:37 Fighters guild / Thieves guild- Kill Hard-Heart"
"3qS_AwqBwwA","Every quest in Morrowind episode 5: Main story quests","The Guild of Awesome","2022-01-29","2022-01-30","https://i.ytimg.com/vi/3qS_AwqBwwA/hqdefault.jpg","Support us on Patreon!: https://www.patreon.com/Guildawesome
Our Twitch channel: https://www.twitch.tv/theguildofawesome
Current News on twitter  : https://twitter.com/GuildAwesome

Interactive map: https://mwmap.uesp.net/
fast travel map: https://en.uesp.net/wiki/File:MW-map-Travel_Routes.png

00:00 intro
01:15 Report to Caius Cosades
01:43 Blades trainers
04:12 Antabolis Informant
05:11 Gra-Muzgob Informant
06:48 Vivec Informants
09:56 Zainsubani Informant
11:29 Meet Sul-Matuul
13:44 Sixth House Base
14:55 Corprus Cure
16:23 Mehra Milo and the Lost Prophecies
18:23 Misc quest: Kurapli Seeks Justice
19:21 The Path of the Incarnate
22:58 Urshilaku Nerevarine
23:14 Telvanni Hortator
26:17 House Telvanni: Three Questions for Baladas Demnevanni
27:08 House Telvanni: Mission to Nchuleft
28:10 Ahemmusa Nerevarine
30:05 Zainab Nerevarine
33:06 Erabenimsun Nerevarine
35:33 Redoran Hortator
39:40 Hlaalu Hortator
43:21 Hortator and Nerevarine
44:50 The Citadels of the Sixth House
45:17 Misc quest: A Lucky Coin
46:03 Final boss
51:34 Yagrum Bagarn and Wraithguard"
"Zv8REq8yBfs","Every quest in Morrowind episode 6: Daedric quests","The Guild of Awesome","2022-02-15","2022-03-19","https://i.ytimg.com/vi/Zv8REq8yBfs/hqdefault.jpg","Support us on Patreon!: https://www.patreon.com/Guildawesome
Our Twitch channel: https://www.twitch.tv/theguildofawesome
Current News on twitter  : https://twitter.com/GuildAwesome

Interactive map: https://mwmap.uesp.net/
fast travel map: https://en.uesp.net/wiki/File:MW-map-Travel_Routes.png

00:00 intro
00:43 Mephala
02:54 Sheogorath
05:39 Boethiah
09:22 Mehrunes Dagon
11:53 Azura
15:57 Molag Bal
18:34 Malacath"
"PZbNjberK5s","Every quest in Morrowind episode 7: Vampire Quests","The Guild of Awesome","2022-05-02","2022-05-03","https://i.ytimg.com/vi/PZbNjberK5s/hqdefault.jpg","Support us on Patreon!: https://www.patreon.com/Guildawesome
Our Twitch channel: https://www.twitch.tv/theguildofawesome
Current News on twitter  : https://twitter.com/GuildAwesome

Interactive map: https://mwmap.uesp.net/
fast travel map: https://en.uesp.net/wiki/File:MW-map-Travel_Routes.png

Download link for the plug ins:
https://en.uesp.net/wiki/Morrowind:Plugins

00:00 intro
02:36 Shopping list
06:20 Propylon index collection
10:56 Pre-vampire information
12:06 Clan Quarra - The Cult of Lord Irarak
13:49 Clan Quarra - The Quarra Amulet
15:00 Clan Berne - The Blood of the Quarra
16:24 Clan Berne - The Vampire Mert
17:45 Clan Aundae - Blood Ties
19:47 Clan Aundae - The Vampire Hunter
20:55 Murder Rimintil
22:08 Blood for Mistress Dratha
22:23 The Weary Vampire
23:13 Shashev's Key
24:03 The Boy Who Would Be Undead
25:41 Dust of the Vampire
25:55 The Imprisonment of Mastrius
27:39 A Cure for Vampirism"
"0C2nBpnVigc","Every quest in Morrowind episode 8: Tribunal temple","The Guild of Awesome","2022-12-11","2022-12-12","https://i.ytimg.com/vi/0C2nBpnVigc/hqdefault.jpg","Support us on Patreon!: https://www.patreon.com/Guildawesome
Our Twitch channel: https://www.twitch.tv/theguildofawesome
Current News on twitter  : https://twitter.com/GuildAwesome

Interactive map: https://mwmap.uesp.net/
fast travel map: https://en.uesp.net/wiki/File:MW-map-Travel_Routes.png

00:00 intro
00:50 Joining the temple / Pilgrimages of the Seven Graces
04:55 Compassion
05:52 False Incarnate
06:42 Pilgrimage to Maar Gan
07:38 Disease Carrier
08:30 Silent Pilgrimage
09:40 Cure Lette
10:39 Pilgrimage to Mount Kand
12:11 Necromancer in Mawia
13:02 Slay Raxle Berne
15:00 Shoes of St. Rilms
16:05 Foul Cult Beneath St. Delyn Canton
17:05 Cure the Outcast Outlander
17:54 Food and Drink for the Hermit
18:34 Hair Shirt of St. Aralor
19:28 Cleaver of St. Felms
20:47 Crosier of St. Llothis the Pious
22:10 Dark Cult in Hassour
23:00 Malacath of the House of Troubles
24:20 Mehrunes Dagon of the House of Troubles
24:48 Molag Bal of the House of Troubles
25:29 Sheogorath of the House of Troubles
26:53 Ebony Mail
27:37 Taking the relics back"
"0ytjgIUtHKU","Every quest in Morrowind Episode 9: Imperial Cult","The Guild of Awesome","2022-12-29","2022-12-30","https://i.ytimg.com/vi/0ytjgIUtHKU/hqdefault.jpg","Support us on Patreon!: https://www.patreon.com/Guildawesome
Our Twitch channel: https://www.twitch.tv/theguildofawesome
Current News on twitter  : https://twitter.com/GuildAwesome

Interactive map: https://mwmap.uesp.net/
fast travel map: https://en.uesp.net/wiki/File:MW-map-Travel_Routes.png

00:00 Preparations
01:40 Joining the cult
02:15 Gathering Marshmerrow
03:10 Gathering Muck
04:17 Gathering Willow Anther
04:47 Gathering Scrib Jelly
05:26 Gathering Corkbulb Root
06:04 Gathering Rat Meat & Gathering Netch Leather
06:29 Alms from the Skyrim Mission
07:53 Alms from the Argonian Mission
09:09 Buckmoth Alms
12:50 Shirt and Vest for Harvest's End
13:33 Brandy for the Fundraising Dinner
15:16 Donation from Cunius Pelelius
17:00 Pledge from Canctunian Ponius
19:23 Missing Limeware
20:17 The Haunting
21:02 Thelsa Dral the Witch
22:00 The Silver Staff of Shaming
23:03 Restless Spirit
24:15 Ring in Darkness
26:00 Boots of the Apostle
27:25 Ice Blade of the Monarch
29:00 The Scroll of Fiercely Roasting
29:55 Skull-Crusher"
"MwWxU43tNrY","Every quest in Morrowind episode 10: House Hlaalu","The Guild of Awesome","2023-01-30","2023-01-31","https://i.ytimg.com/vi/MwWxU43tNrY/hqdefault.jpg","Support us on Patreon!: https://www.patreon.com/Guildawesome
Our Twitch channel: https://www.twitch.tv/theguildofawesome
Current News on twitter  : https://twitter.com/GuildAwesome

Interactive map: https://mwmap.uesp.net/
fast travel map: https://en.uesp.net/wiki/File:MW-map-Travel_Routes.png

00:00 Intro
01:00 Disguise
02:22 Alchemical Formulas
03:17 Inanius Egg Mine
04:19 Guar Hide Squeeze
05:00 Delivery for Bivale Teneran
05:41 The Death of Ralen Hlaalo
06:50 Ebony Trade
08:00 Bank Courier
09:00 Murudius Flaeus's Debt
09:50 Escort Tarvyn Faren
10:33 Telvanni at Odirniran
12:05 Exterminator
12:50 Ashlander Ebony
13:34 The Shipwreck 'Prelude'
14:30 Guard Ralen Tilvur
15:05 An Admiring Sponsor
15:50 Sealed Orders
16:50 The Caldera Spy
18:18 Erroneous Documents
19:50 Rent and Taxes
21:22 Shipment of Ebony
22:43 Velfred the Outlaw
23:55 Literacy Campaign
25:00 Freeing slaves
29:00 The Twin Lamps
30:58 Free Hides-His-Foot
32:10 Stronghold part 1 & 2
36:22 Kill Banden Indarys
37:06 Bero's Support
38:22 Reynel Uvirith
39:00 Stronghold part 3
40:25 Control the Ordinators
42:00 Dealing with Orvas Dren"
