"Playlist URL","https://www.youtube.com/playlist?list=PLdjrwPDoXHLDFOwT1dU794Ueod_nkxR85"
"Playlist title","Franchise Retrospectives"
"Playlist author","Noah Caldwell-Gervais"
"Videos","38"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"AvN51r1o1Nc","The Complete Call of Duty Single Player Campaign Critique (For PC)","Noah Caldwell-Gervais","2015-12-08","2015-04-03","https://i.ytimg.com/vi/AvN51r1o1Nc/hqdefault.jpg","This video is a critique and retrospective of all eleven Call of Duty games released for the PC between 2003 and 2014. It's often said that all Call of Duty games are the same-- they're far from it. Journey through the series chronologically and critically with this sprawling retrospective. Major spoilers throughout!

____TABLE OF CONTENTS____

Call of Duty 1-- 0:48
Call of Duty: United Offensive-- 13:55
Call of Duty 2-- 18:10
Call of Duty 4: Modern Warfare-- 26:14
Call of Duty: World at War-- 36:40
Modern Warfare 2-- 47:11
Black Ops 1-- 58:00
Modern Warfare 3-- 1:08:11
Black Ops 2-- 1:23:50
Call of Duty: Ghosts-- 1:34:29
Call of Duty: Advanced Warfare-- 1:47:43
Special Thanks-- 2:04:40

If you enjoyed this video, please post it where others can find it!

Also, please consider donating to my Patreon to help me produce these sorts of videos.
https://www.patreon.com/noahcaldwellgervais"
"SALZWWPMKIA","A Thorough Look at Homeworld","Noah Caldwell-Gervais","2015-12-08","2015-07-03","https://i.ytimg.com/vi/SALZWWPMKIA/hqdefault.jpg","This is a retrospective look at all three Homeworld titles, using footage from the Remastered versions of Homeworld 1 and Homeworld 2, and the original (only) version of Homeworld: Cataclysm. It goes through their unique storytelling and gameplay features, and charts their successes and missteps across all three titles. It also includes an appendix on how to get Cataclysm to run on Windows 8. SPOILERS THROUGHOUT.


___Table of Contents___

Homeworld 1-- 0:40

Homeworld Cataclysm-- 17:11

Homeworld 2-- 27:32

Appendix, Installing Cataclysm on Windows 8-- 39:33

___IMPORTANT LINKS___

Windows Compatability Toolkit:
https://www.microsoft.com/en-us/download/details.aspx?id=7352

Cataclysm Update:
http://sierrahelp.com/Patches-Updates/Patches-Updates-Games/HomeworldSeriesUpdates.html

Steve Shearer's Article on Cataclysm's Bentusi Exodus:
http://www.escapistmagazine.com/articles/view/video-games/goodoldreviews/13659-Good-Old-Editorial-Homeworld

Homeworld 2 Ending Cinematic:
https://www.youtube.com/watch?v=vlz_HW6k5bI

____________________________________________
If you enjoyed this video and would like to contribute to the production of more like it, please consider donating on Patreon and sharing this video where other may find it.

https://www.patreon.com/noahcaldwellgervais"
"hct5WeBmsUM","A Thorough Look at Mass Effect","Noah Caldwell-Gervais","2015-12-08","2014-08-12","https://i.ytimg.com/vi/hct5WeBmsUM/hqdefault.jpg","This is a whole-series retrospective on the Mass Effect trilogy and all of its DLC. It looks at the games in terms of design, character development, and plot. It also tries to put a finger on what's special about the Mass Effect experience and why it's so beloved. This takes a long time to do-- don't think I made the video thinking you'd sit there listening to me for two and half hours. It's like an audio book-- choose a chapter and watch as much or as little as you like. It's also got major spoilers for all of everything Mass Effect, but if you haven't played the games by now, maybe spoilers is what you'd need to change your mind about it.

__________TABLE OF CONTENTS__________

Mass Effect 1: 0:49
ME1, Bring Down the Sky: 19:28
ME1 Continued: 20:53

Mass Effect 2: 30:56
ME2, Kasumi's Stolen Memory: 1:01:53
ME2, Lair of the Shadow Broker: 1:03:01
ME2, Overlord: 1:05:52
ME2, The Arrival: 1:08:30
ME2, Continued: 1:12:29

Mass Effect 3:  1:21:10
ME3, From Ashes: 1:55:11
ME3, Leviathan: 1:58:51
ME3, Omega: 2:02:38
ME3, Citadel: 2:04:46
ME3-- Climax/Indoctrination Theory/Mass Effect 4?: 2:11:20

SPECIAL THANKS TO SUBSCRIBERS THIS VIDEO! It's been hard to fit making these videos into my life, and a lot of folks asked for this one specifically, so here it is by way of saying thanks for taking the time and having the patience to watch my content."
"BjaUTeavNCA","A Thorough Look at Red Faction","Noah Caldwell-Gervais","2015-12-08","2015-01-28","https://i.ytimg.com/vi/BjaUTeavNCA/hqdefault.jpg","This is a video retrospective and review of the four games in the Red Faction franchise. Red Faction's an unusual series, with two ambitious and likable games as well as two real clunkers. Explore this fascinating action series in detail, it'll only take you half an hour.

_____TABLE OF CONTENTS_____

Red Faction 1-- 0:40
Red Faction 2-- 8:37
Red Faction Guerrilla-- 15:50
RFG, Demons of the Badlands-- 22:20
Red Faction Armageddon-- 23:51
RFA, Path to War-- 31:16
Special Thanks-- 33:53

To help make content like this more frequent, consider donating at https://www.patreon.com/noahcaldwellgervais."
"aVa6wlgR9CM","F.E.A.R.: Itself! (A Franchise Retrospective)","Noah Caldwell-Gervais","2015-12-08","2015-05-03","https://i.ytimg.com/vi/aVa6wlgR9CM/hqdefault.jpg","This is a video retrospective and review of the F.E.A.R. games, including 1-3, both expansions and the DLC, and F.E.A.R. Online. It looks at what each game accomplished uniquely, how they change over time, and speculates on why the series is increasingly forgotten.

__TABLE OF CONTENTS__
F.E.A.R.-- 0:30
Extraction Point-- 13:05
Perseus Mandate-- 18:52
F.E.A.R. 2-- 23:19
F.E.A.R. 2: Reborn-- 33:08
F.E.A.R. 3--36:36
F.E.A.R. Online-- 51:28

__REFERENCES__
http://alumni.media.mit.edu/~jorkin/gdc2006_orkin_jeff_fear.pdf
http://aigamedev.com/open/review/fear-ai/
http://www.ign.com/articles/2010/06/17/e3-2010-john-carpenter-talks-fear-3-and-horror
http://www.gamespot.com/articles/qanda-john-carpenter-on-his-greatest-fear/1100-6135370/
http://tech.firstpost.com/news-analysis/f-e-a-r-3-interview-19418.html
http://www.ign.com/articles/2011/06/21/fear-3-review


If you enjoyed this video and wish to support future production, please visit my Patreon!
https://www.patreon.com/noahcaldwellgervais"
"Jz1iMnLiGf4","Aliens vs  Predator vs  Aliens vs  Predator vs  Aliens  Colonial Marines","Noah Caldwell-Gervais","2015-12-08","2014-09-23","https://i.ytimg.com/vi/Jz1iMnLiGf4/hqdefault.jpg","This video is a retrospective review and critique of the Aliens Vs. Predator shooters, from 1999's AvP Classic to the 2010 reboot. It also cover Aliens: Colonial Marines, and that game's DLC Stasis Interrupted. The idea is to look at how each game approaches translating what worked so well in the movies into the medium of gaming. It talk about the games as they compare to the movies, as they compare to each other, and what's unique about them as video games. It also briefly looks ahead to Alien: Isolation. If you enjoy this video, please post it where other may find it.

_____TABLE OF CONTENTS______

Aliens vs. Predator Classic 2000-- 1:17

Aliens vs. Predator 2 (2001)-- 10:17

Aliens vs. Predator 2: Primal Hunt-- 22:04

Aliens vs. Predator 2010-- 27:41

Aliens: Colonial Marines: Stasis Interrupted-- 41:01

Aliens: Colonial Marines-- 50:29"
"mUcrAtn0uVc","Revisiting the Warcraft Strategy Trilogy","Noah Caldwell-Gervais","2015-12-08","2015-02-28","https://i.ytimg.com/vi/mUcrAtn0uVc/hqdefault.jpg","This is video retrospective of the Warcraft strategy trilogy, including Warcraft 1,2,3, and both expansions. It looks at how the games develop over time and how the distinctive Warcraft look and feel evolved. It also features a brief tutorial on how to install and run the first two games on modern systems.

______Table of Contents______
Warcraft 1-- 0:54
Warcraft 2-- 8:44
Warcraft 2, Beyond the Dark Portal-- 15:03
Warcraft 3-- 20:06
Warcraft 3, The Frozen Throne-- 29:31
Warcraft 3, The Founding of Durotar-- 34:04
Appendix, Installing and Running Warcraft 1 & 2-- 37:37
Special Thanks to Patrons-- 42:06

__Warcraft 1 and 2 Links__
To Download as Abandonware:
http://www.myabandonware.com/game/warcraft-orcs-humans-250
http://www.abandonia.com/en/games/30996/Warcraft+II.html
For More Information on DOSBox:
http://www.dosbox.com/
http://www.dosbox.com/wiki/GAMES:Warcraft_II

__PATREON LINK__
https://www.patreon.com/noahcaldwellgervais"
"Fo2iIwYbFO8","The Complete Skyrim vs. Dragon Age","Noah Caldwell-Gervais","2015-12-08","2014-02-04","https://i.ytimg.com/vi/Fo2iIwYbFO8/hqdefault.jpg","This video is a retrospective analysis of three amazing contemporary role playing games: Skyrim, Dragon Age Origins, and Dragon Age 2. It looks at the strengths and weaknesses of each game's format, as well as the construction of the different game worlds. The video doesn't try to say which game is better, just to examine them all comparatively. It also makes informed speculation on what the play experience of the Elder Scrolls Online and Dragon Age 3 might be. MAJOR SPOILERS THROUGHOUT FOR ALL GAMES INCLUDING DLC.

_________TABLE OF CONTENTS_________
 Skyrim-- 1:21
Dawnguard-- 17:10
Dragonborn-- 20:33
Looking Ahead To The Elder Scroll Online-- 25:01
Dragon Age: Origins-- 26:37
Awakening-- 1:04:05
Golems of Amgarrak-- 1:18:20
Witch Hunt-- 1:19:32
Leliana's Song-- 1:24:30
The Darkspawn Chronicles-- 1:28:21
Dragon Age 2-- 1:29:59
Mark of the Assassin-- 1:59:58
Legacy-- 2:01:25
Looking Ahead to Dragon Age 3-- 2:04:05


Note to Subscribers: I know a lot of you have asked me to make a complete retrospective for the Elder Scrolls series, but I just couldn't do it. This video as it stands  took me four months to play through the games, write the script, and do the recording. I did consider doing a total Elder Scrolls vs. Dragon Age video-- but as soon as I began Oblivion after spending 110 hours on Skyrim, I knew it wasn't going to happen. I hope you enjoy this video anyway,"
"tzu0AoUxFhk","A Thorough Look at Wolfenstein","Noah Caldwell-Gervais","2016-03-30","2016-03-30","https://i.ytimg.com/vi/tzu0AoUxFhk/hqdefault.jpg","This an in-depth retrospective and critique of all the major Wolfenstein single-player release, 1981-2015. It talks about the games historically and from a player's perspective.


CORRECTION: There is an error in this video where I attribute Return to Castle Wildenstein to the developer Raven-- it is actually Grey Matter who developed it.
___TABLE OF CONTENS___

Castle Wolfenstein (1981)-- 0:41
Beyond Castle Wolfenstein (1984)-- 3:25
Wolfenstein 3-D (1992)-- 5:44
Spear of Destiny (1992)-- 12:50
FormGen Accessory Packs (1994)-- 15:23
Return to Castle Wolfenstein (2001)-- 18:33
Wolfenstein (2009)-- 30:10
Wolfenstein: The New Order (2014)-- 42:49
Wolfenstein: The Old Blood (2015)-- 1:00:08
Appendix: Running Castle Wolfenstein on Dosbox-- 1:11:30
Thanks-- 1:12:40

___DOWNLOADS___

DosBox:
http://www.dosbox.com/

Castle Wolfenstein:
http://www.abandonia.com/games/390/ca...

Beyond Castle Wolfenstein:
http://www.oldskool.org/pc/BCW/

Wolfenstein 3-D Shareware Edition:
http://www.dosgamesarchive.com/downlo...

_________
If you enjoyed this video and want to contribute to the creation of other like it, please consider supporting me on Patreon!
https://www.patreon.com/noahcaldwellgervais"
"0r0RCLa8crg","The Starcraft Retrospective For People Who Are Bad At Starcraft","Noah Caldwell-Gervais","2016-05-01","2016-03-09","https://i.ytimg.com/vi/0r0RCLa8crg/hqdefault.jpg","This is a video retrospective of Starcraft 1 and 2. It discusses what makes the games appealing to players of both high low skill, and why it remains so visible in a dwindling real-time strategy market.

___TABLE OF CONTENTS___
Starcraft 1-- 0:44
Brood War-- 14:58
Wings of Liberty-- 22:10
Heart of the Swarm-- 34:00
Legacy of the Void-- 41:52
Interview With a Fellow Fan-- 1:00:47



If you enjoyed this video and want to support the production of others like it, please consider supporting me on Patreon! https://www.patreon.com/noahcaldwellgervais"
