"Playlist URL","https://www.youtube.com/playlist?list=PLB5965C13F4B0B2DA"
"Playlist title","International Relations 101 Full Course"
"Playlist author","William Spaniel"
"Videos","88"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"y32cFdicW1U","International Relations 101 (#1): Introduction","William Spaniel","2012-06-30","2012-06-30","https://i.ytimg.com/vi/y32cFdicW1U/hqdefault.jpg","http://gametheory101.com/courses/international-relations-101/

This video begins a new series on international relations which investigates theoretical answers to important issues in the world today. We will cover the following topics:

- What is international relations?
- Conflict versus cooperation
- Rationalist explanations for war
- International trade
- How regime types affect international outcomes
- International institutions
- Nuclear weapons
- Terrorism"
"XwoA8CpdGuk","International Relations 101 (#2): Sovereignty","William Spaniel","2012-06-30","2012-07-02","https://i.ytimg.com/vi/XwoA8CpdGuk/hqdefault.jpg","http://gametheory101.com/courses/international-relations-101/

Who are the big actors in international relations? The answer is sovereign states, or the entities that have a monopoly on the use of force within their territory. The notion of sovereignty began in 1648 with the Treaty of Westphalia, which ended the Thirty Years' War.

However, states often violate sovereignty. We will see why they can get away with it next time.

This video was on the longer side of things. I am going to aim to keep them well under ten minutes for the part."
"JceYMndej3Q","International Relations 101 (#3): Anarchy","William Spaniel","2012-06-30","2012-07-02","https://i.ytimg.com/vi/JceYMndej3Q/hqdefault.jpg","http://gametheory101.com/courses/international-relations-101/

When one state meddles in another state's internal affairs, who punishes the first state? In other words, who is sovereign over the sovereign? The best answer: no one. International relations lives in anarchy, more closely resembling an area ruled by mafia dons than a strong local police force.

However, anarchy does not imply chaos. Anarchy permits anything to happen. Thus, the challenge for us as students of international relations is to be able to predict and explain phenomenon despite the wide-open possibilities."
"UVrMQs5VOfE","International Relations 101 (#4): Proximate versus Underlying Causes","William Spaniel","2021-01-14","2021-01-14","https://i.ytimg.com/vi/UVrMQs5VOfE/hqdefault.jpg","http://gametheory101.com/courses/international-relations-101/

What type of causal relationships do we want to identify? Did World War I begin because a man with a funny mustache was shot or because of perceived first strike advantages? Did World War II start because of Hitler's actions in Europe or because of war reparations Germany was forced to pay?

Broadly, there are two types of explanations: proximate and underlying causes. We value underlying causes much more than proximate causes because underlying causes give us useful policy recommendations.

However, finding underlying causes is a difficult process. The next video will develop a game plan.

0:00 Introduction
0:18 Proximate Causes Definition
0:55 Underlying Causes Definition
1:52 Why Underlying Causes Are More Valuable
2:44 Example: Dead Driver
4:31 Example: Pandemic Death
5:40 Example: Causes of World War I
7:17 Example: Causes of World War II
9:10 Conclusion

Historical photos of German inflation are licensed under CC BY-SA 3.0 DE: https://creativecommons.org/licenses/by-sa/3.0/de/deed.en"
"IYlWEuI3l0s","International Relations 101 (#5): The Strategic World","William Spaniel","2012-06-30","2012-07-06","https://i.ytimg.com/vi/IYlWEuI3l0s/hqdefault.jpg","http://gametheory101.com/courses/international-relations-101/

In international relations, states are strategically interdependent--how one state acts affects another, and how the other state acts affects the first. Game theory is the study of strategic interdependence, which is why we will heavily rely on its methodology going forward. However, game theory is not perfect. It only maps assumptions into logically valid conclusions. As such, we must make sure we only use sensible assumptions, otherwise we will wind up with potentially silly (but logically valid) conclusions.

This video wraps up the first unit in international relations. Next time, we will explore general models of conflict and cooperation."
"4aj87Q2JhdM","International Relations 101 (#6): Conflict versus Cooperation","William Spaniel","2012-06-30","2012-07-07","https://i.ytimg.com/vi/4aj87Q2JhdM/hqdefault.jpg","http://gametheory101.com/courses/international-relations-101/

Under what conditions will two states cooperate even without a police force to deter conflict? This unit investigates the temptations and incentives for spontaneous cooperation. In the next few videos, we will cover the following:

-The prisoner's dilemma
-The Cult of the Offensive and the origins of World War I
-Arms races and arms treaties
-Tariffs and free trade policy
-The Evolution of Cooperation
-Trench warfare during World War I"
"0gnqTwFkknE","International Relations 101 (#7): The Prisoner's Dilemma","William Spaniel","2012-06-30","2012-07-08","https://i.ytimg.com/vi/0gnqTwFkknE/hqdefault.jpg","http://gametheory101.com/courses/international-relations-101/

How can individually rational choices lead to collectively bad outcomes? The prisoner's dilemma is the oldest model in game theory and provides an explanation. In the next few videos, we will apply the logic of the prisoner's dilemma to case studies in international relations."
"qCbJxvCTHRc","International Relations 101 (#8): The Cult of the Offensive and the Origins of World War I","William Spaniel","2012-06-30","2012-07-10","https://i.ytimg.com/vi/qCbJxvCTHRc/hqdefault.jpg","http://gametheory101.com/courses/international-relations-101/

What caused World War I? One trivial explanation is that the assassination of Franz Ferdinand caused Austria-Hungary to make demands unacceptable to Serbia, which led to many countries in Europe mobilizing each other.

However, states curiously mobilized against each other preemptively, shunning the possibility of a diplomatic solution. Why would states prefer a costly war to peace? The so-called ""Cult of the Offensive""--the belief among leaders that offensive technology dominated the defense at the time--provides an explanation.

Read the original article here: http://people.reed.edu/~ahm/Courses/Reed-POL-240-2012-S1_IP/Syllabus/EReadings/06.1/06.1.Van-Evera1984The-Cult.pdf"
"Kc-bgKyPDz4","International Relations 101 (#9): Tariffs and the Barriers to Free Trade","William Spaniel","2012-06-30","2012-07-11","https://i.ytimg.com/vi/Kc-bgKyPDz4/hqdefault.jpg","http://gametheory101.com/courses/international-relations-101/

Prior to World War II, states routinely taxed goods imported into their country. Although this makes domestic products more competitive within the country's own borders, the tariff system led to an overall inefficient economic system. Why were taxes the norm back then, and why is it so difficult to establish free trade?

Modeling free trade as a prisoner's dilemma provides an explanation. Although everyone is collectively better off with free trade, individual incentives tell states to place tariffs on imported goods. Thus, although the result is collectively crazy, it is individually rational.

Yet, in the post-World War II era, free trade has become the norm. As such, this video raises a new question: how is free trade sustainable given the prisoner's dilemma logic? We will explore this type of cooperation after the next lesson."
"K9f5z0Lc888","International Relations 101 (#10): Arms Races","William Spaniel","2012-06-30","2012-07-12","https://i.ytimg.com/vi/K9f5z0Lc888/hqdefault.jpg","http://gametheory101.com/courses/international-relations-101/

Weapons are expensive to build but provide benefits if one state builds more weapons vis-a-vis its rival. Thus, the prisoner's dilemma describes an arms race: both sides prefer not building weapons to building weapons collectively, but individually each side is better of building regardless of what the other does.

As with the previous lecture on tariffs, you might notice that there have been plenty of successful arms treaties over the decades. We will begin explaining why cooperation can succeed in the face of a prisoner's dilemma in the next video."
"x50rADoxHyc","International Relations 101 (#11): The Shadow of the Future","William Spaniel","2012-06-30","2012-07-17","https://i.ytimg.com/vi/x50rADoxHyc/hqdefault.jpg","http://gametheory101.com/courses/international-relations-101/

In one-shot prisoner's dilemma interactions, states cannot cooperate because each has individual incentives to defect on the other. However, some interactions take place over the long term. Can states cooperate at the beginning under the threat of defection later on?

Unfortunately, the answer is no. At the end of the interaction, the states must defect on one another. The shadow of the future casts a pall on the present, leading to defection throughout. This holds no matter how long the interaction is."
"4uuPqvMoXzw","International Relations 101 (#12): Grim Trigger","William Spaniel","2012-06-30","2012-07-19","https://i.ytimg.com/vi/4uuPqvMoXzw/hqdefault.jpg","http://gametheory101.com/courses/international-relations-101/

Cooperation cannot occur if states know when their prisoner's dilemma interaction will end. What if the end of the interaction is uncertain? Cooperation is possible if the states adopt a policy of tough love---a.k.a. a grim trigger strategy. The states begin by cooperating. Then, as long as everyone has cooperated in the past, they continue cooperating. Otherwise, they defect.

The Evolution of Cooperation by Robert Axelrod is a classic book on this subject:

http://www.amazon.com/gp/product/0465005640/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=0465005640&linkCode=as2&tag=gamthe101-20"
"sKDVIQaPr4c","International Relations 101 (#13): Benevolent Cooperation","William Spaniel","2014-07-08","2014-07-08","https://i.ytimg.com/vi/sKDVIQaPr4c/hqdefault.jpg","http://gametheory101.com/courses/international-relations-101/

In the prisoner's dilemma, we assumed that individuals always wanted to compete with each other. However, most of the time, states act friendly with one another. This lecture models such benevolent cooperation and show that it can fail without coordination among the parties."
"mrTC7gIkgW0","International Relations 101 (#14): The Rationality of War","William Spaniel","2012-06-30","2012-08-13","https://i.ytimg.com/vi/mrTC7gIkgW0/hqdefault.jpg","Buy The Rationality of War on Amazon: https://www.amazon.com/Game-Theory-101-Rationality-War/dp/1500685658/

http://gametheory101.com/courses/international-relations-101/

Imagine you own a store, and a man trips inside it. He sues you for $40,000 for negligence. Both your lawyer and his lawyer agree there is a 60% chance the lawsuit will be successful, but both of you will have to pay your attorneys $10,000 regardless of the outcome. How should we expect this matter to resolve itself?

Surprisingly, this lawsuit is analogous to war--both are costly and the winners are determined probabilistically if bargaining breaks down."
"EGJ09z59_m0","International Relations 101 (#15): The Unitary Actor Assumption","William Spaniel","2012-06-30","2012-08-15","https://i.ytimg.com/vi/EGJ09z59_m0/hqdefault.jpg","Buy The Rationality of War on Amazon: https://www.amazon.com/Game-Theory-101-Rationality-War/dp/1500685658/

http://gametheory101.com/courses/international-relations-101/

Can two perfectly intelligent, perfectly unbiased leaders fight wars against each other?

In our investigation of war, we will begin by looking at ""unitary actor explanations."" Specifically, we will assume that states are single entities with no domestic political cleavages. Although that might sound heroic at first, keep in mind that leaders justify wars using these types of explanations. Moreover, if wars can happen even when countries are unified, those causes can still lead to wars even if leaders have incentives for war that their populace does not share."
"eiVAlUxsxHU","International Relations 101 (#16): Oil Wars and War's Inefficiency Puzzle","William Spaniel","2021-01-28","2021-01-28","https://i.ytimg.com/vi/eiVAlUxsxHU/hqdefault.jpg","War's inefficiency puzzle is a research question that asks why states sometimes choose to fight when bargaining, in theory, leaves both sides better off. This video builds some intuition about the puzzle by exploring a crisis between Saudi Arabia and Kuwait. Can the two countries agree to a peaceful settlement, or are they doomed to fight?

0:00 Oil Crisis between Saudi Arabia and Kuwait
2:18 Calculating the Value of War
3:50 Why Bargaining Is Better than War
5:44 The Uqair Convention
6:45 Colombia, Venezuela, and Oil in the Gulf
7:25 Iraq, Kuwait, and Slant Drilling
8:02 War's Inefficiency Puzzle"
"7b016FHOPsI","International Relations 101 (#17): The Algebraic Bargaining Model of War","William Spaniel","2012-06-30","2012-08-16","https://i.ytimg.com/vi/7b016FHOPsI/hqdefault.jpg","Download chapter two of The Rationality of War for free: https://wjspaniel.files.wordpress.com/2014/07/rationality-of-war-chapter-2.pdf

Buy The Rationality of War on Amazon: https://www.amazon.com/Game-Theory-101-Rationality-War/dp/1500685658/

http://gametheory101.com/courses/international-relations-101/

Can we show that there generally exists a settlement that two sides mutually prefer to war? The answer is yes. This video proves the assertion using the algebraic crisis bargaining model. Next time, we will interpret the results using a geometric model.

You can read more about this proof in the following article: http://slantchev.ucsd.edu/courses/pdf/fearon-io1995v49n3.pdf"
"KeNg1k0y8OA","International Relations 101 (#18): War's Bargaining Range","William Spaniel","2012-06-30","2012-08-17","https://i.ytimg.com/vi/KeNg1k0y8OA/hqdefault.jpg","Download chapter two of The Rationality of War for free: https://wjspaniel.files.wordpress.com/2014/07/rationality-of-war-chapter-2.pdf

Buy The Rationality of War on Amazon: https://www.amazon.com/Game-Theory-101-Rationality-War/dp/1500685658/

http://gametheory101.com/courses/international-relations-101/
How do we interpret the results of the algebraic proof from the previous lecture? Converting the variables into geometric figures helps. This lecture constructs a visual proof by thinking about two states negotiating over where to draw the border between their two capitals. The result shows us the existence of a bargaining range, which is the set of borders that are mutually preferable to war.

You can read more about this proof in the following article: http://slantchev.ucsd.edu/courses/pdf/fearon-io1995v49n3.pdf"
"Udk60XUnKxM","International Relations 101 (#19): Crisis Bargaining","William Spaniel","2012-06-30","2012-08-20","https://i.ytimg.com/vi/Udk60XUnKxM/hqdefault.jpg","Download chapter two of The Rationality of War for free: https://wjspaniel.files.wordpress.com/2014/07/rationality-of-war-chapter-2.pdf

Buy The Rationality of War on Amazon: https://www.amazon.com/Game-Theory-101-Rationality-War/dp/1500685658/

http://gametheory101.com/courses/international-relations-101/

To explain why wars break out, we need to relax some assumptions and build additional assumptions into the model. Maintaining tractability requires switching over to a game theoretical model, which we create and solve in this lecture.

You can read more about this proof in the following article: http://slantchev.ucsd.edu/courses/pdf/fearon-io1995v49n3.pdf"
"oysDd0zJerg","International Relations 101 (#20): Preventive War","William Spaniel","2012-06-30","2012-08-23","https://i.ytimg.com/vi/oysDd0zJerg/hqdefault.jpg","Buy The Rationality of War on Amazon: https://www.amazon.com/Game-Theory-101-Rationality-War/dp/1500685658/

http://gametheory101.com/courses/international-relations-101/

When do power shifts lead to war? What is the definition of preventive war? In the standard bargaining model, we assumed that power remained static over time. Here, we abandon that assumption and investigate whether war can occur if a rising state will grow more power over time."
"H-4gJMvEF5I","International Relations 101 (#21): Information Problems and Incentives to Misrepresent","William Spaniel","2012-06-30","2012-09-23","https://i.ytimg.com/vi/H-4gJMvEF5I/hqdefault.jpg","Buy The Rationality of War on Amazon: https://www.amazon.com/Game-Theory-101-Rationality-War/dp/1500685658/

http://gametheory101.com/courses/international-relations-101/

How do overly optimistic beliefs lead to war? Why can't states negotiate a settlement anyway and avoid the costs of fighting? Moreover, if over-optimism causes war and war is costly, why can't states compare their capabilities, match their expectations with reality, and reach a peaceful settlement? This lecture discusses the next rationalist explanation for war: information problems and incentives to misrepresent."
"UiN_LKgB2Hs","International Relations 101 (#22): Issue Indivisibility","William Spaniel","2012-06-30","2012-09-25","https://i.ytimg.com/vi/UiN_LKgB2Hs/hqdefault.jpg","Buy The Rationality of War on Amazon: https://www.amazon.com/Game-Theory-101-Rationality-War/dp/1500685658/

http://gametheory101.com/courses/international-relations-101/

If a bargaining object is all-or-nothing, then we trivially cannot bargain over it. This, in essence, is why issue indivisibility is a rationalist explanation for war. However, side payments can help resolve the issue. This lecture shows why bargaining fails in these instances, how side payments fix the problem, and applies the lessons to the end of the Spanish-American War."
"znGXoQP9_JU","International Relations 101 (#23): Preemptive War","William Spaniel","2012-10-17","2012-09-26","https://i.ytimg.com/vi/znGXoQP9_JU/hqdefault.jpg","Buy The Rationality of War on Amazon: https://www.amazon.com/Game-Theory-101-Rationality-War/dp/1500685658/

http://gametheory101.com/courses/international-relations-101/

Before, we assumed that the probability of war was the same regardless of who decided to begin the fight. What if we allow for first strike advantages? If the incentives to preempt are great, then we have another rationalist explanation for war. But whether wars truly begin because of first strike advantages--or if first strike advantages merely exacerbate existing problems--remains in debate."
"oAaHOC6L-Fw","International Relations 101 (#24): The Causes of War","William Spaniel","2021-01-29","2021-02-04","https://i.ytimg.com/vi/oAaHOC6L-Fw/hqdefault.jpg","This lecture explains how the cause of any war is two fold: grievance and bargaining problem. If you have one without the other, peace should prevail. Whereas history textbooks and common narratives of wars tend to focus on grievances, political science research focuses on bargaining problems. The reason is that there are only a couple of types of bargaining problems, whereas the sources of grievances are almost limitless.

For more on bargaining problems as causes of war, check out this series: https://www.youtube.com/playlist?list=PLKI1h_nAkaQrvKPtuPMXkU4yXCDSp_NHh

0:00 The Bargaining Approach to War
2:16 What Caused the American Revolution?
2:50 What Caused the American Civil War?
3:24 What Caused World War I?
4:07 What Caused World War II?
4:35 What Caused the Iraq-Kuwait War?
5:17 What Caused the Syrian Civil War?
5:37 War's Inefficiency Puzzle
6:09 The Recipe for War
7:17 Why Focus on Bargaining Problems?

Photo of German colonies licensed under CC BY-SA 3.0: https://creativecommons.org/licenses/by-sa/3.0/

Photo of Bashar al-Assad licensed under CC BY 4.0: https://creativecommons.org/licenses/by/4.0/"
"glGvHuj0rg0","International Relations 101 (#25): Militarized Interstate Disputes","William Spaniel","2014-07-14","2014-07-14","https://i.ytimg.com/vi/glGvHuj0rg0/hqdefault.jpg","http://gametheory101.com/courses/international-relations-101/

What are the major trends in international conflict over the last 200 years?

You can download the data here: http://www.correlatesofwar.org/COW2%20Data/MIDs/MID40.html"
"G2SyD6P2060","International Relations 101 (#26): Correlates of War and the Long Peace","William Spaniel","2014-07-18","2014-07-18","https://i.ytimg.com/vi/G2SyD6P2060/hqdefault.jpg","http://gametheory101.com/courses/international-relations-101/

We live in a time of relative peace, though it still is not clear whether this is a trend or statistical luck.

Download the full dataset here: http://www.correlatesofwar.org/COW2%20Data/WarData_NEW/WarList_NEW.html"
"AF9nJuOaGJ0","International Relations 101 (#27): Absolute Advantage and Trade","William Spaniel","2012-11-06","2012-11-06","https://i.ytimg.com/vi/AF9nJuOaGJ0/hqdefault.jpg","http://gametheory101.com/courses/international-relations-101/

Why do states engage in trade? One reason might be because some states are just better at producing goods than other states. This lecture uses the California wine and Mexican tequila industries as an example. California has a good climate for grapes; Mexico has a good climate for agave (the plant that tequila is made from). Naturally, it makes sense for California to make wine and Mexico to make tequila.

But is trade still viable when there aren't the obvious advantages? The answer is yes, and we will look at that case in the next video."
"NdHsqTEW9Xc","International Relations 101 (#28): Comparative Advantage and Trade","William Spaniel","2012-11-08","2012-11-07","https://i.ytimg.com/vi/NdHsqTEW9Xc/hqdefault.jpg","http://gametheory101.com/courses/international-relations-101/

If states can make some products but not others, trade inherently makes sense. But what if a single state is better at making everything? Is trade still sensible? Surprisingly, it is. States can still specialize in what they are comparatively better at making and reap the benefits from trade. This helps explain why international trade is so pervasive and why states try so hard to promote free trade agreements."
"H8BdPT_Qf44","International Relations 101 (#29): Trade Rivalry","William Spaniel","2012-11-08","2012-11-08","https://i.ytimg.com/vi/H8BdPT_Qf44/hqdefault.jpg","http://gametheory101.com/courses/international-relations-101/

We know that trade leaves both parties better off. Then why would states bicker over trade agreements? In this lecture, we see how trade deals can be better for some parties and worse for others. As a result, states have incentive to try to steal all of the surplus of bargaining while simultaneously understanding that failure to reach an agreement leaves everyone worse off. In other words, trade rivalry creates a classic bargaining problem."
"EY4U4dDwgLw","International Relations 101 (#30): Resolving Trade Disputes","William Spaniel","2012-11-09","2012-11-09","https://i.ytimg.com/vi/EY4U4dDwgLw/hqdefault.jpg","http://gametheory101.com/courses/international-relations-101/

Disagreement over how to divide the surplus of trade can result in disputes. How do states mediate such conflict? International courts can help. Despite not having any actual enforcement mechanisms, these courts can coordinate states' expectations and encourage conflict resolution. This lecture draws a parallel to the ""battle of the sexes"" game and shows why states would want to follow through on a court's ruling."
"AMO8qM9d0fc","International Relations 101 (#31): The Relative Gains Problem","William Spaniel","2012-11-10","2012-11-10","https://i.ytimg.com/vi/AMO8qM9d0fc/hqdefault.jpg","http://gametheory101.com/courses/international-relations-101/

Trade is good for everyone. But some trades leave one side relatively better off in economic terms. While this is fine from a purely economic standpoint, it can cause serious problems from a coercive military standpoint--states can use the relative advantage in trade to purchase more weapons and threaten their trade partners. How do states resolve these issues?"
"q5bo8VSzBSA","International Relations 101 (#32): Democratic Peace Theory","William Spaniel","2012-11-11","2012-11-11","https://i.ytimg.com/vi/q5bo8VSzBSA/hqdefault.jpg","http://gametheory101.com/courses/international-relations-101/

The democratic peace theory is one of the best-known results in political science, both for academics and policy makers. This lecture explains the democratic peace and investigates whether it is actually true."
"ohmB9ThoBw8","International Relations 101 (#33): Explaining the Democratic Peace","William Spaniel","2013-05-16","2013-05-16","https://i.ytimg.com/vi/ohmB9ThoBw8/hqdefault.jpg","http://gametheory101.com/courses/international-relations-101/

Democracies do not fight other democracies. But why not? This lecture briefly investigates three causal mechanisms of the democratic peace and offers a common criticism of all three theories."
"9tXsWOIIF2o","International Relations 101 (#34): Correlation versus Causation","William Spaniel","2012-11-13","2012-11-13","https://i.ytimg.com/vi/9tXsWOIIF2o/hqdefault.jpg","http://gametheory101.com/courses/international-relations-101/

A and B are correlated if A and B tend to appear together. However, correlation does NOT imply causation. There are many ways in which A and B can be correlated but A does not cause B. This lecture looks at a few ways correlation can obscure causation and how it relates to the democratic peace theory."
"uiluDXx1snM","International Relations 101 (#35): The McDonald's Peace Theory","William Spaniel","2021-01-20","2021-01-21","https://i.ytimg.com/vi/uiluDXx1snM/hqdefault.jpg","http://gametheory101.com/courses/international-relations-101/

True story: countries with McDonald's restaurants rarely go to war with other countries with McDonald's restaurants. Why? Bic Macs clearly do not cause peace. But the correlation between McDonald's and peace suggests that something deeper might be going on with trade. We will pick up on this in the next lecture.

Here is the original article: http://www.nytimes.com/1996/12/08/opinion/foreign-affairs-big-mac-i.html

0:00 Introduction
0:15 The McDonald's Peace Theory
1:13 McDonald's Global Reach
1:32 Accuracy of the Theory
1:54 The Kargil War Exception
2:27 Definition of War
2:58 Close Calls: Too Few Casualties
3:47 Close Calls: Irregular War
5:02 Correlation versus Causation"
"E9lGzMXOYG0","International Relations 101: Economic Interdependence","William Spaniel","2021-02-24","2021-02-25","https://i.ytimg.com/vi/E9lGzMXOYG0/hqdefault.jpg","http://gametheory101.com/courses/international-relations-101/

Countries that trade with each other fight each other less often. But is the relationship causal? This lecture provides one explanation. Increasing trade increases the opportunity cost for war---it's hard to trade with another country when your soldiers are killing each other on the battlefield. Under most mechanisms that cause conflict, higher costs imply greater peace. This helps explain the observed relationship.

0:00 What Is Economic Interdependence?
1:52 How Trade Increases the Costs of War
3:52 How Trade Simplifies Bargaining
5:58 Implementing Interdependence after World War II
6:59 The Bretton Woods Conference
7:53 The World Bank, International Monetary Fund, and World Trade Organization
9:14 Exchange of Information
11:46 Changing Preferences"
"d9C6raLKFwQ","International Relations 101 (#37): The Rise of China","William Spaniel","2012-11-19","2012-11-19","https://i.ytimg.com/vi/d9C6raLKFwQ/hqdefault.jpg","http://gametheory101.com/courses/international-relations-101/

How will the rise of China affect international relations? The democratic peace theory might give us cause for concern, but the capitalist peace tells us that it might not be such a big deal. Thus, China provides a valuable illustration of why we must have a proper understanding of causal mechanisms to provide good policy advice."
"xWoXOnghFSU","International Relations 101 (#38): Principal-Agent Problems","William Spaniel","2013-01-06","2013-01-06","https://i.ytimg.com/vi/xWoXOnghFSU/hqdefault.jpg","http://gametheory101.com/courses/international-relations-101/

In the past, we have seen how bargaining problems and regime types affect the prevalence of war. What about individual leaders? Sometimes, leader incentives do not perfectly match the population's incentives. This creates a principal-agent problem, a mechanism common in political science and economics. We will investigate the usefulness of the theory in this unit."
"G6957RzqXTY","International Relations 101 (#39): Diversionary War","William Spaniel","2013-01-07","2013-01-07","https://i.ytimg.com/vi/G6957RzqXTY/hqdefault.jpg","http://gametheory101.com/courses/international-relations-101/

How can leaders use asymmetric information for their own gain?"
"1yuV8zpJdSQ","International Relations 101 (#40): Gambling for Resurrection","William Spaniel","2013-01-08","2013-01-08","https://i.ytimg.com/vi/1yuV8zpJdSQ/hqdefault.jpg","http://gametheory101.com/courses/international-relations-101/

Sometimes leaders accidentally get involved in bad wars. Why might they continue fighting the bad fight when they know they have made a mistake?

The last two lectures are based off this article: http://www.nyu.edu/gsas/dept/politics/faculty/downs/conflict.pdf"
"QbiMmgsc5og","International Relations 101 (#41): Democratic Accountability","William Spaniel","2013-01-09","2013-01-09","https://i.ytimg.com/vi/QbiMmgsc5og/hqdefault.jpg","http://gametheory101.com/courses/international-relations-101/

How do democratic institutions constrain leaders' war decisions? How do these differ from autocratic institutions?"
