"Playlist URL","https://www.youtube.com/playlist?list=PLXXoIQTYGkvYdwkOlBRl3XCp747fG5dzw"
"Playlist title","Let's Play LISA"
"Playlist author","thevoiceofdog"
"Videos","57"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"tj2uz9t3Uvc","Let's Play LISA #0 -- An Introduction to Earthbound-Likes","thevoiceofdog","2015-10-20","2015-10-09","https://i.ytimg.com/vi/tj2uz9t3Uvc/hqdefault.jpg","Knowing where we're coming from is a good way to understand the significance of where we're going.  And it's not gonna be pleasant.

Thanks to TieTuesday for some game footage and @yourboymelt for the banner/thumbnail art.


Links:

OFF game download:
http://offgame.wikia.com/wiki/Downloads

Space Funeral download:
http://gamejolt.com/games/space-funeral/3492

Omori Kickstarter:
https://www.kickstarter.com/projects/omocat/omori/description

Undertale Homepage:
http://undertale.com/

Mother 4 Dev Blog:
http://www.mother4game.com/

Megaman Sprite Comic RPG:
http://megamanspritecomic.tumblr.com/game

Hallow's End download:
http://earthboundcentral.com/2011/10/earthbound-hack-hallows-end/

LISA LP Thread:
http://forums.somethingawful.com/showthread.php?threadid=3746021&pagenumber=1&perpage=40#post451248893"
"WOBTfZAHhQg","Let's Play LISA #1 -- ""Buddy""","thevoiceofdog","2015-10-20","2015-10-09","https://i.ytimg.com/vi/WOBTfZAHhQg/hqdefault.jpg","Brad Armstrong, sad kid, now sad Dad.

LP Thread Here:
http://forums.somethingawful.com/showthread.php?threadid=3746021&pagenumber=1&perpage=40#post451248893"
"QPc58_vuW28","Let's Play LISA #2 -- Joy","thevoiceofdog","2015-10-20","2015-10-20","https://i.ytimg.com/vi/QPc58_vuW28/hqdefault.jpg","The illusion of choice."
"JkHidwg1YSE","Let's Play LISA #3 -- Randos","thevoiceofdog","2015-10-26","2015-10-25","https://i.ytimg.com/vi/JkHidwg1YSE/hqdefault.jpg","not the kind you get on twitter."
"jgwH4ITzMV4","Let's Play LISA #4 -- Hair","thevoiceofdog","2015-11-07","2015-11-07","https://i.ytimg.com/vi/jgwH4ITzMV4/hqdefault.jpg","Join the club!  Oh wait."
"VFCDNP0IKjI","Let's Play LISA #5 -- Choice","thevoiceofdog","2015-11-10","2015-11-10","https://i.ytimg.com/vi/VFCDNP0IKjI/hqdefault.jpg","EPILEPSY WARNING UNTIL 1 MINUTE IN.

Additional footage provided by Fragglar.

Special guest voice is.... some guy. I dunno"
"RlU-GX3vWQA","Let's Play LISA #6 -- Bees","thevoiceofdog","2015-11-18","2015-11-18","https://i.ytimg.com/vi/RlU-GX3vWQA/hqdefault.jpg",""
"kp63AaMZgUI","Let's Play LISA #7 -- Horrace","thevoiceofdog","2015-12-08","2015-12-08","https://i.ytimg.com/vi/kp63AaMZgUI/hqdefault.jpg","this could all have been prevented

Intro Mashup Song by Ledgy:
https://soundcloud.com/l3dgy/death-raid"
"1X_XJIRIe3c","Let's Play LISA #8 -- Sand","thevoiceofdog","2015-12-12","2015-12-12","https://i.ytimg.com/vi/1X_XJIRIe3c/hqdefault.jpg","it gets everywhere"
"Z-CZSEYEXco","Let's Play LISA #9 -- Garbage","thevoiceofdog","2015-12-19","2015-12-19","https://i.ytimg.com/vi/Z-CZSEYEXco/hqdefault.jpg","vacation time"
"JGNl_vVC_hM","Let's Play LISA #10 -- Buzzo","thevoiceofdog","2015-12-22","2015-12-22","https://i.ytimg.com/vi/JGNl_vVC_hM/hqdefault.jpg","you can't be selfish forever

Vote on Act III characters here:  (pick 3)

http://surveynuts.com/surveys/take?id=48955&c=516964817NFJD"
"tDUN2xol0gE","Let's Play LISA #11 -- Lucky","thevoiceofdog","2016-08-21","2016-06-12","https://i.ytimg.com/vi/tDUN2xol0gE/hqdefault.jpg",""
"Ck91mFCSknw","Let's Play LISA #12 -- Football!","thevoiceofdog","2016-09-01","2016-09-01","https://i.ytimg.com/vi/Ck91mFCSknw/hqdefault.jpg","it is time"
"DhWJWo2jsH0","Let's Play LISA #13 -- Father","thevoiceofdog","2016-10-17","2016-10-17","https://i.ytimg.com/vi/DhWJWo2jsH0/hqdefault.jpg","Big thanks to @smelku https://www.youtube.com/user/ssoymilk for the original Infowork Harder video.  You can find that here: https://www.youtube.com/watch?v=WHnhANtx1Ko"
"4NQTjx3qYdI","Let's Play LISA #14 -- Failure","thevoiceofdog","2016-12-16","2016-12-16","https://i.ytimg.com/vi/4NQTjx3qYdI/hqdefault.jpg","thanks for watching"
"QX_3pqky5xA","LISA Pain Mode Marathon #1","thevoiceofdog","2017-01-08","2017-01-08","https://i.ytimg.com/vi/QX_3pqky5xA/hqdefault.jpg","its happening"
"dL4ZKRjPB1Y","LISA Pain Mode Marathon #2","thevoiceofdog","2017-01-08","2017-01-08","https://i.ytimg.com/vi/dL4ZKRjPB1Y/hqdefault.jpg","this hair shit

is mine

motherfucker"
