"Playlist URL","https://www.youtube.com/playlist?list=PLrBjj4brdIRwRkGTLKqH5hlS_mlMYn_J0"
"Playlist title","Satisfactory"
"Playlist author","Let's Game It Out"
"Videos","11"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"wV6kWL5WU78","I Used Trains to Create Absolute Mayhem in Satisfactory","Let's Game It Out","2022-11-12","2022-11-10","https://i.ytimg.com/vi/wV6kWL5WU78/hqdefault.jpg","Cities: Skylines is free to try Nov 10-14! Don't delay, those cities are just waiting to be destroyed: https://play.citiesskylines.com/LGIO

JOIN MY STREAMS! ► https://www.twitch.tv/letsgameitout

Merch!  ► http://bit.ly/LetsGameItOutStore

Subscribe if you enjoy! ► http://bit.ly/letsgameitout_show

Twitter ► https://twitter.com/letsgameitout
Facebook ► https://www.facebook.com/letsgameitout

Want more LGIO?!

More Simulator Mayhem ► https://www.youtube.com/watch?v=UqaNKNgSxYI&list=PLrBjj4brdIRzn3ja4BfqYUForg0p-p5wi

Funny Tycoon Games ► https://www.youtube.com/watch?v=UqaNKNgSxYI&list=PLrBjj4brdIRwf14QPGmfDXCQQrDs860ig

The Finest One-Offs ► https://www.youtube.com/watch?v=zIOFGCbwJSs&list=PLrBjj4brdIRwKf72d6spk7fSHhwwYuQu1

Some Truly Bizarre Games  ► https://www.youtube.com/watch?v=zIOFGCbwJSs&list=PLrBjj4brdIRyM5mUsHwPN0PH6UVNfeNl2

#LetsGameItOut #Satisfactory #Simulation

I Used Trains to Create Absolute Mayhem in Satisfactory - Let's Game It Out

----------

Check it out on Steam ► https://store.steampowered.com/app/526870/Satisfactory/

More about Satisfactory (from Steam):

Satisfactory is a first-person open-world factory building game with a dash of exploration and combat. Play alone or with friends, explore an alien planet, create multi-story factories, and enter conveyor belt heaven!

Construct
Conquer nature by building massive factories across the land. Expand wherever and however you want. The planet is filled with valuable natural resources just waiting to be utilized. As an employee of FICSIT it’s your duty to make sure they come to good use.

Automate
Construct your factories with gracious perfection or build intricate webs of conveyor belts to supply all your needs. Automate trucks and trains to reach your faraway outposts and be sure to handle liquids properly by transporting them in pipes. It’s all about minimizing manual labour!

Explore & Exploit
Venture on expeditions to search for new materials and be sure to put everything to good use. Nature is yours to harvest! You have vehicles, jetpacks, jump pads and more at your disposal to make the exploration easier. Equip the proper safety gear as well, just in case you run into the local wildlife.

FEATURES
• Open World: Explore the huge (30km2) alien planet that is Massage-2(AB)b with its unique fauna and creatures.
• Co-Op: Build a factory yourself or share the joy with your friends. Up to you!
• Factory Building: Experience building a huge factory from a first-person perspective. Automate and optimize it to perfection for your personal satisfaction.
• Customization: Customize your factory to your own liking. Build at high altitudes or over wide plains, there is almost no limits in the making of your tailor-made factory.
• Vehicles: Travel the world with class. Use jump pads, factory carts, jetpacks, hypertubes, trucks or trains. The choice is yours!"
"m_PEIFKPPoE","I Used Drones to Make a Nightmare Factory Even Worse - Satisfactory","Let's Game It Out","2021-09-17","2021-09-17","https://i.ytimg.com/vi/m_PEIFKPPoE/hqdefault.jpg","JOIN MY STREAMS! ► https://www.twitch.tv/letsgameitout

Merch!  ►
  US/CA STORE ► http://bit.ly/LetsGameItOutUSStore
  EU STORE ► http://bit.ly/LetsGameItOutEUStore

Subscribe if you enjoy! ► http://bit.ly/letsgameitout_show

Twitter ► https://twitter.com/letsgameitout
Facebook ► https://www.facebook.com/letsgameitout

Want more LGIO?!

More Simulator Mayhem ► https://www.youtube.com/watch?v=UqaNKNgSxYI&list=PLrBjj4brdIRzn3ja4BfqYUForg0p-p5wi

Funny Tycoon Games ► https://www.youtube.com/watch?v=UqaNKNgSxYI&list=PLrBjj4brdIRwf14QPGmfDXCQQrDs860ig

The Finest One-Offs ► https://www.youtube.com/watch?v=zIOFGCbwJSs&list=PLrBjj4brdIRwKf72d6spk7fSHhwwYuQu1

Some Truly Bizarre Games  ► https://www.youtube.com/watch?v=zIOFGCbwJSs&list=PLrBjj4brdIRyM5mUsHwPN0PH6UVNfeNl2

#LetsGameItOut #Satisfactory

I Used Drones to Make a Nightmare Factory Even Worse - Satisfactory - Let's Game It Out

----------

Check it out on Steam ► https://store.steampowered.com/app/526870/Satisfactory/

More about Satisfactory (from Steam):

Satisfactory is a first-person open-world factory building game with a dash of exploration and combat. Play alone or with friends, explore an alien planet, create multi-story factories, and enter conveyor belt heaven!

Construct
Conquer nature by building massive factories across the land. Expand wherever and however you want. The planet is filled with valuable natural resources just waiting to be utilized. As an employee of FICSIT it’s your duty to make sure they come to good use.

Automate
Construct your factories with gracious perfection or build intricate webs of conveyor belts to supply all your needs. Automate trucks and trains to reach your faraway outposts and be sure to handle liquids properly by transporting them in pipes. It’s all about minimizing manual labour!

Explore & Exploit
Venture on expeditions to search for new materials and be sure to put everything to good use. Nature is yours to harvest! You have vehicles, jetpacks, jump pads and more at your disposal to make the exploration easier. Equip the proper safety gear as well, just in case you run into the local wildlife.

FEATURES
• Open World: Explore the huge (30km2) alien planet that is Massage-2(AB)b with its unique fauna and creatures.
• Co-Op: Build a factory yourself or share the joy with your friends. Up to you!
• Factory Building: Experience building a huge factory from a first-person perspective. Automate and optimize it to perfection for your personal satisfaction.
• Customization: Customize your factory to your own liking. Build at high altitudes or over wide plains, there is almost no limits in the making of your tailor-made factory.
• Vehicles: Travel the world with class. Use jump pads, factory carts, jetpacks, hypertubes, trucks or trains. The choice is yours!"
"t2X3wlvoShg","I Built a 600 Meter Human Cannon That Ends All Existence - Satisfactory","Let's Game It Out","2020-03-24","2020-03-24","https://i.ytimg.com/vi/t2X3wlvoShg/hqdefault.jpg","HOT SATISFACTORY TIP: Stacking hyper tubes leads to the heat death of the universe. Be careful with the power you wield!

Looking to buy Satisfactory and also support LGIO? ► https://store.epicgames.com/letsgameitout/satisfactory

Note: I do get a small cut of the sales when you purchase games through this link.

Want more Satisfactory?! ► https://www.youtube.com/watch?v=Oh2oF-eZTD8&list=PLrBjj4brdIRwRkGTLKqH5hlS_mlMYn_J0

Subscribe if you enjoy! ► http://bit.ly/letsgameitout_show

Twitter ► https://twitter.com/letsgameitout
Facebook ► https://www.facebook.com/letsgameitout

Want more LGIO?!?

More Simulator Mayhem ► https://www.youtube.com/watch?v=UqaNKNgSxYI&list=PLrBjj4brdIRzn3ja4BfqYUForg0p-p5wi

Funny Tycoon Games ► https://www.youtube.com/watch?v=UqaNKNgSxYI&list=PLrBjj4brdIRwf14QPGmfDXCQQrDs860ig

The Finest One-Offs ► https://www.youtube.com/watch?v=zIOFGCbwJSs&list=PLrBjj4brdIRwKf72d6spk7fSHhwwYuQu1

Some Truly Bizarre Games  ► https://www.youtube.com/watch?v=zIOFGCbwJSs&list=PLrBjj4brdIRyM5mUsHwPN0PH6UVNfeNl2

I Built a 600 Meter Human Cannon That Ends All Existence - Satisfactory

#LetsGameItOut #Satisfactory #Simulation

----------

More about Satisfactory:

https://www.satisfactorygame.com/

Satisfactory is a first-person open-world factory building game with a dash of exploration and combat. Play alone or with friends, explore an alien planet, create multi-story factories, and enter conveyor belt heaven!

Construct
Conquer nature by building massive factories across the land. Expand wherever and however you want. The planet is filled with valuable natural resources just waiting to be utilized. As an employee of FICSIT it’s your duty to make sure they come to good use.

Automate
Construct your factories with gracious perfection or build intricate webs of conveyor belts to supply all your needs. Automate trucks and trains to reach your faraway outposts and be sure to handle liquids properly by transporting them in pipes. It’s all about minimizing manual labour!

Explore & Exploit
Venture on expeditions to search for new materials and be sure to put everything to good use. Nature is yours to harvest! You have vehicles, jetpacks, jump pads and more at your disposal to make the exploration easier. Equip the proper safety gear as well, just in case you run into the local wildlife.

FEATURES
• Open World: Explore the huge (30km2) alien planet that is Massage-2(AB)b with its unique fauna and creatures.
• Co-Op: Build a factory yourself or share the joy with your friends. Up to you!
• Factory Building: Experience building a huge factory from a first-person perspective. Automate and optimize it to perfection for your personal satisfaction.
• Customization: Customize your factory to your own liking. Build at high altitudes or over wide plains, there is almost no limits in the making of your tailor-made factory.
• Vehicles: Travel the world with class. Use jump pads, factory carts, jump packs, hypertubes, trucks or trains. The choice is yours!"
"Oh2oF-eZTD8","I Produced so Much Nuclear Waste the World Is Ruined Forever - Satisfactory","Let's Game It Out","2019-10-12","2019-10-12","https://i.ytimg.com/vi/Oh2oF-eZTD8/hqdefault.jpg","Go to https://NordVPN.com/gameitout to get 70% off a 3-year plan and use code ""gameitout""​ to get an additional month for free!

Subscribe if you enjoy! ► http://bit.ly/letsgameitout_show

Twitter ► https://twitter.com/letsgameitout
Facebook ► https://www.facebook.com/letsgameitout

I Produced so Much Nuclear Waste the World Is Ruined Forever - Satisfactory - Let's Game It Out

#LetsGameItOut #Satisfactory #Simulation

----------

Check it out on the Epic Games Store ► https://store.epicgames.com/letsgameitout/satisfactory

More about Satisfactory: Construct & Automate

Satisfactory is a first-person open-world factory building game with a dash of exploration and combat. Pioneering for FICSIT Incorporated means charting and exploiting an alien planet, battling alien lifeforms, creating multi-story factories, entering conveyor belt heaven, automating vehicles, and researching new technologies.

At FICSIT inc. you will take part in the Save the Day program, providing short-term solutions for long-term problems, possibly with the help of your friends.

Created by Coffee Stain Studios."
"7jEjA00O8z0","I Built a Railway System Literally Through a Mountain and Into Hell - Satisfactory","Let's Game It Out","2019-07-16","2019-07-16","https://i.ytimg.com/vi/7jEjA00O8z0/hqdefault.jpg","You may not know it, but the trains in Satisfactory have MAGICAL POWERS that allow you to do stuff like bust through solid mountains, break into bank vaults, and set up shop in hell itself! Just don't forget your mystical inhaler!

Looking to buy Satisfactory and want to support LGIO? You can do both by buying through my partner link here! ► https://store.epicgames.com/letsgameitout/satisfactory

Subscribe if you enjoy! ► http://bit.ly/letsgameitout_show

Twitter ► https://twitter.com/letsgameitout
Facebook ► https://www.facebook.com/letsgameitout

----------

Check it out on the Epic Games Store! ► https://store.epicgames.com/letsgameitout/satisfactory

More about Satisfactory: Construct & Automate

Satisfactory is a first-person open-world factory building game with a dash of exploration and combat. Pioneering for FICSIT Incorporated means charting and exploiting an alien planet, battling alien lifeforms, creating multi-story factories, entering conveyor belt heaven, automating vehicles, and researching new technologies.

At FICSIT inc. you will take part in the Save the Day program, providing short-term solutions for long-term problems, possibly with the help of your friends.

Created by Coffee Stain Studios

----------

I Built a Railway System Literally Through a Mountain and Into Hell - Satisfactory - Let's Game It Out

#LetsGameItOut #Satisfactory #Simulation"
"sTvAmwnhIxM","I Made the Game Unplayable with This Gravity-Destroying Tractor Ball Pit - Satisfactory","Let's Game It Out","2019-05-22","2019-05-22","https://i.ytimg.com/vi/sTvAmwnhIxM/hqdefault.jpg","VICTORY! I managed to create new sentient life in Satisfactory AND lock the frame rate at an amazing 1 FPS!

Subscribe if you enjoy! ► http://bit.ly/letsgameitout_show

Twitter ► https://twitter.com/letsgameitout
Facebook ► https://www.facebook.com/letsgameitout

----------

Check it out on the Epic Games Store! ► https://www.epicgames.com/store/en-US/product/satisfactory/home

More about Satisfactory: Construct & Automate

Satisfactory is a first-person open-world factory building game with a dash of exploration and combat. Pioneering for FICSIT Incorporated means charting and exploiting an alien planet, battling alien lifeforms, creating multi-story factories, entering conveyor belt heaven, automating vehicles, and researching new technologies.

At FICSIT inc. you will take part in the Save the Day program, providing short-term solutions for long-term problems, possibly with the help of your friends.

Created by Coffee Stain Studios


----------

I Made the Game Unplayable with This Gravity-Destroying Tractor Ball Pit - Satisfactory - Let's Game It Out

#LetsGameItOut #Satisfactory #Simulation

I also used this music in my outro:
""Werq"" Kevin MacLeod (incompetech.com)
Licensed under Creative Commons: By Attribution 3.0 License
http://creativecommons.org/licenses/by/3.0/"
"ALdIbC1pM-s","I Crippled the Game More Than Ever Before with New Nightmare Construction - Satisfactory","Let's Game It Out","2019-05-04","2019-05-04","https://i.ytimg.com/vi/ALdIbC1pM-s/hqdefault.jpg","We're at the point where I'm surprised my computer hasn't caught fire and I think I've created a black hole from which no framerate can escape.

Subscribe if you enjoy! ► http://bit.ly/letsgameitout_show

Twitter ► https://twitter.com/letsgameitout
Facebook ► https://www.facebook.com/letsgameitout

----------

Check it out on the Epic Games Store! ► https://www.epicgames.com/store/en-US/product/satisfactory/home

More about Satisfactory: Construct & Automate

Satisfactory is a first-person open-world factory building game with a dash of exploration and combat. Pioneering for FICSIT Incorporated means charting and exploiting an alien planet, battling alien lifeforms, creating multi-story factories, entering conveyor belt heaven, automating vehicles, and researching new technologies.

At FICSIT inc. you will take part in the Save the Day program, providing short-term solutions for long-term problems, possibly with the help of your friends.

Created by Coffee Stain Studios


----------

I Crippled the Game More Than Ever Before with New Nightmare Construction - Satisfactory - Let's Game It Out

#LetsGameItOut #Satisfactory #Simulation

I also used this music in my outro:
""Werq"" Kevin MacLeod (incompetech.com)
Licensed under Creative Commons: By Attribution 3.0 License
http://creativecommons.org/licenses/by/3.0/"
"pTGCAwwNyfc","I Crippled the Game Even More with a Nightmare Factory - Satisfactory gameplay - Let's Game It Out","Let's Game It Out","2019-04-19","2019-04-19","https://i.ytimg.com/vi/pTGCAwwNyfc/hqdefault.jpg","Every time I play Satisfactory I don't know how I'm going to top the last insanity I did. I found a way.

Subscribe if you enjoy! ► http://bit.ly/letsgameitout_show

Twitter ► https://twitter.com/letsgameitout
Facebook ► https://www.facebook.com/letsgameitout

----------

Check it out on the Epic Games Store! ► https://www.epicgames.com/store/en-US/product/satisfactory/home

More about Satisfactory: Construct & Automate

Satisfactory is a first-person open-world factory building game with a dash of exploration and combat. Pioneering for FICSIT Incorporated means charting and exploiting an alien planet, battling alien lifeforms, creating multi-story factories, entering conveyor belt heaven, automating vehicles, and researching new technologies.

At FICSIT inc. you will take part in the Save the Day program, providing short-term solutions for long-term problems, possibly with the help of your friends.

Created by Coffee Stain Studios


----------

I Crippled the Game Even More with a Nightmare Factory - Satisfactory gameplay - Let's Game It Out

#LetsGameItOut #Satisfactory #Simulation

I also used this music in my outro:
""Werq"" Kevin MacLeod (incompetech.com)
Licensed under Creative Commons: By Attribution 3.0 License
http://creativecommons.org/licenses/by/3.0/"
"X77MHTOEwXo","I Crippled the Game by Building to the Heavens - Satisfactory gameplay - Let's Game It Out","Let's Game It Out","2019-04-10","2019-04-10","https://i.ytimg.com/vi/X77MHTOEwXo/hqdefault.jpg","AGH! MY FRAME RATE! SEND HELP!

Subscribe if you enjoy! ► http://bit.ly/letsgameitout_show

Twitter ► https://twitter.com/letsgameitout
Facebook ► https://www.facebook.com/letsgameitout

----------

Check it out on the Epic Games Store! ► https://www.epicgames.com/store/en-US/product/satisfactory/home

More about Satisfactory: Construct & Automate

Satisfactory is a first-person open-world factory building game with a dash of exploration and combat. Pioneering for FICSIT Incorporated means charting and exploiting an alien planet, battling alien lifeforms, creating multi-story factories, entering conveyor belt heaven, automating vehicles, and researching new technologies.

At FICSIT inc. you will take part in the Save the Day program, providing short-term solutions for long-term problems, possibly with the help of your friends.

Created by Coffee Stain Studios

----------

I Crippled the Game by Building to the Heavens - Satisfactory gameplay - Let's Game It Out

#LetsGameItOut #Satisfactory #Simulation

I also used this music in my outro:
""Werq"" Kevin MacLeod (incompetech.com)
Licensed under Creative Commons: By Attribution 3.0 License
http://creativecommons.org/licenses/by/3.0/"
"RkRhrk09HpI","This Factory Exists to Make You Question Life - Satisfactory gameplay - Let's Game It Out","Let's Game It Out","2019-04-02","2019-04-02","https://i.ytimg.com/vi/RkRhrk09HpI/hqdefault.jpg","It's pretty much a goal now: how horrible a factory can we build, with the most conveyor belts, to take the longest possible and make us question ALL our life choices?

Subscribe if you enjoy! ► http://bit.ly/letsgameitout_show

Twitter ► https://twitter.com/letsgameitout
Facebook ► https://www.facebook.com/letsgameitout

----------

Check it out on the Epic Games Store! ► https://www.epicgames.com/store/en-US/product/satisfactory/home

More about Satisfactory: Construct & Automate

Satisfactory is a first-person open-world factory building game with a dash of exploration and combat. Pioneering for FICSIT Incorporated means charting and exploiting an alien planet, battling alien lifeforms, creating multi-story factories, entering conveyor belt heaven, automating vehicles, and researching new technologies.

At FICSIT inc. you will take part in the Save the Day program, providing short-term solutions for long-term problems, possibly with the help of your friends.

Created by Coffee Stain Studios

----------

This Factory Exists to Make You Question Life - Satisfactory gameplay - Let's Game It Out

#LetsGameItOut #Satisfactory #Simulation

I also used this music in my outro:
""Werq"" Kevin MacLeod (incompetech.com)
Licensed under Creative Commons: By Attribution 3.0 License
http://creativecommons.org/licenses/by/3.0/"
