"Playlist URL","https://www.youtube.com/playlist?list=PLdjrwPDoXHLCalowPfJ_StOhHtpEr-w3Q"
"Playlist title","Single-Game Reviews and Critiques"
"Playlist author","Noah Caldwell-Gervais"
"Videos","27"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"UMFnSqfhdKw","Dragon Age: Inquisition in Close Critique [MAJOR SPOILERS]","Noah Caldwell-Gervais","2015-12-08","2015-01-16","https://i.ytimg.com/vi/UMFnSqfhdKw/hqdefault.jpg","This video is an in-depth look at the complete play experience of Inquisition. It talks about the plot, the characters, and the way the world of Inquisition is formatted in terms of gameplay and design. There are huge, huge spoilers for most things in the game, including the ending."
"H434nhYSQvg","What's Been Going On With Dragon Age: Inquisition's DLC? [MASSIVE SPOILERS]","Noah Caldwell-Gervais","2015-12-08","2015-10-29","https://i.ytimg.com/vi/H434nhYSQvg/hqdefault.jpg","This is a video exploration of all three DLC expansions for Dragon Age: Inquisition. It looks at each critically and with an eye to what might be relevant for upcoming Dragon Age titles. It also examines how the inclusion of the new content changes the overall campaign experience. There are HUGE SPOILERS for everything in all the DLCs, please do not watch if you do not want anything important revealed.


___Table of Contents___

Jaws of Hakkon-- 00:48
The Descent-- 07:31
Trespasser-- 16:01

If you enjoyed this video and want to contribute to the production of others like it, please consider donating on Patreon:
https://www.patreon.com/noahcaldwellgervais"
"MFzp13vbfOw","Mad Max in Close Critique [Major Spoilers]","Noah Caldwell-Gervais","2015-12-08","2015-09-17","https://i.ytimg.com/vi/MFzp13vbfOw/hqdefault.jpg","This is a long-form video critique of the new Mad Max game by Avalanche. It looks at the game in terms of how it draws inspiration from the movies that preceded it, how it actually plays, and why critical opinions about Mad Max have been so thoroughly mixed. MAJOR SPOILERS THROUGHOUT, including an extended discussion of the ending.

If you enjoyed this video and want to help produce others like it, please consider supporting me on Patreon:
https://www.patreon.com/noahcaldwellgervais"
"Begu2lXc-AI","Genre Orphans: L.A. Noire","Noah Caldwell-Gervais","2015-12-08","2015-03-02","https://i.ytimg.com/vi/Begu2lXc-AI/hqdefault.jpg","This is an in-depth video review and critique of L.A. Noire, the greatest (and arguably only) successful translation of the police procedural from film and television to video games. It's tries to comprehensively examine the game's mechanics and design values (especially compared to Grand Theft Auto 4) as well as deconstructing the plot. So, all the spoilers.

__ADDITIONAL VIEWING__

The Naked City (1948) on Hulu Plus:
http://www.hulu.com/watch/376945

Chinatown (1974) on Netflix:
http://www.netflix.com/WiMovie/374030"
"IbsMebWrhDI","Alien: Isolation in Close Review (Mild Spoilers + DLC)","Noah Caldwell-Gervais","2015-12-08","2014-10-14","https://i.ytimg.com/vi/IbsMebWrhDI/hqdefault.jpg","This is an in-depth video review of Alien: Isolation, the stealth horror game by Creative Assembly. It talks about the game as it compares to the movie it's based on and previous Aliens franchise games, as well as exploring the game's own mechanical and artistic merits. The critique is mostly spoiler free, with some footage from later in the game and a minor character death included in the footage. No major plot twists are revealed. It also covers Crew Expendable and Lone Survivor, the two release day DLCs. If you enjoyed this video, please post it where others may find it!"
"TOXmaTFIY0c","What's Been Going On With Alien: Isolation's DLC?","Noah Caldwell-Gervais","2015-12-08","2015-05-06","https://i.ytimg.com/vi/TOXmaTFIY0c/hqdefault.jpg","This is a video review of all five pieces of DLC to come out after the primary release of Alien: Isolation late last year. It talks about each DLC as a standalone product, and discusses how Salvage and Survivor mode fit with the rest of the game experience.

Corporate Lockdown-- 2:21
Trauma-- 4:42
Safe Haven-- 7:48
Lost Contact-- 8:57
The Trigger-- 11:11

If you enjoyed this video and wish to support ones like it, consider donating through Patreon: https://www.patreon.com/noahcaldwellgervais"
"oKt9g_uf7lw","Examining the DLC of Bioshock Infinite: Burial at Sea and Clash in the Clouds [MAJOR SPOILERS]","Noah Caldwell-Gervais","2015-12-08","2014-03-28","https://i.ytimg.com/vi/oKt9g_uf7lw/hqdefault.jpg","This video looks at all the DLC for Bioshock Infinite. I'll talk about combat in Infinite as well as how Infinite's holding up a year after its release in the Clash in the Clouds section, then I'll get into some comprehensive plot and gameplay Analysis For Burial at Sea, Episodes One and Two. This video contains footage of major plot twists, including the very ends of both episodes, and is not intended for viewers who are trying to decide whether to play the DLC or not-- it's mostly for those trying to make sense of the content in relation to the series as a whole.

Clash in the Clouds / A Year of Infinite-- 0:26
Burial at Sea Episode One-- 7:25
Burial at Sea Episode Two-- 17:27"
"r4SnO5U2G4w","Depression Quest and the Rhetoric of Gamer Identity","Noah Caldwell-Gervais","2015-12-08","2014-09-23","https://i.ytimg.com/vi/r4SnO5U2G4w/hqdefault.jpg","This is a video review of Depression Quest, an indie text adventure about living with Depression. It covers the game objectively, subjectively, and by way of a cultural criticism of the #GamerGate hashtag. I debated for a while whether I had anything meaningful to contribute to the conversation, but after a month and half gone by without hearing my opinion on the subject echoed out there, I figured I might as well tell it like I see it. Thanks for taking the time to watch, if you choose to. If you enjoy this video, please post it where others may find it.

__SUGGESTED READING LIST__
Mainstream News:
http://www.newyorker.com/tech/elements/zoe-quinns-depression-quest
http://time.com/3274247/video-game-culture-war/
http://www.washingtonpost.com/news/morning-mix/wp/2014/09/12/with-gamergate-the-video-game-industrys-growing-pains-go-viral/
The Original Accusations:
http://thezoepost.wordpress.com/
Quinn's Retort:
http://ohdeargodbees.tumblr.com/post/95188657119/once-again-i-will-not-negotiate-with-terrorists
http://ohdeargodbees.tumblr.com/post/96115946094/final-thoughts-on-this-whole-kerfuffle
Cracked:
http://www.cracked.com/blog/5-things-i-learned-as-internets-most-hated-person/"
"vn0IMQIlUMQ","In Defense of Doom 3","Noah Caldwell-Gervais","2016-05-01","2016-02-07","https://i.ytimg.com/vi/vn0IMQIlUMQ/hqdefault.jpg","This is a video retrospective of Doom 3 and its two expansions, Resurrection of Evil and Lost Mission. It goes back and looks at what made Doom 3 special, as an individual horror shooter and as part of the broader Doom franchise.

__TABLE OF CONTENTS__
Doom 3-- 0:34
Resurrection of Evil-- 17:20
Lost Mission-- 25:45

__MORE ABOUT DOOM__
Errant Signal on Doom:
https://www.youtube.com/watch?v=TyOF2RsO3ck
XBoxAhoy's Retrospective on Doom:
https://www.youtube.com/watch?v=6A4-SVUHQYI
Lost Mission Reused Content Comparison:
https://www.youtube.com/watch?v=Rv1nKtRH4xE
____________
If you enjoyed this content and wish to see more like it, consider donating on Patreon!
https://www.patreon.com/noahcaldwellgervais?ty=h"
"m424XwGH1Uc","How Does The New DOOM Compare to Previous Dooms? [Huge Spoilers]","Noah Caldwell-Gervais","2016-05-15","2016-05-15","https://i.ytimg.com/vi/m424XwGH1Uc/hqdefault.jpg","This is a video review and critique of the 2016 DOOM reboot. It looks at what makes this reboot unique and how it distinguishes itself from and tethers itself to the older games."
"DA21NUasw5A","No Man's Sky In Close Critique [Deep Spoilers]","Noah Caldwell-Gervais","2016-09-13","2016-09-13","https://i.ytimg.com/vi/DA21NUasw5A/hqdefault.jpg","This is a video critique of No Man's Sky, a procedurally generated science-fiction adventure title. It talks about how difficult it is to cram a whole universe into six gigabytes, and how well the game works mechanically and artistically.


If you enjoyed this video and want to contribute to the production of others like it, please consider supporting me on Patreon!
https://www.patreon.com/noahcaldwellgervais"
"ZG9Hvt4p7U8","How Does Homeworld: Deserts of Kharak Compare to Previous Homeworlds?","Noah Caldwell-Gervais","2017-02-12","2017-02-12","https://i.ytimg.com/vi/ZG9Hvt4p7U8/hqdefault.jpg","FRANCHISE SPOILERS. This is a video critique of the 2016 Homeworld Prequel from Blackbird Interactive. The idea is to place it in context with the spacefaring titles that came before and pin down if it fits in with their gameplay and aesthetic.


If you enjoyed this video and want to contribute to the production of others like it, please consider supporting me on Patreon!

https://www.patreon.com/noahcaldwellgervais"
"DaqqCbmhqVI","Tyranny and the Language of Power [Spoilers]","Noah Caldwell-Gervais","2017-03-16","2017-03-16","https://i.ytimg.com/vi/DaqqCbmhqVI/hqdefault.jpg","This is a video critique of Tyranny, a contemporary isometric role-playing game where evil has won before the game even begins. It examines the game's unique perspective and explores its thematic content. There are complete spoilers for multiple sorts of playthroughs possible in the game."
"Ma0VKHnwArQ","How Does Mass Effect: Andromeda Compare to Previous Mass Effects? [Spoilers]","Noah Caldwell-Gervais","2017-05-01","2017-05-01","https://i.ytimg.com/vi/Ma0VKHnwArQ/hqdefault.jpg","This is a total-spoiler video critique of Mass Effect: Andromeda meant to take a look at how it fits in the original trilogy in terms of theme and structure. It aims to figure out if this spin-off is more of a Frasier or a Joey and how it might've come to be one way or the other.

If you enjoyed this video and want to contribute to the production of others like it, please consider supporting me on Patreon!

https://www.patreon.com/noahcaldwellgervais"
"e87h2BLaWNU","What's Been Going On With Homefront: The Revolution's DLC? [Spoilers]","Noah Caldwell-Gervais","2017-05-01","2017-05-02","https://i.ytimg.com/vi/e87h2BLaWNU/hqdefault.jpg","This is a video essay looking at the three pieces of DLC released for Homefront: The Revolutuion in the year after its release. It spoils quite a bit but goes in-depth as to what each piece of content adds to the overall experience and how it compares to the main campaign.

If you enjoyed this video and want to contribute to the production of others like it, please consider supporting me on Patreon!

https://www.patreon.com/noahcaldwellgervais"
"YRjo2WYvaTA","Revisiting Dying Light","Noah Caldwell-Gervais","2018-04-01","2018-04-01","https://i.ytimg.com/vi/YRjo2WYvaTA/hqdefault.jpg","This is an in-depth critique of the open-world zombie survival game Dying Light. It takes a particular look at how Dying Light tells its story with mechanical engagement and numerical progression much better than it does its story. It also looks at DLC for the game, including comparing Dying Light's massive expansion The Following to the original campaign.

______TABLE OF CONTENTS_______

Main Campaign--
Miscellaneous DLC--
The Following--

======================================================


If you enjoyed this video and want to contribute to the production of others like it, please consider supporting me on Patreon!

https://www.patreon.com/noahcaldwellgervais"
"o0LJdhXr7L0","Deeper Horizons: A Comprehensive Re-Review of No Man's Sky NEXT [Total Spoilers]","Noah Caldwell-Gervais","2018-08-16","2018-08-17","https://i.ytimg.com/vi/o0LJdhXr7L0/hqdefault.jpg","[TOTAL SPOILERS] This is an in-depth review and critique of No Man's Sky NEXT, looking at all the updates and changed content since its launch in 2016. It cover Pathfinder, Foundation, Atlas Rises and NEXT. The experience of No Man's Sky is much different than it originally was-- this video takes an hour to try and put a finger on how and why. It discusses and shows footage from all parts of the various plot threads, including endgame content and deep lore.

====IF YOU LIKED THIS VIDEO====
I've done two other videos on No Man's Sky:

--My original launch critique: https://www.youtube.com/watch?v=DA21NUasw5A
--A Moody Blues mixtape using NMS footage: https://www.youtube.com/watch?v=5yFRtNROYfA

I've also got long videos about my year living nomadically, which I discuss a little here in this critique.
--An introduction to the idea: https://www.youtube.com/watch?v=FgC-KCGkMPM
--4,000 miles through the desert: https://www.youtube.com/watch?v=-naJR_rhkUM
--4,000 miles through the midwest: https://www.youtube.com/watch?v=FD_-b06JJtE

======
If you enjoyed this video and want to contribute to the production of others like it, please consider supporting me on Patreon!

https://www.patreon.com/noahcaldwellgervais"
"GGhFBupwfdU","Wolfenstein 2: The New Colossus in Close Critique [Full Spoilers]","Noah Caldwell-Gervais","2019-02-11","2019-02-11","https://i.ytimg.com/vi/GGhFBupwfdU/hqdefault.jpg","This is a video critique and analysis of Wolfenstein 2, an ambitious, messy, and in the end quite unique shooter from MachineGames. The video looks how BJ Blaskowicz anchors together a wide array of divergent tonal moods and design ideas. It also covers the three 'Freedom Chronicles' DLCs. Spoilers throughout.

___TABLE OF CONTENTS___

Main Campaign--
Adventures of Gunslinger Joe--
Diary of the SIlent Death--
Deeds of Captain Wilkins--"
"u6jz2gSq7cc","How Does the Blair Witch Game Compare to the Movies? [SPOILERS]","Noah Caldwell-Gervais","2019-11-01","2019-11-01","https://i.ytimg.com/vi/u6jz2gSq7cc/hqdefault.jpg","This is a video critique of the 2019 Blair Witch game. It looks at how it interacts with and draws from the trilogy of movies that came before it, and what the Blair Witch aesthetic might be all about. Full spoilers for all movies and the game itself.



========================================
If you enjoyed this video and want to contribute to the production of others like it, please consider donating through the crowdfunding website Patreon:  https://www.patreon.com/noahcaldwellgervais"
