"Playlist URL","https://www.youtube.com/playlist?list=PL2w4QSaS1o3ZK2xMzY3aScMGty4ISbkVC"
"Playlist title","Spaceport Janitor"
"Playlist author","The Games We Play"
"Videos","40"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"frOLIhZPGDg","Diaries of a Spaceport Janitor: Ep.# 1 - Negative 99.2 Luck","The Games We Play","2016-12-21","2016-12-21","https://i.ytimg.com/vi/frOLIhZPGDg/hqdefault.jpg","You're a janitor drone on some backwater world who longs for nothing but an escape from the tedious day to day. So
you know not a lot different from real life.


What you were watching:

Game: Diaries of a Spaceport Janitor (http://www.tinybuild.com/diariesofaspaceportjanitor)


Follow us:
Noden on Twitter: https://twitter.com/nodengin
The Games We Play on Twitter: https://twitter.com/GWPchannel"
"Ey8s45i55P4","Diaries of a Spaceport Janitor: Ep.# 2 - Buying the good street meat","The Games We Play","2016-12-24","2016-12-24","https://i.ytimg.com/vi/Ey8s45i55P4/hqdefault.jpg","You're a janitor drone on some backwater world who longs for nothing but an escape from the tedious day to day. So
you know not a lot different from real life.


What you were watching:

Game: Diaries of a Spaceport Janitor (http://www.tinybuild.com/diariesofaspaceportjanitor)


Follow us:
Noden on Twitter: https://twitter.com/nodengin
The Games We Play on Twitter: https://twitter.com/GWPchannel"
"CArLcGeVIK4","Diaries of a Spaceport Janitor: Ep.# 3 - Onday's the day you get things done...","The Games We Play","2016-12-27","2016-12-27","https://i.ytimg.com/vi/CArLcGeVIK4/hqdefault.jpg","You're a janitor drone on some backwater world who longs for nothing but an escape from the tedious day to day. So
you know not a lot different from real life.


What you were watching:

Game: Diaries of a Spaceport Janitor (http://www.tinybuild.com/diariesofaspaceportjanitor)


Follow us:
Noden on Twitter: https://twitter.com/nodengin
The Games We Play on Twitter: https://twitter.com/GWPchannel"
"ecQQJKEwuWs","Diaries of a Spaceport Janitor: Ep.# 4 - Hi, how much is your gender?","The Games We Play","2016-12-30","2016-12-30","https://i.ytimg.com/vi/ecQQJKEwuWs/hqdefault.jpg","You're a janitor drone on some backwater world who longs for nothing but an escape from the tedious day to day. So
you know not a lot different from real life.


What you were watching:

Game: Diaries of a Spaceport Janitor (http://www.tinybuild.com/diariesofaspaceportjanitor)


Follow us:
Noden on Twitter: https://twitter.com/nodengin
The Games We Play on Twitter: https://twitter.com/GWPchannel"
"hffUqTQJCAc","Diaries of a Spaceport Janitor: Ep.# 5 - I'm a poor man, or woman, robot.","The Games We Play","2017-01-05","2017-01-05","https://i.ytimg.com/vi/hffUqTQJCAc/hqdefault.jpg","You're a janitor drone on some backwater world who longs for nothing but an escape from the tedious day to day. So
you know not a lot different from real life.


What you were watching:

Game: Diaries of a Spaceport Janitor (http://www.tinybuild.com/diariesofaspaceportjanitor)


Follow us:
Noden on Twitter: https://twitter.com/nodengin
The Games We Play on Twitter: https://twitter.com/GWPchannel"
"kTpwSZR0ArE","Diaries of a Spaceport Janitor: Ep.# 6 - Smut Peddler","The Games We Play","2017-01-07","2017-01-08","https://i.ytimg.com/vi/kTpwSZR0ArE/hqdefault.jpg","You're a janitor drone on some backwater world who longs for nothing but an escape from the tedious day to day. So
you know not a lot different from real life.


What you were watching:

Game: Diaries of a Spaceport Janitor (http://www.tinybuild.com/diariesofaspaceportjanitor)


Follow us:
Noden on Twitter: https://twitter.com/nodengin
The Games We Play on Twitter: https://twitter.com/GWPchannel"
"ShXSZg1NeBM","Diaries of a Spaceport Janitor: Ep.# 7 - A new pious outlook on life","The Games We Play","2017-01-11","2017-01-11","https://i.ytimg.com/vi/ShXSZg1NeBM/hqdefault.jpg","You're a janitor drone on some backwater world who longs for nothing but an escape from the tedious day to day. So
you know not a lot different from real life.


What you were watching:

Game: Diaries of a Spaceport Janitor (http://www.tinybuild.com/diariesofaspaceportjanitor)


Follow us:"
"V4a5MjO8x2k","Diaries of a Spaceport Janitor: Ep.# 8 - Cleaning up our own messes","The Games We Play","2017-01-14","2017-01-14","https://i.ytimg.com/vi/V4a5MjO8x2k/hqdefault.jpg","You're a janitor drone on some backwater world who longs for nothing but an escape from the tedious day to day. So
you know not a lot different from real life.


What you were watching:

Game: Diaries of a Spaceport Janitor (http://www.tinybuild.com/diariesofaspaceportjanitor)


Follow us:
Noden on Twitter: https://twitter.com/nodengin
The Games We Play on Twitter: https://twitter.com/GWPchannel"
"ysdmcQeD1O4","Diaries of a Spaceport Janitor: Ep.# 9 - Sewer Starbucks Survivor","The Games We Play","2017-01-17","2017-01-17","https://i.ytimg.com/vi/ysdmcQeD1O4/hqdefault.jpg","You're a janitor drone on some backwater world who longs for nothing but an escape from the tedious day to day. So
you know not a lot different from real life.


What you were watching:

Game: Diaries of a Spaceport Janitor (http://www.tinybuild.com/diariesofaspaceportjanitor)


Follow us:
Noden on Twitter: https://twitter.com/nodengin
The Games We Play on Twitter: https://twitter.com/GWPchannel"
"R754b0EPV6k","Diaries of a Spaceport Janitor: Ep.# 10 - Smorgasbord on the floor","The Games We Play","2017-01-20","2017-01-20","https://i.ytimg.com/vi/R754b0EPV6k/hqdefault.jpg","You're a janitor drone on some backwater world who longs for nothing but an escape from the tedious day to day. So
you know not a lot different from real life.


What you were watching:

Game: Diaries of a Spaceport Janitor (http://www.tinybuild.com/diariesofaspaceportjanitor)


Follow us:
Noden on Twitter: https://twitter.com/nodengin
The Games We Play on Twitter: https://twitter.com/GWPchannel"
"WGVVt_NDvO4","Diaries of a Spaceport Janitor: Ep.# 11- The old Press 'N Wiggle","The Games We Play","2017-01-23","2017-01-23","https://i.ytimg.com/vi/WGVVt_NDvO4/hqdefault.jpg","You're a janitor drone on some backwater world who longs for nothing but an escape from the tedious day to day. So
you know not a lot different from real life.


What you were watching:

Game: Diaries of a Spaceport Janitor (http://www.tinybuild.com/diariesofaspaceportjanitor)


Follow us:
Noden on Twitter: https://twitter.com/nodengin
The Games We Play on Twitter: https://twitter.com/GWPchannel"
"IvzHZzgLtHA","Diaries of a Spaceport Janitor: Ep.# 12 - Ummm, okay.","The Games We Play","2017-01-25","2017-01-26","https://i.ytimg.com/vi/IvzHZzgLtHA/hqdefault.jpg","You're a janitor drone on some backwater world who longs for nothing but an escape from the tedious day to day. So
you know not a lot different from real life.


What you were watching:

Game: Diaries of a Spaceport Janitor (http://www.tinybuild.com/diariesofaspaceportjanitor)


Follow us:
Noden on Twitter: https://twitter.com/nodengin
The Games We Play on Twitter: https://twitter.com/GWPchannel"
"CO0qieYh-Ik","Diaries of a Spaceport Janitor: Ep.# 13 - Master of Fetishi","The Games We Play","2017-02-01","2017-02-01","https://i.ytimg.com/vi/CO0qieYh-Ik/hqdefault.jpg","You're a janitor drone on some backwater world who longs for nothing but an escape from the tedious day to day. So
you know not a lot different from real life.


What you were watching:

Game: Diaries of a Spaceport Janitor (http://www.tinybuild.com/diariesofaspaceportjanitor)


Follow us:
Noden on Twitter: https://twitter.com/nodengin
The Games We Play on Twitter: https://twitter.com/GWPchannel"
"mydkyGVNZ98","Diaries of a Spaceport Janitor: Ep.# 1 - We're not picky","The Games We Play","2017-02-04","2017-02-04","https://i.ytimg.com/vi/mydkyGVNZ98/hqdefault.jpg","You're a janitor drone on some backwater world who longs for nothing but an escape from the tedious day to day. So
you know not a lot different from real life.


What you were watching:

Game: Diaries of a Spaceport Janitor (http://www.tinybuild.com/diariesofaspaceportjanitor)


Follow us:
Noden on Twitter: https://twitter.com/nodengin
The Games We Play on Twitter: https://twitter.com/GWPchannel"
"HJSbZD0HlD8","Diaries of a Spaceport Janitor: Ep.# 15 - Big Money","The Games We Play","2017-02-07","2017-02-07","https://i.ytimg.com/vi/HJSbZD0HlD8/hqdefault.jpg","You're a janitor drone on some backwater world who longs for nothing but an escape from the tedious day to day. So
you know not a lot different from real life.


What you were watching:

Game: Diaries of a Spaceport Janitor (http://www.tinybuild.com/diariesofaspaceportjanitor)


Follow us:
Noden on Twitter: https://twitter.com/nodengin
The Games We Play on Twitter: https://twitter.com/GWPchannel"
"M_x03qqnmlE","Diaries of a Spaceport Janitor: Ep.# 16 - Dirty Cops","The Games We Play","2017-02-10","2017-02-10","https://i.ytimg.com/vi/M_x03qqnmlE/hqdefault.jpg","You're a janitor drone on some backwater world who longs for nothing but an escape from the tedious day to day. So
you know not a lot different from real life.


What you were watching:

Game: Diaries of a Spaceport Janitor (http://www.tinybuild.com/diariesofaspaceportjanitor)


Follow us:
Noden on Twitter: https://twitter.com/nodengin
The Games We Play on Twitter: https://twitter.com/GWPchannel"
"ZYgEVzIleyE","Diaries of a Spaceport Janitor: Ep.# 17 - Picking myself up again","The Games We Play","2017-02-13","2017-02-13","https://i.ytimg.com/vi/ZYgEVzIleyE/hqdefault.jpg","You're a janitor drone on some backwater world who longs for nothing but an escape from the tedious day to day. So
you know not a lot different from real life.


What you were watching:

Game: Diaries of a Spaceport Janitor (http://www.tinybuild.com/diariesofaspaceportjanitor)


Follow us:
Noden on Twitter: https://twitter.com/nodengin
The Games We Play on Twitter: https://twitter.com/GWPchannel"
"DlK7oiURchI","Diaries of a Spaceport Janitor: Ep.# 18 - Pure rage and anger!","The Games We Play","2017-02-16","2017-02-16","https://i.ytimg.com/vi/DlK7oiURchI/hqdefault.jpg","You're a janitor drone on some backwater world who longs for nothing but an escape from the tedious day to day. So
you know not a lot different from real life.


What you were watching:

Game: Diaries of a Spaceport Janitor (http://www.tinybuild.com/diariesofaspaceportjanitor)


Follow us:
Noden on Twitter: https://twitter.com/nodengin
The Games We Play on Twitter: https://twitter.com/GWPchannel"
"roZ8Gq2Vbr0","Diaries of a Spaceport Janitor: Ep.# 20 - Now with more direction","The Games We Play","2017-02-19","2017-02-19","https://i.ytimg.com/vi/roZ8Gq2Vbr0/hqdefault.jpg","You're a janitor drone on some backwater world who longs for nothing but an escape from the tedious day to day. So
you know not a lot different from real life.


What you were watching:

Game: Diaries of a Spaceport Janitor (http://www.tinybuild.com/diariesofaspaceportjanitor)


Follow us:
Noden on Twitter: https://twitter.com/nodengin
The Games We Play on Twitter: https://twitter.com/GWPchannel"
"A7m0Tfv95lE","Diaries of a Spaceport Janitor: Ep.# 20 - Negativity is Home","The Games We Play","2017-02-22","2017-02-22","https://i.ytimg.com/vi/A7m0Tfv95lE/hqdefault.jpg","You're a janitor drone on some backwater world who longs for nothing but an escape from the tedious day to day. So
you know not a lot different from real life.


What you were watching:

Game: Diaries of a Spaceport Janitor (http://www.tinybuild.com/diariesofaspaceportjanitor)


Follow us:
Noden on Twitter: https://twitter.com/nodengin
The Games We Play on Twitter: https://twitter.com/GWPchannel"
"v-D2e433N-4","Diaries of a Spaceport Janitor: Ep.# 21 - Flashes of normality","The Games We Play","2017-02-25","2017-02-25","https://i.ytimg.com/vi/v-D2e433N-4/hqdefault.jpg","You're a janitor drone on some backwater world who longs for nothing but an escape from the tedious day to day. So
you know not a lot different from real life.


What you were watching:

Game: Diaries of a Spaceport Janitor (http://www.tinybuild.com/diariesofaspaceportjanitor)


Follow us:
Noden on Twitter: https://twitter.com/nodengin
The Games We Play on Twitter: https://twitter.com/GWPchannel"
"0TJh0VQndHk","Diaries of a Spaceport Janitor: Ep.# 22 - Romancing a stone...err...dirt","The Games We Play","2017-02-28","2017-02-28","https://i.ytimg.com/vi/0TJh0VQndHk/hqdefault.jpg","You're a janitor drone on some backwater world who longs for nothing but an escape from the tedious day to day. So
you know not a lot different from real life.


What you were watching:

Game: Diaries of a Spaceport Janitor (http://www.tinybuild.com/diariesofaspaceportjanitor)


Follow us:
Noden on Twitter: https://twitter.com/nodengin
The Games We Play on Twitter: https://twitter.com/GWPchannel"
"tRW9t5yjhII","Diaries of a Spaceport Janitor: Ep.#23 Forgetting the words","The Games We Play","2017-03-03","2017-03-03","https://i.ytimg.com/vi/tRW9t5yjhII/hqdefault.jpg","You're a janitor drone on some backwater world whom longs for nothing but an escape from the tedious day to day. So,
you know, not a lot different from real life.


What you were watching:

Game: Diaries of a Spaceport Janitor (http://www.tinybuild.com/diariesofaspaceportjanitor)


Follow us:
Noden on Twitter: https://twitter.com/nodengin
The Games We Play on Twitter: https://twitter.com/GWPchannel"
"GPctDdEcIeg","Diaries of a Spaceport Janitor: Ep.# 24 - Celebrating exchange rates","The Games We Play","2017-03-06","2017-03-06","https://i.ytimg.com/vi/GPctDdEcIeg/hqdefault.jpg","You're a janitor drone on some backwater world whom longs for nothing but an escape from the tedious day to day. So,
you know, not a lot different from real life.


What you were watching:

Game: Diaries of a Spaceport Janitor (http://www.tinybuild.com/diariesofaspaceportjanitor)


Follow us:
Noden on Twitter: https://twitter.com/nodengin
The Games We Play on Twitter: https://twitter.com/GWPchannel"
"ZTsW7e6nQRE","Diaries of a Spaceport Janitor: Ep.# 25 - Big money, big money","The Games We Play","2017-03-09","2017-03-09","https://i.ytimg.com/vi/ZTsW7e6nQRE/hqdefault.jpg","You're a janitor drone on some backwater world whom longs for nothing but an escape from the tedious day to day. So,
you know, not a lot different from real life.


What you were watching:

Game: Diaries of a Spaceport Janitor (http://www.tinybuild.com/diariesofaspaceportjanitor)


Follow us:
Noden on Twitter: https://twitter.com/nodengin
The Games We Play on Twitter: https://twitter.com/GWPchannel"
"3K7BR99x4Ms","Diaries of a Spaceport Janitor: Ep.# 26 - The last of the Fetishi","The Games We Play","2017-03-12","2017-03-12","https://i.ytimg.com/vi/3K7BR99x4Ms/hqdefault.jpg","You're a janitor drone on some backwater world whom longs for nothing but an escape from the tedious day to day. So,
you know, not a lot different from real life.


What you were watching:

Game: Diaries of a Spaceport Janitor (http://www.tinybuild.com/diariesofaspaceportjanitor)


Follow us:
Noden on Twitter: https://twitter.com/nodengin
The Games We Play on Twitter: https://twitter.com/GWPchannel"
"gG1fkhATTTE","Diaries of a Spaceport Janitor: Ep.# 27 - External Mishap","The Games We Play","2017-03-15","2017-03-15","https://i.ytimg.com/vi/gG1fkhATTTE/hqdefault.jpg","You're a janitor drone on some backwater world whom longs for nothing but an escape from the tedious day to day. So,
you know, not a lot different from real life.


What you were watching:

Game: Diaries of a Spaceport Janitor (http://www.tinybuild.com/diariesofaspaceportjanitor)


Follow us:
Noden on Twitter: https://twitter.com/nodengin
The Games We Play on Twitter: https://twitter.com/GWPchannel"
"X9Jf6OMFMdk","Diaries of a Spaceport Janitor: Ep.# 28 - Humbleness before the Law","The Games We Play","2017-03-18","2017-03-18","https://i.ytimg.com/vi/X9Jf6OMFMdk/hqdefault.jpg","You're a janitor drone on some backwater world whom longs for nothing but an escape from the tedious day to day. So,
you know, not a lot different from real life.


What you were watching:

Game: Diaries of a Spaceport Janitor (http://www.tinybuild.com/diariesofaspaceportjanitor)


Follow us:
Noden on Twitter: https://twitter.com/nodengin
The Games We Play on Twitter: https://twitter.com/GWPchannel"
