"Playlist URL","https://www.youtube.com/playlist?list=PLtmY8uwcjgYkD9NMIpskZm4Xxwryud9KD"
"Playlist title","The Wolf Among Us (Choices) NO COMMENTARY"
"Playlist author","Tealhollow1 Clips"
"Videos","70"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"pGwqNjLcjuM","The Wolf Among Us: The Movie - Choice Path 1 - Hero of Fabletown (Good), All 5 Episodes, No Loading","Tealhollow1 Clips","2014-07-12","2014-07-12","https://i.ytimg.com/vi/pGwqNjLcjuM/hqdefault.jpg","(LIST OF ALL CHOICES MADE LISTED IN THE COMMENTS!) All Five Episodes of Telltale's The Wolf Among Us compiled into a movie! This movie follows the choices from my Choice Path 1 playthrough, where I took a more heroic route."
"RprmCnnIPos","The Wolf Among Us: The Movie - Choice Path 2 - Big Bad Wolf (Cruel), All 5 Episodes, FAILED PROMPTS","Tealhollow1 Clips","2014-07-14","2014-07-14","https://i.ytimg.com/vi/RprmCnnIPos/hqdefault.jpg","(ALL OF THIS VIDEO'S CHOICES ARE LISTED IN THE COMMENTS!) All Five Episodes of Telltale's The Wolf Among Us compiled into a movie! This movie follows the choices from my Choice Path 2 playthrough, where I had Bigby act like a big ol' scumbag."
"sBcXdhiE4zk","The Wolf Among Us: The Movie - Choice Path 3 - Sheriff Bigby (Neutral) All 5 Episodes, No Loading","Tealhollow1 Clips","2014-08-30","2014-08-29","https://i.ytimg.com/vi/sBcXdhiE4zk/hqdefault.jpg","(LIST OF ALL CHOICES MADE LISTED IN THE COMMENTS!) All Five Episodes of Telltale's The Wolf Among Us compiled into a movie! This movie follows the choices from my Choice Path 3 playthrough, where I took a more neutral route, made up of good and bad choices to round out the story."
"H6KvdZaGdso","The Wolf Among Us - Game Over Compilation (All Game Overs / Death Montage)","Tealhollow1 Clips","2014-07-14","2014-07-14","https://i.ytimg.com/vi/H6KvdZaGdso/hqdefault.jpg","A compilation of every game over and death scene from Telltale's The Wolf Among Us. I also included all failed prompts that result in Bigby getting hurt. Don't worry, I'm sure he can take it. The song is Happy Jose!

Other Game Over Compilations:

Tales From The Borderlands: https://www.youtube.com/watch?v=U09-VSU4I4M&feature=youtu.be

The Walking Dead Season 2: https://www.youtube.com/watch?v=jrRaR3d1Jt4

400 Days: https://www.youtube.com/watch?v=ej4oV-FPrc8"
"xry41tRrgYk","The Wolf Among Us - Faith - Part 1 (Choice Path 1) Kind, Win Fight, Let Her, Give Money","Tealhollow1 Clips","2014-05-28","2013-11-02","https://i.ytimg.com/vi/xry41tRrgYk/hqdefault.jpg","(READ DESCRIPTION FOR IN DEPTH CHOICE LIST) These videos will show you all of the different choices and dialogue options for The Wolf Among Us - Episode 1: Faith. From this point on every video that has Choice Path 1 in the title will use this save, meaning anything that happens in this Part will affect other Parts, and anything that happens in this Episode will affect other Episodes.

The choices picked in this video represent what happens if you are mostly nice throughout the section. This video also shows what happens if you win the fight, let the girl continue attacking, and choose to give her money.

Note: I am writing down every dialogue option I choose, so that I don't make any repeats in the future. If you ever see me choose a dialogue option I have picked before, it is because that option opens up another dialogue option that I would prefer to tinker with.

IN DEPTH DIALOGUE LIST:
-3 Foot Toad.
-Get it fixed.
-What do you want me to do?
-Whys he pissed?

-MATCHBOOK
-PHONE

-Knock.
-Whats going on?
-Youre drunk.
-WIN FIGHT.
-Say that again.
-What are you doing here?
-Are you alright?
-What's your name?
-Will you excuse me a moment?

-Sorry about the car.
-Thanks.
-LET HER
-Light her cig.
-Beautiful.
-Are you sure?
-GIVE MONEY.
-I clean up ok."
"1xD9Qfl2DXc","The Wolf Among Us - Faith - Part 2 (Choice Path 1) Promise Beauty, Lie to Beast, Give Drink","Tealhollow1 Clips","2014-05-28","2013-11-02","https://i.ytimg.com/vi/1xD9Qfl2DXc/hqdefault.jpg","(READ DESCRIPTION FOR IN DEPTH CHOICE LIST) These videos will show you all of the different choices and dialogue options for The Wolf Among Us - Episode 1: Faith.

The choices picked in this video represent what happens if you make a promise with Beauty, Lie to Beast, and give Colin a drink.

IN DEPTH DIALOGUE LIST:
-Stay off the grass.
-Out pretty late.
-I PROMISE.
-LIE TO BEAST.
-Im Tired.
-I Wont.
-I want rest.
-Everyone hates me?
-My job.
-There was a girl.
-GIVE COLIN DRINK"
"HELfoNYC-UM","The Wolf Among Us - Faith - Part 3 (Choice Path 1) Investigate, ""Brought Her Here"", Don't Tell Him","Tealhollow1 Clips","2014-05-28","2013-11-02","https://i.ytimg.com/vi/HELfoNYC-UM/hqdefault.jpg","(READ DESCRIPTION FOR IN DEPTH CHOICE LIST) These videos will show you all of the different choices and dialogue options for The Wolf Among Us - Episode 1: Faith.

The choices picked in this video represent what happens if you choose to stay and investigate, pick the ""Someone Brought Her Here"" option when deducing a theory, as well as what happens if you ask Snow not to tell Ichabod Crane.

IN DEPTH DIALOGUE LIST:
-Where are we going?
-A working girl.
-Who found her?
-INVESTIGATE MORE
-Someone brought her here.
-Blood on the fence.
-Don't tell him."
"REuyFxXwULM","The Wolf Among Us - Faith - Part 4 (Choice Path 1) Defend Snow, Woodsman, Choose Toad","Tealhollow1 Clips","2014-05-28","2013-11-02","https://i.ytimg.com/vi/REuyFxXwULM/hqdefault.jpg","(READ DESCRIPTION FOR IN DEPTH CHOICE LIST) These videos will show you all of the different choices and dialogue options for The Wolf Among Us - Episode 1: Faith.

The choices picked in this video represent what happens if you defend Snow White from accusations, suspect the Woodsman, choose to notify Prince Lawrence, and choose to go to Toad's apartment first.

IN DEPTH DIALOGUE LIST:
-I work here.
-Back off.
-THE WOODSMAN.
-Do it yourself.
-What's the wine about?
-I'm not great.
-Fable book first
-We have to notify him.
-The car.
-Help Toad."
"0ABCXfI-pwI","The Wolf Among Us - Faith - Part 5 (Choice Path 1) Toad First, Find All Lies, Death, Catch","Tealhollow1 Clips","2014-05-28","2013-11-02","https://i.ytimg.com/vi/0ABCXfI-pwI/hqdefault.jpg","(READ DESCRIPTION FOR IN DEPTH CHOICE LIST) These videos will show you all of the different choices and dialogue options for The Wolf Among Us - Episode 1: Faith.

The choices picked in this video represent what happens if you go to Toad's apartment first, and calling out every one of his lies by investigating everything correctly. This video also shows what happens if you're too late to save Lawrence.

IN DEPTH DIALOGUE LIST:
-Hey!
-Talk.
-I saw someone.
-I'm gonna look around.
-Investigate lamp, door, stain, fireplace poker.
-I thought you cut your hand.
-I think someone was attacked.
-The broken lamp was here.
-The power outlet.
-You wouldn't need keys.
-When you tell me the truth.
-You lied toad.
-Where did he go?
-Open letter.

-We need to question Lawrence.
-Enter home.
-Go get Dr Swineheart.
-Who did this to you?
-Investigate all.
-Why did you run?
-You're covered in blood.
-Who are you?
-Where did they go?"
"AyCaq5Xnmp4","The Wolf Among Us - Faith - Part 6 (Choice Path 1) Polite, Win, Walk Away, Woodsman","Tealhollow1 Clips","2014-05-28","2013-11-02","https://i.ytimg.com/vi/AyCaq5Xnmp4/hqdefault.jpg","(READ DESCRIPTION FOR IN DEPTH CHOICE LIST) These videos will show you all of the different choices and dialogue options for The Wolf Among Us - Episode 1: Faith.

The choices picked in this video represent what happens if you take a polite approach to questioning, win the fight with Grendle, and walk away after winning. This video also shows what happens if you choose to arrest the Woodsman.

IN DEPTH DIALOGUE LIST:
-The Woodsman
-Need to question him.
-Thanks for the help.
-Go ahead.
-You're doing your best.
-Stick with it.
-You too.

-Woodsman.
-I'd just like some help.
-Why didnt you dump it?
-Would a drink help you remember?
-Only one next to you.
-SURE
-Harboring a fugitive.
-Saved your beer.
-That makes two of us.
-I just want to talk.
-You know why Im here.
-What are you talking about.
-I already know this story.
-It's not like that.
-Don't call her that.
-Hit him.
-WIN FIGHT
-WALK AWAY
-Pay for the drink (No Money.)
-He started it.
-CHOOSE WOODSMAN."
