"Playlist URL","https://www.youtube.com/playlist?list=PL1Be_cMfHOEdatYls8f9Ehf6VwJ5yuTpZ"
"Playlist title","Albion (DOS) [Done]"
"Playlist author","aulddragon"
"Videos","89"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"ROsGP486VHE","Albion (DOS) — Part 1 - What a Dream","aulddragon","2020-05-17","2020-05-17","https://i.ytimg.com/vi/ROsGP486VHE/hqdefault.jpg","Tom Driscoll wakes from the latest version of a disturbing dream aboard the Toronto, a corporate mining ship he's been server on, only to learn of a disturbing event he slept through involving his partner on an upcoming mission.

It is probably not a harbinger of what is to come, though, right?

---------------------------------------------

Albion is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdatYls8f9Ehf6VwJ5yuTpZ

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon or Ko-fi:
https://www.patreon.com/AuldDragon
https://ko-fi.com/aulddragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"sWXAdOVE2Og","Albion (DOS) — Part 2 - Exploring the Ship","aulddragon","2020-05-17","2020-05-18","https://i.ytimg.com/vi/sWXAdOVE2Og/hqdefault.jpg","I'm sure no one will need their plates and cups, right?

---------------------------------------------

Albion is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdatYls8f9Ehf6VwJ5yuTpZ

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon or Ko-fi:
https://www.patreon.com/AuldDragon
https://ko-fi.com/aulddragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"7KRtlImqbIk","Albion (DOS) — Part 3 - Surreptitious Investigation","aulddragon","2020-05-18","2020-05-19","https://i.ytimg.com/vi/7KRtlImqbIk/hqdefault.jpg","Some people just have morbid curiosity, I guess.

---------------------------------------------

Albion is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdatYls8f9Ehf6VwJ5yuTpZ

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon or Ko-fi:
https://www.patreon.com/AuldDragon
https://ko-fi.com/aulddragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"EBZwCUg-760","Albion (DOS) — Part 4 - A New World","aulddragon","2020-05-18","2020-05-20","https://i.ytimg.com/vi/EBZwCUg-760/hqdefault.jpg","This is most definitely not what the reports led us to believe this world would be like!

---------------------------------------------

Albion is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdatYls8f9Ehf6VwJ5yuTpZ

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon or Ko-fi:
https://www.patreon.com/AuldDragon
https://ko-fi.com/aulddragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"5u_VRWdOEZw","Albion (DOS) — Part 5 - Cellar Delving","aulddragon","2020-05-18","2020-05-21","https://i.ytimg.com/vi/5u_VRWdOEZw/hqdefault.jpg","I may have a hoarding problem.

---------------------------------------------

Albion is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdatYls8f9Ehf6VwJ5yuTpZ

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon or Ko-fi:
https://www.patreon.com/AuldDragon
https://ko-fi.com/aulddragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"a55KNRsQ6OY","Albion (DOS) — Part 6 - Battle Practice","aulddragon","2020-05-18","2020-05-22","https://i.ytimg.com/vi/a55KNRsQ6OY/hqdefault.jpg","Time to do some exterminations!

After gettng exterminated ourselves, of course.

---------------------------------------------

Albion is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdatYls8f9Ehf6VwJ5yuTpZ

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon or Ko-fi:
https://www.patreon.com/AuldDragon
https://ko-fi.com/aulddragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"rHVk5Jk-19w","Albion (DOS) — Part 7 - About Town","aulddragon","2020-05-18","2020-05-23","https://i.ytimg.com/vi/rHVk5Jk-19w/hqdefault.jpg","Let's finally leave the place of our recuperation and see the sights and sounds of the town!

---------------------------------------------

Albion is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdatYls8f9Ehf6VwJ5yuTpZ

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon or Ko-fi:
https://www.patreon.com/AuldDragon
https://ko-fi.com/aulddragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"v9u_oicPY40","Albion (DOS) — Part 8 - A Buyer's Market","aulddragon","2020-05-24","2020-05-24","https://i.ytimg.com/vi/v9u_oicPY40/hqdefault.jpg","With some selling taken care of, let's go and see what goods we can buy!

---------------------------------------------

Albion is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdatYls8f9Ehf6VwJ5yuTpZ

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon or Ko-fi:
https://www.patreon.com/AuldDragon
https://ko-fi.com/aulddragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"PS2PgrJr4eQ","Albion (DOS) — Part 9 - Visiting Guilds","aulddragon","2020-05-24","2020-05-25","https://i.ytimg.com/vi/PS2PgrJr4eQ/hqdefault.jpg","The guilds in Jirinaar are pretty important, so maybe they have some information we can use.

---------------------------------------------

Albion is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdatYls8f9Ehf6VwJ5yuTpZ

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon or Ko-fi:
https://www.patreon.com/AuldDragon
https://ko-fi.com/aulddragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"ICBUO3S6PBQ","Albion (DOS) — Part 10 - Ceremony, Interrupted","aulddragon","2020-05-25","2020-05-26","https://i.ytimg.com/vi/ICBUO3S6PBQ/hqdefault.jpg","We attend a ceremony with the leaders of Jirinaar, only to have it disrupted in a most shocking way!

---------------------------------------------

Albion is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdatYls8f9Ehf6VwJ5yuTpZ

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon or Ko-fi:
https://www.patreon.com/AuldDragon
https://ko-fi.com/aulddragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
