"Playlist URL","https://www.youtube.com/playlist?list=PL1Be_cMfHOEcmQDTcwXw12flKiQOinGcG"
"Playlist title","Crusader Kings 2: Great Works: The One Who Brings Benefit [Done]"
"Playlist author","aulddragon"
"Videos","78"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"XwFuQ2hUWTM","Crusader Kings 2: Great Works — Part 1 - Also Sprach Zarathustra","aulddragon","2019-04-02","2019-04-02","https://i.ytimg.com/vi/XwFuQ2hUWTM/hqdefault.jpg","With the new free Great Works expansion for Crusader Kings II, we can now control famous landmarks and build new ones of our own. In this campaign, we will be attempting to build some wonders in our realm as we restore the Persian Empire and Zoroastrianism to the Iranian Plateau, while becoming the Saoshyant and trying to gain the achievement ""The One Who Brings Benefit.""

---------------------------------------------

The series is best viewed from the playlist:
http://bit.ly/2Vb3UY5

---------------------------------------------

*Past Crusader Kings II Playlists:*
Chronicles of Prydain: http://bit.ly/29StQod
Rajas of India: http://bit.ly/29MenU9
Pax Romana: http://bit.ly/29Dx669
Republic of Manaw: http://bit.ly/29K7RjC
The West Saxons (Conclave): http://bit.ly/2bAtpOG
After the End mod w/J2JonJeremy: http://bit.ly/2a4pcjL
Russian Tribal (Reaper's Due): http://bit.ly/2dZps56
Smash the Patriarchy: http://bit.ly/2mKcgbL
Hording the Sun w/J2JonJeremy: http://bit.ly/2tdTuJj
The Frisian Coast: http://bit.ly/2vCt5uh
Aladdin (Jade Dragon): http://bit.ly/2iOu5Sz
Roman Renaissance (Holy Fury): http://bit.ly/2QxYzIn

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"SA6hDN7GvjU","Crusader Kings 2: Great Works — Part 2 - Caspian Conquests","aulddragon","2019-04-02","2019-04-03","https://i.ytimg.com/vi/SA6hDN7GvjU/hqdefault.jpg","With the new free Great Works expansion for Crusader Kings II, we can now control famous landmarks and build new ones of our own. In this campaign, we will be attempting to build some wonders in our realm as we restore the Persian Empire and Zoroastrianism to the Iranian Plateau, while becoming the Saoshyant and trying to gain the achievement ""The One Who Brings Benefit.""

---------------------------------------------

The series is best viewed from the playlist:
http://bit.ly/2Vb3UY5

---------------------------------------------

*Past Crusader Kings II Playlists:*
Chronicles of Prydain: http://bit.ly/29StQod
Rajas of India: http://bit.ly/29MenU9
Pax Romana: http://bit.ly/29Dx669
Republic of Manaw: http://bit.ly/29K7RjC
The West Saxons (Conclave): http://bit.ly/2bAtpOG
After the End mod w/J2JonJeremy: http://bit.ly/2a4pcjL
Russian Tribal (Reaper's Due): http://bit.ly/2dZps56
Smash the Patriarchy: http://bit.ly/2mKcgbL
Hording the Sun w/J2JonJeremy: http://bit.ly/2tdTuJj
The Frisian Coast: http://bit.ly/2vCt5uh
Aladdin (Jade Dragon): http://bit.ly/2iOu5Sz
Roman Renaissance (Holy Fury): http://bit.ly/2QxYzIn

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"i6eT5l4X5k4","Crusader Kings 2: Great Works — Part 3 - A Royal Crown","aulddragon","2019-04-02","2019-04-04","https://i.ytimg.com/vi/i6eT5l4X5k4/hqdefault.jpg","With the new free Great Works expansion for Crusader Kings II, we can now control famous landmarks and build new ones of our own. In this campaign, we will be attempting to build some wonders in our realm as we restore the Persian Empire and Zoroastrianism to the Iranian Plateau, while becoming the Saoshyant and trying to gain the achievement ""The One Who Brings Benefit.""

---------------------------------------------

The series is best viewed from the playlist:
http://bit.ly/2Vb3UY5

---------------------------------------------

*Past Crusader Kings II Playlists:*
Chronicles of Prydain: http://bit.ly/29StQod
Rajas of India: http://bit.ly/29MenU9
Pax Romana: http://bit.ly/29Dx669
Republic of Manaw: http://bit.ly/29K7RjC
The West Saxons (Conclave): http://bit.ly/2bAtpOG
After the End mod w/J2JonJeremy: http://bit.ly/2a4pcjL
Russian Tribal (Reaper's Due): http://bit.ly/2dZps56
Smash the Patriarchy: http://bit.ly/2mKcgbL
Hording the Sun w/J2JonJeremy: http://bit.ly/2tdTuJj
The Frisian Coast: http://bit.ly/2vCt5uh
Aladdin (Jade Dragon): http://bit.ly/2iOu5Sz
Roman Renaissance (Holy Fury): http://bit.ly/2QxYzIn

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"BMc65Z35MAs","Crusader Kings 2: Great Works — Part 4 - Forcing Vassalization","aulddragon","2019-04-02","2019-04-05","https://i.ytimg.com/vi/BMc65Z35MAs/hqdefault.jpg","With the new free Great Works expansion for Crusader Kings II, we can now control famous landmarks and build new ones of our own. In this campaign, we will be attempting to build some wonders in our realm as we restore the Persian Empire and Zoroastrianism to the Iranian Plateau, while becoming the Saoshyant and trying to gain the achievement ""The One Who Brings Benefit.""

---------------------------------------------

The series is best viewed from the playlist:
http://bit.ly/2Vb3UY5

---------------------------------------------

*Past Crusader Kings II Playlists:*
Chronicles of Prydain: http://bit.ly/29StQod
Rajas of India: http://bit.ly/29MenU9
Pax Romana: http://bit.ly/29Dx669
Republic of Manaw: http://bit.ly/29K7RjC
The West Saxons (Conclave): http://bit.ly/2bAtpOG
After the End mod w/J2JonJeremy: http://bit.ly/2a4pcjL
Russian Tribal (Reaper's Due): http://bit.ly/2dZps56
Smash the Patriarchy: http://bit.ly/2mKcgbL
Hording the Sun w/J2JonJeremy: http://bit.ly/2tdTuJj
The Frisian Coast: http://bit.ly/2vCt5uh
Aladdin (Jade Dragon): http://bit.ly/2iOu5Sz
Roman Renaissance (Holy Fury): http://bit.ly/2QxYzIn

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"rx5LNSZjpig","Crusader Kings 2: Great Works — Part 5 - Silk Road Conquest","aulddragon","2019-04-02","2019-04-06","https://i.ytimg.com/vi/rx5LNSZjpig/hqdefault.jpg","With the new free Great Works expansion for Crusader Kings II, we can now control famous landmarks and build new ones of our own. In this campaign, we will be attempting to build some wonders in our realm as we restore the Persian Empire and Zoroastrianism to the Iranian Plateau, while becoming the Saoshyant and trying to gain the achievement ""The One Who Brings Benefit.""

---------------------------------------------

The series is best viewed from the playlist:
http://bit.ly/2Vb3UY5

---------------------------------------------

*Past Crusader Kings II Playlists:*
Chronicles of Prydain: http://bit.ly/29StQod
Rajas of India: http://bit.ly/29MenU9
Pax Romana: http://bit.ly/29Dx669
Republic of Manaw: http://bit.ly/29K7RjC
The West Saxons (Conclave): http://bit.ly/2bAtpOG
After the End mod w/J2JonJeremy: http://bit.ly/2a4pcjL
Russian Tribal (Reaper's Due): http://bit.ly/2dZps56
Smash the Patriarchy: http://bit.ly/2mKcgbL
Hording the Sun w/J2JonJeremy: http://bit.ly/2tdTuJj
The Frisian Coast: http://bit.ly/2vCt5uh
Aladdin (Jade Dragon): http://bit.ly/2iOu5Sz
Roman Renaissance (Holy Fury): http://bit.ly/2QxYzIn

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"VIxtfB59Eyw","Crusader Kings 2: Great Works — Part 6 - Pondering the Next Move","aulddragon","2019-04-06","2019-04-07","https://i.ytimg.com/vi/VIxtfB59Eyw/hqdefault.jpg","With the new free Great Works expansion for Crusader Kings II, we can now control famous landmarks and build new ones of our own. In this campaign, we will be attempting to build some wonders in our realm as we restore the Persian Empire and Zoroastrianism to the Iranian Plateau, while becoming the Saoshyant and trying to gain the achievement ""The One Who Brings Benefit.""

---------------------------------------------

The series is best viewed from the playlist:
http://bit.ly/2Vb3UY5

---------------------------------------------

*Past Crusader Kings II Playlists:*
Chronicles of Prydain: http://bit.ly/29StQod
Rajas of India: http://bit.ly/29MenU9
Pax Romana: http://bit.ly/29Dx669
Republic of Manaw: http://bit.ly/29K7RjC
The West Saxons (Conclave): http://bit.ly/2bAtpOG
After the End mod w/J2JonJeremy: http://bit.ly/2a4pcjL
Russian Tribal (Reaper's Due): http://bit.ly/2dZps56
Smash the Patriarchy: http://bit.ly/2mKcgbL
Hording the Sun w/J2JonJeremy: http://bit.ly/2tdTuJj
The Frisian Coast: http://bit.ly/2vCt5uh
Aladdin (Jade Dragon): http://bit.ly/2iOu5Sz
Roman Renaissance (Holy Fury): http://bit.ly/2QxYzIn

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"iA3E8iwuVCs","Crusader Kings 2: Great Works — Part 7 - The Cup of Jamshid","aulddragon","2019-04-06","2019-04-08","https://i.ytimg.com/vi/iA3E8iwuVCs/hqdefault.jpg","With the new free Great Works expansion for Crusader Kings II, we can now control famous landmarks and build new ones of our own. In this campaign, we will be attempting to build some wonders in our realm as we restore the Persian Empire and Zoroastrianism to the Iranian Plateau, while becoming the Saoshyant and trying to gain the achievement ""The One Who Brings Benefit.""

---------------------------------------------

The series is best viewed from the playlist:
http://bit.ly/2Vb3UY5

---------------------------------------------

*Past Crusader Kings II Playlists:*
Chronicles of Prydain: http://bit.ly/29StQod
Rajas of India: http://bit.ly/29MenU9
Pax Romana: http://bit.ly/29Dx669
Republic of Manaw: http://bit.ly/29K7RjC
The West Saxons (Conclave): http://bit.ly/2bAtpOG
After the End mod w/J2JonJeremy: http://bit.ly/2a4pcjL
Russian Tribal (Reaper's Due): http://bit.ly/2dZps56
Smash the Patriarchy: http://bit.ly/2mKcgbL
Hording the Sun w/J2JonJeremy: http://bit.ly/2tdTuJj
The Frisian Coast: http://bit.ly/2vCt5uh
Aladdin (Jade Dragon): http://bit.ly/2iOu5Sz
Roman Renaissance (Holy Fury): http://bit.ly/2QxYzIn

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"JQHMHLDxKEM","Crusader Kings 2: Great Works — Part 8 - Changing Succession","aulddragon","2019-04-06","2019-04-09","https://i.ytimg.com/vi/JQHMHLDxKEM/hqdefault.jpg","With the new free Great Works expansion for Crusader Kings II, we can now control famous landmarks and build new ones of our own. In this campaign, we will be attempting to build some wonders in our realm as we restore the Persian Empire and Zoroastrianism to the Iranian Plateau, while becoming the Saoshyant and trying to gain the achievement ""The One Who Brings Benefit.""

---------------------------------------------

The series is best viewed from the playlist:
http://bit.ly/2Vb3UY5

---------------------------------------------

*Past Crusader Kings II Playlists:*
Chronicles of Prydain: http://bit.ly/29StQod
Rajas of India: http://bit.ly/29MenU9
Pax Romana: http://bit.ly/29Dx669
Republic of Manaw: http://bit.ly/29K7RjC
The West Saxons (Conclave): http://bit.ly/2bAtpOG
After the End mod w/J2JonJeremy: http://bit.ly/2a4pcjL
Russian Tribal (Reaper's Due): http://bit.ly/2dZps56
Smash the Patriarchy: http://bit.ly/2mKcgbL
Hording the Sun w/J2JonJeremy: http://bit.ly/2tdTuJj
The Frisian Coast: http://bit.ly/2vCt5uh
Aladdin (Jade Dragon): http://bit.ly/2iOu5Sz
Roman Renaissance (Holy Fury): http://bit.ly/2QxYzIn

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"jO7YsWSQTVo","Crusader Kings 2: Great Works — Part 9 - The Deadly Paper","aulddragon","2019-04-06","2019-04-10","https://i.ytimg.com/vi/jO7YsWSQTVo/hqdefault.jpg","With the new free Great Works expansion for Crusader Kings II, we can now control famous landmarks and build new ones of our own. In this campaign, we will be attempting to build some wonders in our realm as we restore the Persian Empire and Zoroastrianism to the Iranian Plateau, while becoming the Saoshyant and trying to gain the achievement ""The One Who Brings Benefit.""

---------------------------------------------

The series is best viewed from the playlist:
http://bit.ly/2Vb3UY5

---------------------------------------------

*Past Crusader Kings II Playlists:*
Chronicles of Prydain: http://bit.ly/29StQod
Rajas of India: http://bit.ly/29MenU9
Pax Romana: http://bit.ly/29Dx669
Republic of Manaw: http://bit.ly/29K7RjC
The West Saxons (Conclave): http://bit.ly/2bAtpOG
After the End mod w/J2JonJeremy: http://bit.ly/2a4pcjL
Russian Tribal (Reaper's Due): http://bit.ly/2dZps56
Smash the Patriarchy: http://bit.ly/2mKcgbL
Hording the Sun w/J2JonJeremy: http://bit.ly/2tdTuJj
The Frisian Coast: http://bit.ly/2vCt5uh
Aladdin (Jade Dragon): http://bit.ly/2iOu5Sz
Roman Renaissance (Holy Fury): http://bit.ly/2QxYzIn

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"-kDd--rvotw","Crusader Kings 2: Great Works — Part 10 - The Boon From China","aulddragon","2019-04-06","2019-04-11","https://i.ytimg.com/vi/-kDd--rvotw/hqdefault.jpg","With the new free Great Works expansion for Crusader Kings II, we can now control famous landmarks and build new ones of our own. In this campaign, we will be attempting to build some wonders in our realm as we restore the Persian Empire and Zoroastrianism to the Iranian Plateau, while becoming the Saoshyant and trying to gain the achievement ""The One Who Brings Benefit.""

---------------------------------------------

The series is best viewed from the playlist:
http://bit.ly/2Vb3UY5

---------------------------------------------

*Past Crusader Kings II Playlists:*
Chronicles of Prydain: http://bit.ly/29StQod
Rajas of India: http://bit.ly/29MenU9
Pax Romana: http://bit.ly/29Dx669
Republic of Manaw: http://bit.ly/29K7RjC
The West Saxons (Conclave): http://bit.ly/2bAtpOG
After the End mod w/J2JonJeremy: http://bit.ly/2a4pcjL
Russian Tribal (Reaper's Due): http://bit.ly/2dZps56
Smash the Patriarchy: http://bit.ly/2mKcgbL
Hording the Sun w/J2JonJeremy: http://bit.ly/2tdTuJj
The Frisian Coast: http://bit.ly/2vCt5uh
Aladdin (Jade Dragon): http://bit.ly/2iOu5Sz
Roman Renaissance (Holy Fury): http://bit.ly/2QxYzIn

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
