"Playlist URL","https://www.youtube.com/playlist?list=PL1Be_cMfHOEfitQ1eX0Bgw7ICppTA1hqs"
"Playlist title","Fallout 2 [Done]"
"Playlist author","aulddragon"
"Videos","127"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"Sbp8btWunCQ","Fallout 2: A Post Nuclear Role Playing Game — Introduction","aulddragon","2019-06-10","2019-06-10","https://i.ytimg.com/vi/Sbp8btWunCQ/hqdefault.jpg","Elmindreda the Avatar has returned, probably due to more shenanigans by Lord British, to save yet more people who still blame her for casting the Armageddon spell. Oddly enough, everyone thinks she is her own descendant.

---------------------------------------------

Fallout 2: A Post-Nuclear Role Playing Game is the sequel to Fallout, originally released in 1998 by Interplay, and set 80 years after the original game.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEfitQ1eX0Bgw7ICppTA1hqs

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"S78yGvrJBzk","Fallout 2 — Part 1 - Test of the Avatar","aulddragon","2019-06-10","2019-06-10","https://i.ytimg.com/vi/S78yGvrJBzk/hqdefault.jpg","You'd think having become the Avatar of the Virtues would negate the need for further trials, but apparently not!

---------------------------------------------

Fallout 2: A Post-Nuclear Role Playing Game is the sequel to Fallout, originally released in 1998 by Interplay, and set 80 years after the original game.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEfitQ1eX0Bgw7ICppTA1hqs

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"GTmk1s_hndo","Fallout 2 — Part 2 - Squashing Bugs, Sort Of","aulddragon","2019-06-10","2019-06-11","https://i.ytimg.com/vi/GTmk1s_hndo/hqdefault.jpg","It's so nice that they've given me weapons I'm not terribly skilled with here.

---------------------------------------------

Fallout 2: A Post-Nuclear Role Playing Game is the sequel to Fallout, originally released in 1998 by Interplay, and set 80 years after the original game.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEfitQ1eX0Bgw7ICppTA1hqs

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"WocY24jTwwA","Fallout 2 — Part 3 - The Holy Attire","aulddragon","2019-06-10","2019-06-12","https://i.ytimg.com/vi/WocY24jTwwA/hqdefault.jpg","Well hey, at least I don't look like I'm naked any more!

---------------------------------------------

Fallout 2: A Post-Nuclear Role Playing Game is the sequel to Fallout, originally released in 1998 by Interplay, and set 80 years after the original game.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEfitQ1eX0Bgw7ICppTA1hqs

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"qkNEeQkFmNE","Fallout 2 — Part 4 - Tending the Garden","aulddragon","2019-06-10","2019-06-13","https://i.ytimg.com/vi/qkNEeQkFmNE/hqdefault.jpg","Someone really needs to pay more attention to the gardens. How did these things get so big?!

---------------------------------------------

Fallout 2: A Post-Nuclear Role Playing Game is the sequel to Fallout, originally released in 1998 by Interplay, and set 80 years after the original game.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEfitQ1eX0Bgw7ICppTA1hqs

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"51GM2znCjl0","Fallout 2 — Part 5 - Into the Waste","aulddragon","2019-06-10","2019-06-14","https://i.ytimg.com/vi/51GM2znCjl0/hqdefault.jpg","What will I find?! Fame?! Fortune?! Glory?! Love?! A gruesome death at the hands of marauding, mutated beasts?!

My money is on the latter one.

---------------------------------------------

Fallout 2: A Post-Nuclear Role Playing Game is the sequel to Fallout, originally released in 1998 by Interplay, and set 80 years after the original game.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEfitQ1eX0Bgw7ICppTA1hqs

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"PDPoTmXlOas","Fallout 2 — Part 6 - Taunting Twins","aulddragon","2019-06-10","2019-06-15","https://i.ytimg.com/vi/PDPoTmXlOas/hqdefault.jpg","They're up to no good, but I still wonder why I couldn't piss them off normally.

---------------------------------------------

Fallout 2: A Post-Nuclear Role Playing Game is the sequel to Fallout, originally released in 1998 by Interplay, and set 80 years after the original game.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEfitQ1eX0Bgw7ICppTA1hqs

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"mCfuOZzHuOg","Fallout 2 — Part 7 - Exploring Klamath","aulddragon","2019-06-10","2019-06-16","https://i.ytimg.com/vi/mCfuOZzHuOg/hqdefault.jpg","Well, having gotten myself into a sidequest right away, I didn't have a chance to explore town, so let's rectify that now.

---------------------------------------------

Fallout 2: A Post-Nuclear Role Playing Game is the sequel to Fallout, originally released in 1998 by Interplay, and set 80 years after the original game.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEfitQ1eX0Bgw7ICppTA1hqs

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"cIIDgMR_0a8","Fallout 2 — Part 8 - Grampy Bone Be A'Helpin'","aulddragon","2019-06-17","2019-06-17","https://i.ytimg.com/vi/cIIDgMR_0a8/hqdefault.jpg","I think it is time to pay off a little debt, and get some help.

---------------------------------------------

Fallout 2: A Post-Nuclear Role Playing Game is the sequel to Fallout, originally released in 1998 by Interplay, and set 80 years after the original game.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEfitQ1eX0Bgw7ICppTA1hqs

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"UvW0sE1zOrA","Fallout 2 — Part 9 - The Canyon Spirit","aulddragon","2019-06-17","2019-06-18","https://i.ytimg.com/vi/UvW0sE1zOrA/hqdefault.jpg","I think it is called Veejer.

---------------------------------------------

Fallout 2: A Post-Nuclear Role Playing Game is the sequel to Fallout, originally released in 1998 by Interplay, and set 80 years after the original game.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEfitQ1eX0Bgw7ICppTA1hqs

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
