"Playlist URL","https://www.youtube.com/playlist?list=PL5466FB5E0C896926"
"Playlist title","Let's Play Baldur's Gate [Done]"
"Playlist author","aulddragon"
"Videos","128"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"rLr5kSrGtEo","Let's Play ""Baldur's Gate"" Part 001 - Choppy Mouse Movements, Ho!","aulddragon","2011-08-16","2011-08-16","https://i.ytimg.com/vi/rLr5kSrGtEo/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

We start out with character creation, which I don't go into as much depth as I did in the SSI games. To speed everything up, I pregenerated Elmindreda, the character I will be using in BG.

Unfortunately, mouse laggyness and video problems in episode 2 get the better of me. Looks like I'll have to investigate some other recording methods besides Camstudio (which works fine for old games, but not so much for newer ones). Hopefully I'll get everything worked out this weekend and I can get some more episodes done for next week."
"Q2kFNVVGoPc","Let's Play ""Baldur's Gate"" Part 002 - Why are people trying to kill me?!","aulddragon","2011-08-21","2011-08-21","https://i.ytimg.com/vi/Q2kFNVVGoPc/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

After equipping myself at the Inn, I speak with some of the people within Candlekeep. In two empty buildings, people try to kill me!  What could be going on?!

I'm using Fraps, which works a lot better for this than Camstudio. However, the files are uncompressed, so I'll probably continue to use Camstudio for other recordings."
"DcILV8hZ2MI","Let's Play ""Baldur's Gate"" Part 003 - Nooo!  Father!!","aulddragon","2011-08-28","2011-08-28","https://i.ytimg.com/vi/DcILV8hZ2MI/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

Oh no, what shall we do! We're all alone now!

Well, for a few minutes until Imoen joins my party. Woohoo!"
"KGx0VifpH7Y","Let's Play ""Baldur's Gate"" Part 004 - I'm not doing so well here...","aulddragon","2011-08-28","2011-08-28","https://i.ytimg.com/vi/KGx0VifpH7Y/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

Well. Not much to say here, other than.. wow, I suck!

I think you can expect more of this throughout this Let's Play!"
"IG4T4fYl-3w","Let's Play ""Baldur's Gate"" Part 005 - Gaining Companions!","aulddragon","2011-09-05","2011-09-05","https://i.ytimg.com/vi/IG4T4fYl-3w/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

We enter the central Rochester Castle-like keep of the Friendly Arm Inn, and search out Gorion's friends. We then decide to do some hobgoblin hunting!"
"wf_uxowXx1s","Let's Play ""Baldur's Gate"" Part 006 - Beregost!","aulddragon","2011-09-18","2011-09-18","https://i.ytimg.com/vi/wf_uxowXx1s/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

We make our way to Beregost, finding a wrecked caravan by the road and a random kid in the middle of the wilderness..."
"oNaXRBCbn_c","Let's Play ""Baldur's Gate"" Part 007 - Security is a bit light here...","aulddragon","2011-09-18","2011-09-18","https://i.ytimg.com/vi/oNaXRBCbn_c/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

We get into a couple fights in town, and people just stand around doing nothing. This town makes me feel very safe!"
"VpLmiTuTfOQ","Let's Play ""Baldur's Gate"" Part 008 - Bothering Beregosters","aulddragon","2011-09-26","2011-09-26","https://i.ytimg.com/vi/VpLmiTuTfOQ/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

We wander around a bit more in Beregost, realize the huge spider quest is over our heads, and annoy Jaheira. All in a day's work!"
"CuoDV4nLEkI","Let's Play ""Baldur's Gate"" Part 009 - Dangerous Roads Ahead","aulddragon","2011-09-26","2011-09-26","https://i.ytimg.com/vi/CuoDV4nLEkI/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

We head south towards Nashkel, slaughtering kobolds, hobgoblins, and bandits along the way. Woohoo!"
"NBSZotwU-zY","Let's Play ""Baldur's Gate"" Part 010 - Nashkel!","aulddragon","2011-10-03","2011-10-03","https://i.ytimg.com/vi/NBSZotwU-zY/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

We begin to explore the town of Nashkel, starting with a very boring farm outside of town. Then we visit the inn and the obligatory assassin. Wee!"
"iyuiZsJUQIQ","Let's Play ""Baldur's Gate"" Part 011 - GO FOR THE EYES, BOO!","aulddragon","2011-10-03","2011-10-03","https://i.ytimg.com/vi/iyuiZsJUQIQ/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

BEST CHARACTER IN THE GAME!

Plus, Spelljammer references ftw. I loves me some Spelljammer.

I wish Boo was actually Woolly Rupert in disguise, though."
"5Pta7UOc_9w","Let's Play ""Baldur's Gate"" Part 012 - In which I completely miss the entrance to the mine...","aulddragon","2011-10-09","2011-10-09","https://i.ytimg.com/vi/5Pta7UOc_9w/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

I begin searching for the entrance to the mines, and completely miss the entrance.

Kieran would LOVE the minecarts here..."
"cfaIkIWuGds","Let's Play ""Baldur's Gate"" Part 013 - Apparently I suck at fighting Kobolds. Awesome!","aulddragon","2011-10-09","2011-10-09","https://i.ytimg.com/vi/cfaIkIWuGds/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

Yeah, there are multiple reloads here. I feel ashamed."
"pp0xvLfXPhs","Let's Play ""Baldur's Gate"" Part 014 - Stop dying, Minsc!","aulddragon","2011-10-17","2011-10-17","https://i.ytimg.com/vi/pp0xvLfXPhs/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

Minsc, stop dying against measely kobolds! You're forcing me to reload!"
"XKU6ypPa1Zs","Let's Play ""Baldur's Gate"" Part 015 - Kobolds going commando...","aulddragon","2011-10-17","2011-10-17","https://i.ytimg.com/vi/XKU6ypPa1Zs/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

We continue deeper into the mines, and discover a Kobold Commando! Rather annoying, he is. We then get to fight some oozes.

Minsc dies multiple times, as usual."
"WDi7G1csz4M","Let's Play ""Baldur's Gate"" Part 016 - Cleansing the Mines","aulddragon","2011-10-30","2011-10-30","https://i.ytimg.com/vi/WDi7G1csz4M/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

We encounter Mulahey, the villain behind the weakening of the iron. We have some good conversation, drinks, share stories... then completely slaughter him! Weeee! It's so much fun to be good!"
"qfhjarwgy_M","Let's Play ""Baldur's Gate"" Part 017 - Back to town for our reward!","aulddragon","2011-11-07","2011-11-07","https://i.ytimg.com/vi/qfhjarwgy_M/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

After cleansing the mines, we make our way back to town. This will be an uneventful trip, right?"
"3ecQf6GFfeU","Let's Play ""Baldur's Gate"" Part 018 - Off to the Gnoll Fortress!","aulddragon","2011-11-13","2011-11-13","https://i.ytimg.com/vi/3ecQf6GFfeU/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

We finally decide to help Minsc save his ward, and so head off to the Gnoll Fortress. The journey is long (hahaha, okay, it's not) and hard (Ohnoes, Xvarts! Whatever shall I do! Maybe... kill them all? sounds good to me!), but we finally make it!"
"CcC0pjuKwEM","Let's Play ""Baldur's Gate"" Part 019 - Let's go slaughter some gnolls!","aulddragon","2011-11-20","2011-11-20","https://i.ytimg.com/vi/CcC0pjuKwEM/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

A LOT of gnolls as it turns out. But then we make Minsc happy.

No, we do not find a Two-headed Lernaean Phase Doppleganger Giant Space Hamster mate for Boo."
"d6U43fLMRIc","Let's Play ""Baldur's Gate"" Part 020 - Sideways flying eagles are awesome.","aulddragon","2011-11-27","2011-11-27","https://i.ytimg.com/vi/d6U43fLMRIc/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

What the heck is with the respawn rate in this game anyway? At least it's more experience. Anyway, we finish exploring the Gnoll fortress, and slay lots and lots of gnolls and xvarts."
"Xi4H3rmDZAM","Let's Play ""Baldur's Gate"" Part 021 - Looking for Bandits in all the wrong places","aulddragon","2011-12-05","2011-12-05","https://i.ytimg.com/vi/Xi4H3rmDZAM/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

Having rescued Dynaheir, it is now time to go find these bandits who are harassing the caravans!

And by ""look for bandits"" I mean wander around aimlessly slaughtering things. Wee!"
"1qeNm9NKg0Y","Let's Play ""Baldur's Gate"" Part 022 - Bandits Bandits Everywhere!","aulddragon","2011-12-05","2011-12-05","https://i.ytimg.com/vi/1qeNm9NKg0Y/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

We finally find an area full of bandits, and proceed to slaughter them. Fun times!"
"ZwlZa-BOpEA","Let's Play ""Baldur's Gate"" Part 023 - Beware the crazed druids!","aulddragon","2011-12-11","2011-12-11","https://i.ytimg.com/vi/ZwlZa-BOpEA/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

While wandering through the forest, we are attacked by an insane druid. We then get to kill the guy who set him up!"
"fyVuUmMo-zY","Let's Play ""Baldur's Gate"" Part 024 - A Friendly Ghoul?","aulddragon","2011-12-11","2011-12-11","https://i.ytimg.com/vi/fyVuUmMo-zY/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

This is an eventful episode! First we get slaughtered by phase spiders, then we get slaughtered by basilisks, and then we encounter a friendly ghoul (who makes killing some basilisks a lot easier!). What fun!"
"M1px7rHuqKo","Let's Play ""Baldur's Gate"" Part 025 - Basilisks, Basilisks, Everywhere!","aulddragon","2011-12-18","2011-12-18","https://i.ytimg.com/vi/M1px7rHuqKo/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

In this episode, I make multiple attempts to kill a bunch of basilisks and the gnome who is controlling them!"
"WxOwckSnO_I","Let's Play ""Baldur's Gate"" Part 026 - Looting Halfling Villages!","aulddragon","2011-12-18","2011-12-18","https://i.ytimg.com/vi/WxOwckSnO_I/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

We wander into a Halfling village, and promptly loot it. We then find some catacombs beneath a Temple of Helm, and promptly loot that too (while slaughtering the kobolds we find within)!"
"6Zr2vgBW4HY","Let's Play ""Baldur's Gate"" Part 027 - Slowdown in the Catacombs and Unintentional Quest Completion!","aulddragon","2011-12-25","2011-12-25","https://i.ytimg.com/vi/6Zr2vgBW4HY/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

We continue to explore the labyrinthine catacombs beneath the halfling village, and encounter some Ghost Knights of Massive Slowdown, which leads to a random unintentional quest completion! Then we encounter the one who masterminded the harassing of the village, and leads to another random unintentional quest completion!

Elmindreda and Party: Bumbling Into Victory Since 1368 DR!"
"1IWGY_8SWsY","Let's Play ""Baldur's Gate"" Part 028 - Bumbling into assassins!","aulddragon","2011-12-25","2011-12-25","https://i.ytimg.com/vi/1IWGY_8SWsY/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

Continuing the theme, we bumble into a party of assassins who want me dead! It takes a few tries, but we manage to obliterate them eventually!"
"4wfe3P4yhm4","Let's Play ""Baldur's Gate"" Part 029 - Undead Abound","aulddragon","2012-01-01","2012-01-01","https://i.ytimg.com/vi/4wfe3P4yhm4/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

We detour to Bereghost to sell some stuff and take care of that spiderhouse, then begin to wander in the middle of the night, and slay quite a few ghoulish creatures."
"njD2bZjioIo","Let's Play ""Baldur's Gate"" Part 030 - Harassing Hermits!","aulddragon","2012-01-01","2012-01-01","https://i.ytimg.com/vi/njD2bZjioIo/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

We continue our wandering exploration of some map sections, and encounter a hermit who really gets on Elmindreda's nerves, and does she ever give him a piece of her mind!"
"qxKq5viFg8o","Let's Play ""Baldur's Gate"" Part 031 - Searching the Carnival Area","aulddragon","2012-01-08","2012-01-08","https://i.ytimg.com/vi/qxKq5viFg8o/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

We get around to going back to the Carnival area and gathering stuff we missed, along with killing various monsters and silly wizard types."
"CSUzwzw9p9Q","Let's Play ""Baldur's Gate"" Part 032 - Greywolf and Prism","aulddragon","2012-01-08","2012-01-08","https://i.ytimg.com/vi/CSUzwzw9p9Q/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

This time we return to the Nashkel Mine area and find an obsessed sculptor and the bounty hunter sent to hunt him. We make short work of the jerk, and get a nice sword!"
"xY8zjMN-12g","Let's Play ""Baldur's Gate"" Part 033 - Sick Guys take up an item slot!","aulddragon","2012-01-15","2012-01-15","https://i.ytimg.com/vi/xY8zjMN-12g/hqdefault.jpg","Let's Play the first of the Infinity Engine AD&D games: ""Baldur's Gate""!

We encounter a woman with a sick companion, whom we must take to the temple of Garl Glittergold at the Friendly Arm Inn. He is an item!"
