"Playlist URL","https://www.youtube.com/playlist?list=PL1Be_cMfHOEfInV1QEB685ziT8_J3AGcH"
"Playlist title","Let's Play The Banner Saga 2 [Done]"
"Playlist author","aulddragon"
"Videos","34"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"AyYF0nRxGKg","Let's Play ""The Banner Saga 2"" Part 00 - Recap","aulddragon","2016-04-19","2016-04-19","https://i.ytimg.com/vi/AyYF0nRxGKg/hqdefault.jpg","Before returning to the lands of the Banner Saga, let's recap the events of the first game.

Buy the Banner Saga 2 on Steam:
http://store.steampowered.com/app/281640/?snr=1_5_9__205

Watch my LP of the previous game:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcoJa12PvPfKERksau6xrM8"
"qs7GJmaqX9o","Let's Play ""The Banner Saga 2"" Part 01 - Reckless Rook","aulddragon","2016-04-19","2016-04-19","https://i.ytimg.com/vi/qs7GJmaqX9o/hqdefault.jpg","Rook hasn't entirely gotten over the events of the previous game, it seems.

Buy the Banner Saga 2 on Steam:
http://store.steampowered.com/app/281640/?snr=1_5_9__205

Watch my LP of the previous game:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcoJa12PvPfKERksau6xrM8"
"g4z3AIPXzHk","Let's Play ""The Banner Saga 2"" Part 02 - Reviewing Our Heroes","aulddragon","2016-04-20","2016-04-20","https://i.ytimg.com/vi/g4z3AIPXzHk/hqdefault.jpg","It's been a while since I played the last game, so let's take a look at who is still left standing.

Buy the Banner Saga 2 on Steam:
http://store.steampowered.com/app/281640/?snr=1_5_9__205

Watch my LP of the previous game:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcoJa12PvPfKERksau6xrM8"
"-uKZ-cnis0k","Let's Play ""The Banner Saga 2"" Part 03 - Sail Away, Sail Away, Sail Away","aulddragon","2016-04-20","2016-04-21","https://i.ytimg.com/vi/-uKZ-cnis0k/hqdefault.jpg","After Aleo's village joins our troop, we continue on our way towards the capital Arberrang.

Buy the Banner Saga 2 on Steam:
http://store.steampowered.com/app/281640/?snr=1_5_9__205

Watch my LP of the previous game:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcoJa12PvPfKERksau6xrM8"
"hFuNU-rT25U","Let's Play ""The Banner Saga 2"" Part 04 - Sven's Challenges","aulddragon","2016-04-20","2016-04-22","https://i.ytimg.com/vi/hFuNU-rT25U/hqdefault.jpg","Our training tent is run by Sven, who has set some challenges for us to complete.

Buy the Banner Saga 2 on Steam:
http://store.steampowered.com/app/281640/?snr=1_5_9__205

Watch my LP of the previous game:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcoJa12PvPfKERksau6xrM8"
"dPvW8sYFHDs","Let's Play ""The Banner Saga 2"" Part 05 - Run Aground","aulddragon","2016-04-25","2016-04-23","https://i.ytimg.com/vi/dPvW8sYFHDs/hqdefault.jpg","We must beach our fleet and face the Dredge to avoid a much worse situation.

Buy the Banner Saga 2 on Steam:
http://store.steampowered.com/app/281640/?snr=1_5_9__205

Watch my LP of the previous game:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcoJa12PvPfKERksau6xrM8"
"pRBxVtIp0no","Let's Play ""The Banner Saga 2"" Part 06 - Across The Chasm","aulddragon","2016-04-25","2016-04-24","https://i.ytimg.com/vi/pRBxVtIp0no/hqdefault.jpg","Eyvind and Juno have a plan to help us escape the Dredge.

Buy the Banner Saga 2 on Steam:
http://store.steampowered.com/app/281640/?snr=1_5_9__205

Watch my LP of the previous game:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcoJa12PvPfKERksau6xrM8"
"U3MNHYUMxS0","Let's Play ""The Banner Saga 2"" Part 07 - The Trail Splits","aulddragon","2016-04-25","2016-04-25","https://i.ytimg.com/vi/U3MNHYUMxS0/hqdefault.jpg","The Ravens take their leave of Rook's caravan, and they seem to have a secret mission...

Buy the Banner Saga 2 on Steam:
http://store.steampowered.com/app/281640/?snr=1_5_9__205

Watch my LP of the previous game:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcoJa12PvPfKERksau6xrM8"
"NVvTgig2fVU","Let's Play ""The Banner Saga 2"" Part 08 - Axe Thrower","aulddragon","2016-04-25","2016-04-26","https://i.ytimg.com/vi/NVvTgig2fVU/hqdefault.jpg","One of the mercenaries in our party makes a name for himself...

Buy the Banner Saga 2 on Steam:
http://store.steampowered.com/app/281640/?snr=1_5_9__205

Watch my LP of the previous game:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcoJa12PvPfKERksau6xrM8"
"ajBcXmyAMBQ","Let's Play ""The Banner Saga 2"" Part 09 - A Man and His Spear","aulddragon","2016-04-28","2016-04-27","https://i.ytimg.com/vi/ajBcXmyAMBQ/hqdefault.jpg","Spears are probably more loyal than dogs. Probably.

Buy the Banner Saga 2 on Steam:
http://store.steampowered.com/app/281640/?snr=1_5_9__205

Watch my LP of the previous game:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcoJa12PvPfKERksau6xrM8"
"R9oRx_wNG8I","Let's Play ""The Banner Saga 2"" Part 10 - Bindal","aulddragon","2016-04-28","2016-04-28","https://i.ytimg.com/vi/R9oRx_wNG8I/hqdefault.jpg","Pushing through the snowstorm, we find unexpected people in charge of Bindal.

Buy the Banner Saga 2 on Steam:
http://store.steampowered.com/app/281640/?snr=1_5_9__205

Watch my LP of the previous game:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcoJa12PvPfKERksau6xrM8"
"CBQ-_oWXH0w","Let's Play ""The Banner Saga 2"" Part 11 - DA BEARS","aulddragon","2016-04-28","2016-04-29","https://i.ytimg.com/vi/CBQ-_oWXH0w/hqdefault.jpg","Eirik has a very, VERY strange plan.

Buy the Banner Saga 2 on Steam:
http://store.steampowered.com/app/281640/?snr=1_5_9__205

Watch my LP of the previous game:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcoJa12PvPfKERksau6xrM8"
"-t1oHJHYRQ0","Let's Play ""The Banner Saga 2"" Part 12 - Horseborn","aulddragon","2016-04-28","2016-04-30","https://i.ytimg.com/vi/-t1oHJHYRQ0/hqdefault.jpg","Right out of myth we find some wounded centaurs at our destination.

Buy the Banner Saga 2 on Steam:
http://store.steampowered.com/app/281640/?snr=1_5_9__205

Watch my LP of the previous game:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcoJa12PvPfKERksau6xrM8"
"O4V9BNQ4keI","Let's Play ""The Banner Saga 2"" Part 13 - Lundar","aulddragon","2016-04-28","2016-05-01","https://i.ytimg.com/vi/O4V9BNQ4keI/hqdefault.jpg","Three groups converge on Lundar...

Buy the Banner Saga 2 on Steam:
http://store.steampowered.com/app/281640/?snr=1_5_9__205

Watch my LP of the previous game:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcoJa12PvPfKERksau6xrM8"
"px6DAzl6G4w","Let's Play ""The Banner Saga 2"" Part 14 - Changing Paths","aulddragon","2016-04-28","2016-05-02","https://i.ytimg.com/vi/px6DAzl6G4w/hqdefault.jpg","Wrapping up the events in Lundar returns us to the Ravens.

Buy the Banner Saga 2 on Steam:
http://store.steampowered.com/app/281640/?snr=1_5_9__205

Watch my LP of the previous game:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcoJa12PvPfKERksau6xrM8"
"YW7Wkz1XLv8","Let's Play ""The Banner Saga 2"" Part 15 - Inside the Crate","aulddragon","2016-04-28","2016-05-03","https://i.ytimg.com/vi/YW7Wkz1XLv8/hqdefault.jpg","What could be in this crate we've been dragging with us for so long, anyway?

Buy the Banner Saga 2 on Steam:
http://store.steampowered.com/app/281640/?snr=1_5_9__205

Watch my LP of the previous game:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcoJa12PvPfKERksau6xrM8"
"DfrG8MTUNgI","Let's Play ""The Banner Saga 2"" Part 16 - The Tracker","aulddragon","2016-05-05","2016-05-04","https://i.ytimg.com/vi/DfrG8MTUNgI/hqdefault.jpg","Dytch has an ability that could be pretty powerful, if I can figure out how to use it...

Buy the Banner Saga 2 on Steam:
http://store.steampowered.com/app/281640/?snr=1_5_9__205

Watch my LP of the previous game:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcoJa12PvPfKERksau6xrM8"
"X8Z0gHkw3C0","Let's Play ""The Banner Saga 2"" Part 17 - The Godstone Pools","aulddragon","2016-05-05","2016-05-05","https://i.ytimg.com/vi/X8Z0gHkw3C0/hqdefault.jpg","I never excepted to find a godstone so deep underground.

Buy the Banner Saga 2 on Steam:
http://store.steampowered.com/app/281640/?snr=1_5_9__205

Watch my LP of the previous game:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcoJa12PvPfKERksau6xrM8"
"2yzwLbU37Sw","Let's Play ""The Banner Saga 2"" Part 18 - Eyeless","aulddragon","2016-05-05","2016-05-06","https://i.ytimg.com/vi/2yzwLbU37Sw/hqdefault.jpg","And so the game's difficulty takes a major spike upward.

Buy the Banner Saga 2 on Steam:
http://store.steampowered.com/app/281640/?snr=1_5_9__205

Watch my LP of the previous game:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcoJa12PvPfKERksau6xrM8"
"ohlJhJxEsdE","Let's Play ""The Banner Saga 2"" Part 19 - Into the Old Wood","aulddragon","2016-05-05","2016-05-07","https://i.ytimg.com/vi/ohlJhJxEsdE/hqdefault.jpg","There is apparently something magical or mystical about this ancient forest.

Buy the Banner Saga 2 on Steam:
http://store.steampowered.com/app/281640/?snr=1_5_9__205

Watch my LP of the previous game:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcoJa12PvPfKERksau6xrM8"
"r13crDdHgqY","Let's Play ""The Banner Saga 2"" Part 20 - Trigecanthae","aulddragon","2016-05-05","2016-05-08","https://i.ytimg.com/vi/r13crDdHgqY/hqdefault.jpg","In the Old Wood, we meet an enemy of our horseborn allies.

Note the episode ends early because the game locked up.

Buy the Banner Saga 2 on Steam:
http://store.steampowered.com/app/281640/?snr=1_5_9__205

Watch my LP of the previous game:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcoJa12PvPfKERksau6xrM8"
"nAMw7QjrHGI","Let's Play ""The Banner Saga 2"" Part 21 - Eyvind, Run!","aulddragon","2016-05-05","2016-05-09","https://i.ytimg.com/vi/nAMw7QjrHGI/hqdefault.jpg","Might not be bad advice for all of us.

Buy the Banner Saga 2 on Steam:
http://store.steampowered.com/app/281640/?snr=1_5_9__205

Watch my LP of the previous game:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcoJa12PvPfKERksau6xrM8"
