"Playlist URL","https://www.youtube.com/playlist?list=PL1A1DF6DF1A6CB5D9"
"Playlist title","Let's Play X-Com: Terror From The Deep [Done]"
"Playlist author","aulddragon"
"Videos","90"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"hNe3Mx7iFDs","Let's Play ""X-Com: Terror From The Deep"" Part 01 - Mass Casualty Event","aulddragon","2012-03-26","2012-03-26","https://i.ytimg.com/vi/hNe3Mx7iFDs/hqdefault.jpg","Let's Play X-Com: Terror From The Deep!

Here we go! The alien menace has returned, this time from beneath the waves! And this time, the body count will be massive...on our end. If you wish an opportunity to get kil...er, slaughter aliens, leave a comment!

WHO WILL SURVIVE?!

Team 1:
Seaman Stompy Bigshoes
Able Seaman Steve?
Ensign Larris Magpie
Ensign McBones
Able Seaman Switz
Able Seaman sand
Seaman kitty523
Seaman Twilight Sparkle


Not in Team 1:
Seaman Natalie Warwelf
Seaman Drake Tungsten
Seaman Rick Drywall
Seaman MR. BEARDSLEY!
Seaman Troy McGregor
Seaman Zap Rowsdower


KIA:
Seaman BattleBunny
Seaman Dlux
Seaman Omegatripod
Seaman Pepe the Grinder
Seaman loluigi123
Seaman jfultz660


Total Operative Losses:
6"
"Ydr6t2XexmA","Let's Play ""X-Com: Terror From The Deep"" Part 02 - Killing the Generics","aulddragon","2012-03-29","2012-03-29","https://i.ytimg.com/vi/Ydr6t2XexmA/hqdefault.jpg","Let's Play X-Com: Terror From The Deep!

Since I have so many subscribers to name, it's time to send the generics out to their deaths! Woohoo! They actually fight surprisingly well.

Team 1:
Ensign Natalie Warwelf
Ensign Larris Magpie
Lieutenant McBones
Able Seaman Switz
Ensign sand
Able Seaman Troy McGregor
Seaman kitty523
Able Seaman Zap Rowsdower
Seaman Twilight Sparkle


Not in Team 1:
Seaman BattleBunny II
Seaman Dlux II
Seaman Omegatripod II
Seaman Pepe the Grinder II
Seaman loluigi123 II
Seaman jfultz660 II


KIA:
Seaman Stompy Bigshoes
Able Seaman Steve?
Seaman Drake Tungsten
Seaman Rick Drywall
Seaman MR. BEARDSLEY!


Total Operative Losses:
11"
"DCTaR7ICXu0","Let's Play ""X-Com: Terror From The Deep"" Part 03 - Gillmen Enter the Fray","aulddragon","2012-04-02","2012-04-02","https://i.ytimg.com/vi/DCTaR7ICXu0/hqdefault.jpg","Let's Play X-Com: Terror From The Deep!

The end of the month nears, and we get our first Terror Mission! Gillmen have attacked the Canary Islands, and we must defend the civilians!

WHO WILL SURVIVE?!

Team 1:
Seaman horstcm
Ensign Larris Magpie
Seaman Dlux II
Seaman Omegatripod II
Lieutenant McBones
Able Seaman Switz
Ensign sand
Seaman kitty523
Able Seaman Zap Rowsdower
Seaman Twilight Sparkle

Not in Team 1:
Seaman Kamekification
Seaman Maunicio
Seaman Morakdais
Seaman Pepe the Grinder II
Seaman loluigi123 II
Seaman jfultz660 II

KIA:
Seaman BWT23
Seaman BattleBunny II
Ensign Natalie Warwelf
Able Seaman Troy McGregor

Total Operative Losses:
15"
"NaA3uvdy0TI","Let's Play ""X-Com: Terror From The Deep"" Part 04 - Successful Completion","aulddragon","2012-04-05","2012-04-05","https://i.ytimg.com/vi/NaA3uvdy0TI/hqdefault.jpg","Let's Play X-Com: Terror From The Deep!

We successfully complete the terror mission, ending the gillman threat to the Canary Islands!

WHO WILL SURVIVE!?

Team 1:
Ensign Dlux II
Able Seaman Omegatripod II
Lieutenant McBones
Ensign Zap Rowsdower
Able Seaman Twilight Sparkle


Not in Team 1:
Seaman Kamekification
Seaman Maunicio
Seaman Morakdais
Seaman Pepe the Grinder II
Seaman loluigi123 II
Seaman jfultz660 II


KIA:
Seaman horstcm
Ensign Larris Magpie
Able Seaman Switz
Ensign sand
Seaman kitty523


Total Operative Losses:
20"
"2OqZwuiw3HA","Let's Play ""X-Com: Terror From The Deep"" Part 05 - EVERYBODY LIVES!","aulddragon","2012-04-09","2012-04-09","https://i.ytimg.com/vi/2OqZwuiw3HA/hqdefault.jpg","Let's Play X-Com: Terror From The Deep!

Of course, since there was only one alien, it's not that surprising...

Team 1:
Seaman BWT23 II
Seaman BattleBunny III
Ensign horstcm II
Ensign Kamekification
Seaman Maunicio
Seaman Morakdais
Lieutenant Dlux II
Ensign Omegatripod II
Seaman Pepe the Grinder II
Seaman loluigi123 II
Seaman jfultz660 II
Seaman Shyma
Seaman usapatriot4163
Lieutenant Zap Rowsdower


Not in Team 1:
Seaman Larris Magpie II
Seaman Switz II
Commander McBones
Seaman sand II
Seaman kitty523
Ensign Twilight Sparkle
Seaman hammergon587
Seaman Martin Northcott
Seaman Edward Thompson

KIA:
None

Total Operative Losses:
20"
"QKjhYA5BY4g","Let's Play ""X-Com: Terror From The Deep"" Part 06 - End of the reprieve...","aulddragon","2012-04-12","2012-04-12","https://i.ytimg.com/vi/QKjhYA5BY4g/hqdefault.jpg","Let's Play X-Com: Terror From The Deep!

We head to another mission, this time in an aquatic oil extraction facility. I love these maps. Unfortunately, there are a LOT of hiding places for the aliens. And they use that to their advantage.

Team 1:
Able Seaman BWT23 II
Seaman Larris Magpie II
Seaman Switz II
Seaman Pepe the Grinder II
Seaman loluigi123 II
Able Seaman jfultz660 II
Able Seaman Shyma
Able Seaman usapatriot4163
Seaman hammergon587
Able Seaman Jacobius the 5th

Not in Team 1:
Ensign horstcm II
Ensign Kamekification
Lieutenant Dlux II
Ensign Omegatripod II
Commander McBones
Seaman sand II
Seaman kitty523
Lieutenant Zap Rowsdower
Ensign Twilight Sparkle

KIA:
Seaman BattleBunny III
Seaman Maunicio
Seaman Morakdais
Seaman FlankerPhil

Total Operative Losses:
24"
"e9etduAQeFo","Let's Play ""X-Com: Terror From The Deep"" Part 07 - Saving the Aussies!","aulddragon","2012-04-16","2012-04-16","https://i.ytimg.com/vi/e9etduAQeFo/hqdefault.jpg","Let's Play X-Com: Terror From The Deep!

The aliens launch another terror mission, this time on Darwin! Why do they like attacking sites so far from me?

WHO WILL SURVIVE?!

Team 1:
Ensign Kamekification
Lieutenant Dlux II
Commander McBones
Able Seaman Pepe the Grinder II
Able Seaman loluigi123 II
Ensign jfultz660 II
Able Seaman Shyma

Not in Team 1:
Able Seaman usapatriot4163
Lieutenant Zap Rowsdower
Ensign Twilight Sparkle
Seaman hammergon587
Able Seaman Jacobius the 5th

KIA:
Able Seaman BWT23 II
Seaman Larris Magpie II
Seaman Switz II
Ensign horstcm II
Ensign Omegatripod II
Seaman sand II
Seaman kitty523

Total Operative Losses:
31"
"2G3GhmLxht4","Let's Play ""X-Com: Terror From The Deep"" Part 08 - Keeping Up the Fight","aulddragon","2012-04-19","2012-04-19","https://i.ytimg.com/vi/2G3GhmLxht4/hqdefault.jpg","Let's Play X-Com: Terror From The Deep!

We make progress on research in this episode, and find a landed Gillman sub! It's time to test out some new clones!

Team 1:
Seaman Flanker Phil II
Seaman BWT23 III
Ensign Zaku
Ensign kitty523 II
Seaman morakdais II
Ensign usapatriot4163
Commander Zap Rowsdower
Ensign Twilight Sparkle
Seaman hammergon587
Ensign Jacobius the 5th
Seaman BattleBunny IV

Not in Team 1:
Lieutenant Kamekification
Lieutenant Dlux II
Seaman sand III
Captain McBones
Seaman Omegatripod III
Ensign Pepe the Grinder II
Seaman Larris Magpie III
Ensign loluigi123 II
Lieutenant jfultz660 II
Ensign Shyma

KIA:
Seaman horstcm III
Seaman Maunicio II
Seaman Switz III

Total Operative Losses:
34"
"MO6I3swc6JU","Let's Play ""X-Com: Terror From The Deep"" Part 09 - Graveyard of Ships","aulddragon","2012-04-23","2012-04-23","https://i.ytimg.com/vi/MO6I3swc6JU/hqdefault.jpg","Let's Play X-Com: Terror From The Deep!

We land to take on a downed sub amongst the remnants of many galleons and caravels. And of course, the aliens love to hide amongst the debris...

Team 1:
Seaman Flanker Phil II
Able Seaman morakdais II
Lieutenant Dlux II
Seaman sand III
Captain McBones
Ensign Omegatripod III
Ensign Pepe the Grinder II
Ensign loluigi123 II
Lieutenant jfultz660 II
Lieutenant Shyma
Able Seaman hammergon587
Able Seaman BattleBunny IV

Not in Team 1:
Seaman Maunicio III
Seaman BWT23 III
Ensign Zaku
Seaman horstcm IV
Ensign kitty523 II
Ensign usapatriot4163 (Wounded)
Commander Zap Rowsdower
Ensign Twilight Sparkle
Ensign Jacobius the 5th
Seaman Switz IV

Not in Team 2:
Seaman Slab Bulkhead
Seaman Fridge Largemeat
Seaman Punt Speedchunk
Seaman Butch Deadlift
Seaman Bold Bigflank
Seaman Splint Chesthair
Seaman Flint Ironstag
Seaman Bolt Vanderhuge
Seaman Thick McRunfast
Seaman Ms. Astro Chicken
Seaman Blast Hardcheese
Seaman Buff Drinklots
Seaman Trunk Slamchest
Seaman Fist Rockbone
Seaman Stump Beefknob
Seaman Smash Lampjaw
Seaman Frigid McTurndown
Seaman Punch Rockgroin
Seaman Buck Plankchest
Seaman Stump Chunkman

KIA:
Lieutenant Kamekification
Seaman Larris Magpie III

Total Operative Losses:
36"
"A__MOsYugkE","Let's Play ""X-Com: Terror From The Deep"" Part 10 - Off the Coast of Denmark","aulddragon","2012-04-26","2012-04-26","https://i.ytimg.com/vi/A__MOsYugkE/hqdefault.jpg","Let's Play X-Com: Terror From The Deep!

We sight a landed Medium vessel off the coast of Denmark. Clearly they are after the world's supply of LEGO!  THIS MUST NOT HAPPEN!

Team 1:
Able Seaman Maunicio III
Able Seaman Flanker Phil II
Ensign Zaku
Able Seaman horstcm IV
Ensign kitty523 II
Able Seaman morakdais II
Able Seaman sand III
Ensign Twilight Sparkle
Ensign Jacobius the 5th
Able Seaman Switz IV

Not in Team 1:
Lieutenant Dlux II
Captain McBones
Ensign Omegatripod III
Ensign Pepe the Grinder II
Ensign loluigi123 II
Lieutenant jfultz660 II
Lieutenant Shyma
Ensign usapatriot4163 (Wounded)
Commander Zap Rowsdower
Able Seaman BattleBunny IV

Not in Team 2:
Seaman Slab Bulkhead
Seaman Fridge Largemeat
Seaman Punt Speedchunk
Seaman Butch Deadlift
Seaman Bold Bigflank
Seaman Splint Chesthair
Seaman Flint Ironstag
Seaman Bolt Vanderhuge
Seaman Thick McRunfast
Seaman Ms. Astro Chicken
Seaman Blast Hardcheese
Seaman Buff Drinklots
Seaman Trunk Slamchest
Seaman Fist Rockbone
Seaman Stump Beefknob
Seaman Smash Lampjaw
Seaman Frigid McTurndown
Seaman Punch Rockgroin
Seaman Buck Plankchest
Seaman Stump Chunkman

KIA:
Seaman BWT23 III
Seaman Kamekification II
Seaman Larris Magpie IV
Able Seaman hammergon587

Total Operative Losses:
40"
