"Playlist URL","https://www.youtube.com/playlist?list=PL1Be_cMfHOEdcnv9w-SB7zbZ8T6NS8X2j"
"Playlist title","The Darkside Detective [Done]"
"Playlist author","aulddragon"
"Videos","23"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"XWrB2oHuDsw","The Darkside Detective Part 1 - Malice In Wonderland","aulddragon","2017-08-02","2017-08-02","https://i.ytimg.com/vi/XWrB2oHuDsw/hqdefault.jpg","The Darkside Detective, is a quirky, silly, and tremendously fun point-and-click adventure game from Spooky Doorway. The game follows six cases of Detective Francis McQueen, and his sidekick Officer Dooley, as they attempt to solve mysteries paranormal, strange, spooky, or just downright silly!

---------------------------------------------

The Darkside Detective is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdcnv9w-SB7zbZ8T6NS8X2j

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon"
"XZH9aRgsLYQ","The Darkside Detective Part 2 - Tome Alone","aulddragon","2017-08-02","2017-08-03","https://i.ytimg.com/vi/XZH9aRgsLYQ/hqdefault.jpg","The Darkside Detective, is a quirky, silly, and tremendously fun point-and-click adventure game from Spooky Doorway. The game follows six cases of Detective Francis McQueen, and his sidekick Officer Dooley, as they attempt to solve mysteries paranormal, strange, spooky, or just downright silly!

---------------------------------------------

The Darkside Detective is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdcnv9w-SB7zbZ8T6NS8X2j

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon"
"oVanG38Gz2I","The Darkside Detective Part 3 - Through the Viewmaster","aulddragon","2017-08-02","2017-08-04","https://i.ytimg.com/vi/oVanG38Gz2I/hqdefault.jpg","The Darkside Detective, is a quirky, silly, and tremendously fun point-and-click adventure game from Spooky Doorway. The game follows six cases of Detective Francis McQueen, and his sidekick Officer Dooley, as they attempt to solve mysteries paranormal, strange, spooky, or just downright silly!

---------------------------------------------

The Darkside Detective is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdcnv9w-SB7zbZ8T6NS8X2j

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon"
"KKrq0KygDgc","The Darkside Detective Part 4 - The Scariest Book","aulddragon","2017-08-02","2017-08-05","https://i.ytimg.com/vi/KKrq0KygDgc/hqdefault.jpg","The Darkside Detective, is a quirky, silly, and tremendously fun point-and-click adventure game from Spooky Doorway. The game follows six cases of Detective Francis McQueen, and his sidekick Officer Dooley, as they attempt to solve mysteries paranormal, strange, spooky, or just downright silly!

---------------------------------------------

The Darkside Detective is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdcnv9w-SB7zbZ8T6NS8X2j

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon"
"uqOwAppsDng","The Darkside Detective Part 5 - Disorient Express","aulddragon","2017-08-02","2017-08-06","https://i.ytimg.com/vi/uqOwAppsDng/hqdefault.jpg","The Darkside Detective, is a quirky, silly, and tremendously fun point-and-click adventure game from Spooky Doorway. The game follows six cases of Detective Francis McQueen, and his sidekick Officer Dooley, as they attempt to solve mysteries paranormal, strange, spooky, or just downright silly!

---------------------------------------------

The Darkside Detective is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdcnv9w-SB7zbZ8T6NS8X2j

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon"
"JppiEr-t60M","The Darkside Detective Part 6 - Look Skyward","aulddragon","2017-08-02","2017-08-07","https://i.ytimg.com/vi/JppiEr-t60M/hqdefault.jpg","The Darkside Detective, is a quirky, silly, and tremendously fun point-and-click adventure game from Spooky Doorway. The game follows six cases of Detective Francis McQueen, and his sidekick Officer Dooley, as they attempt to solve mysteries paranormal, strange, spooky, or just downright silly!

---------------------------------------------

The Darkside Detective is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdcnv9w-SB7zbZ8T6NS8X2j

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon"
"1658ks1x7yE","The Darkside Detective Part 7 - Police Farce","aulddragon","2017-08-02","2017-08-08","https://i.ytimg.com/vi/1658ks1x7yE/hqdefault.jpg","The Darkside Detective, is a quirky, silly, and tremendously fun point-and-click adventure game from Spooky Doorway. The game follows six cases of Detective Francis McQueen, and his sidekick Officer Dooley, as they attempt to solve mysteries paranormal, strange, spooky, or just downright silly!

---------------------------------------------

The Darkside Detective is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdcnv9w-SB7zbZ8T6NS8X2j

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon"
"Vn3IM0G82Dw","The Darkside Detective Part 8 - Sweet, Sweet Revenge","aulddragon","2017-08-02","2017-08-09","https://i.ytimg.com/vi/Vn3IM0G82Dw/hqdefault.jpg","The Darkside Detective, is a quirky, silly, and tremendously fun point-and-click adventure game from Spooky Doorway. The game follows six cases of Detective Francis McQueen, and his sidekick Officer Dooley, as they attempt to solve mysteries paranormal, strange, spooky, or just downright silly!

---------------------------------------------

The Darkside Detective is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdcnv9w-SB7zbZ8T6NS8X2j

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon"
"3eTyQDZT-yU","The Darkside Detective Part 9 - Loch Mess","aulddragon","2017-08-02","2017-08-10","https://i.ytimg.com/vi/3eTyQDZT-yU/hqdefault.jpg","The Darkside Detective, is a quirky, silly, and tremendously fun point-and-click adventure game from Spooky Doorway. The game follows six cases of Detective Francis McQueen, and his sidekick Officer Dooley, as they attempt to solve mysteries paranormal, strange, spooky, or just downright silly!

---------------------------------------------

The Darkside Detective is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdcnv9w-SB7zbZ8T6NS8X2j

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon"
"tAJQT2AN8K8","The Darkside Detective Part 10 - Adventures in Babysitting","aulddragon","2017-08-02","2017-08-11","https://i.ytimg.com/vi/tAJQT2AN8K8/hqdefault.jpg","The Darkside Detective, is a quirky, silly, and tremendously fun point-and-click adventure game from Spooky Doorway. The game follows six cases of Detective Francis McQueen, and his sidekick Officer Dooley, as they attempt to solve mysteries paranormal, strange, spooky, or just downright silly!

---------------------------------------------

The Darkside Detective is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdcnv9w-SB7zbZ8T6NS8X2j

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon"
