"Playlist URL","https://www.youtube.com/playlist?list=PL5dr1EHvfwpN2hL2Q8jpfluZOL5hplagf"
"Playlist title","Let's Play Mass Effect Trilogy (Complete)"
"Playlist author","Keith Ballard"
"Videos","86"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"J4ZEXDV-iwU","Let's Play Mass Effect Part 1 - Sigourney Shepard","Keith Ballard","2017-01-04","2017-01-04","https://i.ytimg.com/vi/J4ZEXDV-iwU/hqdefault.jpg","Watch more Mass Effect Trilogy! https://www.youtube.com/playlist?list=PL5dr1EHvfwpN2hL2Q8jpfluZOL5hplagf

Support what I do by subscribing on Patreon! https://www.patreon.com/SebastianSB

My Twitter: https://twitter.com/SebastianSB

Buy Mass Effect on Steam: http://store.steampowered.com/app/17460/

Game Description:

As Commander Shepard, you lead an elite squad on a heroic, action-packed adventure throughout the galaxy.

Discover the imminent danger from an ancient threat and battle the traitorous Saren and his deadly army to save civilization. The fate of all life depends on your actions!

2007 New York Times Game of the Year

A Stunning universe with high resolution graphics and textures
Controls and interface optimized for PC gamers

Includes free additional content  face off against the horrific Batarians

Customize your character and embark on a pulse-pounding adventure in an immersive open-ended storyline

Incredible real-time character interaction

Thrilling, tactical combat as you lead an elite squad of three
Interplanetary exploration of an epic proportion

REVIEWS:

""One of the best role-playing games in recent memory... Makes you feel like the badass warrior you were meant to be... The refined PC version is your best choice for experiencing this excellent game."" - GameSpot: 9/10 | Editors’ Choice

""Raises the bar for the role-playing genre... Mass Effect's greatest strength is the quality of the narrative… Mass Effect takes interactive entertainment to new heights and is wholeheartedly recommended."" - GameSpy: 5/5 | Editors’ Choice"""
"U_lk8klka2s","Let's Play Mass Effect Part 2 - The Beacon","Keith Ballard","2017-01-05","2017-01-05","https://i.ytimg.com/vi/U_lk8klka2s/hqdefault.jpg","Watch more Mass Effect Trilogy! https://www.youtube.com/playlist?list=PL5dr1EHvfwpN2hL2Q8jpfluZOL5hplagf

Support what I do by subscribing on Patreon! https://www.patreon.com/SebastianSB

My Twitter: https://twitter.com/SebastianSB

Buy Mass Effect on Steam: http://store.steampowered.com/app/17460/

Game Description:

As Commander Shepard, you lead an elite squad on a heroic, action-packed adventure throughout the galaxy.

Discover the imminent danger from an ancient threat and battle the traitorous Saren and his deadly army to save civilization. The fate of all life depends on your actions!

2007 New York Times Game of the Year

A Stunning universe with high resolution graphics and textures
Controls and interface optimized for PC gamers

Includes free additional content  face off against the horrific Batarians

Customize your character and embark on a pulse-pounding adventure in an immersive open-ended storyline

Incredible real-time character interaction

Thrilling, tactical combat as you lead an elite squad of three
Interplanetary exploration of an epic proportion

REVIEWS:

""One of the best role-playing games in recent memory... Makes you feel like the badass warrior you were meant to be... The refined PC version is your best choice for experiencing this excellent game."" - GameSpot: 9/10 | Editors’ Choice

""Raises the bar for the role-playing genre... Mass Effect's greatest strength is the quality of the narrative… Mass Effect takes interactive entertainment to new heights and is wholeheartedly recommended."" - GameSpy: 5/5 | Editors’ Choice"""
"Qyp-cVfw0uM","Let's Play Mass Effect Part 3 - The Citadel","Keith Ballard","2017-01-05","2017-01-05","https://i.ytimg.com/vi/Qyp-cVfw0uM/hqdefault.jpg","Watch more Mass Effect Trilogy! https://www.youtube.com/playlist?list=PL5dr1EHvfwpN2hL2Q8jpfluZOL5hplagf

Support what I do by subscribing on Patreon! https://www.patreon.com/SebastianSB

My Twitter: https://twitter.com/SebastianSB

Buy Mass Effect on Steam: http://store.steampowered.com/app/17460/

Game Description:

As Commander Shepard, you lead an elite squad on a heroic, action-packed adventure throughout the galaxy.

Discover the imminent danger from an ancient threat and battle the traitorous Saren and his deadly army to save civilization. The fate of all life depends on your actions!

2007 New York Times Game of the Year

A Stunning universe with high resolution graphics and textures
Controls and interface optimized for PC gamers

Includes free additional content  face off against the horrific Batarians

Customize your character and embark on a pulse-pounding adventure in an immersive open-ended storyline

Incredible real-time character interaction

Thrilling, tactical combat as you lead an elite squad of three
Interplanetary exploration of an epic proportion

REVIEWS:

""One of the best role-playing games in recent memory... Makes you feel like the badass warrior you were meant to be... The refined PC version is your best choice for experiencing this excellent game."" - GameSpot: 9/10 | Editors’ Choice

""Raises the bar for the role-playing genre... Mass Effect's greatest strength is the quality of the narrative… Mass Effect takes interactive entertainment to new heights and is wholeheartedly recommended."" - GameSpy: 5/5 | Editors’ Choice"""
"wmlCfJ7WaLI","Let's Play Mass Effect Part 4 - The Council","Keith Ballard","2017-01-06","2017-01-06","https://i.ytimg.com/vi/wmlCfJ7WaLI/hqdefault.jpg","Watch more Mass Effect Trilogy! https://www.youtube.com/playlist?list=PL5dr1EHvfwpN2hL2Q8jpfluZOL5hplagf

Support what I do by subscribing on Patreon! https://www.patreon.com/SebastianSB

My Twitter: https://twitter.com/SebastianSB

Buy Mass Effect on Steam: http://store.steampowered.com/app/17460/

Game Description:

As Commander Shepard, you lead an elite squad on a heroic, action-packed adventure throughout the galaxy.

Discover the imminent danger from an ancient threat and battle the traitorous Saren and his deadly army to save civilization. The fate of all life depends on your actions!

2007 New York Times Game of the Year

A Stunning universe with high resolution graphics and textures
Controls and interface optimized for PC gamers

Includes free additional content  face off against the horrific Batarians

Customize your character and embark on a pulse-pounding adventure in an immersive open-ended storyline

Incredible real-time character interaction

Thrilling, tactical combat as you lead an elite squad of three
Interplanetary exploration of an epic proportion

REVIEWS:

""One of the best role-playing games in recent memory... Makes you feel like the badass warrior you were meant to be... The refined PC version is your best choice for experiencing this excellent game."" - GameSpot: 9/10 | Editors’ Choice

""Raises the bar for the role-playing genre... Mass Effect's greatest strength is the quality of the narrative… Mass Effect takes interactive entertainment to new heights and is wholeheartedly recommended."" - GameSpy: 5/5 | Editors’ Choice"""
"ySGVWyUjyzc","Let's Play Mass Effect Part 5 - Wrex & Tali","Keith Ballard","2017-01-07","2017-01-07","https://i.ytimg.com/vi/ySGVWyUjyzc/hqdefault.jpg","Watch more Mass Effect Trilogy! https://www.youtube.com/playlist?list=PL5dr1EHvfwpN2hL2Q8jpfluZOL5hplagf

Support what I do by subscribing on Patreon! https://www.patreon.com/SebastianSB

My Twitter: https://twitter.com/SebastianSB

Buy Mass Effect on Steam: http://store.steampowered.com/app/17460/

Game Description:

As Commander Shepard, you lead an elite squad on a heroic, action-packed adventure throughout the galaxy.

Discover the imminent danger from an ancient threat and battle the traitorous Saren and his deadly army to save civilization. The fate of all life depends on your actions!

2007 New York Times Game of the Year

A Stunning universe with high resolution graphics and textures
Controls and interface optimized for PC gamers

Includes free additional content  face off against the horrific Batarians

Customize your character and embark on a pulse-pounding adventure in an immersive open-ended storyline

Incredible real-time character interaction

Thrilling, tactical combat as you lead an elite squad of three
Interplanetary exploration of an epic proportion

REVIEWS:

""One of the best role-playing games in recent memory... Makes you feel like the badass warrior you were meant to be... The refined PC version is your best choice for experiencing this excellent game."" - GameSpot: 9/10 | Editors’ Choice

""Raises the bar for the role-playing genre... Mass Effect's greatest strength is the quality of the narrative… Mass Effect takes interactive entertainment to new heights and is wholeheartedly recommended."" - GameSpy: 5/5 | Editors’ Choice"""
"v77bfIT_Iq8","Let's Play Mass Effect Part 6 - Garrus Vakarian","Keith Ballard","2017-01-08","2017-01-08","https://i.ytimg.com/vi/v77bfIT_Iq8/hqdefault.jpg","Watch more Mass Effect Trilogy! https://www.youtube.com/playlist?list=PL5dr1EHvfwpN2hL2Q8jpfluZOL5hplagf

Support what I do by subscribing on Patreon! https://www.patreon.com/SebastianSB

My Twitter: https://twitter.com/SebastianSB

Buy Mass Effect on Steam: http://store.steampowered.com/app/17460/

Game Description:

As Commander Shepard, you lead an elite squad on a heroic, action-packed adventure throughout the galaxy.

Discover the imminent danger from an ancient threat and battle the traitorous Saren and his deadly army to save civilization. The fate of all life depends on your actions!

2007 New York Times Game of the Year

A Stunning universe with high resolution graphics and textures
Controls and interface optimized for PC gamers

Includes free additional content  face off against the horrific Batarians

Customize your character and embark on a pulse-pounding adventure in an immersive open-ended storyline

Incredible real-time character interaction

Thrilling, tactical combat as you lead an elite squad of three
Interplanetary exploration of an epic proportion

REVIEWS:

""One of the best role-playing games in recent memory... Makes you feel like the badass warrior you were meant to be... The refined PC version is your best choice for experiencing this excellent game."" - GameSpot: 9/10 | Editors’ Choice

""Raises the bar for the role-playing genre... Mass Effect's greatest strength is the quality of the narrative… Mass Effect takes interactive entertainment to new heights and is wholeheartedly recommended."" - GameSpy: 5/5 | Editors’ Choice"""
"y2NT1yiexy8","Let's Play Mass Effect Part 7 - SSV Normandy SR-1","Keith Ballard","2017-01-09","2017-01-09","https://i.ytimg.com/vi/y2NT1yiexy8/hqdefault.jpg","Watch more Mass Effect Trilogy! https://www.youtube.com/playlist?list=PL5dr1EHvfwpN2hL2Q8jpfluZOL5hplagf

Support what I do by subscribing on Patreon! https://www.patreon.com/SebastianSB

My Twitter: https://twitter.com/SebastianSB

Buy Mass Effect on Steam: http://store.steampowered.com/app/17460/

Game Description:

As Commander Shepard, you lead an elite squad on a heroic, action-packed adventure throughout the galaxy.

Discover the imminent danger from an ancient threat and battle the traitorous Saren and his deadly army to save civilization. The fate of all life depends on your actions!

2007 New York Times Game of the Year

A Stunning universe with high resolution graphics and textures
Controls and interface optimized for PC gamers

Includes free additional content  face off against the horrific Batarians

Customize your character and embark on a pulse-pounding adventure in an immersive open-ended storyline

Incredible real-time character interaction

Thrilling, tactical combat as you lead an elite squad of three
Interplanetary exploration of an epic proportion

REVIEWS:

""One of the best role-playing games in recent memory... Makes you feel like the badass warrior you were meant to be... The refined PC version is your best choice for experiencing this excellent game."" - GameSpot: 9/10 | Editors’ Choice

""Raises the bar for the role-playing genre... Mass Effect's greatest strength is the quality of the narrative… Mass Effect takes interactive entertainment to new heights and is wholeheartedly recommended."" - GameSpy: 5/5 | Editors’ Choice"""
"J7AD2Ah6YiQ","Let's Play Mass Effect Part 8 - Liara T'Soni","Keith Ballard","2017-01-10","2017-01-10","https://i.ytimg.com/vi/J7AD2Ah6YiQ/hqdefault.jpg","Watch more Mass Effect Trilogy! https://www.youtube.com/playlist?list=PL5dr1EHvfwpN2hL2Q8jpfluZOL5hplagf

Support what I do by subscribing on Patreon! https://www.patreon.com/SebastianSB

My Twitter: https://twitter.com/SebastianSB

Buy Mass Effect on Steam: http://store.steampowered.com/app/17460/

Game Description:

As Commander Shepard, you lead an elite squad on a heroic, action-packed adventure throughout the galaxy.

Discover the imminent danger from an ancient threat and battle the traitorous Saren and his deadly army to save civilization. The fate of all life depends on your actions!

2007 New York Times Game of the Year

A Stunning universe with high resolution graphics and textures
Controls and interface optimized for PC gamers

Includes free additional content  face off against the horrific Batarians

Customize your character and embark on a pulse-pounding adventure in an immersive open-ended storyline

Incredible real-time character interaction

Thrilling, tactical combat as you lead an elite squad of three
Interplanetary exploration of an epic proportion

REVIEWS:

""One of the best role-playing games in recent memory... Makes you feel like the badass warrior you were meant to be... The refined PC version is your best choice for experiencing this excellent game."" - GameSpot: 9/10 | Editors’ Choice

""Raises the bar for the role-playing genre... Mass Effect's greatest strength is the quality of the narrative… Mass Effect takes interactive entertainment to new heights and is wholeheartedly recommended."" - GameSpy: 5/5 | Editors’ Choice"""
"Qy4QzvQtGVo","Let's Play Mass Effect Part 9 - Noveria: Corporate Conflicts","Keith Ballard","2017-01-11","2017-01-11","https://i.ytimg.com/vi/Qy4QzvQtGVo/hqdefault.jpg","Watch more Mass Effect Trilogy! https://www.youtube.com/playlist?list=PL5dr1EHvfwpN2hL2Q8jpfluZOL5hplagf

Support what I do by subscribing on Patreon! https://www.patreon.com/SebastianSB

My Twitter: https://twitter.com/SebastianSB

Buy Mass Effect on Steam: http://store.steampowered.com/app/17460/

Game Description:

As Commander Shepard, you lead an elite squad on a heroic, action-packed adventure throughout the galaxy.

Discover the imminent danger from an ancient threat and battle the traitorous Saren and his deadly army to save civilization. The fate of all life depends on your actions!

2007 New York Times Game of the Year

A Stunning universe with high resolution graphics and textures
Controls and interface optimized for PC gamers

Includes free additional content  face off against the horrific Batarians

Customize your character and embark on a pulse-pounding adventure in an immersive open-ended storyline

Incredible real-time character interaction

Thrilling, tactical combat as you lead an elite squad of three
Interplanetary exploration of an epic proportion

REVIEWS:

""One of the best role-playing games in recent memory... Makes you feel like the badass warrior you were meant to be... The refined PC version is your best choice for experiencing this excellent game."" - GameSpot: 9/10 | Editors’ Choice

""Raises the bar for the role-playing genre... Mass Effect's greatest strength is the quality of the narrative… Mass Effect takes interactive entertainment to new heights and is wholeheartedly recommended."" - GameSpy: 5/5 | Editors’ Choice"""
"PabeNhVArbU","Let's Play Mass Effect Part 10 - Noveria: Peak 15","Keith Ballard","2017-01-12","2017-01-12","https://i.ytimg.com/vi/PabeNhVArbU/hqdefault.jpg","Watch more Mass Effect Trilogy! https://www.youtube.com/playlist?list=PL5dr1EHvfwpN2hL2Q8jpfluZOL5hplagf

Support what I do by subscribing on Patreon! https://www.patreon.com/SebastianSB

My Twitter: https://twitter.com/SebastianSB

Buy Mass Effect on Steam: http://store.steampowered.com/app/17460/

Game Description:

As Commander Shepard, you lead an elite squad on a heroic, action-packed adventure throughout the galaxy.

Discover the imminent danger from an ancient threat and battle the traitorous Saren and his deadly army to save civilization. The fate of all life depends on your actions!

2007 New York Times Game of the Year

A Stunning universe with high resolution graphics and textures
Controls and interface optimized for PC gamers

Includes free additional content  face off against the horrific Batarians

Customize your character and embark on a pulse-pounding adventure in an immersive open-ended storyline

Incredible real-time character interaction

Thrilling, tactical combat as you lead an elite squad of three
Interplanetary exploration of an epic proportion

REVIEWS:

""One of the best role-playing games in recent memory... Makes you feel like the badass warrior you were meant to be... The refined PC version is your best choice for experiencing this excellent game."" - GameSpot: 9/10 | Editors’ Choice

""Raises the bar for the role-playing genre... Mass Effect's greatest strength is the quality of the narrative… Mass Effect takes interactive entertainment to new heights and is wholeheartedly recommended."" - GameSpy: 5/5 | Editors’ Choice"""
