"Playlist URL","https://www.youtube.com/playlist?list=PL5dr1EHvfwpNd9b-yRS0A1_OSN7a-JEAE"
"Playlist title","Let's Play Tyranny (Complete)"
"Playlist author","Keith Ballard"
"Videos","59"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"-o5_isf74Ck","Let's Play Tyranny Part 0 - Character Creation","Keith Ballard","2016-11-10","2016-11-10","https://i.ytimg.com/vi/-o5_isf74Ck/hqdefault.jpg","Watch more Tyranny! https://www.youtube.com/playlist?list=PL5dr1EHvfwpNd9b-yRS0A1_OSN7a-JEAE

Support what I do by subscribing on Patreon! https://www.patreon.com/SebastianSB

My Twitter: https://twitter.com/SebastianSB

Buy Tyranny on Steam: http://store.steampowered.com/app/362960/

Game Description:

Title: Tyranny
Genre: Adventure, RPG
Developer: Obsidian Entertainment
Publisher: Paradox Interactive
Release Date: Nov 10, 2016

In Tyranny, the grand war between good and evil is over – and the forces of evil, led by Kyros the Overlord, have won. The Overlord’s merciless armies dominate the face of the world, and its denizens must find their new roles within the war-torn realm... even as discord begins to rumble among the ranks of Kyros’ most powerful Archons.

Players will experience the new world order under the Overlord in a reactive role-playing game (RPG), interacting with the populace as a powerful Fatebinder in the Overlord’s forces -- roaming the lands to inspire loyalty or fear as they bring control to the last holdouts of the Tiers.

Main Features:

Branching, unique stories in an original setting: The battle between good and evil has already taken place, and evil stands victorious

Choices matter –  make world-altering decisions with far-reaching consequence: As a Fatebinder in the Overlord’s army you wield a vast amount of power in the occupied lands of the Tiers. Will you use that to inspire stability and loyalty, will you be feared, or will you seek your own power?

Challenging, classic RPG combat: Tactical real-time-with-pause combat with new party-driven mechanics and modern presentation

A rich original setting: Not just another “hero’s journey” -- Tyranny turns the archetypal RPG story on its head and allows players to explore a new take on good and evil

ARCHON EDITION & OVERLORD EDITION

REVIEWS

“Consider Tyranny highly recommended and one of the best RPGs of the year.”
9/10 – MMORPG

“Tyranny isn't just about the triumph of evil: it is the triumph of role-playing games.”
9/10 – Wccftech

“Tyranny offers a unique RPG experience where the standard good vs evil format is turned on its side.”
4/5 – HardcoreGamer"
"W9Q--fwz03E","Let's Play Tyranny Part 1 - Kyros' Conquest","Keith Ballard","2016-11-10","2016-11-10","https://i.ytimg.com/vi/W9Q--fwz03E/hqdefault.jpg","Watch more Tyranny! https://www.youtube.com/playlist?list=PL5dr1EHvfwpNd9b-yRS0A1_OSN7a-JEAE

Support what I do by subscribing on Patreon! https://www.patreon.com/SebastianSB

My Twitter: https://twitter.com/SebastianSB

Buy Tyranny on Steam: http://store.steampowered.com/app/362960/

Game Description:

Title: Tyranny
Genre: Adventure, RPG
Developer: Obsidian Entertainment
Publisher: Paradox Interactive
Release Date: Nov 10, 2016

In Tyranny, the grand war between good and evil is over – and the forces of evil, led by Kyros the Overlord, have won. The Overlord’s merciless armies dominate the face of the world, and its denizens must find their new roles within the war-torn realm... even as discord begins to rumble among the ranks of Kyros’ most powerful Archons.

Players will experience the new world order under the Overlord in a reactive role-playing game (RPG), interacting with the populace as a powerful Fatebinder in the Overlord’s forces -- roaming the lands to inspire loyalty or fear as they bring control to the last holdouts of the Tiers.

Main Features:

Branching, unique stories in an original setting: The battle between good and evil has already taken place, and evil stands victorious

Choices matter –  make world-altering decisions with far-reaching consequence: As a Fatebinder in the Overlord’s army you wield a vast amount of power in the occupied lands of the Tiers. Will you use that to inspire stability and loyalty, will you be feared, or will you seek your own power?

Challenging, classic RPG combat: Tactical real-time-with-pause combat with new party-driven mechanics and modern presentation

A rich original setting: Not just another “hero’s journey” -- Tyranny turns the archetypal RPG story on its head and allows players to explore a new take on good and evil

ARCHON EDITION & OVERLORD EDITION

REVIEWS

“Consider Tyranny highly recommended and one of the best RPGs of the year.”
9/10 – MMORPG

“Tyranny isn't just about the triumph of evil: it is the triumph of role-playing games.”
9/10 – Wccftech

“Tyranny offers a unique RPG experience where the standard good vs evil format is turned on its side.”
4/5 – HardcoreGamer"
"klaLYt8C_dk","Let's Play Tyranny Part 2 - Scarlet Fury Verse","Keith Ballard","2016-11-12","2016-11-12","https://i.ytimg.com/vi/klaLYt8C_dk/hqdefault.jpg","Watch more Tyranny! https://www.youtube.com/playlist?list=PL5dr1EHvfwpNd9b-yRS0A1_OSN7a-JEAE

Support what I do by subscribing on Patreon! https://www.patreon.com/SebastianSB

My Twitter: https://twitter.com/SebastianSB

Buy Tyranny on Steam: http://store.steampowered.com/app/362960/

Game Description:

Title: Tyranny
Genre: Adventure, RPG
Developer: Obsidian Entertainment
Publisher: Paradox Interactive
Release Date: Nov 10, 2016

In Tyranny, the grand war between good and evil is over – and the forces of evil, led by Kyros the Overlord, have won. The Overlord’s merciless armies dominate the face of the world, and its denizens must find their new roles within the war-torn realm... even as discord begins to rumble among the ranks of Kyros’ most powerful Archons.

Players will experience the new world order under the Overlord in a reactive role-playing game (RPG), interacting with the populace as a powerful Fatebinder in the Overlord’s forces -- roaming the lands to inspire loyalty or fear as they bring control to the last holdouts of the Tiers.

Main Features:

Branching, unique stories in an original setting: The battle between good and evil has already taken place, and evil stands victorious

Choices matter –  make world-altering decisions with far-reaching consequence: As a Fatebinder in the Overlord’s army you wield a vast amount of power in the occupied lands of the Tiers. Will you use that to inspire stability and loyalty, will you be feared, or will you seek your own power?

Challenging, classic RPG combat: Tactical real-time-with-pause combat with new party-driven mechanics and modern presentation

A rich original setting: Not just another “hero’s journey” -- Tyranny turns the archetypal RPG story on its head and allows players to explore a new take on good and evil

ARCHON EDITION & OVERLORD EDITION

REVIEWS

“Consider Tyranny highly recommended and one of the best RPGs of the year.”
9/10 – MMORPG

“Tyranny isn't just about the triumph of evil: it is the triumph of role-playing games.”
9/10 – Wccftech

“Tyranny offers a unique RPG experience where the standard good vs evil format is turned on its side.”
4/5 – HardcoreGamer"
"8qLL0-qfGI8","Let's Play Tyranny Part 3 - Sterling Hagnon","Keith Ballard","2016-11-12","2016-11-12","https://i.ytimg.com/vi/8qLL0-qfGI8/hqdefault.jpg","Watch more Tyranny! https://www.youtube.com/playlist?list=PL5dr1EHvfwpNd9b-yRS0A1_OSN7a-JEAE

Support what I do by subscribing on Patreon! https://www.patreon.com/SebastianSB

My Twitter: https://twitter.com/SebastianSB

Buy Tyranny on Steam: http://store.steampowered.com/app/362960/

Game Description:

Title: Tyranny
Genre: Adventure, RPG
Developer: Obsidian Entertainment
Publisher: Paradox Interactive
Release Date: Nov 10, 2016

In Tyranny, the grand war between good and evil is over – and the forces of evil, led by Kyros the Overlord, have won. The Overlord’s merciless armies dominate the face of the world, and its denizens must find their new roles within the war-torn realm... even as discord begins to rumble among the ranks of Kyros’ most powerful Archons.

Players will experience the new world order under the Overlord in a reactive role-playing game (RPG), interacting with the populace as a powerful Fatebinder in the Overlord’s forces -- roaming the lands to inspire loyalty or fear as they bring control to the last holdouts of the Tiers.

Main Features:

Branching, unique stories in an original setting: The battle between good and evil has already taken place, and evil stands victorious

Choices matter –  make world-altering decisions with far-reaching consequence: As a Fatebinder in the Overlord’s army you wield a vast amount of power in the occupied lands of the Tiers. Will you use that to inspire stability and loyalty, will you be feared, or will you seek your own power?

Challenging, classic RPG combat: Tactical real-time-with-pause combat with new party-driven mechanics and modern presentation

A rich original setting: Not just another “hero’s journey” -- Tyranny turns the archetypal RPG story on its head and allows players to explore a new take on good and evil

ARCHON EDITION & OVERLORD EDITION

REVIEWS

“Consider Tyranny highly recommended and one of the best RPGs of the year.”
9/10 – MMORPG

“Tyranny isn't just about the triumph of evil: it is the triumph of role-playing games.”
9/10 – Wccftech

“Tyranny offers a unique RPG experience where the standard good vs evil format is turned on its side.”
4/5 – HardcoreGamer"
"a87LLVbCNxM","Let's Play Tyranny Part 4 - Graven Ashe & The Voices of Nerat","Keith Ballard","2016-11-13","2016-11-13","https://i.ytimg.com/vi/a87LLVbCNxM/hqdefault.jpg","Watch more Tyranny! https://www.youtube.com/playlist?list=PL5dr1EHvfwpNd9b-yRS0A1_OSN7a-JEAE

Support what I do by subscribing on Patreon! https://www.patreon.com/SebastianSB

My Twitter: https://twitter.com/SebastianSB

Buy Tyranny on Steam: http://store.steampowered.com/app/362960/

Game Description:

Title: Tyranny
Genre: Adventure, RPG
Developer: Obsidian Entertainment
Publisher: Paradox Interactive
Release Date: Nov 10, 2016

In Tyranny, the grand war between good and evil is over – and the forces of evil, led by Kyros the Overlord, have won. The Overlord’s merciless armies dominate the face of the world, and its denizens must find their new roles within the war-torn realm... even as discord begins to rumble among the ranks of Kyros’ most powerful Archons.

Players will experience the new world order under the Overlord in a reactive role-playing game (RPG), interacting with the populace as a powerful Fatebinder in the Overlord’s forces -- roaming the lands to inspire loyalty or fear as they bring control to the last holdouts of the Tiers.

Main Features:

Branching, unique stories in an original setting: The battle between good and evil has already taken place, and evil stands victorious

Choices matter –  make world-altering decisions with far-reaching consequence: As a Fatebinder in the Overlord’s army you wield a vast amount of power in the occupied lands of the Tiers. Will you use that to inspire stability and loyalty, will you be feared, or will you seek your own power?

Challenging, classic RPG combat: Tactical real-time-with-pause combat with new party-driven mechanics and modern presentation

A rich original setting: Not just another “hero’s journey” -- Tyranny turns the archetypal RPG story on its head and allows players to explore a new take on good and evil

ARCHON EDITION & OVERLORD EDITION

REVIEWS

“Consider Tyranny highly recommended and one of the best RPGs of the year.”
9/10 – MMORPG

“Tyranny isn't just about the triumph of evil: it is the triumph of role-playing games.”
9/10 – Wccftech

“Tyranny offers a unique RPG experience where the standard good vs evil format is turned on its side.”
4/5 – HardcoreGamer"
"3m9masNVrXs","Let's Play Tyranny Part 5 - Barik & Lantry","Keith Ballard","2016-11-14","2016-11-14","https://i.ytimg.com/vi/3m9masNVrXs/hqdefault.jpg","Watch more Tyranny! https://www.youtube.com/playlist?list=PL5dr1EHvfwpNd9b-yRS0A1_OSN7a-JEAE

Support what I do by subscribing on Patreon! https://www.patreon.com/SebastianSB

My Twitter: https://twitter.com/SebastianSB

Buy Tyranny on Steam: http://store.steampowered.com/app/362960/

Game Description:

Title: Tyranny
Genre: Adventure, RPG
Developer: Obsidian Entertainment
Publisher: Paradox Interactive
Release Date: Nov 10, 2016

In Tyranny, the grand war between good and evil is over – and the forces of evil, led by Kyros the Overlord, have won. The Overlord’s merciless armies dominate the face of the world, and its denizens must find their new roles within the war-torn realm... even as discord begins to rumble among the ranks of Kyros’ most powerful Archons.

Players will experience the new world order under the Overlord in a reactive role-playing game (RPG), interacting with the populace as a powerful Fatebinder in the Overlord’s forces -- roaming the lands to inspire loyalty or fear as they bring control to the last holdouts of the Tiers.

Main Features:

Branching, unique stories in an original setting: The battle between good and evil has already taken place, and evil stands victorious

Choices matter –  make world-altering decisions with far-reaching consequence: As a Fatebinder in the Overlord’s army you wield a vast amount of power in the occupied lands of the Tiers. Will you use that to inspire stability and loyalty, will you be feared, or will you seek your own power?

Challenging, classic RPG combat: Tactical real-time-with-pause combat with new party-driven mechanics and modern presentation

A rich original setting: Not just another “hero’s journey” -- Tyranny turns the archetypal RPG story on its head and allows players to explore a new take on good and evil

ARCHON EDITION & OVERLORD EDITION

REVIEWS

“Consider Tyranny highly recommended and one of the best RPGs of the year.”
9/10 – MMORPG

“Tyranny isn't just about the triumph of evil: it is the triumph of role-playing games.”
9/10 – Wccftech

“Tyranny offers a unique RPG experience where the standard good vs evil format is turned on its side.”
4/5 – HardcoreGamer"
"jDi_XqhUnQM","Let's Play Tyranny Part 6 - Echocall Crossing","Keith Ballard","2016-11-15","2016-11-15","https://i.ytimg.com/vi/jDi_XqhUnQM/hqdefault.jpg","Watch more Tyranny! https://www.youtube.com/playlist?list=PL5dr1EHvfwpNd9b-yRS0A1_OSN7a-JEAE

Support what I do by subscribing on Patreon! https://www.patreon.com/SebastianSB

My Twitter: https://twitter.com/SebastianSB

Buy Tyranny on Steam: http://store.steampowered.com/app/362960/

Game Description:

Title: Tyranny
Genre: Adventure, RPG
Developer: Obsidian Entertainment
Publisher: Paradox Interactive
Release Date: Nov 10, 2016

In Tyranny, the grand war between good and evil is over – and the forces of evil, led by Kyros the Overlord, have won. The Overlord’s merciless armies dominate the face of the world, and its denizens must find their new roles within the war-torn realm... even as discord begins to rumble among the ranks of Kyros’ most powerful Archons.

Players will experience the new world order under the Overlord in a reactive role-playing game (RPG), interacting with the populace as a powerful Fatebinder in the Overlord’s forces -- roaming the lands to inspire loyalty or fear as they bring control to the last holdouts of the Tiers.

Main Features:

Branching, unique stories in an original setting: The battle between good and evil has already taken place, and evil stands victorious

Choices matter –  make world-altering decisions with far-reaching consequence: As a Fatebinder in the Overlord’s army you wield a vast amount of power in the occupied lands of the Tiers. Will you use that to inspire stability and loyalty, will you be feared, or will you seek your own power?

Challenging, classic RPG combat: Tactical real-time-with-pause combat with new party-driven mechanics and modern presentation

A rich original setting: Not just another “hero’s journey” -- Tyranny turns the archetypal RPG story on its head and allows players to explore a new take on good and evil

ARCHON EDITION & OVERLORD EDITION

REVIEWS

“Consider Tyranny highly recommended and one of the best RPGs of the year.”
9/10 – MMORPG

“Tyranny isn't just about the triumph of evil: it is the triumph of role-playing games.”
9/10 – Wccftech

“Tyranny offers a unique RPG experience where the standard good vs evil format is turned on its side.”
4/5 – HardcoreGamer"
"BuaqusOM3e0","Let's Play Tyranny Part 7 - Forge-Bound Iron","Keith Ballard","2016-11-16","2016-11-16","https://i.ytimg.com/vi/BuaqusOM3e0/hqdefault.jpg","Watch more Tyranny! https://www.youtube.com/playlist?list=PL5dr1EHvfwpNd9b-yRS0A1_OSN7a-JEAE

Support what I do by subscribing on Patreon! https://www.patreon.com/SebastianSB

My Twitter: https://twitter.com/SebastianSB

Buy Tyranny on Steam: http://store.steampowered.com/app/362960/

Game Description:

Title: Tyranny
Genre: Adventure, RPG
Developer: Obsidian Entertainment
Publisher: Paradox Interactive
Release Date: Nov 10, 2016

In Tyranny, the grand war between good and evil is over – and the forces of evil, led by Kyros the Overlord, have won. The Overlord’s merciless armies dominate the face of the world, and its denizens must find their new roles within the war-torn realm... even as discord begins to rumble among the ranks of Kyros’ most powerful Archons.

Players will experience the new world order under the Overlord in a reactive role-playing game (RPG), interacting with the populace as a powerful Fatebinder in the Overlord’s forces -- roaming the lands to inspire loyalty or fear as they bring control to the last holdouts of the Tiers.

Main Features:

Branching, unique stories in an original setting: The battle between good and evil has already taken place, and evil stands victorious

Choices matter –  make world-altering decisions with far-reaching consequence: As a Fatebinder in the Overlord’s army you wield a vast amount of power in the occupied lands of the Tiers. Will you use that to inspire stability and loyalty, will you be feared, or will you seek your own power?

Challenging, classic RPG combat: Tactical real-time-with-pause combat with new party-driven mechanics and modern presentation

A rich original setting: Not just another “hero’s journey” -- Tyranny turns the archetypal RPG story on its head and allows players to explore a new take on good and evil

ARCHON EDITION & OVERLORD EDITION

REVIEWS

“Consider Tyranny highly recommended and one of the best RPGs of the year.”
9/10 – MMORPG

“Tyranny isn't just about the triumph of evil: it is the triumph of role-playing games.”
9/10 – Wccftech

“Tyranny offers a unique RPG experience where the standard good vs evil format is turned on its side.”
4/5 – HardcoreGamer"
"bD4Zg7xNTy4","Let's Play Tyranny Part 8 - The Way of the Horde","Keith Ballard","2016-11-17","2016-11-17","https://i.ytimg.com/vi/bD4Zg7xNTy4/hqdefault.jpg","Watch more Tyranny! https://www.youtube.com/playlist?list=PL5dr1EHvfwpNd9b-yRS0A1_OSN7a-JEAE

Support what I do by subscribing on Patreon! https://www.patreon.com/SebastianSB

My Twitter: https://twitter.com/SebastianSB

Buy Tyranny on Steam: http://store.steampowered.com/app/362960/

Game Description:

Title: Tyranny
Genre: Adventure, RPG
Developer: Obsidian Entertainment
Publisher: Paradox Interactive
Release Date: Nov 10, 2016

In Tyranny, the grand war between good and evil is over – and the forces of evil, led by Kyros the Overlord, have won. The Overlord’s merciless armies dominate the face of the world, and its denizens must find their new roles within the war-torn realm... even as discord begins to rumble among the ranks of Kyros’ most powerful Archons.

Players will experience the new world order under the Overlord in a reactive role-playing game (RPG), interacting with the populace as a powerful Fatebinder in the Overlord’s forces -- roaming the lands to inspire loyalty or fear as they bring control to the last holdouts of the Tiers.

Main Features:

Branching, unique stories in an original setting: The battle between good and evil has already taken place, and evil stands victorious

Choices matter –  make world-altering decisions with far-reaching consequence: As a Fatebinder in the Overlord’s army you wield a vast amount of power in the occupied lands of the Tiers. Will you use that to inspire stability and loyalty, will you be feared, or will you seek your own power?

Challenging, classic RPG combat: Tactical real-time-with-pause combat with new party-driven mechanics and modern presentation

A rich original setting: Not just another “hero’s journey” -- Tyranny turns the archetypal RPG story on its head and allows players to explore a new take on good and evil

ARCHON EDITION & OVERLORD EDITION

REVIEWS

“Consider Tyranny highly recommended and one of the best RPGs of the year.”
9/10 – MMORPG

“Tyranny isn't just about the triumph of evil: it is the triumph of role-playing games.”
9/10 – Wccftech

“Tyranny offers a unique RPG experience where the standard good vs evil format is turned on its side.”
4/5 – HardcoreGamer"
"yRtzgOZWX-A","Let's Play Tyranny Part 9 - Magician's Folly","Keith Ballard","2016-11-17","2016-11-17","https://i.ytimg.com/vi/yRtzgOZWX-A/hqdefault.jpg","Watch more Tyranny! https://www.youtube.com/playlist?list=PL5dr1EHvfwpNd9b-yRS0A1_OSN7a-JEAE

Support what I do by subscribing on Patreon! https://www.patreon.com/SebastianSB

My Twitter: https://twitter.com/SebastianSB

Buy Tyranny on Steam: http://store.steampowered.com/app/362960/

Game Description:

Title: Tyranny
Genre: Adventure, RPG
Developer: Obsidian Entertainment
Publisher: Paradox Interactive
Release Date: Nov 10, 2016

In Tyranny, the grand war between good and evil is over – and the forces of evil, led by Kyros the Overlord, have won. The Overlord’s merciless armies dominate the face of the world, and its denizens must find their new roles within the war-torn realm... even as discord begins to rumble among the ranks of Kyros’ most powerful Archons.

Players will experience the new world order under the Overlord in a reactive role-playing game (RPG), interacting with the populace as a powerful Fatebinder in the Overlord’s forces -- roaming the lands to inspire loyalty or fear as they bring control to the last holdouts of the Tiers.

Main Features:

Branching, unique stories in an original setting: The battle between good and evil has already taken place, and evil stands victorious

Choices matter –  make world-altering decisions with far-reaching consequence: As a Fatebinder in the Overlord’s army you wield a vast amount of power in the occupied lands of the Tiers. Will you use that to inspire stability and loyalty, will you be feared, or will you seek your own power?

Challenging, classic RPG combat: Tactical real-time-with-pause combat with new party-driven mechanics and modern presentation

A rich original setting: Not just another “hero’s journey” -- Tyranny turns the archetypal RPG story on its head and allows players to explore a new take on good and evil

ARCHON EDITION & OVERLORD EDITION

REVIEWS

“Consider Tyranny highly recommended and one of the best RPGs of the year.”
9/10 – MMORPG

“Tyranny isn't just about the triumph of evil: it is the triumph of role-playing games.”
9/10 – Wccftech

“Tyranny offers a unique RPG experience where the standard good vs evil format is turned on its side.”
4/5 – HardcoreGamer"
