"Playlist URL","https://www.youtube.com/playlist?list=PLzDeS-SWRIMNpBkw6KJSld9QPlyRhtGmT"
"Playlist title","Beautiful Desolation"
"Playlist author","Laila Dyer"
"Videos","19"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"DxvJtdeyHj4","Beautiful Desolation (Ep. 1 – Penrose)","Laila Dyer","2020-03-18","2020-03-18","https://i.ytimg.com/vi/DxvJtdeyHj4/hqdefault.jpg","Key provided to me courtesy of GOG:
https://www.gog.com/game/beautiful_desolation

You can support me on Patreon and get bonus playthroughs: https://www.patreon.com/MarshallDyer

You can follow me on Twitter at:
https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Beautiful Desolation, a post-apocalyptic adventure game by Brotherhood Games, the same people behind Stasis. Join me as we travel a bizarre wasteland with our brother and a robotic dog companion POOCH looking for a way back to some semblance of normalcy.

Official site:
http://www.thebrotherhoodgames.com

You can buy the game on PC at:
https://www.gog.com/game/beautiful_desolation
https://store.steampowered.com/app/912570/BEAUTIFUL_DESOLATION/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMNpBkw6KJSld9QPlyRhtGmT"
"L1u2rELrQXQ","Beautiful Desolation (Ep. 2 – Witherberg)","Laila Dyer","2020-03-19","2020-03-19","https://i.ytimg.com/vi/L1u2rELrQXQ/hqdefault.jpg","Key provided to me courtesy of GOG:
https://www.gog.com/game/beautiful_desolation

You can support me on Patreon and get bonus playthroughs: https://www.patreon.com/MarshallDyer

You can follow me on Twitter at:
https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Beautiful Desolation, a post-apocalyptic adventure game by Brotherhood Games, the same people behind Stasis. Join me as we travel a bizarre wasteland with our brother and a robotic dog companion POOCH looking for a way back to some semblance of normalcy.

Official site:
http://www.thebrotherhoodgames.com

You can buy the game on PC at:
https://www.gog.com/game/beautiful_desolation
https://store.steampowered.com/app/912570/BEAUTIFUL_DESOLATION/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMNpBkw6KJSld9QPlyRhtGmT"
"CtgGoGFGzmU","Beautiful Desolation (Ep. 3 – Alexis Data Core)","Laila Dyer","2020-03-20","2020-03-20","https://i.ytimg.com/vi/CtgGoGFGzmU/hqdefault.jpg","Key provided to me courtesy of GOG:
https://www.gog.com/game/beautiful_desolation

You can support me on Patreon and get bonus playthroughs: https://www.patreon.com/MarshallDyer

You can follow me on Twitter at:
https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Beautiful Desolation, a post-apocalyptic adventure game by Brotherhood Games, the same people behind Stasis. Join me as we travel a bizarre wasteland with our brother and a robotic dog companion POOCH looking for a way back to some semblance of normalcy.

Official site:
http://www.thebrotherhoodgames.com

You can buy the game on PC at:
https://www.gog.com/game/beautiful_desolation
https://store.steampowered.com/app/912570/BEAUTIFUL_DESOLATION/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMNpBkw6KJSld9QPlyRhtGmT"
"ihTI_z96sqw","Beautiful Desolation (Ep. 4 – The Kettle)","Laila Dyer","2020-03-21","2020-03-21","https://i.ytimg.com/vi/ihTI_z96sqw/hqdefault.jpg","Key provided to me courtesy of GOG:
https://www.gog.com/game/beautiful_desolation

You can support me on Patreon and get bonus playthroughs: https://www.patreon.com/MarshallDyer

You can follow me on Twitter at:
https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Beautiful Desolation, a post-apocalyptic adventure game by Brotherhood Games, the same people behind Stasis. Join me as we travel a bizarre wasteland with our brother and a robotic dog companion POOCH looking for a way back to some semblance of normalcy.

Official site:
http://www.thebrotherhoodgames.com

You can buy the game on PC at:
https://www.gog.com/game/beautiful_desolation
https://store.steampowered.com/app/912570/BEAUTIFUL_DESOLATION/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMNpBkw6KJSld9QPlyRhtGmT"
"65XdZ44nRwQ","Beautiful Desolation (Ep. 5 – Chiznyama)","Laila Dyer","2020-03-22","2020-03-22","https://i.ytimg.com/vi/65XdZ44nRwQ/hqdefault.jpg","Key provided to me courtesy of GOG:
https://www.gog.com/game/beautiful_desolation

You can support me on Patreon and get bonus playthroughs: https://www.patreon.com/MarshallDyer

You can follow me on Twitter at:
https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Beautiful Desolation, a post-apocalyptic adventure game by Brotherhood Games, the same people behind Stasis. Join me as we travel a bizarre wasteland with our brother and a robotic dog companion POOCH looking for a way back to some semblance of normalcy.

Official site:
http://www.thebrotherhoodgames.com

You can buy the game on PC at:
https://www.gog.com/game/beautiful_desolation
https://store.steampowered.com/app/912570/BEAUTIFUL_DESOLATION/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMNpBkw6KJSld9QPlyRhtGmT"
"2w1miCe5W48","Beautiful Desolation (Ep. 6 – Throne Room)","Laila Dyer","2020-03-23","2020-03-23","https://i.ytimg.com/vi/2w1miCe5W48/hqdefault.jpg","Key provided to me courtesy of GOG:
https://www.gog.com/game/beautiful_desolation

You can support me on Patreon and get bonus playthroughs: https://www.patreon.com/MarshallDyer

You can follow me on Twitter at:
https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Beautiful Desolation, a post-apocalyptic adventure game by Brotherhood Games, the same people behind Stasis. Join me as we travel a bizarre wasteland with our brother and a robotic dog companion POOCH looking for a way back to some semblance of normalcy.

Official site:
http://www.thebrotherhoodgames.com

You can buy the game on PC at:
https://www.gog.com/game/beautiful_desolation
https://store.steampowered.com/app/912570/BEAUTIFUL_DESOLATION/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMNpBkw6KJSld9QPlyRhtGmT"
"hHewp3asaYg","Beautiful Desolation (Ep. 7 – Oothee)","Laila Dyer","2020-03-24","2020-03-24","https://i.ytimg.com/vi/hHewp3asaYg/hqdefault.jpg","Key provided to me courtesy of GOG:
https://www.gog.com/game/beautiful_desolation

You can support me on Patreon and get bonus playthroughs: https://www.patreon.com/MarshallDyer

You can follow me on Twitter at:
https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Beautiful Desolation, a post-apocalyptic adventure game by Brotherhood Games, the same people behind Stasis. Join me as we travel a bizarre wasteland with our brother and a robotic dog companion POOCH looking for a way back to some semblance of normalcy.

Official site:
http://www.thebrotherhoodgames.com

You can buy the game on PC at:
https://www.gog.com/game/beautiful_desolation
https://store.steampowered.com/app/912570/BEAUTIFUL_DESOLATION/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMNpBkw6KJSld9QPlyRhtGmT"
"UvZZLnq6VRE","Beautiful Desolation (Ep. 8 – Offering)","Laila Dyer","2020-03-25","2020-03-25","https://i.ytimg.com/vi/UvZZLnq6VRE/hqdefault.jpg","Key provided to me courtesy of GOG:
https://www.gog.com/game/beautiful_desolation

You can support me on Patreon and get bonus playthroughs: https://www.patreon.com/MarshallDyer

You can follow me on Twitter at:
https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Beautiful Desolation, a post-apocalyptic adventure game by Brotherhood Games, the same people behind Stasis. Join me as we travel a bizarre wasteland with our brother and a robotic dog companion POOCH looking for a way back to some semblance of normalcy.

Official site:
http://www.thebrotherhoodgames.com

You can buy the game on PC at:
https://www.gog.com/game/beautiful_desolation
https://store.steampowered.com/app/912570/BEAUTIFUL_DESOLATION/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMNpBkw6KJSld9QPlyRhtGmT"
"siP3gW71MfU","Beautiful Desolation (Ep. 9 – The Tear)","Laila Dyer","2020-03-26","2020-03-26","https://i.ytimg.com/vi/siP3gW71MfU/hqdefault.jpg","Key provided to me courtesy of GOG:
https://www.gog.com/game/beautiful_desolation

You can support me on Patreon and get bonus playthroughs: https://www.patreon.com/MarshallDyer

You can follow me on Twitter at:
https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Beautiful Desolation, a post-apocalyptic adventure game by Brotherhood Games, the same people behind Stasis. Join me as we travel a bizarre wasteland with our brother and a robotic dog companion POOCH looking for a way back to some semblance of normalcy.

Official site:
http://www.thebrotherhoodgames.com

You can buy the game on PC at:
https://www.gog.com/game/beautiful_desolation
https://store.steampowered.com/app/912570/BEAUTIFUL_DESOLATION/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMNpBkw6KJSld9QPlyRhtGmT"
"XrctszeGUEQ","Beautiful Desolation (Ep. 10 – Moss)","Laila Dyer","2020-03-27","2020-03-27","https://i.ytimg.com/vi/XrctszeGUEQ/hqdefault.jpg","Key provided to me courtesy of GOG:
https://www.gog.com/game/beautiful_desolation

You can support me on Patreon and get bonus playthroughs: https://www.patreon.com/MarshallDyer

You can follow me on Twitter at:
https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Beautiful Desolation, a post-apocalyptic adventure game by Brotherhood Games, the same people behind Stasis. Join me as we travel a bizarre wasteland with our brother and a robotic dog companion POOCH looking for a way back to some semblance of normalcy.

Official site:
http://www.thebrotherhoodgames.com

You can buy the game on PC at:
https://www.gog.com/game/beautiful_desolation
https://store.steampowered.com/app/912570/BEAUTIFUL_DESOLATION/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMNpBkw6KJSld9QPlyRhtGmT"
