"Playlist URL","https://www.youtube.com/playlist?list=PLzDeS-SWRIMNjvA8lXqLNMUn31sKszOjm"
"Playlist title","Pathologic Classic HD"
"Playlist author","Laila Dyer"
"Videos","48"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"oVBXPWxSLHc","Pathologic Classic HD (Ep. 1 - The Play Begins)","Laila Dyer","2015-11-05","2015-11-01","https://i.ytimg.com/vi/oVBXPWxSLHc/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Pathologic Classic HD, a remastered version of the original Pathologic, which is a psycological survival game where you try to save a town from a horrific plague.

You can buy the game from:
https://www.gog.com/game/pathologic_classic_hd (70% discount if you own the original version on GOG)
https://www.humblebundle.com/store/p/pathologic_classichd_storefront
http://store.steampowered.com/app/384110/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMNjvA8lXqLNMUn31sKszOjm

I was provided with a press copy of this game at no charge."
"wV8i2SAS1ns","Pathologic Classic HD (Ep. 2 - Isidor)","Laila Dyer","2015-11-05","2015-11-03","https://i.ytimg.com/vi/wV8i2SAS1ns/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Pathologic Classic HD, a remastered version of the original Pathologic, which is a psycological survival game where you try to save a town from a horrific plague.

You can buy the game from:
https://www.gog.com/game/pathologic_classic_hd (70% discount if you own the original version on GOG)
https://www.humblebundle.com/store/p/pathologic_classichd_storefront
http://store.steampowered.com/app/384110/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMNjvA8lXqLNMUn31sKszOjm

I was provided with a press copy of this game at no charge."
"cMXcIwU0PTI","Pathologic Classic HD (Ep. 3 - Isidor's Trail)","Laila Dyer","2015-11-05","2015-11-05","https://i.ytimg.com/vi/cMXcIwU0PTI/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Pathologic Classic HD, a remastered version of the original Pathologic, which is a psycological survival game where you try to save a town from a horrific plague.

You can buy the game from:
https://www.gog.com/game/pathologic_classic_hd (70% discount if you own the original version on GOG)
https://www.humblebundle.com/store/p/pathologic_classichd_storefront
http://store.steampowered.com/app/384110/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMNjvA8lXqLNMUn31sKszOjm

I was provided with a press copy of this game at no charge."
"_0g01iGsCxo","Pathologic Classic HD (Ep. 4 - The Search For Rubin)","Laila Dyer","2015-11-05","2015-11-07","https://i.ytimg.com/vi/_0g01iGsCxo/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Pathologic Classic HD, a remastered version of the original Pathologic, which is a psycological survival game where you try to save a town from a horrific plague.

You can buy the game from:
https://www.gog.com/game/pathologic_classic_hd (70% discount if you own the original version on GOG)
https://www.humblebundle.com/store/p/pathologic_classichd_storefront
http://store.steampowered.com/app/384110/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMNjvA8lXqLNMUn31sKszOjm

I was provided with a press copy of this game at no charge."
"Md4Cp1_0E8U","Pathologic Classic HD (Ep. 5 - Day 2)","Laila Dyer","2015-11-05","2015-11-09","https://i.ytimg.com/vi/Md4Cp1_0E8U/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Pathologic Classic HD, a remastered version of the original Pathologic, which is a psycological survival game where you try to save a town from a horrific plague.

You can buy the game from:
https://www.gog.com/game/pathologic_classic_hd (70% discount if you own the original version on GOG)
https://www.humblebundle.com/store/p/pathologic_classichd_storefront
http://store.steampowered.com/app/384110/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMNjvA8lXqLNMUn31sKszOjm

I was provided with a press copy of this game at no charge."
"TjMTHDhk-68","Pathologic Classic HD (Ep. 6 - Getting to Know the Town)","Laila Dyer","2015-11-05","2015-11-11","https://i.ytimg.com/vi/TjMTHDhk-68/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Pathologic Classic HD, a remastered version of the original Pathologic, which is a psycological survival game where you try to save a town from a horrific plague.

You can buy the game from:
https://www.gog.com/game/pathologic_classic_hd (70% discount if you own the original version on GOG)
https://www.humblebundle.com/store/p/pathologic_classichd_storefront
http://store.steampowered.com/app/384110/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMNjvA8lXqLNMUn31sKszOjm

I was provided with a press copy of this game at no charge."
"VL0IzZw-tdQ","Pathologic Classic HD (Ep. 7 - Someone Finally Listens)","Laila Dyer","2015-11-05","2015-11-13","https://i.ytimg.com/vi/VL0IzZw-tdQ/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Pathologic Classic HD, a remastered version of the original Pathologic, which is a psycological survival game where you try to save a town from a horrific plague.

You can buy the game from:
https://www.gog.com/game/pathologic_classic_hd (70% discount if you own the original version on GOG)
https://www.humblebundle.com/store/p/pathologic_classichd_storefront
http://store.steampowered.com/app/384110/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMNjvA8lXqLNMUn31sKszOjm

I was provided with a press copy of this game at no charge."
"R-AQKuzggKU","Pathologic Classic HD (Ep. 8 - The Silent House)","Laila Dyer","2015-11-05","2015-11-15","https://i.ytimg.com/vi/R-AQKuzggKU/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Pathologic Classic HD, a remastered version of the original Pathologic, which is a psycological survival game where you try to save a town from a horrific plague.

You can buy the game from:
https://www.gog.com/game/pathologic_classic_hd (70% discount if you own the original version on GOG)
https://www.humblebundle.com/store/p/pathologic_classichd_storefront
http://store.steampowered.com/app/384110/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMNjvA8lXqLNMUn31sKszOjm

I was provided with a press copy of this game at no charge."
"UoPTmhm7svY","Pathologic Classic HD (Ep. 9 - Quarantine, and the Shelter)","Laila Dyer","2015-11-20","2015-11-17","https://i.ytimg.com/vi/UoPTmhm7svY/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Pathologic Classic HD, a remastered version of the original Pathologic, which is a psycological survival game where you try to save a town from a horrific plague.

You can buy the game from:
https://www.gog.com/game/pathologic_classic_hd (70% discount if you own the original version on GOG)
https://www.humblebundle.com/store/p/pathologic_classichd_storefront
http://store.steampowered.com/app/384110/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMNjvA8lXqLNMUn31sKszOjm

I was provided with a press copy of this game at no charge."
"FpxEhGbeLt0","Pathologic Classic HD (Ep. 10 - Day 3)","Laila Dyer","2015-11-20","2015-11-19","https://i.ytimg.com/vi/FpxEhGbeLt0/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Pathologic Classic HD, a remastered version of the original Pathologic, which is a psycological survival game where you try to save a town from a horrific plague.

You can buy the game from:
https://www.gog.com/game/pathologic_classic_hd (70% discount if you own the original version on GOG)
https://www.humblebundle.com/store/p/pathologic_classichd_storefront
http://store.steampowered.com/app/384110/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMNjvA8lXqLNMUn31sKszOjm

I was provided with a press copy of this game at no charge."
