"Playlist URL","https://www.youtube.com/playlist?list=PLzDeS-SWRIMMwKXpm4CDXMXfUiobAsvcZ"
"Playlist title","Soma"
"Playlist author","Laila Dyer"
"Videos","16"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"UAcHo7xwOzo","Soma (Ep. 1 - The Accident)","Laila Dyer","2015-09-22","2015-09-22","https://i.ytimg.com/vi/UAcHo7xwOzo/hqdefault.jpg","You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Soma, a sci-fi horror game from Frictional Games, makers of Amnesia: The Dark Descent and the Penumbra series.

Learn more about the game at:
http://somagame.com/

You can buy it from:
http://store.steampowered.com/app/282140/
http://www.gog.com/game/soma
https://www.humblebundle.com/store/p/soma_storefront

It is also available on PS4.

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMwKXpm4CDXMXfUiobAsvcZ"
"EzdbhNTlCnE","Soma (Ep. 2 - Contact)","Laila Dyer","2015-09-27","2015-09-24","https://i.ytimg.com/vi/EzdbhNTlCnE/hqdefault.jpg","You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Soma, a sci-fi horror game from Frictional Games, makers of Amnesia: The Dark Descent and the Penumbra series.

Learn more about the game at:
http://somagame.com/

You can buy it from:
http://store.steampowered.com/app/282140/
http://www.gog.com/game/soma
https://www.humblebundle.com/store/p/soma_storefront

It is also available on PS4.

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMwKXpm4CDXMXfUiobAsvcZ"
"DYvWcvNkh3M","Soma (Ep. 3 - The Breach)","Laila Dyer","2015-09-27","2015-09-26","https://i.ytimg.com/vi/DYvWcvNkh3M/hqdefault.jpg","You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Soma, a sci-fi horror game from Frictional Games, makers of Amnesia: The Dark Descent and the Penumbra series.

Learn more about the game at:
http://somagame.com/

You can buy it from:
http://store.steampowered.com/app/282140/
http://www.gog.com/game/soma
https://www.humblebundle.com/store/p/soma_storefront

It is also available on PS4.

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMwKXpm4CDXMXfUiobAsvcZ"
"WWdRTjPfkYA","Soma (Ep. 4 - Station Lambda)","Laila Dyer","2015-09-27","2015-09-28","https://i.ytimg.com/vi/WWdRTjPfkYA/hqdefault.jpg","You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Soma, a sci-fi horror game from Frictional Games, makers of Amnesia: The Dark Descent and the Penumbra series.

Learn more about the game at:
http://somagame.com/

You can buy it from:
http://store.steampowered.com/app/282140/
http://www.gog.com/game/soma
https://www.humblebundle.com/store/p/soma_storefront

It is also available on PS4.

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMwKXpm4CDXMXfUiobAsvcZ"
"dMS247Te_sA","Soma (Ep. 5 - The ARK Project)","Laila Dyer","2015-09-27","2015-09-30","https://i.ytimg.com/vi/dMS247Te_sA/hqdefault.jpg","You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Soma, a sci-fi horror game from Frictional Games, makers of Amnesia: The Dark Descent and the Penumbra series.

Learn more about the game at:
http://somagame.com/

You can buy it from:
http://store.steampowered.com/app/282140/
http://www.gog.com/game/soma
https://www.humblebundle.com/store/p/soma_storefront

It is also available on PS4.

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMwKXpm4CDXMXfUiobAsvcZ"
"TE0bigoLX-E","Soma (Ep. 6 - Delta)","Laila Dyer","2015-09-29","2015-10-02","https://i.ytimg.com/vi/TE0bigoLX-E/hqdefault.jpg","You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Soma, a sci-fi horror game from Frictional Games, makers of Amnesia: The Dark Descent and the Penumbra series.

Learn more about the game at:
http://somagame.com/

You can buy it from:
http://store.steampowered.com/app/282140/
http://www.gog.com/game/soma
https://www.humblebundle.com/store/p/soma_storefront

It is also available on PS4.

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMwKXpm4CDXMXfUiobAsvcZ"
"_wKYrUHCoyQ","Soma (Ep. 7 - Theta)","Laila Dyer","2015-09-29","2015-10-04","https://i.ytimg.com/vi/_wKYrUHCoyQ/hqdefault.jpg","You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Soma, a sci-fi horror game from Frictional Games, makers of Amnesia: The Dark Descent and the Penumbra series.

Learn more about the game at:
http://somagame.com/

You can buy it from:
http://store.steampowered.com/app/282140/
http://www.gog.com/game/soma
https://www.humblebundle.com/store/p/soma_storefront

It is also available on PS4.

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMwKXpm4CDXMXfUiobAsvcZ"
"ge9raS3CYLE","Soma (Ep. 8 - The DUNBAT)","Laila Dyer","2015-09-29","2015-10-06","https://i.ytimg.com/vi/ge9raS3CYLE/hqdefault.jpg","You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Soma, a sci-fi horror game from Frictional Games, makers of Amnesia: The Dark Descent and the Penumbra series.

Learn more about the game at:
http://somagame.com/

You can buy it from:
http://store.steampowered.com/app/282140/
http://www.gog.com/game/soma
https://www.humblebundle.com/store/p/soma_storefront

It is also available on PS4.

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMwKXpm4CDXMXfUiobAsvcZ"
"LiKC2N2I8mY","Soma (Ep. 9 - The Elevator)","Laila Dyer","2015-09-29","2015-10-08","https://i.ytimg.com/vi/LiKC2N2I8mY/hqdefault.jpg","You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Soma, a sci-fi horror game from Frictional Games, makers of Amnesia: The Dark Descent and the Penumbra series.

Learn more about the game at:
http://somagame.com/

You can buy it from:
http://store.steampowered.com/app/282140/
http://www.gog.com/game/soma
https://www.humblebundle.com/store/p/soma_storefront

It is also available on PS4.

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMwKXpm4CDXMXfUiobAsvcZ"
"9W8JYXBiiJs","Soma (Ep. 10 - Flushed)","Laila Dyer","2015-10-02","2015-10-10","https://i.ytimg.com/vi/9W8JYXBiiJs/hqdefault.jpg","You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Soma, a sci-fi horror game from Frictional Games, makers of Amnesia: The Dark Descent and the Penumbra series.

Learn more about the game at:
http://somagame.com/

You can buy it from:
http://store.steampowered.com/app/282140/
http://www.gog.com/game/soma
https://www.humblebundle.com/store/p/soma_storefront

It is also available on PS4.

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMwKXpm4CDXMXfUiobAsvcZ"
