"Playlist URL","https://www.youtube.com/playlist?list=PLzDeS-SWRIMP6wizBH3e3VRcTTEsMuovb"
"Playlist title","This War of Mine"
"Playlist author","Laila Dyer"
"Videos","20"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"_eRL1YBf_tk","This War of Mine (Ep. 1)","Laila Dyer","2014-11-29","2014-11-15","https://i.ytimg.com/vi/_eRL1YBf_tk/hqdefault.jpg","Welcome to my Let's Play of This War of Mine, a survival game where you control a small group of civilians trying to survive while war rages around them.

For those unfamiliar with what I do, let me introduce the kind of videos I make. I usually take my time and absorb everything I can from the games I play. I also like to examine them; I'll often talk about how the game is affecting me, what I think of it, what works, what doesn't work, and game design. So my videos are typically a mixture of Let's Play, criticism, and examination. I suppose you could say I'm an analytical let's player. I'm no expert, but I love games and I view every game as a new piece of art waiting to be explored.

Learn more about This War of Mine from the main site:
http://www.11bitstudios.com/games/16/this-war-of-mine

You can buy it from many places including:
http://store.steampowered.com/app/282070/
http://www.gog.com/game/this_war_of_mine

Playlist for This War of Mine:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMP6wizBH3e3VRcTTEsMuovb"
"vr8hez9D3BI","This War of Mine (Ep. 2)","Laila Dyer","2014-11-29","2014-11-17","https://i.ytimg.com/vi/vr8hez9D3BI/hqdefault.jpg","Welcome to my Let's Play of This War of Mine, a survival game where you control a small group of civilians trying to survive while war rages around them.

For those unfamiliar with what I do, let me introduce the kind of videos I make. I usually take my time and absorb everything I can from the games I play. I also like to examine them; I'll often talk about how the game is affecting me, what I think of it, what works, what doesn't work, and game design. So my videos are typically a mixture of Let's Play, criticism, and examination. I suppose you could say I'm an analytical let's player. I'm no expert, but I love games and I view every game as a new piece of art waiting to be explored.

Learn more about This War of Mine from the main site:
http://www.11bitstudios.com/games/16/this-war-of-mine

You can buy it from many places including:
http://store.steampowered.com/app/282070/
http://www.gog.com/game/this_war_of_mine

Playlist for This War of Mine:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMP6wizBH3e3VRcTTEsMuovb"
"SM2OxHREPFg","This War of Mine (Ep. 3)","Laila Dyer","2014-11-29","2014-11-19","https://i.ytimg.com/vi/SM2OxHREPFg/hqdefault.jpg","Welcome to my Let's Play of This War of Mine, a survival game where you control a small group of civilians trying to survive while war rages around them.

For those unfamiliar with what I do, let me introduce the kind of videos I make. I usually take my time and absorb everything I can from the games I play. I also like to examine them; I'll often talk about how the game is affecting me, what I think of it, what works, what doesn't work, and game design. So my videos are typically a mixture of Let's Play, criticism, and examination. I suppose you could say I'm an analytical let's player. I'm no expert, but I love games and I view every game as a new piece of art waiting to be explored.

Learn more about This War of Mine from the main site:
http://www.11bitstudios.com/games/16/this-war-of-mine

You can buy it from many places including:
http://store.steampowered.com/app/282070/
http://www.gog.com/game/this_war_of_mine

Playlist for This War of Mine:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMP6wizBH3e3VRcTTEsMuovb"
"Fee_RT7kLpk","This War of Mine (Ep. 4)","Laila Dyer","2014-11-29","2014-11-21","https://i.ytimg.com/vi/Fee_RT7kLpk/hqdefault.jpg","Welcome to my Let's Play of This War of Mine, a survival game where you control a small group of civilians trying to survive while war rages around them.

For those unfamiliar with what I do, let me introduce the kind of videos I make. I usually take my time and absorb everything I can from the games I play. I also like to examine them; I'll often talk about how the game is affecting me, what I think of it, what works, what doesn't work, and game design. So my videos are typically a mixture of Let's Play, criticism, and examination. I suppose you could say I'm an analytical let's player. I'm no expert, but I love games and I view every game as a new piece of art waiting to be explored.

Learn more about This War of Mine from the main site:
http://www.11bitstudios.com/games/16/this-war-of-mine

You can buy it from many places including:
http://store.steampowered.com/app/282070/
http://www.gog.com/game/this_war_of_mine

Playlist for This War of Mine:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMP6wizBH3e3VRcTTEsMuovb"
"lcGwmp6FvKM","This War of Mine (Ep. 5)","Laila Dyer","2014-11-29","2014-11-22","https://i.ytimg.com/vi/lcGwmp6FvKM/hqdefault.jpg","Welcome to my Let's Play of This War of Mine, a survival game where you control a small group of civilians trying to survive while war rages around them.

For those unfamiliar with what I do, let me introduce the kind of videos I make. I usually take my time and absorb everything I can from the games I play. I also like to examine them; I'll often talk about how the game is affecting me, what I think of it, what works, what doesn't work, and game design. So my videos are typically a mixture of Let's Play, criticism, and examination. I suppose you could say I'm an analytical let's player. I'm no expert, but I love games and I view every game as a new piece of art waiting to be explored.

Learn more about This War of Mine from the main site:
http://www.11bitstudios.com/games/16/this-war-of-mine

You can buy it from many places including:
http://store.steampowered.com/app/282070/
http://www.gog.com/game/this_war_of_mine

Playlist for This War of Mine:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMP6wizBH3e3VRcTTEsMuovb"
"0_pJOTXJ0lE","This War of Mine (Ep. 6)","Laila Dyer","2014-11-29","2014-11-27","https://i.ytimg.com/vi/0_pJOTXJ0lE/hqdefault.jpg","Welcome to my Let's Play of This War of Mine, a survival game where you control a small group of civilians trying to survive while war rages around them.

For those unfamiliar with what I do, let me introduce the kind of videos I make. I usually take my time and absorb everything I can from the games I play. I also like to examine them; I'll often talk about how the game is affecting me, what I think of it, what works, what doesn't work, and game design. So my videos are typically a mixture of Let's Play, criticism, and examination. I suppose you could say I'm an analytical let's player. I'm no expert, but I love games and I view every game as a new piece of art waiting to be explored.

Learn more about This War of Mine from the main site:
http://www.11bitstudios.com/games/16/this-war-of-mine

You can buy it from many places including:
http://store.steampowered.com/app/282070/
http://www.gog.com/game/this_war_of_mine

Playlist for This War of Mine:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMP6wizBH3e3VRcTTEsMuovb"
"m4bME-2OpLc","This War of Mine (Ep. 7)","Laila Dyer","2014-11-29","2014-11-29","https://i.ytimg.com/vi/m4bME-2OpLc/hqdefault.jpg","Welcome to my Let's Play of This War of Mine, a survival game where you control a small group of civilians trying to survive while war rages around them.

For those unfamiliar with what I do, let me introduce the kind of videos I make. I usually take my time and absorb everything I can from the games I play. I also like to examine them; I'll often talk about how the game is affecting me, what I think of it, what works, what doesn't work, and game design. So my videos are typically a mixture of Let's Play, criticism, and examination. I suppose you could say I'm an analytical let's player. I'm no expert, but I love games and I view every game as a new piece of art waiting to be explored.

Learn more about This War of Mine from the main site:
http://www.11bitstudios.com/games/16/this-war-of-mine

You can buy it from many places including:
http://store.steampowered.com/app/282070/
http://www.gog.com/game/this_war_of_mine

Playlist for This War of Mine:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMP6wizBH3e3VRcTTEsMuovb"
"jxt8yhiwaRk","This War of Mine (Ep. 8)","Laila Dyer","2014-12-14","2014-12-01","https://i.ytimg.com/vi/jxt8yhiwaRk/hqdefault.jpg","Welcome to my Let's Play of This War of Mine, a survival game where you control a small group of civilians trying to survive while war rages around them.

For those unfamiliar with what I do, let me introduce the kind of videos I make. I usually take my time and absorb everything I can from the games I play. I also like to examine them; I'll often talk about how the game is affecting me, what I think of it, what works, what doesn't work, and game design. So my videos are typically a mixture of Let's Play, criticism, and examination. I suppose you could say I'm an analytical let's player. I'm no expert, but I love games and I view every game as a new piece of art waiting to be explored.

Learn more about This War of Mine from the main site:
http://www.11bitstudios.com/games/16/this-war-of-mine

You can buy it from many places including:
http://store.steampowered.com/app/282070/
http://www.gog.com/game/this_war_of_mine

Playlist for This War of Mine:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMP6wizBH3e3VRcTTEsMuovb"
"C7c9lnS3hac","This War of Mine (Ep. 9)","Laila Dyer","2014-12-14","2014-12-03","https://i.ytimg.com/vi/C7c9lnS3hac/hqdefault.jpg","Welcome to my Let's Play of This War of Mine, a survival game where you control a small group of civilians trying to survive while war rages around them.

For those unfamiliar with what I do, let me introduce the kind of videos I make. I usually take my time and absorb everything I can from the games I play. I also like to examine them; I'll often talk about how the game is affecting me, what I think of it, what works, what doesn't work, and game design. So my videos are typically a mixture of Let's Play, criticism, and examination. I suppose you could say I'm an analytical let's player. I'm no expert, but I love games and I view every game as a new piece of art waiting to be explored.

Learn more about This War of Mine from the main site:
http://www.11bitstudios.com/games/16/this-war-of-mine

You can buy it from many places including:
http://store.steampowered.com/app/282070/
http://www.gog.com/game/this_war_of_mine

Playlist for This War of Mine:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMP6wizBH3e3VRcTTEsMuovb"
"6AjZTUsdW7g","This War of Mine (Ep. 10)","Laila Dyer","2014-12-14","2014-12-05","https://i.ytimg.com/vi/6AjZTUsdW7g/hqdefault.jpg","Welcome to my Let's Play of This War of Mine, a survival game where you control a small group of civilians trying to survive while war rages around them.

For those unfamiliar with what I do, let me introduce the kind of videos I make. I usually take my time and absorb everything I can from the games I play. I also like to examine them; I'll often talk about how the game is affecting me, what I think of it, what works, what doesn't work, and game design. So my videos are typically a mixture of Let's Play, criticism, and examination. I suppose you could say I'm an analytical let's player. I'm no expert, but I love games and I view every game as a new piece of art waiting to be explored.

Learn more about This War of Mine from the main site:
http://www.11bitstudios.com/games/16/this-war-of-mine

You can buy it from many places including:
http://store.steampowered.com/app/282070/
http://www.gog.com/game/this_war_of_mine

Playlist for This War of Mine:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMP6wizBH3e3VRcTTEsMuovb"
"QN50zoU3QZE","This War of Mine (Ep. 11)","Laila Dyer","2014-12-14","2014-12-07","https://i.ytimg.com/vi/QN50zoU3QZE/hqdefault.jpg","Welcome to my Let's Play of This War of Mine, a survival game where you control a small group of civilians trying to survive while war rages around them.

For those unfamiliar with what I do, let me introduce the kind of videos I make. I usually take my time and absorb everything I can from the games I play. I also like to examine them; I'll often talk about how the game is affecting me, what I think of it, what works, what doesn't work, and game design. So my videos are typically a mixture of Let's Play, criticism, and examination. I suppose you could say I'm an analytical let's player. I'm no expert, but I love games and I view every game as a new piece of art waiting to be explored.

Learn more about This War of Mine from the main site:
http://www.11bitstudios.com/games/16/this-war-of-mine

You can buy it from many places including:
http://store.steampowered.com/app/282070/
http://www.gog.com/game/this_war_of_mine

Playlist for This War of Mine:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMP6wizBH3e3VRcTTEsMuovb"
