"Playlist URL","https://www.youtube.com/playlist?list=PLzDeS-SWRIMOXc0PK78R1PFAoiFjGjJFO"
"Playlist title","We Happy Few"
"Playlist author","Laila Dyer"
"Videos","50"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"gZsw-ZcSzpU","We Happy Few (Ep. 1 - Arthur)","Laila Dyer","2019-08-25","2019-08-25","https://i.ytimg.com/vi/gZsw-ZcSzpU/hqdefault.jpg","You can support me on Patreon and get bonus playthroughs: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at:
https://twitter.com/Marshall_Dyer

Welcome to my playthrough of We Happy Few, a survival action-adventure game from Compulsion Games. It takes place in the 1960s on the isolated island of Wellington Wells. During WW2, Germans occupied the town. After some horrible event, the Germans left the island and the inhabitants developed a drug called Joy. Now, 20 years later, almost everyone is pressured into taking Joy to forget what happened and keep up the delusion that everything is fine.

Official site:
https://compulsiongames.com/en/10/we-happy-few

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMOXc0PK78R1PFAoiFjGjJFO"
"UvWz7cFtRuw","We Happy Few (Ep. 2 – Barrow Holm)","Laila Dyer","2019-08-26","2019-08-26","https://i.ytimg.com/vi/UvWz7cFtRuw/hqdefault.jpg","You can support me on Patreon and get bonus playthroughs: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at:
https://twitter.com/Marshall_Dyer

Welcome to my playthrough of We Happy Few, a survival action-adventure game from Compulsion Games. It takes place in the 1960s on the isolated island of Wellington Wells. During WW2, Germans occupied the town. After some horrible event, the Germans left the island and the inhabitants developed a drug called Joy. Now, 20 years later, almost everyone is pressured into taking Joy to forget what happened and keep up the delusion that everything is fine.

Official site:
https://compulsiongames.com/en/10/we-happy-few

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMOXc0PK78R1PFAoiFjGjJFO"
"6vfideM_Uig","We Happy Few (Ep. 3 – Blending In)","Laila Dyer","2019-08-27","2019-08-27","https://i.ytimg.com/vi/6vfideM_Uig/hqdefault.jpg","You can support me on Patreon and get bonus playthroughs: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at:
https://twitter.com/Marshall_Dyer

Welcome to my playthrough of We Happy Few, a survival action-adventure game from Compulsion Games. It takes place in the 1960s on the isolated island of Wellington Wells. During WW2, Germans occupied the town. After some horrible event, the Germans left the island and the inhabitants developed a drug called Joy. Now, 20 years later, almost everyone is pressured into taking Joy to forget what happened and keep up the delusion that everything is fine.

Official site:
https://compulsiongames.com/en/10/we-happy-few

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMOXc0PK78R1PFAoiFjGjJFO"
"iN7ql9TmzyU","We Happy Few (Ep. 4 – Eel Pie Holm)","Laila Dyer","2019-08-28","2019-08-28","https://i.ytimg.com/vi/iN7ql9TmzyU/hqdefault.jpg","You can support me on Patreon and get bonus playthroughs: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at:
https://twitter.com/Marshall_Dyer

Welcome to my playthrough of We Happy Few, a survival action-adventure game from Compulsion Games. It takes place in the 1960s on the isolated island of Wellington Wells. During WW2, Germans occupied the town. After some horrible event, the Germans left the island and the inhabitants developed a drug called Joy. Now, 20 years later, almost everyone is pressured into taking Joy to forget what happened and keep up the delusion that everything is fine.

Official site:
https://compulsiongames.com/en/10/we-happy-few

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMOXc0PK78R1PFAoiFjGjJFO"
"VlfR6PA__zI","We Happy Few (Ep. 5 – Haute Cuisine)","Laila Dyer","2019-08-29","2019-08-29","https://i.ytimg.com/vi/VlfR6PA__zI/hqdefault.jpg","You can support me on Patreon and get bonus playthroughs: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at:
https://twitter.com/Marshall_Dyer

Welcome to my playthrough of We Happy Few, a survival action-adventure game from Compulsion Games. It takes place in the 1960s on the isolated island of Wellington Wells. During WW2, Germans occupied the town. After some horrible event, the Germans left the island and the inhabitants developed a drug called Joy. Now, 20 years later, almost everyone is pressured into taking Joy to forget what happened and keep up the delusion that everything is fine.

Official site:
https://compulsiongames.com/en/10/we-happy-few

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMOXc0PK78R1PFAoiFjGjJFO"
"kwahIwNj1Og","We Happy Few (Ep. 6 – Tunnels)","Laila Dyer","2019-08-30","2019-08-30","https://i.ytimg.com/vi/kwahIwNj1Og/hqdefault.jpg","You can support me on Patreon and get bonus playthroughs: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at:
https://twitter.com/Marshall_Dyer

Welcome to my playthrough of We Happy Few, a survival action-adventure game from Compulsion Games. It takes place in the 1960s on the isolated island of Wellington Wells. During WW2, Germans occupied the town. After some horrible event, the Germans left the island and the inhabitants developed a drug called Joy. Now, 20 years later, almost everyone is pressured into taking Joy to forget what happened and keep up the delusion that everything is fine.

Official site:
https://compulsiongames.com/en/10/we-happy-few

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMOXc0PK78R1PFAoiFjGjJFO"
"hrii-rRwxlM","We Happy Few (Ep. 7 - Papier-mâché)","Laila Dyer","2019-08-31","2019-08-31","https://i.ytimg.com/vi/hrii-rRwxlM/hqdefault.jpg","You can support me on Patreon and get bonus playthroughs: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at:
https://twitter.com/Marshall_Dyer

Welcome to my playthrough of We Happy Few, a survival action-adventure game from Compulsion Games. It takes place in the 1960s on the isolated island of Wellington Wells. During WW2, Germans occupied the town. After some horrible event, the Germans left the island and the inhabitants developed a drug called Joy. Now, 20 years later, almost everyone is pressured into taking Joy to forget what happened and keep up the delusion that everything is fine.

Official site:
https://compulsiongames.com/en/10/we-happy-few

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMOXc0PK78R1PFAoiFjGjJFO"
"4El19vwMGDs","We Happy Few (Ep. 8 – Hidden Still)","Laila Dyer","2019-09-01","2019-09-01","https://i.ytimg.com/vi/4El19vwMGDs/hqdefault.jpg","You can support me on Patreon and get bonus playthroughs: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at:
https://twitter.com/Marshall_Dyer

Welcome to my playthrough of We Happy Few, a survival action-adventure game from Compulsion Games. It takes place in the 1960s on the isolated island of Wellington Wells. During WW2, Germans occupied the town. After some horrible event, the Germans left the island and the inhabitants developed a drug called Joy. Now, 20 years later, almost everyone is pressured into taking Joy to forget what happened and keep up the delusion that everything is fine.

Official site:
https://compulsiongames.com/en/10/we-happy-few

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMOXc0PK78R1PFAoiFjGjJFO"
"5beEEzhpn-k","We Happy Few (Ep. 9 - Bees)","Laila Dyer","2019-09-02","2019-09-02","https://i.ytimg.com/vi/5beEEzhpn-k/hqdefault.jpg","You can support me on Patreon and get bonus playthroughs: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at:
https://twitter.com/Marshall_Dyer

Welcome to my playthrough of We Happy Few, a survival action-adventure game from Compulsion Games. It takes place in the 1960s on the isolated island of Wellington Wells. During WW2, Germans occupied the town. After some horrible event, the Germans left the island and the inhabitants developed a drug called Joy. Now, 20 years later, almost everyone is pressured into taking Joy to forget what happened and keep up the delusion that everything is fine.

Official site:
https://compulsiongames.com/en/10/we-happy-few

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMOXc0PK78R1PFAoiFjGjJFO"
"pb7vCFXU7oA","We Happy Few (Ep. 10 - Rehabilitation)","Laila Dyer","2019-09-03","2019-09-03","https://i.ytimg.com/vi/pb7vCFXU7oA/hqdefault.jpg","You can support me on Patreon and get bonus playthroughs: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at:
https://twitter.com/Marshall_Dyer

Welcome to my playthrough of We Happy Few, a survival action-adventure game from Compulsion Games. It takes place in the 1960s on the isolated island of Wellington Wells. During WW2, Germans occupied the town. After some horrible event, the Germans left the island and the inhabitants developed a drug called Joy. Now, 20 years later, almost everyone is pressured into taking Joy to forget what happened and keep up the delusion that everything is fine.

Official site:
https://compulsiongames.com/en/10/we-happy-few

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMOXc0PK78R1PFAoiFjGjJFO"
