"Playlist URL","https://www.youtube.com/playlist?list=PLmHh2nGY1x4NhCdmqlRtU80lqlxhhveai"
"Playlist title","Northernlion Trainwreck Runs"
"Playlist author","A Wanderer's Random Chronicles"
"Videos","35"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"ffLNA1VjvuY","The Binding of Isaac: AFTERBIRTH - Let's Play - Episode 218 [Porridge]","Northernlion","2016-12-15","2016-02-11","https://i.ytimg.com/vi/ffLNA1VjvuY/hqdefault.jpg","Seed: M0GV PLY2
Northernlion merch: http://districtlines.com/Northernlion

Subscribe to my channel for more gaming videos!:  http://bit.ly/Northernlion

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!

Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion

As Northernlion, I produce a variety of gaming content for YouTube every single day. Be sure to tune in if you're interested in reviews, previews, first impressions videos, gameplay, walkthroughs, and playthroughs of new releases, my favorite classic games, as well as my favorites from the world of indie gaming. Thanks for watching (and reading this description!) and I hope I'll see you again.

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!

Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion

As Northernlion, I produce a variety of gaming content for YouTube every single day. Be sure to tune in if you're interested in reviews, previews, first impressions videos, gameplay, walkthroughs, and playthroughs of new releases, my favorite classic games, as well as my favorites from the world of indie gaming. Thanks for watching (and reading this description!) and I hope I'll see you again."
"La7pYx_sUwM","The Binding of Isaac: Rebirth - Let's Play - Episode 238 [Tractor]","Northernlion","2016-12-15","2015-01-16","https://i.ytimg.com/vi/La7pYx_sUwM/hqdefault.jpg","Subscribe to my channel for more gaming videos!:  http://bit.ly/Northernlion

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!

Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion

As Northernlion, I produce a variety of gaming content for YouTube every single day. Be sure to tune in if you're interested in reviews, previews, first impressions videos, gameplay, walkthroughs, and playthroughs of new releases, my favorite classic games, as well as my favorites from the world of indie gaming. Thanks for watching (and reading this description!) and I hope I'll see you again."
"XiOv68ZK2co","The Binding of Isaac: Rebirth - Let's Play - Episode 652 [Wax]","Northernlion","2016-12-15","2015-08-04","https://i.ytimg.com/vi/XiOv68ZK2co/hqdefault.jpg","Seed: Y99G TX1X

Subscribe to my channel for more gaming videos!:  http://bit.ly/Northernlion

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!

Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion

As Northernlion, I produce a variety of gaming content for YouTube every single day. Be sure to tune in if you're interested in reviews, previews, first impressions videos, gameplay, walkthroughs, and playthroughs of new releases, my favorite classic games, as well as my favorites from the world of indie gaming. Thanks for watching (and reading this description!) and I hope I'll see you again."
"_lnk5tU_oeY","The Binding of Isaac: Rebirth - Let's Play - Episode 731 [Dessert]","Northernlion","2016-12-15","2015-09-13","https://i.ytimg.com/vi/_lnk5tU_oeY/hqdefault.jpg","Seed: 0L6N 6N01

Subscribe to my channel for more gaming videos!:  http://bit.ly/Northernlion

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!

Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion

As Northernlion, I produce a variety of gaming content for YouTube every single day. Be sure to tune in if you're interested in reviews, previews, first impressions videos, gameplay, walkthroughs, and playthroughs of new releases, my favorite classic games, as well as my favorites from the world of indie gaming. Thanks for watching (and reading this description!) and I hope I'll see you again."
"A20o8Xr5UEA","The Binding of Isaac: Rebirth - Let's Play - Episode 583 [Forest]","Northernlion","2016-12-15","2015-07-01","https://i.ytimg.com/vi/A20o8Xr5UEA/hqdefault.jpg","Seed: DSS4 4TRX

Subscribe to my channel for more gaming videos!:  http://bit.ly/Northernlion

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!

Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion

As Northernlion, I produce a variety of gaming content for YouTube every single day. Be sure to tune in if you're interested in reviews, previews, first impressions videos, gameplay, walkthroughs, and playthroughs of new releases, my favorite classic games, as well as my favorites from the world of indie gaming. Thanks for watching (and reading this description!) and I hope I'll see you again."
"tvWVgqsmOv4","The Binding of Isaac: Rebirth - Let's Play - Episode 548 [Exhale]","Northernlion","2016-12-15","2015-06-13","https://i.ytimg.com/vi/tvWVgqsmOv4/hqdefault.jpg","Seed: FF81 ZT12

Subscribe to my channel for more gaming videos!:  http://bit.ly/Northernlion

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!

Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion

As Northernlion, I produce a variety of gaming content for YouTube every single day. Be sure to tune in if you're interested in reviews, previews, first impressions videos, gameplay, walkthroughs, and playthroughs of new releases, my favorite classic games, as well as my favorites from the world of indie gaming. Thanks for watching (and reading this description!) and I hope I'll see you again."
"JfDnrW-pnXU","The Binding of Isaac: Rebirth - Let's Play - Episode 487 [Trainwreck]","Northernlion","2016-12-15","2015-05-14","https://i.ytimg.com/vi/JfDnrW-pnXU/hqdefault.jpg","Subscribe to my channel for more gaming videos!:  http://bit.ly/Northernlion

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!

Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion

As Northernlion, I produce a variety of gaming content for YouTube every single day. Be sure to tune in if you're interested in reviews, previews, first impressions videos, gameplay, walkthroughs, and playthroughs of new releases, my favorite classic games, as well as my favorites from the world of indie gaming. Thanks for watching (and reading this description!) and I hope I'll see you again."
"bprCdDAZOFg","The Binding of Isaac: Rebirth - Let's Play - Episode 514 [Iridescent]","Northernlion","2016-12-15","2015-05-27","https://i.ytimg.com/vi/bprCdDAZOFg/hqdefault.jpg","Seed: 3Q64 JVP0

Subscribe to my channel for more gaming videos!:  http://bit.ly/Northernlion

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!

Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion

As Northernlion, I produce a variety of gaming content for YouTube every single day. Be sure to tune in if you're interested in reviews, previews, first impressions videos, gameplay, walkthroughs, and playthroughs of new releases, my favorite classic games, as well as my favorites from the world of indie gaming. Thanks for watching (and reading this description!) and I hope I'll see you again."
"AewTK7BEXFw","The Binding of Isaac: AFTERBIRTH - Let's Play - Episode 424 [Lactose]","Northernlion","2016-12-15","2016-07-20","https://i.ytimg.com/vi/AewTK7BEXFw/hqdefault.jpg","Seed: J6BK DYH8

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Buy my shirts! https://www.districtlines.com/NorthernLion
Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion
-----------------------------------------------"
"vgdOmwXo64k","The Binding of Isaac: Rebirth - Let's Play - Episode 693 [Contrast]","Northernlion","2016-12-15","2015-08-25","https://i.ytimg.com/vi/vgdOmwXo64k/hqdefault.jpg","Seed: 4BTK NZ3P

Subscribe to my channel for more gaming videos!:  http://bit.ly/Northernlion

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!

Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion

As Northernlion, I produce a variety of gaming content for YouTube every single day. Be sure to tune in if you're interested in reviews, previews, first impressions videos, gameplay, walkthroughs, and playthroughs of new releases, my favorite classic games, as well as my favorites from the world of indie gaming. Thanks for watching (and reading this description!) and I hope I'll see you again."
"5BpINgBcIiM","The Binding of Isaac: Rebirth - Let's Play - Episode 386 [Kerplunk]","Northernlion","2016-12-15","2015-03-24","https://i.ytimg.com/vi/5BpINgBcIiM/hqdefault.jpg","Seed: 640R KRDA

Subscribe to my channel for more gaming videos!:  http://bit.ly/Northernlion

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!

Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion

As Northernlion, I produce a variety of gaming content for YouTube every single day. Be sure to tune in if you're interested in reviews, previews, first impressions videos, gameplay, walkthroughs, and playthroughs of new releases, my favorite classic games, as well as my favorites from the world of indie gaming. Thanks for watching (and reading this description!) and I hope I'll see you again."
"mQ7z5l5DF2k","The Binding of Isaac: Rebirth - Let's Play - Episode 115 [Delta]","Northernlion","2016-12-15","2014-12-06","https://i.ytimg.com/vi/mQ7z5l5DF2k/hqdefault.jpg","Seed: N4NQ M8HT

Subscribe to my channel for more gaming videos!:  http://bit.ly/Northernlion

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!

Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion

As Northernlion, I produce a variety of gaming content for YouTube every single day. Be sure to tune in if you're interested in reviews, previews, first impressions videos, gameplay, walkthroughs, and playthroughs of new releases, my favorite classic games, as well as my favorites from the world of indie gaming. Thanks for watching (and reading this description!) and I hope I'll see you again."
"_XPQHlNNzVM","The Binding of Isaac: AFTERBIRTH - Let's Play - Episode 124 [Purgatory]","Northernlion","2016-12-15","2015-12-25","https://i.ytimg.com/vi/_XPQHlNNzVM/hqdefault.jpg","I am not a clever man.
Northernlion merch: http://districtlines.com/Northernlion

Subscribe to my channel for more gaming videos!:  http://bit.ly/Northernlion

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!

Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion

As Northernlion, I produce a variety of gaming content for YouTube every single day. Be sure to tune in if you're interested in reviews, previews, first impressions videos, gameplay, walkthroughs, and playthroughs of new releases, my favorite classic games, as well as my favorites from the world of indie gaming. Thanks for watching (and reading this description!) and I hope I'll see you again."
"0-vyhqVbdy8","The Binding of Isaac: AFTERBIRTH - Let's Play - Episode 289 [Spearmint]","Northernlion","2016-12-15","2016-03-21","https://i.ytimg.com/vi/0-vyhqVbdy8/hqdefault.jpg","Northernlion merch: http://districtlines.com/Northernlion

Subscribe to my channel for more gaming videos!:  http://bit.ly/Northernlion

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!

Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion

As Northernlion, I produce a variety of gaming content for YouTube every single day. Be sure to tune in if you're interested in reviews, previews, first impressions videos, gameplay, walkthroughs, and playthroughs of new releases, my favorite classic games, as well as my favorites from the world of indie gaming. Thanks for watching (and reading this description!) and I hope I'll see you again."
"sc4ygckfLQo","The Binding of Isaac: AFTERBIRTH - Let's Play - Episode 526 [Styx]","Northernlion","2016-12-15","2016-10-29","https://i.ytimg.com/vi/sc4ygckfLQo/hqdefault.jpg","Seed: PBZ4 8HB6

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Buy my shirts! https://www.districtlines.com/NorthernLion
Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion
-----------------------------------------------"
"UtDkrt6q-Eg","The Binding of Isaac: AFTERBIRTH - Let's Play - Episode 522 [Mislead]","Northernlion","2016-12-15","2016-10-25","https://i.ytimg.com/vi/UtDkrt6q-Eg/hqdefault.jpg","Seed: 9JKG PXA4

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Buy my shirts! https://www.districtlines.com/NorthernLion
Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion
-----------------------------------------------"
"THQtUyjRLmY","The Binding of Isaac: AFTERBIRTH - Let's Play - Episode 478 [Fibre]","Northernlion","2016-12-15","2016-09-12","https://i.ytimg.com/vi/THQtUyjRLmY/hqdefault.jpg","Seed: YHNX KYW9

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Buy my shirts! https://www.districtlines.com/NorthernLion
Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion
-----------------------------------------------"
"EAfohZgQijI","The Binding of Isaac: AFTERBIRTH - Let's Play - Episode 404 [File]","Northernlion","2016-12-15","2016-06-30","https://i.ytimg.com/vi/EAfohZgQijI/hqdefault.jpg","Seed: KA8V D2LZ

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Buy my shirts! https://www.districtlines.com/NorthernLion
Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion
-----------------------------------------------"
"9CQurrmkqFg","The Binding of Isaac: AFTERBIRTH - Let's Play - Episode 400 [Transform]","Northernlion","2016-12-15","2016-06-26","https://i.ytimg.com/vi/9CQurrmkqFg/hqdefault.jpg","Seed: PDRX B9QJ

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Buy my shirts! https://www.districtlines.com/NorthernLion
Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion
-----------------------------------------------"
