"Playlist URL","https://www.youtube.com/playlist?list=PLRZFLG5sFJf6TZOcMT9YzIGRWxa0oAuJh"
"Playlist title","Northernlion best rants"
"Playlist author","Joosterandom"
"Videos","60"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"YVVROSIHE8s","The Binding of Isaac: AFTERBIRTH - Let's Play - Episode 173 [Bandana]","Northernlion","2016-01-20","2016-01-20","https://i.ytimg.com/vi/YVVROSIHE8s/hqdefault.jpg","Seed: NV9D NGWM
Northernlion merch: http://districtlines.com/Northernlion

Subscribe to my channel for more gaming videos!:  http://bit.ly/Northernlion

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!

Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion

As Northernlion, I produce a variety of gaming content for YouTube every single day. Be sure to tune in if you're interested in reviews, previews, first impressions videos, gameplay, walkthroughs, and playthroughs of new releases, my favorite classic games, as well as my favorites from the world of indie gaming. Thanks for watching (and reading this description!) and I hope I'll see you again."
"FWamNa1DMa4","The Binding of Isaac: AFTERBIRTH - Let's Play - Episode 195 [Ranged]","Northernlion","2016-02-01","2016-01-31","https://i.ytimg.com/vi/FWamNa1DMa4/hqdefault.jpg","Seed: 0BXG 9942
Northernlion merch: http://districtlines.com/Northernlion

Subscribe to my channel for more gaming videos!:  http://bit.ly/Northernlion

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!

Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion

As Northernlion, I produce a variety of gaming content for YouTube every single day. Be sure to tune in if you're interested in reviews, previews, first impressions videos, gameplay, walkthroughs, and playthroughs of new releases, my favorite classic games, as well as my favorites from the world of indie gaming. Thanks for watching (and reading this description!) and I hope I'll see you again."
"emfpSVHHFk4","The Binding of Isaac: Rebirth Co-op with Northernlion [Episode 67] Chuunibyou syndrome","Kate LovelyMomo","2016-02-04","2015-02-24","https://i.ytimg.com/vi/emfpSVHHFk4/hqdefault.jpg","The Binding of Isaac: Rebirth is a remake of The Binding of Isaac developed by Nicalis and designed by Edmund McMillen.
Subscribe! http://goo.gl/xN3iZd
Follow Me on:
-Twitch: http://www.twitch.tv/lovelymomo
-Twitter: https://twitter.com/lovelykaitkim"
"w7Rk3QuV-6s","The Binding of Isaac: AFTERBIRTH - Let's Play - Episode 227 [Daisies]","Northernlion","2016-02-18","2016-02-16","https://i.ytimg.com/vi/w7Rk3QuV-6s/hqdefault.jpg","Seed: 6NYY 1S9R
Northernlion merch: http://districtlines.com/Northernlion

Subscribe to my channel for more gaming videos!:  http://bit.ly/Northernlion

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!

Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion

As Northernlion, I produce a variety of gaming content for YouTube every single day. Be sure to tune in if you're interested in reviews, previews, first impressions videos, gameplay, walkthroughs, and playthroughs of new releases, my favorite classic games, as well as my favorites from the world of indie gaming. Thanks for watching (and reading this description!) and I hope I'll see you again."
"XUC37-LrrRg","The Northernlion Live Super Show! [January 5th, 2015] (2/2)","Northernlion","2016-02-26","2015-01-06","https://i.ytimg.com/vi/XUC37-LrrRg/hqdefault.jpg","!docket: The Binding of Isaac: Rebirth, Drawful, Speedrunners!

Follow Nick: http://youtube.com/RockLeeSmile
Follow Rob: http://youtube.com/AlpacaPatrol"
"YNqGgrZJWXs","The Northernlion Live Super Show! [January 27th, 2014]","Northernlion","2016-02-26","2014-01-28","https://i.ytimg.com/vi/YNqGgrZJWXs/hqdefault.jpg","Schedule: Family Feud (w @WowCrendor!) and Spelunky.

Subscribe to JSmithOTI: http://youtube.com/JSmithOTI
Subscribe to RockLeeSmile: http://youtube.com/RockLeeSmile
Subscribe to WoWCrendor: http://youtube.com/WoWCrendor"
"KPXnP_LWGts","Dry Baby is THE BEST item in Rebirth.","Juice","2016-03-06","2015-08-10","https://i.ytimg.com/vi/KPXnP_LWGts/hqdefault.jpg","Subscribe, if you want to see more NL compilations.
Dry baby is the best
boleeeeeegdaaaa
https://www.youtube.com/watch?v=XiOv68ZK2co - the run in question"
"0DQIiOcqjZQ","The Binding of Isaac: Rebirth - Let's Play - Episode 374 [Pfizer]","Northernlion","2016-03-12","2015-03-19","https://i.ytimg.com/vi/0DQIiOcqjZQ/hqdefault.jpg","Seed: TPHE VKA0

Subscribe to my channel for more gaming videos!:  http://bit.ly/Northernlion

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!

Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion

As Northernlion, I produce a variety of gaming content for YouTube every single day. Be sure to tune in if you're interested in reviews, previews, first impressions videos, gameplay, walkthroughs, and playthroughs of new releases, my favorite classic games, as well as my favorites from the world of indie gaming. Thanks for watching (and reading this description!) and I hope I'll see you again."
"sCJeVaeFQ64","The Binding of Isaac: AFTERBIRTH - Let's Play - Episode 276 [Stuffed]","Northernlion","2016-03-14","2016-03-13","https://i.ytimg.com/vi/sCJeVaeFQ64/hqdefault.jpg","Northernlion merch: http://districtlines.com/Northernlion

Subscribe to my channel for more gaming videos!:  http://bit.ly/Northernlion

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!

Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion

As Northernlion, I produce a variety of gaming content for YouTube every single day. Be sure to tune in if you're interested in reviews, previews, first impressions videos, gameplay, walkthroughs, and playthroughs of new releases, my favorite classic games, as well as my favorites from the world of indie gaming. Thanks for watching (and reading this description!) and I hope I'll see you again."
"tlcHd-iBh8s","Northernlion Live Super Show [4/13/16]","RockLeeSmile","2016-04-16","2016-04-15","https://i.ytimg.com/vi/tlcHd-iBh8s/hqdefault.jpg","This is the Northernlion Live Super Show for Wednesday April 13th, 2016.

Docket:
Enter The Gungeon
The Culling
Shellshock Live with Dan Gheesling, MichaealalFox, Last Grey Wolf & AlpacaPatrol

Visit: http://www.whenisnlss.com to know when the next NLSS is!
Click: http://kadgar.net/live/northernlion/rockleesmile to watch us both live at once when we're streaming!

Subscribe & Follow us for more:
Northernlion on YouTube: http://www.youtube.com/northernlion
Northernlion on Twitch: http://www.twitch.tv/northernlion
AlpacaPatrol on YouTube: http://www.youtube.com/alpacapatrol
AlpacaPatrol on Twitch: http://www.twitch.tv/alpacapatrol
MichaelalFox on YouTube: http://www.youtube.com/michaelalfox
MichaelalFox on Twitch: http://www.twitch.tv/michaelalfox
Dan Gheesling on YouTube: http://www.youtube.com/dangheesling
Dan Gheesling on Twitch: http://www.twitch.tv/dangheesling
Last Grey Wolf on Twitch:  http://www.twitch.tv/last_grey_wolf"
