"Playlist URL","https://www.youtube.com/playlist?list=PL1bauNEiHIgwWzA2cOTeTW-nZeWsH7JPH"
"Playlist title","The Binding of Isaac"
"Playlist author","Northernlion"
"Videos","2350"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"7Bh4iLN4Xkw","The Binding of Isaac: Repentance! (Episode 310: Intermission)","Northernlion","2022-10-29","2022-10-29","https://i.ytimg.com/vi/7Bh4iLN4Xkw/hqdefault.jpg","Repentance is out on Steam: https://store.steampowered.com/app/1426300/The_Binding_of_Isaac_Repentance/

The long awaited day is finally here -- Repentance is out on Steam! I'm excited to finally sink my teeth into the new rooms, items, and bosses. Let's go!

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Follow me on Twitter: http://twitter.com/Northernlion
-----------------------------------------------"
"dbVVEAaQz8Y","The Binding of Isaac: Repentance! (Episode 309: How can this be?)","Northernlion","2022-10-27","2022-10-28","https://i.ytimg.com/vi/dbVVEAaQz8Y/hqdefault.jpg","Repentance is out on Steam: https://store.steampowered.com/app/1426300/The_Binding_of_Isaac_Repentance/

The long awaited day is finally here -- Repentance is out on Steam! I'm excited to finally sink my teeth into the new rooms, items, and bosses. Let's go!

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Follow me on Twitter: http://twitter.com/Northernlion
-----------------------------------------------"
"18cejokohYs","The Binding of Isaac: Repentance! (Episode 308: Daycare)","Northernlion","2022-10-26","2022-10-27","https://i.ytimg.com/vi/18cejokohYs/hqdefault.jpg","Repentance is out on Steam: https://store.steampowered.com/app/1426300/The_Binding_of_Isaac_Repentance/

The long awaited day is finally here -- Repentance is out on Steam! I'm excited to finally sink my teeth into the new rooms, items, and bosses. Let's go!

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Follow me on Twitter: http://twitter.com/Northernlion
-----------------------------------------------"
"gNu1coODoBA","The Binding of Isaac: Repentance! (Episode 307: Sebulba)","Northernlion","2022-10-22","2022-10-22","https://i.ytimg.com/vi/gNu1coODoBA/hqdefault.jpg","Repentance is out on Steam: https://store.steampowered.com/app/1426300/The_Binding_of_Isaac_Repentance/

The long awaited day is finally here -- Repentance is out on Steam! I'm excited to finally sink my teeth into the new rooms, items, and bosses. Let's go!

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Follow me on Twitter: http://twitter.com/Northernlion
-----------------------------------------------"
"bbFMDGGvfVU","The Binding of Isaac: Repentance! (Episode 306: Colin Farrell)","Northernlion","2022-10-21","2022-10-21","https://i.ytimg.com/vi/bbFMDGGvfVU/hqdefault.jpg","Repentance is out on Steam: https://store.steampowered.com/app/1426300/The_Binding_of_Isaac_Repentance/

The long awaited day is finally here -- Repentance is out on Steam! I'm excited to finally sink my teeth into the new rooms, items, and bosses. Let's go!

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Follow me on Twitter: http://twitter.com/Northernlion
-----------------------------------------------"
"kDRHdGxkRhE","The Binding of Isaac: Repentance! (Episode 305: I had to read the Wiki...)","Northernlion","2022-10-20","2022-10-20","https://i.ytimg.com/vi/kDRHdGxkRhE/hqdefault.jpg","Repentance is out on Steam: https://store.steampowered.com/app/1426300/The_Binding_of_Isaac_Repentance/

The long awaited day is finally here -- Repentance is out on Steam! I'm excited to finally sink my teeth into the new rooms, items, and bosses. Let's go!

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Follow me on Twitter: http://twitter.com/Northernlion
-----------------------------------------------"
"e6VPp71yR1U","The Binding of Isaac: Repentance! (Episode 304: I don't know what else to play)","Northernlion","2022-10-19","2022-10-19","https://i.ytimg.com/vi/e6VPp71yR1U/hqdefault.jpg","Repentance is out on Steam: https://store.steampowered.com/app/1426300/The_Binding_of_Isaac_Repentance/

The long awaited day is finally here -- Repentance is out on Steam! I'm excited to finally sink my teeth into the new rooms, items, and bosses. Let's go!

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Follow me on Twitter: http://twitter.com/Northernlion
-----------------------------------------------"
"j0kpguAQD50","Back to the grind (The Binding of Isaac: Repentance)","Northernlion","2022-07-26","2022-07-26","https://i.ytimg.com/vi/j0kpguAQD50/hqdefault.jpg","Repentance is out on Steam: https://store.steampowered.com/app/1426300/The_Binding_of_Isaac_Repentance/

This came from my stream on July 12th, 2022. Check me out live every weekday from 9AM-2PM PT here: http://twitch.tv/Northernlion

I just felt like playing some Isaac...

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Follow me on Twitter: http://twitter.com/Northernlion
-----------------------------------------------"
"vwsaWwnmkYE","Duty Calls (The Binding of Isaac: Repentance)","Northernlion","2022-07-26","2022-07-27","https://i.ytimg.com/vi/vwsaWwnmkYE/hqdefault.jpg","Repentance is out on Steam: https://store.steampowered.com/app/1426300/The_Binding_of_Isaac_Repentance/

This came from my stream on July 12th, 2022. Check me out live every weekday from 9AM-2PM PT here: http://twitch.tv/Northernlion

I just felt like playing some Isaac...

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Follow me on Twitter: http://twitter.com/Northernlion
-----------------------------------------------"
"BoB8axSnH60","Any damage upgrades in the chat? (The Binding of Isaac: Repentance)","Northernlion","2022-07-16","2022-07-16","https://i.ytimg.com/vi/BoB8axSnH60/hqdefault.jpg","Repentance is out on Steam: https://store.steampowered.com/app/1426300/The_Binding_of_Isaac_Repentance/

This came from my stream on July 15th, 2022. Check me out live every weekday from 9AM-2PM PT here: http://twitch.tv/Northernlion

I just felt like playing some Isaac...

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Follow me on Twitter: http://twitter.com/Northernlion
-----------------------------------------------"
"pRi_fS3R5ZI","Patience is rewarded (The Binding of Isaac: Repentance)","Northernlion","2022-07-14","2022-07-18","https://i.ytimg.com/vi/pRi_fS3R5ZI/hqdefault.jpg","Repentance is out on Steam: https://store.steampowered.com/app/1426300/The_Binding_of_Isaac_Repentance/

This came from my stream on July 12th, 2022. Check me out live every weekday from 9AM-2PM PT here: http://twitch.tv/Northernlion

I just felt like playing some Isaac...

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Follow me on Twitter: http://twitter.com/Northernlion
-----------------------------------------------"
"gGKDPi0RBes","In defense of bluetooth (The Binding of Isaac: Repentance)","Northernlion","2022-07-14","2022-07-16","https://i.ytimg.com/vi/gGKDPi0RBes/hqdefault.jpg","Repentance is out on Steam: https://store.steampowered.com/app/1426300/The_Binding_of_Isaac_Repentance/

This came from my stream on July 12th, 2022. Check me out live every weekday from 9AM-2PM PT here: http://twitch.tv/Northernlion

I just felt like playing some Isaac...

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Follow me on Twitter: http://twitter.com/Northernlion
-----------------------------------------------"
"4zjdIAl0-4Y","He's a magic man (The Binding of Isaac: Repentance)","Northernlion","2022-07-14","2022-07-14","https://i.ytimg.com/vi/4zjdIAl0-4Y/hqdefault.jpg","Repentance is out on Steam: https://store.steampowered.com/app/1426300/The_Binding_of_Isaac_Repentance/

This came from my stream on July 12th, 2022. Check me out live every weekday from 9AM-2PM PT here: http://twitch.tv/Northernlion

I just felt like playing some Isaac...

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Follow me on Twitter: http://twitter.com/Northernlion
-----------------------------------------------"
"MIseSMVHe-s","Blood bombs is actually A tier? (The Binding of Isaac: Repentance)","Northernlion","2022-07-09","2022-07-11","https://i.ytimg.com/vi/MIseSMVHe-s/hqdefault.jpg","Repentance is out on Steam: https://store.steampowered.com/app/1426300/The_Binding_of_Isaac_Repentance/

This came from my stream on July 8th, 2022. Check me out live every weekday from 9AM-2PM PT here: http://twitch.tv/Northernlion

I just felt like playing some Isaac...

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Follow me on Twitter: http://twitter.com/Northernlion
-----------------------------------------------"
"ln7ktgWE_Y0","The deals call to me (The Binding of Isaac: Repentance)","Northernlion","2022-07-09","2022-07-13","https://i.ytimg.com/vi/ln7ktgWE_Y0/hqdefault.jpg","Repentance is out on Steam: https://store.steampowered.com/app/1426300/The_Binding_of_Isaac_Repentance/

This came from my stream on July 8th, 2022. Check me out live every weekday from 9AM-2PM PT here: http://twitch.tv/Northernlion

I just felt like playing some Isaac...

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Follow me on Twitter: http://twitter.com/Northernlion
-----------------------------------------------"
