Video ID,Playlist Video Creation Timestamp
llDMztU5JGk,2023-10-14T01:38:11+00:00
ICcFMBzOnYs,2023-10-14T01:47:27+00:00
97kZWuVkpsY,2023-10-14T01:47:34+00:00
0cKzCUdtRh8,2023-10-14T01:47:41+00:00
pPToX5OHrPM,2023-10-14T01:47:47+00:00
isIj3tuQTDY,2023-10-14T01:47:54+00:00
dgCnYsDTiXU,2023-10-14T01:48:00+00:00
UwT0eAXJc9I,2023-10-14T02:02:50+00:00
DTba0bNEV14,2023-10-14T02:03:57+00:00
ZVoyrpES92o,2023-10-14T02:04:05+00:00
5cHUW4oZDmY,2023-10-14T02:04:11+00:00
vGT_kWcJNeM,2023-10-14T02:10:23+00:00
DUHvI4dgY8w,2023-10-14T02:18:04+00:00
QXOy8gcKApE,2023-10-14T02:19:53+00:00
J2UyOTS3UCE,2023-10-14T02:27:51+00:00
3GRKJ87S5cI,2023-10-14T02:28:47+00:00
NL9S48-duqw,2023-10-14T02:31:36+00:00
W3N-KFESPQ0,2023-10-14T02:33:06+00:00
P3MecrIgFtw,2023-10-14T02:36:40+00:00
jtMM1VFr9Ik,2023-10-14T02:41:20+00:00
YC14CRKNmK0,2023-10-14T02:42:23+00:00
7eZFAGKGQsc,2023-10-14T02:49:33+00:00
iqoxXV1hGCo,2023-10-14T02:49:38+00:00
wLlovxa3VJ0,2023-10-14T02:51:41+00:00
NSC6a2-cVwI,2023-10-14T02:56:39+00:00
oJhCGVyRyiw,2023-10-14T03:55:28+00:00
wbc443KVWfI,2023-10-14T05:17:46+00:00
XTzMqWaoqYw,2023-10-14T05:17:53+00:00
YKPetP34H04,2023-10-14T11:36:59+00:00
HFqmJL_Wt-U,2023-10-15T12:22:02+00:00
nmm0zfspmos,2023-10-15T12:22:08+00:00
EpSoGZa3Hrw,2023-10-15T12:23:30+00:00
bX85F85Lg0c,2023-10-15T12:24:30+00:00
RaXmMGmq-Vk,2023-10-15T12:24:56+00:00
HGq5AfuYAIo,2023-10-15T12:25:40+00:00
LsnODYL6ztU,2023-10-15T12:25:56+00:00
5I2VGyES7r4,2023-10-15T12:27:18+00:00
mnfxsEWGD1Q,2023-10-15T12:28:31+00:00
UoXY7HE3hyU,2023-10-15T12:31:42+00:00
I4Uqw1KSUzU,2023-10-15T12:31:58+00:00
5Rsa5JevLZ0,2023-10-15T12:32:34+00:00
t4_K0gg9cvE,2023-10-15T12:32:47+00:00
Jne-8uX-ErU,2023-10-15T12:42:13+00:00
 -qCvp5mo4Zo,2023-10-15T12:42:46+00:00
Mrjq-bLI6NA,2023-10-15T12:42:57+00:00
q86R7DYRhLY,2023-10-15T12:43:25+00:00
7P491kJboEE,2023-10-15T12:44:02+00:00
s5p6f9vzaYE,2023-10-15T12:44:24+00:00
TeoTOvP1F7Y,2023-10-15T12:44:43+00:00
HYJegggU5Ds,2023-10-15T12:44:57+00:00
PpJQZH9B1Y4,2023-10-15T12:45:15+00:00
pk_gRt3X_Zg,2023-10-15T12:45:45+00:00
YnVynk4hllU,2023-10-15T12:46:07+00:00
nyruw0FLwUY,2023-10-15T12:46:29+00:00
KaZ2fo4I92I,2023-10-15T12:46:53+00:00
jXdoK_Jvxx0,2023-10-15T12:47:51+00:00
bxAvS9Q8RwA,2023-10-15T12:48:01+00:00
hRMh85f4I4k,2023-10-15T12:48:08+00:00
Yujr168vO0M,2023-10-15T12:48:15+00:00
uoPNX3Zmkhk,2023-10-15T12:48:24+00:00
0Uz-ZnLi5lg,2023-10-15T12:48:34+00:00
lkGzlAw-lec,2023-10-15T12:50:06+00:00
ACaDnZU9xIk,2023-10-15T12:51:05+00:00
v7vrQZgQ9_A,2023-10-15T12:51:10+00:00
Nq3zjglD1UA,2023-10-15T12:51:18+00:00
cONL_9JG3Jc,2023-10-15T12:51:27+00:00
tlP6apqFB1g,2023-10-15T12:51:31+00:00
4de72qodekM,2023-10-15T13:00:07+00:00
B78-AXq_bZc,2023-10-15T13:00:14+00:00
-683ZAbTtqI,2023-10-15T13:00:20+00:00
phGo8kNwm1E,2023-10-23T03:43:57+00:00
