Video ID,Playlist Video Creation Timestamp
cYEGtQN_c2o,2023-10-14T03:21:58+00:00
JNUCMB174XA,2023-10-14T03:22:17+00:00
beqM4CxARIk,2023-10-14T03:22:30+00:00
7_CChYTvd8M,2023-10-14T03:22:50+00:00
C_qMz-P3sGQ,2023-10-14T03:23:02+00:00
iHtmqtsRi3I,2023-10-14T03:23:11+00:00
UTI4NTx2bIg,2023-10-14T03:23:20+00:00
q-QPuhtgrAo,2023-10-14T03:24:11+00:00
XRbbTqxxHVI,2023-10-14T03:24:41+00:00
DbmXTZiBNyo,2023-10-14T03:24:47+00:00
Meluc5ym9q4,2023-10-14T03:25:15+00:00
p-cDL8r2PGs,2023-10-14T03:25:44+00:00
 -pEfvnV7dV4,2023-10-14T03:25:51+00:00
P1la0GBUNB8,2023-10-14T03:26:48+00:00
8ZNOT5Igg0M,2023-10-14T03:27:13+00:00
9DnAlEcEIzI,2023-10-14T03:27:32+00:00
xslY5BIa3vI,2023-10-14T03:27:41+00:00
hCjTb0cqMv4,2023-10-14T03:28:35+00:00
ZSldW10b29s,2023-10-14T03:46:17+00:00
Jrr2xDIpCww,2023-10-14T03:47:10+00:00
g6Gk57HKwg8,2023-10-14T03:49:09+00:00
NkBXgcN3fXo,2023-10-14T03:50:50+00:00
MyUavRdeAsk,2023-10-14T03:53:49+00:00
cwgcy5pkn7Q,2023-10-14T03:57:48+00:00
VAhHkJQ3KgY,2023-10-14T03:58:14+00:00
PxUVoWt2K78,2023-10-14T03:58:23+00:00
FKhSbZPBEKc,2023-10-14T03:58:53+00:00
f-TB8h4vU_M,2023-10-14T04:01:14+00:00
tpptsAc5Os8,2023-10-14T04:01:40+00:00
j8s7iveWvBs,2023-10-14T04:02:08+00:00
NSQmkbjCfHk,2023-10-14T04:02:17+00:00
NW3IOVLUUeo,2023-10-14T04:02:23+00:00
21x1jxKdu5w,2023-10-14T04:02:28+00:00
JRKqDlAauTQ,2023-10-14T04:02:34+00:00
b0zNyv_WdH0,2023-10-14T04:02:39+00:00
pbnsCYU0WHQ,2023-10-14T04:02:45+00:00
NtrAx-rVgco,2023-10-14T04:02:50+00:00
kMDe7_YwVKI,2023-10-14T04:02:55+00:00
5G5J0XUhiaE,2023-10-14T04:03:00+00:00
gcyrrTud3x4,2023-10-14T04:03:05+00:00
bto30zzdSN0,2023-10-14T04:03:13+00:00
xJnFHKU3FEA,2023-10-14T04:03:29+00:00
Uqk5Zf0tw3o,2023-10-14T04:03:33+00:00
0KLzHqTiaOU,2023-10-14T04:03:39+00:00
 -j1yFvQFs8Y,2023-10-14T04:03:45+00:00
HTK-bVRzp5k,2023-10-14T04:03:49+00:00
mHz7f_fDVWU,2023-10-14T04:03:56+00:00
TM6Sh55lV_A,2023-10-14T04:04:01+00:00
htcKdg8vUzY,2023-10-14T04:04:08+00:00
mx4eSkMBx-U,2023-10-14T04:04:15+00:00
B5mcEG10wAs,2023-10-14T04:04:37+00:00
l0xh4qopQpk,2023-10-14T04:04:51+00:00
Sc8Bn8yqPYQ,2023-10-14T04:04:58+00:00
RfNlhw8FK74,2023-10-14T04:05:03+00:00
03yL_JCeQBI,2023-10-14T04:05:13+00:00
VZ9u8S26tGk,2023-10-14T04:05:19+00:00
URQ1tSUguYE,2023-10-14T04:05:24+00:00
JvRUyfNdkdg,2023-10-14T04:05:29+00:00
htYR2GdA7OE,2023-10-14T04:05:35+00:00
SXn_c-HM0Vk,2023-10-14T04:05:46+00:00
Vp4-9G47uF0,2023-10-14T04:05:53+00:00
IJ5mLkdp_tA,2023-10-14T04:05:59+00:00
_H1yVWHRu5I,2023-10-14T04:06:05+00:00
85NlL7t9BfU,2023-10-14T04:06:13+00:00
04jwJ6k65Jc,2023-10-14T04:06:18+00:00
 -kNPjLhnY_Y,2023-10-14T04:06:23+00:00
xiAVSgtIn8Q,2023-10-14T04:06:27+00:00
VSZ8ywgGNGM,2023-10-14T04:06:33+00:00
tAOer9S3DII,2023-10-14T04:06:44+00:00
rwGTqEpPQUI,2023-10-14T04:06:59+00:00
KQ1Zg34MP9o,2023-10-14T04:07:05+00:00
ujg0Y5IziiY,2023-10-14T04:07:10+00:00
gt4-tBFIcsI,2023-10-14T04:07:15+00:00
8BiSBB8eO9c,2023-10-14T04:07:20+00:00
L5gX2XZcw3A,2023-10-14T04:07:25+00:00
9X0-W5erEXw,2023-10-14T04:07:29+00:00
GxCcHOvSVJQ,2023-10-14T04:07:35+00:00
cHzfzZPFOCQ,2023-10-14T04:07:53+00:00
ax7f3JZJHSw,2023-10-14T04:08:20+00:00
prXuyMCgbTc,2023-10-14T04:08:29+00:00
