Video ID,Playlist Video Creation Timestamp
uw8dW9Hyno0,2020-08-21T00:21:37+00:00
R7OxTxAvvLw,2020-08-21T00:21:46+00:00
PVH0gZO5lq0,2020-08-21T00:25:40+00:00
x1sQkEfAdfY,2020-08-21T00:26:00+00:00
BoTJHm4Jdvo,2020-08-21T00:27:16+00:00
lJSbrFlHmt4,2020-08-21T00:29:30+00:00
_9W1zTEuKLY,2020-08-21T00:32:40+00:00
nZ3eJnRJPXY,2020-08-21T00:33:38+00:00
q6SvtqXVN3w,2020-08-21T00:34:08+00:00
ScmXsNr5yC4,2020-08-21T00:34:14+00:00
4NFb6KuJyro,2020-08-21T00:34:20+00:00
eP3sK-uC8lc,2020-08-21T00:34:25+00:00
OvJRs-yGjnw,2020-08-21T00:34:29+00:00
shs7VQhVvxA,2020-08-21T00:34:55+00:00
LRq_SAuQDec,2020-08-21T00:37:33+00:00
oB-NnVpvQ78,2020-08-21T00:38:35+00:00
HhGuXCuDb1U,2020-08-21T00:38:53+00:00
AOE7qTAK87o,2020-08-21T00:39:07+00:00
r-ZiI3iVgpM,2020-08-21T00:40:11+00:00
1BOzOxry6lA,2020-08-21T00:41:50+00:00
rBhTIoIXoTI,2020-08-21T00:44:55+00:00
3WHSkbM9zAU,2020-08-21T00:46:38+00:00
d6Q4Fau3hoY,2020-08-21T00:47:09+00:00
rC6CqpDw9p4,2020-08-21T00:47:27+00:00
lbMv0UkAswI,2020-08-21T00:49:21+00:00
iG6YaY_7ge0,2020-08-21T00:49:25+00:00
O1CQ7Vwz8Eo,2020-08-21T00:50:13+00:00
HhwMZQAI1cc,2020-08-21T00:52:27+00:00
m62QXQj990I,2020-08-21T00:54:22+00:00
19JYOVPmwDM,2020-08-21T00:54:52+00:00
lfyRNCFt2jU,2020-08-21T00:55:01+00:00
59v360lNqgQ,2020-08-21T00:55:06+00:00
t2X3wlvoShg,2020-08-21T00:55:16+00:00
PKffm2uI4dk,2020-08-21T00:56:08+00:00
WOBTfZAHhQg,2020-08-21T00:56:52+00:00
7WJXHY2OXGE,2020-08-21T00:58:24+00:00
FQ5YU_spBw0,2020-08-21T00:58:28+00:00
Tm0LnZOf_O0,2020-08-21T00:58:43+00:00
DxFU_fIUawM,2020-08-21T00:58:49+00:00
vLfghLQE3F4,2020-08-21T00:58:53+00:00
3FOzD4Sfgag,2020-08-23T04:44:28+00:00
itwfSrSeb64,2020-09-03T20:52:27+00:00
7ox6d1cKru8,2020-09-03T20:52:39+00:00
A8AcwyUKmsc,2020-09-20T06:24:59+00:00
 -mrflBk02ZM,2020-09-20T06:27:48+00:00
B4rKOc9f03Q,2020-09-24T07:18:36+00:00
EE10PSt0pN4,2020-10-03T07:49:51+00:00
s00clSUUfV4,2020-10-09T01:51:06+00:00
jzmG8C4sh2c,2020-10-09T01:52:05+00:00
mm1HgQbXFEE,2020-10-30T16:49:14+00:00
nWMQbsnBwO8,2020-10-30T16:49:40+00:00
quzPNVsECA0,2021-07-21T16:54:33+00:00
kfARU8UedNs,2023-01-30T01:59:11+00:00
edmIy21ds2c,2023-10-14T01:27:37+00:00
wnd1jKcfBRE,2023-10-14T01:46:03+00:00
OIoktOTeZIM,2023-10-14T01:50:44+00:00
0RRiG1rAsDQ,2023-10-14T01:51:05+00:00
ethyNon_gEc,2023-10-14T01:52:37+00:00
J55oPAr-zuk,2023-10-14T01:52:59+00:00
B2VAG9ZJlbo,2023-10-14T01:53:07+00:00
uLOj1RyemyQ,2023-10-14T01:54:17+00:00
5xq6Chr3Gwc,2023-10-14T01:54:24+00:00
8FHpOLiobmA,2023-10-14T01:56:37+00:00
kCXTq-fWWio,2023-10-14T01:56:44+00:00
brZtP21eLrs,2023-10-14T01:58:43+00:00
B3lfC4SgFVQ,2023-10-14T01:58:54+00:00
7l3XEFtH6Ss,2023-10-14T01:59:09+00:00
p8aulstjbV8,2023-10-14T01:59:47+00:00
JTq-i6tDqxk,2023-10-14T01:59:53+00:00
TWh1ovH016U,2023-10-14T02:01:07+00:00
caGv9J79F00,2023-10-14T02:02:56+00:00
VAPuBt_eTKA,2023-10-14T02:05:55+00:00
Y1HVTNxwt7w,2023-10-14T02:08:45+00:00
OmH7tAJ0SfA,2023-10-14T02:13:47+00:00
CBGSWd_DreI,2023-10-14T02:15:17+00:00
3TP6kER1MAw,2023-10-14T02:15:23+00:00
ax-A_wNkIqE,2023-10-14T02:15:41+00:00
s4bPsGsNGi4,2023-10-14T02:21:04+00:00
