Video ID,Playlist Video Creation Timestamp
rLr5kSrGtEo,2023-10-14T12:35:46+00:00
qewLfzpDpGI,2023-10-15T11:23:24+00:00
4o5GNd2FyIM,2023-10-14T12:35:16+00:00
iFmuqADQ-ec,2023-10-14T12:34:11+00:00
ydWI8RYgQUY,2023-10-14T12:33:26+00:00
of0PbA_w8aw,2023-10-14T12:32:39+00:00
d-VSxP1aoC0,2023-10-14T12:32:24+00:00
ROsGP486VHE,2023-10-14T12:32:13+00:00
3rWJC9YdxdQ,2023-10-14T11:51:16+00:00
iypNkwwkweg,2023-10-14T11:49:38+00:00
f4j89orIzFk,2023-10-14T11:49:33+00:00
k_OO5maW5WI,2023-10-14T11:49:17+00:00
fUkTwnHlr1I,2023-10-14T11:49:02+00:00
x__G9_EnGR4,2023-10-14T11:48:55+00:00
ZLDfuF_lPuU,2023-10-14T11:48:49+00:00
Q3Xi3Bd2_g0,2023-10-14T11:48:44+00:00
6X_FHdsaSSU,2023-10-14T11:48:37+00:00
_lwKuEPYZBc,2023-10-14T11:48:26+00:00
l-6S7G_2fiU,2023-10-14T11:48:20+00:00
whmDNZXgTzA,2023-10-14T11:48:09+00:00
qe83HnkUF8E,2023-10-14T11:48:03+00:00
jJNgocrAbKA,2023-10-14T11:47:33+00:00
XWrB2oHuDsw,2023-10-14T11:47:25+00:00
gVGqH5bDaiE,2023-10-14T05:20:50+00:00
NAJxIwTwE1M,2023-10-14T05:20:30+00:00
Iby1iFZhlv4,2023-10-14T05:19:41+00:00
 -mMz5FMGU78,2023-10-14T04:58:41+00:00
d2cDFEL2VtY,2023-10-14T03:42:06+00:00
ebjstNoWhk8,2023-10-14T03:41:10+00:00
j5BaigaTPhE,2023-10-14T03:41:01+00:00
d0-JQ7c6iTk,2023-10-14T03:40:32+00:00
1xzBGpFRdDQ,2023-10-14T03:40:25+00:00
erfCKzs0r5w,2023-10-14T03:40:14+00:00
6kVw98hOYtU,2023-10-14T03:40:06+00:00
gHW8MdB2ft8,2023-10-14T03:34:15+00:00
QPc58_vuW28,2023-10-14T03:29:27+00:00
l34boCGuYZU,2023-10-14T03:28:24+00:00
BvEKky9N1tQ,2023-10-14T03:28:17+00:00
OHL9uYzLEJ0,2023-10-14T03:26:40+00:00
inZZM6U9ND0,2023-10-14T03:25:33+00:00
OmtKQNQIKB4,2023-10-14T03:24:55+00:00
p6ZoJmHZ62U,2023-10-14T03:18:26+00:00
8sC2ZPCOXUg,2023-10-14T03:18:14+00:00
YapxcawBatU,2023-10-14T03:18:08+00:00
d_7lBcG90k8,2023-10-14T03:17:48+00:00
lQoFBS8fxmo,2023-10-14T03:17:30+00:00
tcv0lkx90eg,2023-10-14T03:17:06+00:00
0Yiy2jZYJmo,2023-10-14T03:16:59+00:00
m6zosVjqGkY,2023-10-14T03:01:36+00:00
ykpRvgmG8oA,2023-10-14T03:00:57+00:00
gq_83TBGyFk,2023-10-14T03:00:48+00:00
3xJSHL7E4sc,2023-10-14T03:00:32+00:00
ga4fExv39Lg,2023-10-14T03:00:27+00:00
L9Uee_3RgEU,2023-10-14T03:00:19+00:00
lOjaX2Fj3fE,2023-10-14T02:59:21+00:00
Vv5skn8LSck,2023-10-14T02:59:15+00:00
