Video ID,Playlist Video Creation Timestamp
6CNB5OLUPM0,2023-10-14T01:54:34+00:00
7zDkniNTeZg,2023-10-14T01:52:52+00:00
DA7zkyKisC4,2023-10-14T01:52:45+00:00
dqFCrSTrEM4,2023-10-14T01:49:44+00:00
8Gv0H-vPoDc,2023-10-14T01:47:01+00:00
9MzBWWSMq6Y,2023-10-14T01:44:12+00:00
fUpdfpOPf4Y,2023-10-14T01:42:40+00:00
IyVPyKrx0Xo,2023-10-14T01:42:07+00:00
Dkk9gvTmCXY,2023-10-14T01:41:30+00:00
MtTBqIAQ434,2023-10-14T01:41:24+00:00
pxiLCgW3zdM,2023-10-14T01:41:18+00:00
nvrrePT-uVY,2023-10-14T01:41:11+00:00
S5RRCyCkiCk,2023-10-14T01:40:57+00:00
jyqWjl7GkCE,2023-10-14T01:40:32+00:00
vsQrKZcYtqg,2023-10-14T01:34:57+00:00
Gl9GtO_vQxw,2023-10-14T01:34:36+00:00
YoBlp6qvFqg,2023-10-14T01:32:36+00:00
NTbNCezCJNM,2023-10-14T01:32:24+00:00
 -rXv0hMndeQ,2023-10-14T01:30:30+00:00
UEW8riKU_tE,2023-10-14T01:30:23+00:00
ipvEIZMMILA,2023-10-14T01:29:20+00:00
4t0jDUQ2aJ4,2023-10-14T01:28:13+00:00
GIuZUCpm9hc,2023-08-02T15:01:46+00:00
IvmAuo-SENA,2023-07-06T18:37:11+00:00
Ef7PVHOEfvc,2023-07-06T18:34:52+00:00
16aa5NtpVbw,2023-06-25T12:06:45+00:00
xCPrzZE7F5k,2023-05-31T13:06:12+00:00
F3hzYRVAkUs,2023-05-07T00:50:39+00:00
yivLt9cTaio,2023-04-03T15:18:29+00:00
fTj4cify134,2023-02-18T16:46:36+00:00
vOa--Dhu11M,2022-12-28T13:48:26+00:00
MF5Wl4JDQjY,2022-11-23T04:58:57+00:00
o6wtDPVkKqI,2022-11-23T04:51:44+00:00
k8ozVkIkr-g,2022-11-23T04:04:16+00:00
b9TE3226T-g,2022-11-23T04:03:38+00:00
CzC0izjLtHY,2022-11-21T17:12:05+00:00
6KvizlgJu14,2022-11-21T16:51:52+00:00
sE1qn8mmNF8,2022-11-17T21:41:23+00:00
Dn9970dxQ2g,2022-10-31T19:23:13+00:00
hnGYJVsZlJo,2022-10-31T17:38:01+00:00
PxKIa7QzzIo,2022-10-31T17:33:28+00:00
561zao9BpBc,2022-10-31T17:26:16+00:00
Jk7nISpZQ6g,2022-09-30T05:18:02+00:00
eMQuofsOOzo,2022-09-18T07:21:59+00:00
hR_E47wu7D0,2022-06-29T19:54:46+00:00
rUvrfT4fmWk,2022-06-29T19:54:10+00:00
QH3Fx41Jpl4,2022-06-29T19:52:28+00:00
p2-m1zHFOqY,2022-06-17T07:10:35+00:00
xbeCidi3r-c,2022-06-17T05:30:55+00:00
oIYgsqhwXzM,2022-05-29T06:45:29+00:00
IXXxciRUMzE,2022-05-11T12:06:00+00:00
mO-OpFjHRbE,2021-10-28T18:05:09+00:00
MrRAO_vG_K4,2021-10-28T18:04:47+00:00
Xsp3_a-PMTw,2021-10-26T18:47:57+00:00
leqm00CmeT8,2021-10-26T18:47:57+00:00
ioKBB5y3z5k,2021-10-26T18:47:57+00:00
ysFxrPNjvNA,2021-10-26T18:47:57+00:00
mAWL_bdpXWA,2021-10-26T18:47:57+00:00
vmDDOFXSgAs,2021-10-26T18:47:57+00:00
KwL3siS5OUI,2021-10-26T18:47:57+00:00
Q7eAdBg6Z38,2021-10-26T18:47:57+00:00
bwnLlQ6t2uE,2021-10-26T18:47:57+00:00
R9k4_p_EH-k,2021-10-26T18:47:57+00:00
RCcJnffie48,2021-10-26T18:47:57+00:00
jxyhCm_vTMc,2021-10-26T18:47:57+00:00
3BxfpbyV-uc,2021-10-26T18:47:57+00:00
dTAAsCNK7RA,2021-10-26T18:47:57+00:00
sNJVFloPIVA,2021-10-26T18:47:57+00:00
epOBenUjIHw,2021-10-26T18:47:57+00:00
35K6vQRt67g,2021-10-26T18:47:57+00:00
skAOb_EUE_M,2021-10-26T18:47:57+00:00
GHPkJkBS1vE,2021-10-26T18:47:57+00:00
yVpw1SwJRBI,2021-10-26T18:47:57+00:00
_P06ywo6aVw,2021-10-26T18:47:57+00:00
fUYaosyR4bE,2021-10-26T18:47:57+00:00
KUwjNBjqR-c,2021-10-26T18:47:57+00:00
aW1d6HJPQjw,2021-10-26T18:47:57+00:00
TkDUeJBpk2k,2021-10-26T18:47:57+00:00
vabnZ9-ex7o,2021-10-26T18:47:57+00:00
RZIzD0ZfTFg,2021-10-26T18:47:57+00:00
n6P0SitRwy8,2021-10-26T18:47:57+00:00
qSsRt_1l740,2021-10-26T18:47:57+00:00
0Uc3ZrmhDN4,2021-10-26T18:47:57+00:00
PbgKEjNBHqM,2021-10-26T18:47:57+00:00
QrrEo3hZABU,2021-10-26T18:47:57+00:00
YVkUvmDQ3HY,2021-10-26T18:47:57+00:00
xwhBRJStz7w,2021-10-26T18:47:57+00:00
PTFwQP86BRs,2021-10-26T18:47:57+00:00
P9BfvPjsXXw,2021-10-26T18:47:57+00:00
XPpTgCho5ZA,2021-10-26T18:47:57+00:00
cDfyR22u_gI,2021-10-26T18:47:57+00:00
nC3v2eDaO-o,2021-10-26T18:47:57+00:00
6EefPcht54c,2021-10-26T18:47:57+00:00
Ypkv0HeUvTc,2021-10-26T18:47:57+00:00
EPfmNxKLDG4,2021-10-26T18:47:57+00:00
5R682M3ZEyk,2021-10-26T18:47:57+00:00
YpoHBTeyFxg,2021-10-26T18:47:57+00:00
qLrnkK2YEcE,2021-10-26T18:47:57+00:00
WNFf7nMIGnE,2021-10-26T18:47:57+00:00
G4lTMOmH8Dw,2021-10-26T18:47:57+00:00
wwvLlEtxX3o,2021-10-26T18:47:57+00:00
zQOrLamT0n4,2021-10-26T18:47:57+00:00
UJKythlXAIY,2021-10-26T18:47:57+00:00
CmwRQqJsegw,2021-10-26T18:47:57+00:00
tjm3NyQ6DYw,2021-10-26T18:47:57+00:00
N9SZaOJEWXU,2021-10-26T18:47:57+00:00
eMqsWc8muj8,2021-10-26T18:47:57+00:00
dbB-mICjkQM,2021-10-26T18:47:57+00:00
qhduQhDqtb4,2021-10-26T18:47:57+00:00
O2IuJPh6h_A,2021-10-26T18:47:57+00:00
od7-fyGa9DQ,2021-10-26T18:47:57+00:00
qybUFnY7Y8w,2021-10-26T18:47:57+00:00
PevViEXDcY0,2021-10-26T18:47:57+00:00
n2Uf1uN8haI,2021-10-26T18:47:57+00:00
NVhXkQu5_Ig,2021-10-26T18:47:57+00:00
YkADj0TPrJA,2021-10-26T18:47:57+00:00
XcczE3FfbWA,2021-10-26T18:47:57+00:00
nHlJODYBLKs,2021-10-26T18:47:57+00:00
8N_tupPBtWQ,2021-10-26T18:47:57+00:00
CM0fBP9_lkI,2021-10-26T18:47:57+00:00
mCHzicKq3W4,2021-10-26T18:47:57+00:00
CRm1yqSmsGY,2021-10-26T18:47:57+00:00
58mE7Vy1Xrc,2021-10-26T18:47:57+00:00
JYGqrIQTesI,2021-10-26T18:47:57+00:00
1_Md-HwOy3c,2021-10-26T18:47:57+00:00
8UVNT4wvIGY,2021-10-26T18:47:57+00:00
z7eg30GvV9E,2021-10-26T18:47:57+00:00
T04w5jb9YxE,2021-10-26T18:47:57+00:00
fK3fVJtFTh0,2021-10-26T18:47:57+00:00
WtOL_2e0004,2021-10-26T18:47:57+00:00
at02Fvdhk2I,2021-10-26T18:47:57+00:00
d9NF2edxy-M,2021-10-26T18:47:57+00:00
Jf_l3EGQvL8,2021-10-26T18:47:57+00:00
MejbOFk7H6c,2021-10-26T18:47:57+00:00
Ue1OMKOY8As,2021-10-26T18:47:57+00:00
W3en9Mkx86k,2021-10-26T18:47:57+00:00
HrbHjsQC2zA,2021-10-26T18:47:57+00:00
hVqrW-fPOQ0,2021-10-26T18:47:57+00:00
Of9kHpCv1ts,2021-10-26T18:47:57+00:00
 -LUxAtKS2S8,2021-10-26T18:47:57+00:00
IJNR2EpS0jw,2021-10-26T18:47:57+00:00
Ze7eweUQI9A,2021-10-26T18:47:57+00:00
dYRqIAuY9IQ,2021-10-26T18:47:57+00:00
Soa3gO7tL-c,2021-10-26T18:47:57+00:00
A1OqtIqzScI,2021-10-26T18:47:57+00:00
M3a5E6YLb8A,2021-10-26T18:47:57+00:00
8HrmAgYE-6k,2021-10-26T18:47:57+00:00
j0Mz_IqpZX8,2021-10-26T18:47:57+00:00
xyzHYg9BYRs,2021-10-26T18:47:57+00:00
Yjl890_qwf4,2021-10-26T18:47:57+00:00
8ccFSXgdv5U,2021-10-26T18:47:57+00:00
cyNwWTnCaEA,2021-10-26T18:47:57+00:00
0x4Q7JUkpD4,2021-10-26T18:47:57+00:00
q5x_YoweEg8,2021-10-26T18:47:57+00:00
DIoP-wlpFHg,2021-10-26T18:47:57+00:00
9JkDzNOgO3U,2021-10-26T18:47:57+00:00
2IF5TfnmV0k,2021-10-26T18:47:57+00:00
4JjA2jsNUmc,2021-10-26T18:47:57+00:00
AzEBH6DZJVk,2021-10-26T18:47:57+00:00
sD72LbIk02M,2021-10-26T18:47:57+00:00
XNVua-kot5A,2021-10-26T18:47:57+00:00
ABXtWqmArUU,2021-10-26T18:47:57+00:00
hvP1qOqE6Zk,2021-10-26T18:47:57+00:00
6foX6soaOU0,2021-10-26T18:47:57+00:00
2fraSdN-PG8,2021-10-26T18:47:57+00:00
vlUR09yRHZU,2021-10-26T18:47:57+00:00
IbVoo7YLWnI,2021-10-26T18:47:57+00:00
AkYDIKUymDY,2021-10-26T18:47:57+00:00
0s0RiowRUGE,2021-10-26T18:47:57+00:00
C2RsyZI7Rgk,2021-10-26T18:47:57+00:00
k6PxMRUgmbA,2021-10-26T18:47:57+00:00
Yj6V_a1-EUA,2021-10-26T18:47:57+00:00
EwPnzFCRfjQ,2021-10-26T18:47:57+00:00
LemG0cvc4oU,2021-10-26T18:47:57+00:00
MR52MIJuZJY,2021-10-26T18:47:57+00:00
WJnrgvivZ1E,2021-10-26T18:47:57+00:00
akCgDFXN1ic,2021-10-26T18:47:57+00:00
0HDdjwpPM3Y,2021-10-26T18:47:57+00:00
FR9G7ioLLmc,2021-10-26T18:47:57+00:00
o0u4M6vppCI,2021-10-26T18:47:57+00:00
u1ZB_rGFyeU,2021-10-26T18:47:57+00:00
XZ6rv2ZC3Kc,2021-10-26T18:47:57+00:00
OPf0YbXqDm0,2021-10-26T18:47:57+00:00
bTxx5CfeNg8,2021-10-26T18:47:57+00:00
Gk3tXQzCeJA,2021-10-26T18:47:57+00:00
i6i5oYQE8ZI,2021-10-26T18:47:57+00:00
nuLMDvoshrk,2021-10-26T18:47:57+00:00
LlU4FuIJT2k,2021-10-26T18:47:57+00:00
w81FAuz2F4w,2021-10-26T18:47:57+00:00
8jzDnsjYv9A,2021-10-26T18:47:57+00:00
7qFF2v8VsaA,2021-10-26T18:47:57+00:00
hzvmebyt_iU,2021-10-26T18:47:57+00:00
SXCgxJe1lHs,2021-10-26T18:47:57+00:00
P_SlAzsXa7E,2021-10-26T18:47:57+00:00
LT7MOirwZdM,2021-10-26T18:47:57+00:00
LWGJA9i18Co,2021-10-26T18:47:57+00:00
IvUU8joBb1Q,2021-10-26T18:47:57+00:00
6jRh2PRa1tU,2021-10-26T18:47:57+00:00
vm-ftnA8AUg,2021-10-26T18:47:57+00:00
hLEoictM8p4,2021-10-26T18:47:57+00:00
KFiyZB5ucgo,2021-10-26T18:47:57+00:00
r5dNcKTcnPA,2021-10-26T18:47:57+00:00
B9FzVhw8_bY,2021-10-26T18:47:57+00:00
QvW61K2s0tA,2021-10-26T18:47:57+00:00
6kyY8BD5_TI,2021-10-26T18:47:57+00:00
TwL6SjjupbU,2021-10-26T18:47:57+00:00
uV4UpCq2azs,2021-10-26T18:47:57+00:00
Z4zHMtJv9W8,2021-10-26T18:47:57+00:00
fJwjLYRPxJY,2021-10-26T18:47:57+00:00
YV5KAbV34NU,2021-10-26T18:47:57+00:00
sarTdUftsKA,2021-10-26T18:47:57+00:00
6wpLrkqtB5E,2021-10-26T18:47:57+00:00
 -h5lWVzHmP4,2021-10-26T18:47:57+00:00
QczxCxFRUf0,2021-10-26T18:47:57+00:00
ckASgCkPsEM,2021-10-26T18:47:57+00:00
u438nebJzkI,2021-10-26T18:47:57+00:00
iwxfmYR7ItM,2021-10-26T18:47:57+00:00
Dp2JZJ7M59Q,2021-10-26T18:47:57+00:00
m1avQWtV-DY,2021-10-26T18:47:57+00:00
Z7R8XRKqHAI,2021-10-26T18:47:57+00:00
BQ0mxQXmLsk,2021-10-26T18:47:57+00:00
Rc_8tbGhXUc,2021-10-26T18:47:57+00:00
LgmxMuW6Fsc,2021-10-26T18:47:57+00:00
1i6oSfzMHi0,2021-10-26T18:47:57+00:00
u9lAIvLosyg,2021-10-26T18:47:57+00:00
43gm3CJePn0,2021-10-26T18:47:57+00:00
61SWGdZ2p2M,2021-10-26T18:47:57+00:00
CICIOJqEb5c,2021-10-26T18:47:57+00:00
c8Upzye9Ctw,2021-10-26T18:47:57+00:00
uWXi_c7Zmko,2021-10-26T18:47:57+00:00
7BrHUuiHYBc,2021-10-26T18:47:57+00:00
yKTbX9k-R44,2021-10-26T18:47:57+00:00
LfI8-uoF6NU,2021-10-26T18:47:57+00:00
HQliEKPg1Qk,2021-10-26T18:47:57+00:00
b26iN-j8RaQ,2021-10-26T18:47:57+00:00
rRAjssFYXik,2021-10-26T18:47:57+00:00
11G9j9utRCs,2021-10-26T18:47:57+00:00
KOOhPfMbuIQ,2021-10-26T18:47:57+00:00
WRCA_Fo0rWA,2021-10-26T18:47:57+00:00
lnFv-vlroPw,2021-10-26T18:47:57+00:00
DyDfgMOUjCI,2021-10-26T18:47:57+00:00
tcUB-3lud60,2021-10-26T18:47:57+00:00
Rppb_wuhMVw,2021-10-26T18:47:57+00:00
VYT8YYKeN2Q,2021-10-26T18:47:57+00:00
PyUNDr0EcAk,2021-10-26T18:47:57+00:00
IHoj7qvNmwk,2021-10-26T18:47:57+00:00
OFpTa2IfXts,2021-10-26T18:47:57+00:00
XehTLx0vlt0,2021-10-26T18:47:57+00:00
