"Playlist URL","https://www.youtube.com/playlist?list=PLrBjj4brdIRyM5mUsHwPN0PH6UVNfeNl2"
"Playlist title","Bizarre Games"
"Playlist author","Let's Game It Out"
"Videos","103"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"sSk8ltE6Nts","How I Made $3,262,221,056 Ruining the Real Estate Market - Estate Agent Simulator","Let's Game It Out","2023-11-18","2023-11-18","https://i.ytimg.com/vi/sSk8ltE6Nts/hqdefault.jpg","Thanks to Displate for sponsoring! Check out the linkie: https://displate.com/?art=655606287cec0
Or use the code ""LGIO"" at checkout!

JOIN MY STREAMS! ► https://www.twitch.tv/letsgameitout

Merch!  ► http://bit.ly/LetsGameItOutStore

Subscribe if you enjoy! ► http://bit.ly/letsgameitout_show

Twitter ► https://twitter.com/letsgameitout
TikTok ► https://www.tiktok.com/@letsgameitout
Facebook ► https://www.facebook.com/letsgameitout

Want more LGIO?!

More Simulator Mayhem ► https://www.youtube.com/watch?v=UqaNKNgSxYI&list=PLrBjj4brdIRzn3ja4BfqYUForg0p-p5wi

Funny Tycoon Games ► https://www.youtube.com/watch?v=UqaNKNgSxYI&list=PLrBjj4brdIRwf14QPGmfDXCQQrDs860ig

The Finest One-Offs ► https://www.youtube.com/watch?v=zIOFGCbwJSs&list=PLrBjj4brdIRwKf72d6spk7fSHhwwYuQu1

Some Truly Bizarre Games  ► https://www.youtube.com/watch?v=zIOFGCbwJSs&list=PLrBjj4brdIRyM5mUsHwPN0PH6UVNfeNl2

#LetsGameItOut #Simulation #Tycoon

Key provided by the developer.

How I Made $3,262,221,056 Ruining the Entire Real Estate Market - Estate Agent Simulator - Let's Game It Out

----------

Check it out on Steam ► https://store.steampowered.com/app/2553050/Estate_Agent_Simulator/

More about Estate Agent Simulator (from Steam):


Estate Agent Simulator is a property buying, selling and renting game. Buy houses in the city, decorate them and increase their value. Earn income by advertising these houses for rent or for sale. Don't forget to use your bargaining skills!


Construction Vacant land is opportunity! Buy these plots and build your dream house! Construction workers will help you build the house you want.

Customers are coming! Negotiate and try to get the best offer. Try to deal with reputable clients. When the rent day comes, you have to go to the houses and collect the rent money from the tenants, but some customers may not pay the rent. However, if you have a bank account, the rent money will be deposited into your account. Don't forget to check regularly. If you have a problem with a tenant, you can contact a lawyer and sue or try to collect the rent money in other ways. You can even beat them up!




News Centre You need to keep up with what's happening in the city. Neighbourhood factors affect rental prices. If a new school opens in the city, house rents in the neighbourhood may rise. Don't forget to look at newspaper adverts. You can get news about the city by talking to people. Go for a drink. Maybe it will help you to hear what is being said at the next table.


After a tiring day, watch your favorite movie, relax and raise your relationship level with your partner.


Can you drive a van? Go to the dealer in the city, buy the stuff and increase the value of the house you want to rent out. Be careful not to forget to take your lorry with you, the stuff is quite heavy.


Entertainment: You deserve to have some fun too! Try to discover the venues in the city. In some places you will have fun and earn money at the same time."
"xOxq6cQwe7Y","This Is What Happens When a Psychopath Is Unleashed on Space - Space Trash Scavenger | Ad","Let's Game It Out","2023-11-09","2023-11-09","https://i.ytimg.com/vi/xOxq6cQwe7Y/hqdefault.jpg","This game has space, chaos, and conveyor belts. It's actual space heaven.
Check the game out for yourself! https://play.paradoxinteractive.com/LGIO-Space
Sponsored by Paradox

JOIN MY STREAMS! ► https://www.twitch.tv/letsgameitout

Merch!  ► http://bit.ly/LetsGameItOutStore

Subscribe if you enjoy! ► http://bit.ly/letsgameitout_show

Twitter ► https://twitter.com/letsgameitout
TikTok ► https://www.tiktok.com/@letsgameitout
Facebook ► https://www.facebook.com/letsgameitout

Want more LGIO?!

More Simulator Mayhem ► https://www.youtube.com/watch?v=UqaNKNgSxYI&list=PLrBjj4brdIRzn3ja4BfqYUForg0p-p5wi

Funny Tycoon Games ► https://www.youtube.com/watch?v=UqaNKNgSxYI&list=PLrBjj4brdIRwf14QPGmfDXCQQrDs860ig

The Finest One-Offs ► https://www.youtube.com/watch?v=zIOFGCbwJSs&list=PLrBjj4brdIRwKf72d6spk7fSHhwwYuQu1

Some Truly Bizarre Games  ► https://www.youtube.com/watch?v=zIOFGCbwJSs&list=PLrBjj4brdIRyM5mUsHwPN0PH6UVNfeNl2

#LetsGameItOut #Space #SpaceTrashScavenger

This Is What Happens When a Psychopath Is Unleashed on Space - Space Trash Scavenger - Let's Game It Out

----------

Check it out on Steam ► https://store.steampowered.com/app/1759350/Space_Trash_Scavenger/

More about Space Trash Scavenger (from Steam):

In the 31st century, Space Trash Scavengers employed by ScavCorp roam the cosmos, risking their lives for riches amongst the debris of an ancient war.

Build your Space Rig–a 3D raft with artificial gravity, power, trash processing, farming and defense. Craft the everyday food, fuel, weapons, ammo and space suit upgrades you’ll need to survive out here in the vastness of the cosmos.

In space there is no up or down! Expand your base in any direction for the most efficient layout. Once you are equipped with the necessary fuel and a warp drive, you’ll be free to explore other sectors and continue your mission.

Circumnavigate tiny asteroids, fly between abandoned outposts, and board derelict spaceships as they orbit the system. Take caution, however, and remember to keep your jetpack fuel topped up–you’ll need it to get back to your Space Rig safe and sound!

Each salvage zone is a procedurally generated, dynamic, and ever-changing open world.

You are an employee for the galaxy’s number one waste disposal firm, stranded far away from home with a mission to clean the galaxy from the remains of a galactic war.Space trash is your main resource. Whether it is salvaged debris floating in space, advanced and rare tech from wrecked ships, or scavenged goods from asteroid surfaces, you’ll want to snatch it all up!

Recycle and refine it to produce valuable goods that will net a tidy sum on the Trash Exchange, and spend it to upgrade your kit.

You’re not alone amid the wreckage. Alien bots patrol most sectors of space nowadays and they’ll be drawn to you as your operation expands.

You’ll need a steady aim, impeccable defenses, and an upgraded armory to protect your Space Rig from the dangers of these foes. Survival depends on your ability to defend yourself!

...and more!
We'll be adding more and more to Space Trash Scavenger, so be sure to wishlist and follow for updates! Join our discord (linked to the right) if you'd like to help beta test the game."
"0FKaIiRhUME","I Broke This Game So Hard, Its Whole Universe Gave Up - Outpath","Let's Game It Out","2023-11-09","2023-11-03","https://i.ytimg.com/vi/0FKaIiRhUME/hqdefault.jpg","🕹Stop torturing yourself and get Opera GX: https://operagx.gg/LetsGameItOut8  Sponsored by Opera GX

JOIN MY STREAMS! ► https://www.twitch.tv/letsgameitout

Merch!  ► http://bit.ly/LetsGameItOutStore

Subscribe if you enjoy! ► http://bit.ly/letsgameitout_show

Twitter ► https://twitter.com/letsgameitout
TikTok ► https://www.tiktok.com/@letsgameitout
Facebook ► https://www.facebook.com/letsgameitout

Want more LGIO?!

More Simulator Mayhem ► https://www.youtube.com/watch?v=UqaNKNgSxYI&list=PLrBjj4brdIRzn3ja4BfqYUForg0p-p5wi

Funny Tycoon Games ► https://www.youtube.com/watch?v=UqaNKNgSxYI&list=PLrBjj4brdIRwf14QPGmfDXCQQrDs860ig

The Finest One-Offs ► https://www.youtube.com/watch?v=zIOFGCbwJSs&list=PLrBjj4brdIRwKf72d6spk7fSHhwwYuQu1

Some Truly Bizarre Games  ► https://www.youtube.com/watch?v=zIOFGCbwJSs&list=PLrBjj4brdIRyM5mUsHwPN0PH6UVNfeNl2

I Broke This Game So Hard, Its Whole Universe Gave Up - Outpath - Let's Game It Out

#LetsGameItOut #Simulation

----------

Check it out on Steam ► https://store.steampowered.com/app/2237970/Outpath/

More about Outpath (from Steam):

Taking Satisfactory, Forager and the gratifying gameplay loop of clicker/idle games as references, Outpath would be just that. Exploit your environment, craft, build and automate your base in this 3D first-person platformer!

Gather. Craft. Build. Explore. Relax. No time limits, no pressure, play at your own pace and style.

Gather, collect and manage resources.
Craft useful items.
Base building, automate everything.
Buy islands to expand and exploit!
Fishing.
Level up skills and unlock new blueprints.
Parkour movements.
Play active or idle, you choose!
Music reacts to your actions.
Uncover the secrets of this stylized place."
"OzYxBrgtUSo","People Order a Dream Home, I Build Their Nightmare - Hometopia","Let's Game It Out","2023-10-07","2023-10-06","https://i.ytimg.com/vi/OzYxBrgtUSo/hqdefault.jpg","Pro renovation tip: When a client firmly requests a feature in their home, what they really mean is ""eh, do whatever you want, I'm sure I'll love the results."" And even if they throw a fit after, they're just celebrating in disguise.

JOIN MY STREAMS! ► https://www.twitch.tv/letsgameitout

Merch!  ► http://bit.ly/LetsGameItOutStore

Subscribe if you enjoy! ► http://bit.ly/letsgameitout_show

Twitter ► https://twitter.com/letsgameitout
TikTok ► https://www.tiktok.com/@letsgameitout
Facebook ► https://www.facebook.com/letsgameitout

Want more LGIO?!

More Simulator Mayhem ► https://www.youtube.com/watch?v=UqaNKNgSxYI&list=PLrBjj4brdIRzn3ja4BfqYUForg0p-p5wi

Funny Tycoon Games ► https://www.youtube.com/watch?v=UqaNKNgSxYI&list=PLrBjj4brdIRwf14QPGmfDXCQQrDs860ig

The Finest One-Offs ► https://www.youtube.com/watch?v=zIOFGCbwJSs&list=PLrBjj4brdIRwKf72d6spk7fSHhwwYuQu1

Some Truly Bizarre Games  ► https://www.youtube.com/watch?v=zIOFGCbwJSs&list=PLrBjj4brdIRyM5mUsHwPN0PH6UVNfeNl2

People Order a Dream Home, I Build Their Nightmare - Hometopia - Let's Game It Out

#LetsGameItOut #Simulation

----------

Check it out on Steam ► Hometopia

More about Hometopia (from Steam):

Build better, together 🏡 Hometopia is a seriously satisfying co-op building simulation game that turns players into designers and developers of the best-looking homes in the virtual world. Play now!

We have an exciting, long-term vision for Hometopia. We don’t intend to just finish a few features and call it a day. We see Hometopia as an ongoing, creative worldbuilding platform for players to design homes, build communities, play and interact with others.

We are building a cooperative online experience to allow for maximum creativity and collaboration. We’re in this for the long haul and need your help getting Hometopia to its full potential.

Hometopia is in EARLY ACCESS and while very playable, is a work-in-progress and not yet complete. We are very responsive in Discord and will help you with any problems you come across.

Key Features:

Full co-op support - Work with up to 4 other players in any and every part of the game. Work together to take on ambitious renovations or to develop entire neighborhoods.
Career progression - Build a career starting as a beginner and progressing to professional home designer.
Dynamic job system - Engage with a dynamic job system that offers a wide spectrum of client-based tasks. From minor one-room makeovers to large-scale house constructions, every job challenges and enhances your design, renovation, and building abilities.
Player homes - Exercise creative freedom with no restrictions or demands. Purchase land in a preferred biome, and transform it into a dream home."
"1kdK0YjMryQ","Using 1 Item to Completely Break This Entire Game - Sunkenland","Let's Game It Out","2023-10-07","2023-09-24","https://i.ytimg.com/vi/1kdK0YjMryQ/hqdefault.jpg","🕹Stop torturing yourself and get Opera GX: https://operagx.gg/LetsGameItOut7  Sponsored by Opera GX

JOIN MY STREAMS! ► https://www.twitch.tv/letsgameitout

Merch!  ► http://bit.ly/LetsGameItOutStore

Subscribe if you enjoy! ► http://bit.ly/letsgameitout_show

Twitter ► https://twitter.com/letsgameitout
TikTok ► https://www.tiktok.com/@letsgameitout
Facebook ► https://www.facebook.com/letsgameitout

Want more LGIO?!

More Simulator Mayhem ► https://www.youtube.com/watch?v=UqaNKNgSxYI&list=PLrBjj4brdIRzn3ja4BfqYUForg0p-p5wi

Funny Tycoon Games ► https://www.youtube.com/watch?v=UqaNKNgSxYI&list=PLrBjj4brdIRwf14QPGmfDXCQQrDs860ig

The Finest One-Offs ► https://www.youtube.com/watch?v=zIOFGCbwJSs&list=PLrBjj4brdIRwKf72d6spk7fSHhwwYuQu1

Some Truly Bizarre Games  ► https://www.youtube.com/watch?v=zIOFGCbwJSs&list=PLrBjj4brdIRyM5mUsHwPN0PH6UVNfeNl2

Using 1 Item to Completely Break This Entire Game - Sunkenland - Let's Game It Out

#LetsGameItOut #Simulation

----------

Check it out on Steam ► https://store.steampowered.com/app/2080690/Sunkenland/

More about Sunkenland (from Steam):

Sunkenland is an exciting post-apocalyptic survival and exploration game set in the near future when water covered most of the Earth. Explore sunken cities, scavenge resources and valuable technologies, build your base, trade, fight and survive.

Features:
Diving
Explore the sunken skyscrapers, nuclear powerplants and subway tunnel. Gather resources, seek out lost technologies, and collect rare pre-apocalypse items. Build diving devices to assist your underwater journey. And be wary of the unknown danger awaiting you in the depths of this planet.

Base Building
Build your base anywhere you want. Will it be a water stronghold, an abandoned ship base or an island penthouse? You need it to keep yourself refreshed, craft items, farm, store items, and stay protected. With the modular building system, you can create your ideal enclave and stylize it with decorations found throughout your journey.

Base Defense
Defend your base against clans of pirates and mutants. Build high walls, barbed wire, traps, surveillance system, and artillery to keep the enemies out of your territory!

Crafting
Build everything you need, tools, weapons, a jetski, and even a helicopter. You will need different workstations and blueprints in order to craft complex items.

Survival
Gather food, hunt sharks, grow plants, and manage supplies. Make your base sustainable as resources are scarce in Sunkenland.

Vehicles
Build and upgrade many types of vehicles including sailboat, jetski and gyrocopters. They will make your exploration much more convenient.

Fighting
Fight mutants and pirates. Raid enemy atolls and steal their resources. Use melee weapons, firearms and explosives. Fight on ocean and land. Operate mounted heavy weapons to destroy enemy boats.

Trading
Trade with friendly atolls for supplies, weapons, armor and rare items. There is no universal currency, only item for item.

Co-op
Cooperate with friends and survive this oceanic apocalypse as a group. Build bases, dive, explore and fight pirates together!"
"MH2JHRBQ6ng","This Is What Happens When You Elect a Psychopath as City Mayor - Cities: Skylines II | Ad","Let's Game It Out","2023-09-15","2023-09-08","https://i.ytimg.com/vi/MH2JHRBQ6ng/hqdefault.jpg","I think every citizen in my city is as unhappy as they can be, and that's JUST THE BEST.
Pre-order now and get ready to torment some simulated lives! https://play.citiesskylines.com/LGIO

JOIN MY STREAMS! ► https://www.twitch.tv/letsgameitout

Merch!  ► http://bit.ly/LetsGameItOutStore

Subscribe if you enjoy! ► http://bit.ly/letsgameitout_show

Twitter ► https://twitter.com/letsgameitout
TikTok ► https://www.tiktok.com/@letsgameitout
Facebook ► https://www.facebook.com/letsgameitout

Want more LGIO?!

More Simulator Mayhem ► https://www.youtube.com/watch?v=UqaNKNgSxYI&list=PLrBjj4brdIRzn3ja4BfqYUForg0p-p5wi

Funny Tycoon Games ► https://www.youtube.com/watch?v=UqaNKNgSxYI&list=PLrBjj4brdIRwf14QPGmfDXCQQrDs860ig

The Finest One-Offs ► https://www.youtube.com/watch?v=zIOFGCbwJSs&list=PLrBjj4brdIRwKf72d6spk7fSHhwwYuQu1

Some Truly Bizarre Games  ► https://www.youtube.com/watch?v=zIOFGCbwJSs&list=PLrBjj4brdIRyM5mUsHwPN0PH6UVNfeNl2

#LetsGameItOut #simulation

This Is What Happens When You Elect a Psychopath as City Mayor - Cities: Skylines II

----------

Check it out ► https://play.citiesskylines.com/LGIO

More about Cities: Skylines II (from Steam):

If you can dream it, you can build it.
Raise a city from the ground up and transform it into the thriving metropolis only you can imagine. You've never experienced building on this scale. With deep simulation and a living economy, Cities: Skylines II delivers world-building without limits.

Lay the foundations for your city to begin. Create the roads, infrastructure, and systems that make life possible day to day. It's up to you – all of it.

How your city grows is your call too, but plan strategically. Every decision has an impact. Can you energize local industries while also using trade to boost the economy? What will make residential districts flourish without killing the buzz downtown? How will you meet the needs and desires of citizens while balancing the city's budget?

Your city never rests. Like any living, breathing world, it changes over time. Some changes will be slow and gradual, while others will be sudden and unexpected. So while seasons turn and night follows day, be ready to act when life doesn't go to plan.

An ever-expanding community of Builders means more opportunities to build a truly groundbreaking city with mods. They're now more easily available in Cities: Skylines II.

The most realistic and detailed city builder ever, Cities: Skylines II pushes your creativity and problem-solving to another level. With beautifully rendered high-resolution graphics, it also inspires you to build the city of your dreams.
Deep simulation
AI and intricate economics mean your choices ripple through the fabric of the city. Remember that as you strategize, problem-solve, and react to change, challenges, and opportunities.
Epic scale, endless possibilities
Cities: Skylines II lets you create without compromise. Now you can build sky-high and sprawl across the map like never before. Why not? Your city is you.
Cities that come alive
Your decisions shape each citizen's life path, a chain of events that defines who they are. From love and loss to wealth and wellbeing, follow their life's ups and downs.
A dynamic world
Pick a map to set the climate of your city. These are the natural forces you'll negotiate to expand your city amid rising pollution, changeable weather, and seasonal challenges."
"6NxW3xSAqUg","I Turned This Entire Game Into a Glitchy Pain Paradise - The Coin Game","Let's Game It Out","2023-09-15","2023-07-15","https://i.ytimg.com/vi/6NxW3xSAqUg/hqdefault.jpg","Download the best fantasy RPG game Watcher of Realms for free: https://click.fan/LGIO_WoR
Join the ultimate battle event and team up with TGT or Jschlatt, to get a chance to win amazing prizes like iPhones, Nintendo Switch, and more. Visit https://event.watcherofrealms.com/en/m/index.html?utm_source=Let%27sGameItOut for details.

JOIN MY STREAMS! ► https://www.twitch.tv/letsgameitout

Merch!  ► http://bit.ly/LetsGameItOutStore

Subscribe if you enjoy! ► http://bit.ly/letsgameitout_show

Twitter ► https://twitter.com/letsgameitout
TikTok ► https://www.tiktok.com/@letsgameitout
Facebook ► https://www.facebook.com/letsgameitout

Want more LGIO?!

More Simulator Mayhem ► https://www.youtube.com/watch?v=UqaNKNgSxYI&list=PLrBjj4brdIRzn3ja4BfqYUForg0p-p5wi

Funny Tycoon Games ► https://www.youtube.com/watch?v=UqaNKNgSxYI&list=PLrBjj4brdIRwf14QPGmfDXCQQrDs860ig

The Finest One-Offs ► https://www.youtube.com/watch?v=zIOFGCbwJSs&list=PLrBjj4brdIRwKf72d6spk7fSHhwwYuQu1

Some Truly Bizarre Games  ► https://www.youtube.com/watch?v=zIOFGCbwJSs&list=PLrBjj4brdIRyM5mUsHwPN0PH6UVNfeNl2

#LetsGameItOut #Watcherofrealms #NextgenRPG

I Turned This Entire Game Into a Glitchy Pain Paradise - The Coin Game - Let's Game It Out

----------

Check it out on Steam ► https://store.steampowered.com/app/598980/The_Coin_Game/

More about The Coin Game (from Steam):

The Coin Game is a fun collection of ticket arcades that are all run by goofy robots on an little island full of things to do. The arcades include highly detailed machines with realistic physics that are inspired by modern arcade machines. There are ticket redemption areas to exchange your counted tickets for all kinds of fun prizes. Larry's Arcade has an in-house animatronic band called Teddy and the Ticket Eaters that would love to play you some tunes while you enjoy the arcade. The most recent addition to Islandville island, UFO Arcade features modern space inspired arcade machines, Lazer Tag and an Indoor Go Kart Race Track. Make sure to watch out for the minions, they really love Teddy and his band and they also are pretty good at Lazer Tag. Run out of money? That's ok. You can work odd jobs around the island to get back on your feet. Got extra prizes? The island has a Pawn Shop that will buy your used prizes for cash so you can go blow it back at the arcade.

The Coin Game also features a full fledged Traveling Carnival with over 20 classic games, rides and machines to choose from. The carnival also brings new prizes to win, hoard or sell for cash at Barrys pawn shop. The rides are all interactive and are overpriced just like in real life... so you better be winning, working or begging Uncle Phil for more spending cash if you want to enjoy them. (Birthday mode is unlimited money for all you lazies out there that just want to live off of Uncle Phils wallet and have a good time. So dont worry he has you covered). But dont get comfy as Survivor Mode is still being developed. ;)

You can play The Coin Game anyway that you like. For the laid back players, you can just play the fun games and win tickets to exchange for silly prizes. You don't have to worry about anything but winning tickets. Unlimited money. No curfews. No rules.... just arcade freedom brought to you by your rich Uncle Phil.

The Coin Game includes all the fun activities of a real trip to the arcade. Including drinking soda all day, dodging sugar filled minions and living off of vending machine cheesy poofs. To earn a little extra money you can scavenge the dumpsters and trash cans or even deliver newspapers around the island for extra spending loot. Explore the island on the Islandville bus system or even your very own golf cart.

There is lots of highway traffic and tourist activity on the island all year round, so make sure to keep off the roads or you may get a little surprise. There is even a few areas planned for the future that are off limits for now and surrounded by construction fencing to keep you safe. The Islandville Transit bus is always running if you need to get around the island doing chores. To hail the bus, simply click the button in any bus stop and buy a bus pass. Each bus ride costs one pass ($1.50).

With over 40 different games and machines there is already plenty to do on the island. You can play The Coin Game with any mouse, keyboard or any Dual stick/pad controller. The game includes a easy to use key mapping system to support virtually any controller or peripheral. So you can play The Coin Game any way that you like.

The Coin Game is developed by a one man indie developer over the last 3 years with the wonderful support of his wife, family and 2 weiner dogs."
"c0td7Noukww","People Order Coffee, I Serve Them Suffering - Espresso Tycoon","Let's Game It Out","2023-06-17","2023-06-17","https://i.ytimg.com/vi/c0td7Noukww/hqdefault.jpg","🕹Get a browser that’s literally better at everything: https://operagx.gg/LetsGameItOut6  Sponsored by Opera GX

JOIN MY STREAMS! ► https://www.twitch.tv/letsgameitout

Merch!  ► http://bit.ly/LetsGameItOutStore

Subscribe if you enjoy! ► http://bit.ly/letsgameitout_show

Twitter ► https://twitter.com/letsgameitout
TikTok ► https://www.tiktok.com/@letsgameitout
Facebook ► https://www.facebook.com/letsgameitout

Want more LGIO?!

More Simulator Mayhem ► https://www.youtube.com/watch?v=UqaNKNgSxYI&list=PLrBjj4brdIRzn3ja4BfqYUForg0p-p5wi

Funny Tycoon Games ► https://www.youtube.com/watch?v=UqaNKNgSxYI&list=PLrBjj4brdIRwf14QPGmfDXCQQrDs860ig

The Finest One-Offs ► https://www.youtube.com/watch?v=zIOFGCbwJSs&list=PLrBjj4brdIRwKf72d6spk7fSHhwwYuQu1

Some Truly Bizarre Games  ► https://www.youtube.com/watch?v=zIOFGCbwJSs&list=PLrBjj4brdIRyM5mUsHwPN0PH6UVNfeNl2

#LetsGameItOut #Simulation #Tycoon

People Order Coffee, I Serve Them Suffering - Espresso Tycoon - Let's Game It Out

----------

Check it out on Steam ► https://store.steampowered.com/app/1543280/Espresso_Tycoon/

More about Espresso Tycoon (from Steam):

Espresso Tycoon is a brand-new approach to the old classic tycoon games you remember from your childhood. Build a coffee shop from your dreams, where your customers can relax and drink delicious coffee. Deal with the emotional rollercoaster and build a successful coffee business.

Just imagine… you’re the boss here! Feel like the real cafe owner, an empire builder, and create the whole strategy, which includes:

decorating
hiring and managing employees
taking care of the supply chain
analyzing the budget
advertising your coffee shop
and, what’s most important, keeping your customers happy

You have your favorite coffee, right? So do your customers. Do the market research to find out their preferences. Use a 3D coffee editor to make different recipes to delight them. You can combine multiple ingredients in a very creative way.

Start, build and develop your coffee shop. Check your budget - do you have enough money to invest, or will you have to make some cuts? Decide where and when you want to start your new coffee business. Hire (or fire) a barista, do the marketing campaign, create a relaxing place, and collect the rating points.
Complete all the missions!

Are you a big fan of such games as Rollercoaster, pizza conection, planet coster? We are! Immerse yourself in the new coffee shop simulator. Build the best café in the city. Create, customize, sell snacks, cookie, and manage baristas– all of that in the new coffee shop simulation game. Become the coffee tycoon, don't feel stray, build the circle of trust with your customers, cross the frontier, and create the whole empire - the best on the planet!

You may think - 'let loose or work hard'? If you don't want to teardown your business - use your skills and try hard! You will see your prosperous coffee shop and you will say - 'What a satisfactory view!'. Do that in Espresso Tycoon - one of the best simulation games 2023! We may not be objective, but we really think so!"
"U-u9hPjFYW0","Instead of Building a Space Colony I Built a Human Death Trap - Astro Colony - Ad","Let's Game It Out","2023-06-11","2023-06-06","https://i.ytimg.com/vi/U-u9hPjFYW0/hqdefault.jpg","Check out Astro Colony (25% off this week!) here: https://bit.ly/AstroColonyItOut
Thanks to Terad Games for sponsoring this video!

JOIN MY STREAMS! ► https://www.twitch.tv/letsgameitout

Merch!  ► http://bit.ly/LetsGameItOutStore

Subscribe if you enjoy! ► http://bit.ly/letsgameitout_show

Twitter ► https://twitter.com/letsgameitout
TikTok ► https://www.tiktok.com/@letsgameitout
Facebook ► https://www.facebook.com/letsgameitout

Want more LGIO?!

More Simulator Mayhem ► https://www.youtube.com/watch?v=UqaNKNgSxYI&list=PLrBjj4brdIRzn3ja4BfqYUForg0p-p5wi

Funny Tycoon Games ► https://www.youtube.com/watch?v=UqaNKNgSxYI&list=PLrBjj4brdIRwf14QPGmfDXCQQrDs860ig

The Finest One-Offs ► https://www.youtube.com/watch?v=zIOFGCbwJSs&list=PLrBjj4brdIRwKf72d6spk7fSHhwwYuQu1

Some Truly Bizarre Games  ► https://www.youtube.com/watch?v=zIOFGCbwJSs&list=PLrBjj4brdIRyM5mUsHwPN0PH6UVNfeNl2

#LetsGameItOut #AstroColony #Simulation

Instead of Building a Space Colony I Built a Human Death Trap - Astro Colony - Let's Game It Out

----------

Check it out on Steam ► https://store.steampowered.com/app/1614550/Astro_Colony/

More about Astro Colony (from Steam):

Astro Colony is a game of automation and exploration in an infinite procedurally generated universe. It is composed of fully destructible voxel planets.

Move stations, dock them and create a galaxy network no one have seen before!

A space adventure game could not exist without a variety of biomes and hundreds of plants!

Construct unique transport systems using conveyor belts and pipes.

Recruit new Astronauts and fulfill their needs by providing food and shelter.

Research over 70 unique technologies to progress in colony development.

Play the game in the co-op mode with your friends or join other hosted lobbies.

Traverse the universe full of unexpected events and discover unknown grounds.
But be aware, the danger is lurking around the corner!"
"yPOsTvYN11E","I Made the World Better by Ruining Everyone's Lives Over and Over - WorldBox","Let's Game It Out","2023-05-27","2023-05-27","https://i.ytimg.com/vi/yPOsTvYN11E/hqdefault.jpg","Download Empires & Puzzles today on the Appstore and Google Play!: https://pixly.go2cloud.org/SH3p4
Sponsored by Small Giant Games.

JOIN MY STREAMS! ► https://www.twitch.tv/letsgameitout

Merch!  ► http://bit.ly/LetsGameItOutStore

Subscribe if you enjoy! ► http://bit.ly/letsgameitout_show

Twitter ► https://twitter.com/letsgameitout
TikTok ► https://www.tiktok.com/@letsgameitout
Facebook ► https://www.facebook.com/letsgameitout

Want more LGIO?!

More Simulator Mayhem ► https://www.youtube.com/watch?v=UqaNKNgSxYI&list=PLrBjj4brdIRzn3ja4BfqYUForg0p-p5wi

Funny Tycoon Games ► https://www.youtube.com/watch?v=UqaNKNgSxYI&list=PLrBjj4brdIRwf14QPGmfDXCQQrDs860ig

The Finest One-Offs ► https://www.youtube.com/watch?v=zIOFGCbwJSs&list=PLrBjj4brdIRwKf72d6spk7fSHhwwYuQu1

Some Truly Bizarre Games  ► https://www.youtube.com/watch?v=zIOFGCbwJSs&list=PLrBjj4brdIRyM5mUsHwPN0PH6UVNfeNl2

I Made the World Better by Ruining Everyone's Lives Over and Over - WorldBox God Simulator - Let's Game It Out

#LetsGameItOut #Simulation

----------

Check it out on Steam ► https://store.steampowered.com/app/1206560/WorldBox__God_Simulator/

More about WorldBox - God Simulator (from Steam):


WorldBox is the ULTIMATE god simulator and sandbox game!
Create your own world or destroy it using different powers:
God Simulator. There are a lot of powers in your toolbox that can be used without mana or resources.
Living world. Creatures have traits and needs. Animals will look for food. Greedy kings will try to get more lands.

Use different tools and brushes to design and populate your world:
Fantasy Races. There are 4 civilized races in WorldBox. Humans, orcs, elves and dwarves. Each with its own design and specific race traits.
Civilizations. Races will form kingdoms, colonize new lands and will sail to far continents that you'll create.
Diplomacy system. Kingdoms will fight with each other. Towns will rebel. Empires will fall. It's your choice to help or watch them fight.

Many fun and crazy abilities that you can use:
Destruction powers. Lightning, tornadoes, acid rain, nukes, meteorites, plague, dragons and even UFOs.
Different creatures. Demons, skeletons, zombies, tumors, cold ones, dragons, UFOs and even a giant Crabzilla that you can control yourself!

Interact with your world and create various scenarios:
Interact. Interact with your world with the divine magnet. Use your powers to start wars or create huge tornadoes! You can affect the world in unique ways.
Share your maps. Show your creations to other players of the WorldBox community!
Procedural Generation. Generate worlds of different sizes and find kingdoms with unique flags and names."
