"Playlist URL","https://www.youtube.com/playlist?list=PLaxU_M7Tq9etnBxNMh7nQbZS5N6m_SpGm"
"Playlist title","Dead Rising 2"
"Playlist author","AllShamNoWow"
"Videos","28"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"fUkTwnHlr1I","Dead Rising 2 [Part 1] - Welcome To Fortune City!","AllShamNoWow","2013-04-20","2013-04-20","https://i.ytimg.com/vi/fUkTwnHlr1I/hqdefault.jpg","Lose your head, or your heart, or a limb, or anything for that matter.

Twitter: https://twitter.com/#!/AllShamNoWow
Live Stream: http://www.twitch.tv/allshamnowow"
"WaNcEoNVSw0","Dead Rising 2 [Part 2] - Dad Of The Year","AllShamNoWow","2013-04-22","2013-04-21","https://i.ytimg.com/vi/WaNcEoNVSw0/hqdefault.jpg","I'm just a kid at heart.

Twitter: https://twitter.com/#!/AllShamNoWow
Live Stream: http://www.twitch.tv/allshamnowow"
"0RfKEkDE5R8","Dead Rising 2 [Part 3] - Do I Look Like A Terrorist?","AllShamNoWow","2013-04-24","2013-04-24","https://i.ytimg.com/vi/0RfKEkDE5R8/hqdefault.jpg","The world just hates men who dress like children.

Twitter: https://twitter.com/#!/AllShamNoWow
Live Stream: http://www.twitch.tv/allshamnowow"
"AB-QLwI9l6E","Dead Rising 2 [Part 4] - Chuck's Prostate","AllShamNoWow","2013-04-28","2013-04-28","https://i.ytimg.com/vi/AB-QLwI9l6E/hqdefault.jpg","Anal pleasure.

Twitter: https://twitter.com/#!/AllShamNoWow
Live Stream: http://www.twitch.tv/allshamnowow"
"-Kzq6togN58","Dead Rising 2 [Part 5] - Give That Stuffed Animal An Oscar","AllShamNoWow","2013-05-01","2013-05-01","https://i.ytimg.com/vi/-Kzq6togN58/hqdefault.jpg","I promise I'm not blind or anything.

Twitter: https://twitter.com/#!/AllShamNoWow
Live Stream: http://www.twitch.tv/allshamnowow"
"8KiLUcOZ77M","Dead Rising 2 [Part 6] - They Don't Want To Be Saved","AllShamNoWow","2013-05-03","2013-05-03","https://i.ytimg.com/vi/8KiLUcOZ77M/hqdefault.jpg","Jack was a brave knight.

Twitter: https://twitter.com/#!/AllShamNoWow
Live Stream: http://www.twitch.tv/allshamnowow"
"8QtYt6iiQcA","Dead Rising 2 [Part 7] - Nobody Died This Time","AllShamNoWow","2013-05-06","2013-05-06","https://i.ytimg.com/vi/8QtYt6iiQcA/hqdefault.jpg","Although I kind of regret picking up Kristin. I will never get that smell off of my clothes.

Twitter: https://twitter.com/#!/AllShamNoWow
Live Stream: http://www.twitch.tv/allshamnowow"
"ipE-it_zJLM","Dead Rising 2 [Part 8] - This Video Sucks","AllShamNoWow","2013-05-08","2013-05-08","https://i.ytimg.com/vi/ipE-it_zJLM/hqdefault.jpg","Twitter: https://twitter.com/#!/AllShamNoWow
Live Stream: http://www.twitch.tv/allshamnowow"
"TXTZq3Hy9rk","Dead Rising 2 [Part 9] - Super Summer Blockbuster Action Movie","AllShamNoWow","2013-05-12","2013-05-12","https://i.ytimg.com/vi/TXTZq3Hy9rk/hqdefault.jpg","One man. A bunch of other guys on a train. One solution.

Twitter: https://twitter.com/#!/AllShamNoWow
Live Stream: http://www.twitch.tv/allshamnowow"
"nXLEStNKyMo","Dead Rising 2 [Part 10] - Katey, Just Shut Up!","AllShamNoWow","2013-05-15","2013-05-15","https://i.ytimg.com/vi/nXLEStNKyMo/hqdefault.jpg","I HATE EVERYONE

Twitter: https://twitter.com/#!/AllShamNoWow
Live Stream: http://www.twitch.tv/allshamnowow"
