"Playlist URL","https://www.youtube.com/playlist?list=PLp-wjw6lssYnJnhOjA3qp8r5Eb92lmD0X"
"Playlist title","Jimmy and the Pulsating Mass"
"Playlist author","Grimith"
"Videos","116"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"51rto35YLoo","LGWI - Jimmy and the Pulsating Mass 01 (Sweet Dreams)","Grimith","2018-10-04","2018-10-05","https://i.ytimg.com/vi/51rto35YLoo/hqdefault.jpg","Itch.io Page: https://housekeepinggames.itch.io/jimmy-and-the-pulsating-mass
Steam Page: https://store.steampowered.com/app/706560/Jimmy_and_the_Pulsating_Mass/

Repeated from my intro: Zero tolerance policy on game spoilers or teasers. No ""you should do this,"" ""that'd be really helpful,"" ""this next part is so cringey,"" ""pay attention to what they said,"" or ""buy that item."" Don't play coy. Don't even backseat. Let me smash my head into a wall, misunderstand key mechanics, and ignore basic concepts of video gaming. Do feel free to buy the game - I'll provide links in the description - and explore it on your own, seeing all the secrets and optional areas I miss. Just don't tell me about 'em. Way I see it: If the game's good enough, I'll want to play it again and grab that missed content. And if it's not good enough? I won't care anyway. Got it? Cool."
"7yThtvg14tw","LGWI - Jimmy and the Pulsating Mass 02 (Cloudy Hill)","Grimith","2018-10-04","2018-10-06","https://i.ytimg.com/vi/7yThtvg14tw/hqdefault.jpg","The game's introduction to encounters and loot. Buck may be a bully, but he sure is effective. Good to have him on my side.

Itch.io Page: https://housekeepinggames.itch.io/jimmy-and-the-pulsating-mass
Steam Page: https://store.steampowered.com/app/706560/Jimmy_and_the_Pulsating_Mass/

Repeated from my intro: Zero tolerance policy on game spoilers or teasers. No ""you should do this,"" ""that'd be really helpful,"" ""this next part is so cringey,"" ""pay attention to what they said,"" or ""buy that item."" Don't play coy. Don't even backseat. Let me smash my head into a wall, misunderstand key mechanics, and ignore basic concepts of video gaming. Do feel free to buy the game - I'll provide links in the description - and explore it on your own, seeing all the secrets and optional areas I miss. Just don't tell me about 'em. Way I see it: If the game's good enough, I'll want to play it again and grab that missed content. And if it's not good enough? I won't care anyway. Got it? Cool."
"Q2rW4PwxmPo","LGWI - Jimmy and the Pulsating Mass 03 (Smile, There's Bees!)","Grimith","2018-10-04","2018-10-06","https://i.ytimg.com/vi/Q2rW4PwxmPo/hqdefault.jpg","Our animal friends lead an uncomplicated life. Our insect friends? Well... that's a different matter.

Itch.io Page: https://housekeepinggames.itch.io/jimmy-and-the-pulsating-mass
Steam Page: https://store.steampowered.com/app/706560/Jimmy_and_the_Pulsating_Mass/

Repeated from my intro: Zero tolerance policy on game spoilers or teasers. No ""you should do this,"" ""that'd be really helpful,"" ""this next part is so cringey,"" ""pay attention to what they said,"" or ""buy that item."" Don't play coy. Don't even backseat. Let me smash my head into a wall, misunderstand key mechanics, and ignore basic concepts of video gaming. Do feel free to buy the game - I'll provide links in the description - and explore it on your own, seeing all the secrets and optional areas I miss. Just don't tell me about 'em. Way I see it: If the game's good enough, I'll want to play it again and grab that missed content. And if it's not good enough? I won't care anyway. Got it? Cool."
"7IMK4suCfLI","LGWI - Jimmy and the Pulsating Mass 04 (Giant Gard--)","Grimith","2018-10-04","2018-10-07","https://i.ytimg.com/vi/7IMK4suCfLI/hqdefault.jpg","I backtrack to learn what became of that 4t weight. Also, there's a cave. Jimmy doesn't have much to say about the cave.

Itch.io Page: https://housekeepinggames.itch.io/jimmy-and-the-pulsating-mass
Steam Page: https://store.steampowered.com/app/706560/Jimmy_and_the_Pulsating_Mass/

Repeated from my intro: Zero tolerance policy on game spoilers or teasers. No ""you should do this,"" ""that'd be really helpful,"" ""this next part is so cringey,"" ""pay attention to what they said,"" or ""buy that item."" Don't play coy. Don't even backseat. Let me smash my head into a wall, misunderstand key mechanics, and ignore basic concepts of video gaming. Do feel free to buy the game - I'll provide links in the description - and explore it on your own, seeing all the secrets and optional areas I miss. Just don't tell me about 'em. Way I see it: If the game's good enough, I'll want to play it again and grab that missed content. And if it's not good enough? I won't care anyway. Got it? Cool."
"cJsbM6C3pkU","LGWI - Jimmy and the Pulsating Mass 05 (Wilted Lands)","Grimith","2018-10-04","2018-10-07","https://i.ytimg.com/vi/cJsbM6C3pkU/hqdefault.jpg","Turns out Jimmy's skillset is in demand.

Itch.io Page: https://housekeepinggames.itch.io/jimmy-and-the-pulsating-mass
Steam Page: https://store.steampowered.com/app/706560/Jimmy_and_the_Pulsating_Mass/

Repeated from my intro: Zero tolerance policy on game spoilers or teasers. No ""you should do this,"" ""that'd be really helpful,"" ""this next part is so cringey,"" ""pay attention to what they said,"" or ""buy that item."" Don't play coy. Don't even backseat. Let me smash my head into a wall, misunderstand key mechanics, and ignore basic concepts of video gaming. Do feel free to buy the game - I'll provide links in the description - and explore it on your own, seeing all the secrets and optional areas I miss. Just don't tell me about 'em. Way I see it: If the game's good enough, I'll want to play it again and grab that missed content. And if it's not good enough? I won't care anyway. Got it? Cool."
"bbTxvb-8zPo","LGWI - Jimmy and the Pulsating Mass 06 (Cliffside Confrontation)","Grimith","2018-10-04","2018-10-08","https://i.ytimg.com/vi/bbTxvb-8zPo/hqdefault.jpg","We meet the boss of the Petty Thugs. He doesn't understand that we have to fight him in order to get our honey so Mom can bake Jimmy a cake. Priorities!

Itch.io Page: https://housekeepinggames.itch.io/jimmy-and-the-pulsating-mass
Steam Page: https://store.steampowered.com/app/706560/Jimmy_and_the_Pulsating_Mass/

Repeated from my intro: Zero tolerance policy on game spoilers or teasers. No ""you should do this,"" ""that'd be really helpful,"" ""this next part is so cringey,"" ""pay attention to what they said,"" or ""buy that item."" Don't play coy. Don't even backseat. Let me smash my head into a wall, misunderstand key mechanics, and ignore basic concepts of video gaming. Do feel free to buy the game - I'll provide links in the description - and explore it on your own, seeing all the secrets and optional areas I miss. Just don't tell me about 'em. Way I see it: If the game's good enough, I'll want to play it again and grab that missed content. And if it's not good enough? I won't care anyway. Got it? Cool."
"pkS9fVwyAwg","LGWI - Jimmy and the Pulsating Mass 07 (Buddy Bee Hell)","Grimith","2018-10-04","2018-10-08","https://i.ytimg.com/vi/pkS9fVwyAwg/hqdefault.jpg","All this for a jar of honey. Maybe The Destroyer was right all along...

Itch.io Page: https://housekeepinggames.itch.io/jimmy-and-the-pulsating-mass
Steam Page: https://store.steampowered.com/app/706560/Jimmy_and_the_Pulsating_Mass/

Repeated from my intro: Zero tolerance policy on game spoilers or teasers. No ""you should do this,"" ""that'd be really helpful,"" ""this next part is so cringey,"" ""pay attention to what they said,"" or ""buy that item."" Don't play coy. Don't even backseat. Let me smash my head into a wall, misunderstand key mechanics, and ignore basic concepts of video gaming. Do feel free to buy the game - I'll provide links in the description - and explore it on your own, seeing all the secrets and optional areas I miss. Just don't tell me about 'em. Way I see it: If the game's good enough, I'll want to play it again and grab that missed content. And if it's not good enough? I won't care anyway. Got it? Cool."
"bwDp_nV5QZA","LGWI - Jimmy and the Pulsating Mass 08 (Space Knowledge)","Grimith","2018-10-08","2018-10-09","https://i.ytimg.com/vi/bwDp_nV5QZA/hqdefault.jpg","We learn about Jimmy's family and giant death robots. Could have used more of the former and less of the latter.

Itch.io Page: https://housekeepinggames.itch.io/jimmy-and-the-pulsating-mass
Steam Page: https://store.steampowered.com/app/706560/Jimmy_and_the_Pulsating_Mass/

Repeated from my intro: Zero tolerance policy on game spoilers or teasers. No ""you should do this,"" ""that'd be really helpful,"" ""this next part is so cringey,"" ""pay attention to what they said,"" or ""buy that item."" Don't play coy. Don't even backseat. Let me smash my head into a wall, misunderstand key mechanics, and ignore basic concepts of video gaming. Do feel free to buy the game - I'll provide links in the description - and explore it on your own, seeing all the secrets and optional areas I miss. Just don't tell me about 'em. Way I see it: If the game's good enough, I'll want to play it again and grab that missed content. And if it's not good enough? I won't care anyway. Got it? Cool."
"cGtKNotJDsI","LGWI - Jimmy and the Pulsating Mass 09 (The Great Escape)","Grimith","2018-10-09","2018-10-09","https://i.ytimg.com/vi/cGtKNotJDsI/hqdefault.jpg","We're leaving those deathbots behind for greener pastures. Also: The music in this game? Really good.

Itch.io Page: https://housekeepinggames.itch.io/jimmy-and-the-pulsating-mass
Steam Page: https://store.steampowered.com/app/706560/Jimmy_and_the_Pulsating_Mass/

Repeated from my intro: Zero tolerance policy on game spoilers or teasers. No ""you should do this,"" ""that'd be really helpful,"" ""this next part is so cringey,"" ""pay attention to what they said,"" or ""buy that item."" Don't play coy. Don't even backseat. Let me smash my head into a wall, misunderstand key mechanics, and ignore basic concepts of video gaming. Do feel free to buy the game - I'll provide links in the description - and explore it on your own, seeing all the secrets and optional areas I miss. Just don't tell me about 'em. Way I see it: If the game's good enough, I'll want to play it again and grab that missed content. And if it's not good enough? I won't care anyway. Got it? Cool."
"2IaLDpwGMzk","LGWI - Jimmy and the Pulsating Mass 10 (Startling Developments)","Grimith","2018-10-09","2018-10-10","https://i.ytimg.com/vi/2IaLDpwGMzk/hqdefault.jpg","Exactly what it says on the tin.

Itch.io Page: https://housekeepinggames.itch.io/jimmy-and-the-pulsating-mass
Steam Page: https://store.steampowered.com/app/706560/Jimmy_and_the_Pulsating_Mass/

Repeated from my intro: Zero tolerance policy on game spoilers or teasers. No ""you should do this,"" ""that'd be really helpful,"" ""this next part is so cringey,"" ""pay attention to what they said,"" or ""buy that item."" Don't play coy. Don't even backseat. Let me smash my head into a wall, misunderstand key mechanics, and ignore basic concepts of video gaming. Do feel free to buy the game - I'll provide links in the description - and explore it on your own, seeing all the secrets and optional areas I miss. Just don't tell me about 'em. Way I see it: If the game's good enough, I'll want to play it again and grab that missed content. And if it's not good enough? I won't care anyway. Got it? Cool."
