"Playlist URL","https://www.youtube.com/playlist?list=PLXXoIQTYGkvYD2dIlYd2zsHVvIEpQ5MXx"
"Playlist title","Jimmy and the Pulsating Mass"
"Playlist author","thevoiceofdog"
"Videos","21"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"iypNkwwkweg","A Look at Jimmy and the Pulsating Mass // 1","thevoiceofdog","2018-09-30","2018-09-21","https://i.ytimg.com/vi/iypNkwwkweg/hqdefault.jpg","An RPGmaker game by @KaseyOzymy that takes place in the dream of an eight year old boy.  Adventure, modernized RPG mechanics and lurking darkness abound!"
"fMQ8fRzbeTg","A Look at Jimmy and the Pulsating Mass // 2","thevoiceofdog","2018-09-30","2018-09-23","https://i.ytimg.com/vi/fMQ8fRzbeTg/hqdefault.jpg","hey where's that darkness at oh there it is"
"9I1DejpMtSA","A Look at Jimmy and the Pulsating Mass // 3","thevoiceofdog","2018-09-30","2018-09-27","https://i.ytimg.com/vi/9I1DejpMtSA/hqdefault.jpg","seasons, dreams, mysteries"
"iRgVxZYM78w","A Look at Jimmy and the Pulsating Mass // 4","thevoiceofdog","2018-09-30","2018-09-28","https://i.ytimg.com/vi/iRgVxZYM78w/hqdefault.jpg","Jonathon."
"x4Hku3GEjyE","A Look at Jimmy and the Pulsating Mass // 5","thevoiceofdog","2018-09-30","2018-09-30","https://i.ytimg.com/vi/x4Hku3GEjyE/hqdefault.jpg","there's so much in these episodes I don't know what to title them."
"jcPs7DPIZ5g","A Look at Jimmy and the Pulsating Mass // 6","thevoiceofdog","2018-09-30","2018-09-30","https://i.ytimg.com/vi/jcPs7DPIZ5g/hqdefault.jpg","gladiatorial combat in blockland"
"OQ13XFubCfc","A Look at Jimmy and the Pulsating Mass // 7","thevoiceofdog","2018-10-04","2018-10-04","https://i.ytimg.com/vi/OQ13XFubCfc/hqdefault.jpg","THAT'S numberwang"
"MsvnrnxwJ-k","A Look at Jimmy and the Pulsating Mass // 8","thevoiceofdog","2018-10-05","2018-10-05","https://i.ytimg.com/vi/MsvnrnxwJ-k/hqdefault.jpg","library"
"8FpUm79QVE4","A Look at Jimmy and the Pulsating Mass // 9","thevoiceofdog","2018-10-07","2018-10-07","https://i.ytimg.com/vi/8FpUm79QVE4/hqdefault.jpg","school life"
"HnJH4E9mCq0","A Look at Jimmy and the Pulsating Mass // 10","thevoiceofdog","2018-10-07","2018-10-07","https://i.ytimg.com/vi/HnJH4E9mCq0/hqdefault.jpg","counter.  counter.  counter.  counter.  counter.  counter.  counter.  SEVENNNNN"
"EYrV6v2k1Cw","A Look at Jimmy and the Pulsating Mass // 11","thevoiceofdog","2018-10-11","2018-10-11","https://i.ytimg.com/vi/EYrV6v2k1Cw/hqdefault.jpg","sidequest roundup"
"u-IcQ92Z6XI","A Look at Jimmy and the Pulsating Mass // 12","thevoiceofdog","2018-10-12","2018-10-12","https://i.ytimg.com/vi/u-IcQ92Z6XI/hqdefault.jpg","the center"
"iCj0ErzX3Hs","A Look at Jimmy and the Pulsating Mass // 13","thevoiceofdog","2018-10-14","2018-10-14","https://i.ytimg.com/vi/iCj0ErzX3Hs/hqdefault.jpg","rules keep us safe"
"uQ3ddg8SihY","A Look at Jimmy and the Pulsating Mass // 14","thevoiceofdog","2018-10-15","2018-10-15","https://i.ytimg.com/vi/uQ3ddg8SihY/hqdefault.jpg","mom is only human"
"dXAPaD8Yz5w","A Look at Jimmy and the Pulsating Mass // 15","thevoiceofdog","2018-10-17","2018-10-17","https://i.ytimg.com/vi/dXAPaD8Yz5w/hqdefault.jpg","perpetual motion"
"LPXNJPhaWtA","A Look at Jimmy and the Pulsating Mass // 16","thevoiceofdog","2018-10-18","2018-10-18","https://i.ytimg.com/vi/LPXNJPhaWtA/hqdefault.jpg","it's thirteen o'clock"
"XKdpOXWmMzs","A Look at Jimmy and the Pulsating Mass // 17","thevoiceofdog","2018-10-20","2018-10-20","https://i.ytimg.com/vi/XKdpOXWmMzs/hqdefault.jpg","pre-mass roundup"
"D4T5KIzviGo","A Look at Jimmy and the Pulsating Mass // 18","thevoiceofdog","2018-10-21","2018-10-21","https://i.ytimg.com/vi/D4T5KIzviGo/hqdefault.jpg","the Mass

next time: the postgame!"
"pQSx11ShvTU","A Look at Jimmy and the Pulsating Mass // 19","thevoiceofdog","2018-10-25","2018-10-25","https://i.ytimg.com/vi/pQSx11ShvTU/hqdefault.jpg","greed"
"4vFJGw7u6Hs","A Look at Jimmy and the Pulsating Mass // 20","thevoiceofdog","2018-10-26","2018-10-26","https://i.ytimg.com/vi/4vFJGw7u6Hs/hqdefault.jpg","refights"
"CXk7Ho9MTco","A Look at Jimmy and the Pulsating Mass // 21","thevoiceofdog","2018-11-02","2018-11-02","https://i.ytimg.com/vi/CXk7Ho9MTco/hqdefault.jpg","Jimmy is finished.  Thanks everyone for watching, and thanks to Kasey for a real good game!"
