"Playlist URL","https://www.youtube.com/playlist?list=PLGo-AZe7t1TVvpBZUITcAY9OhypFgdnae"
"Playlist title","Let's Play Viva Piñata"
"Playlist author","KeybadeBlox"
"Videos","208"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"2N_yRyXQWmA","Let's Play Viva Piñata, ep 1: Welcome, have some worthless junk","KeybadeBlox","2018-06-23","2018-06-01","https://i.ytimg.com/vi/2N_yRyXQWmA/hqdefault.jpg","I feel like the whole ""prison island"" idea is actually a pretty good explanation for why all the stuff we're given is so incredibly horrid."
"DSYgMOCNHmA","Let's Play Viva Piñata, ep 2: The donut of life","KeybadeBlox","2018-06-23","2018-06-02","https://i.ytimg.com/vi/DSYgMOCNHmA/hqdefault.jpg","A story of life's beginning and end all in the span of a few brief minutes."
"fREstxmpdqo","Let's Play Viva Piñata, ep 3: Growing the garden","KeybadeBlox","2018-06-23","2018-06-03","https://i.ytimg.com/vi/fREstxmpdqo/hqdefault.jpg","Things are starting to take shape already, if just a little bit."
"i9O24ZMXIEc","Let's Play Viva Piñata, ep 4: New neighbours","KeybadeBlox","2018-06-23","2018-06-04","https://i.ytimg.com/vi/i9O24ZMXIEc/hqdefault.jpg","These things just don't stop coming."
"QqXZIsqA9GM","Let's Play Viva Piñata, ep 5: Sweet and sour","KeybadeBlox","2018-06-23","2018-06-05","https://i.ytimg.com/vi/QqXZIsqA9GM/hqdefault.jpg","New piñatas, new town members, so many new things, and we've been playing for a while."
"BsHHHfoiDw8","Let's Play Viva Piñata, ep 6: Stuck Seedos","KeybadeBlox","2018-06-23","2018-06-06","https://i.ytimg.com/vi/BsHHHfoiDw8/hqdefault.jpg","This guy has problems."
"4x2aepq6f5g","Let's Play Viva Piñata, ep 7: Get off my corn","KeybadeBlox","2018-06-23","2018-06-07","https://i.ytimg.com/vi/4x2aepq6f5g/hqdefault.jpg","I'm seriously worried about Seedos at this point."
"LeM3x-ZKXj8","Let's Play Viva Piñata, ep 8:  What is wrong with Corn Corner","KeybadeBlox","2018-06-23","2018-06-08","https://i.ytimg.com/vi/LeM3x-ZKXj8/hqdefault.jpg","Why does everyone get stuck there?  We also kind of abuse a piñata or two, but it profits us in the end, so it's okay."
"Wa2Xs9k9k5I","Let's Play Viva Piñata, ep 9: Life and death","KeybadeBlox","2018-06-23","2018-06-09","https://i.ytimg.com/vi/Wa2Xs9k9k5I/hqdefault.jpg","Learning more about the harshness of reality every day, I suppose."
"OsyfWhUMEFg","Let's Play Viva Piñata, ep 10: Stumbling into money","KeybadeBlox","2018-06-23","2018-06-10","https://i.ytimg.com/vi/OsyfWhUMEFg/hqdefault.jpg","It almost feels like I cheated with how much I got from that, but it's not really like I accidentally exploited anything."
"bT5cbXF011o","Let's Play Viva Piñata, ep 11: Bigger and better","KeybadeBlox","2018-06-23","2018-06-11","https://i.ytimg.com/vi/bT5cbXF011o/hqdefault.jpg","I'm not sure I need this added responsibility right now."
"6WEQhuEPI-s","Let's Play Viva Piñata, ep 12: Greater greenery","KeybadeBlox","2018-06-23","2018-06-12","https://i.ytimg.com/vi/6WEQhuEPI-s/hqdefault.jpg","We got to it eventually, at least."
"_0Zox4gZQOk","Let's Play Viva Piñata, ep 13: Getting pretty","KeybadeBlox","2018-06-23","2018-06-13","https://i.ytimg.com/vi/_0Zox4gZQOk/hqdefault.jpg","About time we put some real effort into the aesthetics."
"QEjqMiKrzZM","Let's Play Viva Piñata, ep 14: Technical difficulties","KeybadeBlox","2018-06-23","2018-06-14","https://i.ytimg.com/vi/QEjqMiKrzZM/hqdefault.jpg","And I thought it was bad when my SSX 3 disc stopped working when I was recording it.  Details on what happened and what will happen are below:

After some investigation, it seems like my 360's graphics card is failing.  At the moment, I can start the console, and then it dies after a few minutes regardless of what I do, so it's pretty much dead.  I've been wanting a modded 360 for quite a while now but lack the resources to install custom firmware on one myself (although the old one also had a disc drive I flashed on my own), so I'm thinking I'll buy a modded 360 with a bigger hard drive (since this one has a puny 20GB HDD).  If all goes well, I should have it up and running in about two weeks, but I'll have to move on to another (probably short) game in the meantime.  On the bright side, having an updated and modded 360 will mean being able to play all 360 games, including Trouble in Paradise, and play modded original Xbox games, which I had a huge idea for years ago that I really want to execute one day.  Lots of appreciation to the 360 that lasted me well over a decade, though.

I knew this playthrough would have a decent amount of life and death, but I didn't think it'd extend into this sort of thing."
"fnwLuRKA6Fo","Let's Play Viva Piñata, ep 15: Back to life","KeybadeBlox","2018-07-16","2018-07-16","https://i.ytimg.com/vi/fnwLuRKA6Fo/hqdefault.jpg","A new day with a new 360."
"ubfR7pR-HQ0","Let's Play Viva Piñata, ep 16: The Beggar","KeybadeBlox","2018-07-17","2018-07-17","https://i.ytimg.com/vi/ubfR7pR-HQ0/hqdefault.jpg","Nice to get a proper introduction to him now, I suppose.  I think we actually know the whole cast now, if I remember right."
"ao_T8mabJcA","Let's Play Viva Piñata, ep 17: A fresh start","KeybadeBlox","2018-07-18","2018-07-18","https://i.ytimg.com/vi/ao_T8mabJcA/hqdefault.jpg","It's about time we got to a garden with a more consistent aesthetic."
"sYatRvCzfr8","Let's Play Viva Piñata, ep 18: Digging a hole","KeybadeBlox","2018-07-19","2018-07-19","https://i.ytimg.com/vi/sYatRvCzfr8/hqdefault.jpg","This is the kind of work one does as a punishment."
"WVhlOel_764","Let's Play Viva Piñata, ep 19: Bringing in life","KeybadeBlox","2018-07-20","2018-07-20","https://i.ytimg.com/vi/WVhlOel_764/hqdefault.jpg","Finally, some stuff that's actually alive."
"rk3NYfWKSR0","Let's Play Viva Piñata, ep 20: Massive seedage","KeybadeBlox","2018-07-23","2018-07-23","https://i.ytimg.com/vi/rk3NYfWKSR0/hqdefault.jpg","I wonder where Seedos's weak point is."
"RTG4VFiiLjY","Let's Play Viva Piñata, ep 21: Aggression","KeybadeBlox","2018-07-24","2018-07-24","https://i.ytimg.com/vi/RTG4VFiiLjY/hqdefault.jpg","Why can't we just get along?"
