"Playlist URL","https://www.youtube.com/playlist?list=PLImQaTpSAdsArRFFj8bIfqMk2X7Vlf3XF"
"Playlist title","Math for Game Devs [2022]"
"Playlist author","Freya Holmér"
"Videos","10"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"fjOdtSu4Lm4","Math for Game Devs [2022, part 1] • Numbers, Vectors & Dot Product","Freya Holmér","2022-10-22","2022-10-25","https://i.ytimg.com/vi/fjOdtSu4Lm4/hqdefault.jpg","Primarily for my students at FutureGames - I will only read chat/superchats during breaks!

Find out more about the school at https://futuregames.se/
❓ FAQ ❱ https://acegikmo.notion.site/FAQ-8b62a1634746473db702565d890dd3dd

💖 Support me on Patreon ❱ https://www.patreon.com/acegikmo
📺 I usually stream on twitch ❱ https://www.twitch.tv/acegikmo
💬 Join my discord ❱ https://discord.gg/acegikmo
🐦 Follow me on twitter ❱ https://twitter.com/FreyaHolmer

(timestamps courtesy of @manuvaad from the comments! thank u)

0:00:00 Intro
0:24:40 Number line, vector fundamentals
1:05:26 2D Vectors
1:29:14 Vector length (magnitude)
1:42:12 Vector normalization
1:52:04 Q: ""Is there a term for vector that fits in a square instead of circle?""
1:55:33 Vector length (code version)
2:09:27 Vector multiplication
2:17:08 Dot product use cases
2:42:10 Practice
2:54:21 Note about scalar projection
2:55:00 Vector projection
3:01:46 Assignments
3:20:00 Questions"
"0bUJyuwXV0Y","Math for Game Devs [2022, part 2] solutions for assignments 1-3","Freya Holmér","2022-10-25","2022-10-26","https://i.ytimg.com/vi/0bUJyuwXV0Y/hqdefault.jpg","Primarily for my students at FutureGames - I will only read chat/superchats during breaks!

Find out more about the school at https://futuregames.se/
❓ FAQ ❱ https://acegikmo.notion.site/FAQ-8b62a1634746473db702565d890dd3dd

💖 Support me on Patreon ❱ https://www.patreon.com/acegikmo
📺 I usually stream on twitch ❱ https://www.twitch.tv/acegikmo
💬 Join my discord ❱ https://discord.gg/acegikmo
🐦 Follow me on twitter ❱ https://twitter.com/FreyaHolmer"
"gVgN5SU6BrA","Math for Game Devs [2022, part 3] • Matrix4x4 & Cross Product","Freya Holmér","2022-10-26","2022-10-26","https://i.ytimg.com/vi/gVgN5SU6BrA/hqdefault.jpg","Primarily for my students at FutureGames - I will only read chat/superchats during breaks!

Assignments here!! ❱ https://acegikmo.notion.site/Lectures-Assignments-a4419295f33f46c3af113eb74b407607

Find out more about the school at https://futuregames.se/
❓ FAQ ❱ https://acegikmo.notion.site/FAQ-8b62a1634746473db702565d890dd3dd

💖 Support me on Patreon ❱ https://www.patreon.com/acegikmo
📺 I usually stream on twitch ❱ https://www.twitch.tv/acegikmo
💬 Join my discord ❱ https://discord.gg/acegikmo
🐦 Follow me on twitter ❱ https://twitter.com/FreyaHolmer"
"KGgkycDmv4I","Math for Game Devs [2022, part 4] • solutions for assignments 4-6","Freya Holmér","2022-10-27","2022-10-28","https://i.ytimg.com/vi/KGgkycDmv4I/hqdefault.jpg","Primarily for my students at FutureGames - I will only read chat/superchats during breaks!

Assignments & Lecture links ❱ https://acegikmo.notion.site/Lectures-Assignments-a4419295f33f46c3af113eb74b407607

Find out more about the school at https://futuregames.se/
❓ FAQ ❱ https://acegikmo.notion.site/FAQ-8b62a1634746473db702565d890dd3dd

💖 Support me on Patreon ❱ https://www.patreon.com/acegikmo
📺 I usually stream on twitch ❱ https://www.twitch.tv/acegikmo
💬 Join my discord ❱ https://discord.gg/acegikmo
🐦 Follow me on twitter ❱ https://twitter.com/FreyaHolmer"
"86MsWRvPjMw","Math for Game Devs [2022, part 5] • Trigonometry & Rotations","Freya Holmér","2022-10-28","2022-10-28","https://i.ytimg.com/vi/86MsWRvPjMw/hqdefault.jpg","Primarily for my students at FutureGames - I will only read chat/superchats during breaks!

Assignments & Lecture links ❱ https://acegikmo.notion.site/Lectures-Assignments-a4419295f33f46c3af113eb74b407607

Also I got the euler angles a little bit wrong so here's an updated graphic!
https://twitter.com/FreyaHolmer/status/1586072271000465408

Find out more about the school at https://futuregames.se/
❓ FAQ ❱ https://acegikmo.notion.site/FAQ-8b62a1634746473db702565d890dd3dd

💖 Support me on Patreon ❱ https://www.patreon.com/acegikmo
📺 I usually stream on twitch ❱ https://www.twitch.tv/acegikmo
💬 Join my discord ❱ https://discord.gg/acegikmo
🐦 Follow me on twitter ❱ https://twitter.com/FreyaHolmer"
"o6HBZ5XkVg4","Math for Game Devs [2022, part 6] • Solutions for Assignments 7-11","Freya Holmér","2022-10-31","2022-11-01","https://i.ytimg.com/vi/o6HBZ5XkVg4/hqdefault.jpg","Primarily for my students at FutureGames - I will only read chat/superchats during breaks!

Assignments & Lecture links ❱ https://acegikmo.notion.site/Lectures-Assignments-a4419295f33f46c3af113eb74b407607

Also I got the euler angles a little bit wrong so here's an updated graphic!
https://twitter.com/FreyaHolmer/status/1586072271000465408

Find out more about the school at https://futuregames.se/
❓ FAQ ❱ https://acegikmo.notion.site/FAQ-8b62a1634746473db702565d890dd3dd

💖 Support me on Patreon ❱ https://www.patreon.com/acegikmo
📺 I usually stream on twitch ❱ https://www.twitch.tv/acegikmo
💬 Join my discord ❱ https://discord.gg/acegikmo
🐦 Follow me on twitter ❱ https://twitter.com/FreyaHolmer"
"tjTRXzwdU6A","Math for Game Devs [2022, part 7] • Interpolation & Point Physics","Freya Holmér","2022-11-01","2022-11-01","https://i.ytimg.com/vi/tjTRXzwdU6A/hqdefault.jpg","Primarily for my students at FutureGames - I will only read chat/superchats during breaks!

Assignments & Lecture links ❱ https://acegikmo.notion.site/Lectures-Assignments-a4419295f33f46c3af113eb74b407607

Find out more about the school at https://futuregames.se/
❓ FAQ ❱ https://acegikmo.notion.site/FAQ-8b62a1634746473db702565d890dd3dd

💖 Support me on Patreon ❱ https://www.patreon.com/acegikmo
📺 I usually stream on twitch ❱ https://www.twitch.tv/acegikmo
💬 Join my discord ❱ https://discord.gg/acegikmo
🐦 Follow me on twitter ❱ https://twitter.com/FreyaHolmer"
"XkAuksIABHI","Math for Game Devs [2022, part 8] • Trajectories & Derivatives","Freya Holmér","2022-11-01","2022-11-02","https://i.ytimg.com/vi/XkAuksIABHI/hqdefault.jpg","Primarily for my students at FutureGames - I will only read chat/superchats during breaks!

Assignments & Lecture links ❱ https://acegikmo.notion.site/Lectures-Assignments-a4419295f33f46c3af113eb74b407607

Find out more about the school at https://futuregames.se/
❓ FAQ ❱ https://acegikmo.notion.site/FAQ-8b62a1634746473db702565d890dd3dd

💖 Support me on Patreon ❱ https://www.patreon.com/acegikmo
📺 I usually stream on twitch ❱ https://www.twitch.tv/acegikmo
💬 Join my discord ❱ https://discord.gg/acegikmo
🐦 Follow me on twitter ❱ https://twitter.com/FreyaHolmer"
"sZKfaio97bc","Math for Game Devs [2022, part 9] • Solutions to the final assignments","Freya Holmér","2022-11-03","2022-11-04","https://i.ytimg.com/vi/sZKfaio97bc/hqdefault.jpg","Primarily for my students at FutureGames - I will only read chat/superchats during breaks!

Assignments & Lecture links ❱ https://acegikmo.notion.site/Lectures-Assignments-a4419295f33f46c3af113eb74b407607

Find out more about the school at https://futuregames.se/
❓ FAQ ❱ https://acegikmo.notion.site/FAQ-8b62a1634746473db702565d890dd3dd

💖 Support me on Patreon ❱ https://www.patreon.com/acegikmo
📺 I usually stream on twitch ❱ https://www.twitch.tv/acegikmo
💬 Join my discord ❱ https://discord.gg/acegikmo
🐦 Follow me on twitter ❱ https://twitter.com/FreyaHolmer"
"Pku6WAs1fF8","Math for Game Devs [2022, part 10] • Abstract Algebra, Procedural Animation & Splines","Freya Holmér","2022-11-03","2022-11-04","https://i.ytimg.com/vi/Pku6WAs1fF8/hqdefault.jpg","Primarily for my students at FutureGames - I will only read chat/superchats during breaks!

Assignments & Lecture links ❱ https://acegikmo.notion.site/Lectures-Assignments-a4419295f33f46c3af113eb74b407607

Find out more about the school at https://futuregames.se/
❓ FAQ ❱ https://acegikmo.notion.site/FAQ-8b62a1634746473db702565d890dd3dd

💖 Support me on Patreon ❱ https://www.patreon.com/acegikmo
📺 I usually stream on twitch ❱ https://www.twitch.tv/acegikmo
💬 Join my discord ❱ https://discord.gg/acegikmo
🐦 Follow me on twitter ❱ https://twitter.com/FreyaHolmer

0:00:00 Intro
0:11:06 Lecture Start
0:18:24 Smoothing & Easing functions
0:54:00 Deriving Hermite Interpolation
1:20:00 Splines
1:29:12 i (imaginary unit)
1:39:12 Complex Plane
1:42:05 Complex Numbers
1:50:38 Euler’s Formula & Identity
1:56:00 e (the constant)
2:07:03 Dual Numbers
2:10:43 Why use quaternions in games?
2:17:27 Vector Algebra (an alternate perspective)
2:24:30 Multiplying vectors?
2:30:00 2D Bivectors & the wedge product
2:34:40 Geometric Product
2:43:00 Multivector & Bases
2:48:03 3D Geometric Algebra
2:52:49 Full 3D Multivector
2:57:56 The generality of GA
3:00:26 Quaternions (from a GA perspective)
3:05:05 4D Games
3:07:28 Why quaternions rotate well
3:09:21 Q&A Outro & how I animate in Unity"
