"Playlist URL","https://www.youtube.com/playlist?list=PLMV07PykBrT-yu3TmKffY5a4Ijw_8Csbl"
"Playlist title","The RetroVution: Albion Longplay"
"Playlist author","RetroVution"
"Videos","47"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"cd1Z6B5Bi7s","FrasWhar's Albion playthrough - Episode #1","RetroVution","2017-08-02","2017-08-02","https://i.ytimg.com/vi/cd1Z6B5Bi7s/hqdefault.jpg","For more like this come join the RetroVution live stream:
www.twitch.tv/Fraswhar

Updates:
https://twitter.com/Fraswhar
https://www.facebook.com/FrasWhar/?fref=ts"
"jNgj1bj8KzU","FrasWhar's Albion playthrough - Episode #2","RetroVution","2017-08-02","2017-08-02","https://i.ytimg.com/vi/jNgj1bj8KzU/hqdefault.jpg","For more like this come join the RetroVution live stream:
www.twitch.tv/Fraswhar

Updates:
https://twitter.com/Fraswhar
https://www.facebook.com/FrasWhar/?fref=ts"
"St4i4WThvPM","FrasWhar's Albion playthrough - Episode #3","RetroVution","2017-08-23","2017-08-24","https://i.ytimg.com/vi/St4i4WThvPM/hqdefault.jpg","For more like this come join the RetroVution live stream:
www.twitch.tv/Fraswhar

Updates:
https://twitter.com/Fraswhar
https://www.facebook.com/FrasWhar/?fref=ts"
"-Ha07wbCXac","FrasWhar's Albion playthrough - Episode #4","RetroVution","2017-08-24","2017-08-24","https://i.ytimg.com/vi/-Ha07wbCXac/hqdefault.jpg","For more like this come join the RetroVution live stream:
www.twitch.tv/Fraswhar

Updates:
https://twitter.com/Fraswhar
https://www.facebook.com/FrasWhar/?fref=ts"
"WomNMaAWJQE","FrasWhar's Albion playthrough - Episode #5","RetroVution","2017-08-24","2017-08-24","https://i.ytimg.com/vi/WomNMaAWJQE/hqdefault.jpg","For more like this come join the RetroVution live stream:
www.twitch.tv/Fraswhar

Updates:
https://twitter.com/Fraswhar
https://www.facebook.com/FrasWhar/?fref=ts"
"aq-Pqw7CmR8","FrasWhar's Albion playthrough - Episode #6","RetroVution","2017-08-25","2017-08-25","https://i.ytimg.com/vi/aq-Pqw7CmR8/hqdefault.jpg","For more like this come join the RetroVution live stream:
www.twitch.tv/Fraswhar

Updates:
https://twitter.com/Fraswhar
https://www.facebook.com/FrasWhar/?fref=ts"
"Mq-Tx77xdWw","FrasWhar's Albion playthrough - Episode #7","RetroVution","2017-08-28","2017-08-28","https://i.ytimg.com/vi/Mq-Tx77xdWw/hqdefault.jpg","For more like this come join the RetroVution live stream:
www.twitch.tv/Fraswhar

Updates:
https://twitter.com/Fraswhar
https://www.facebook.com/FrasWhar/?fref=ts"
"J6CMdmkpOOQ","FrasWhar's Albion playthrough - Episode #8","RetroVution","2017-08-28","2017-08-28","https://i.ytimg.com/vi/J6CMdmkpOOQ/hqdefault.jpg","For more like this come join the RetroVution live stream:
www.twitch.tv/Fraswhar

Updates:
https://twitter.com/Fraswhar
https://www.facebook.com/FrasWhar/?fref=ts"
"vsaLjKjIpng","FrasWhar's Albion playthrough - Episode #9","RetroVution","2017-08-29","2017-08-29","https://i.ytimg.com/vi/vsaLjKjIpng/hqdefault.jpg","For more like this come join the RetroVution live stream:
www.twitch.tv/Fraswhar

Updates:
https://twitter.com/Fraswhar
https://www.facebook.com/FrasWhar/?fref=ts"
"10EUBOxTD0w","FrasWhar's Albion playthrough - Episode #10","RetroVution","2017-08-30","2017-08-30","https://i.ytimg.com/vi/10EUBOxTD0w/hqdefault.jpg","For more like this come join the RetroVution live stream:
www.twitch.tv/Fraswhar

Updates:
https://twitter.com/Fraswhar
https://www.facebook.com/FrasWhar/?fref=ts"
