"Playlist URL","https://www.youtube.com/playlist?list=PLszYe7po2j11xiyPTVaUKt9_HuLQ80Q_V"
"Playlist title","Tyranny - Let's Play (Complete)"
"Playlist author","BringItDon"
"Videos","96"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"whmDNZXgTzA","Character Creation and Conquest - Tyranny - Let's Play - 0","BringItDon","2021-02-09","2021-02-09","https://i.ytimg.com/vi/whmDNZXgTzA/hqdefault.jpg","The prologue Let's Play Tyranny is here! We create our character and complete our conquest of the Tiers. Enjoy!

About the Game:
Play an RPG with meaningful, world-altering choices, unique and memorable companions, and a new perspective on morality. Tyranny casts you as the arbiter of law in a world devastated by war and conquered by a despot. Will you work inside the system or try to dismantle it… and will it be for the glory of Kyros, for the good of the world, or for your own ambition?

From Obsidian Entertainment, the team behind Pillars of Eternity, Fallout: New Vegas, and South Park: The Stick of Truth, Tyranny is a classic-styled RPG with a new and original story, shaped and molded by your actions. The very layout of the world will be altered by your decisions as you choose sides, make allies and enemies, and fight for your own vision of law and order in an immersive and reactive story.

Other Games:
ATOM RPG 1.1 - https://www.youtube.com/watch?v=6KJl3HHakbw&list=PLszYe7po2j13H4bPU8a_ayx2ABH3bozWS

Baldur's Gate: Enhanced Edition - https://www.youtube.com/watch?v=MYCpn3hN1Us&list=PLszYe7po2j13cC_hQuPa5uQyXyjA-6wuG

Serpent in the Staglands - https://www.youtube.com/watch?v=mCDBtQh0Zgw&list=PLszYe7po2j13oXq0rrGH7BbQHR4iJBcWF

Pathfinder: Kingmaker Enhanced Edition - https://www.youtube.com/watch?v=-h_bNA0nHcA&list=PLszYe7po2j10C9YEkTVSvhvWpGKLGFM8V

Watch and Buy:
Tyranny Playlist - https://www.youtube.com/playlist?list=PLszYe7po2j11xiyPTVaUKt9_HuLQ80Q_V&playnext=1&index=1

Tyranny on Steam - https://store.steampowered.com/app/362960/Tyranny/

Tyranny on GOG - https://www.gog.com/game/tyranny_commander_edition"
"1E83C3i3WRM","Reaping the Runners - Tyranny - Let's Play - 1","BringItDon","2021-02-10","2021-02-10","https://i.ytimg.com/vi/1E83C3i3WRM/hqdefault.jpg","Episode 1 of Let's Play Tyranny is here! We arrive in Vendrien's Well and help Kyros' forces intercept the runners. Enjoy!

About the Game:
Play an RPG with meaningful, world-altering choices, unique and memorable companions, and a new perspective on morality. Tyranny casts you as the arbiter of law in a world devastated by war and conquered by a despot. Will you work inside the system or try to dismantle it… and will it be for the glory of Kyros, for the good of the world, or for your own ambition?

From Obsidian Entertainment, the team behind Pillars of Eternity, Fallout: New Vegas, and South Park: The Stick of Truth, Tyranny is a classic-styled RPG with a new and original story, shaped and molded by your actions. The very layout of the world will be altered by your decisions as you choose sides, make allies and enemies, and fight for your own vision of law and order in an immersive and reactive story.

Other Games:
ATOM RPG 1.1 - https://www.youtube.com/watch?v=6KJl3HHakbw&list=PLszYe7po2j13H4bPU8a_ayx2ABH3bozWS

Baldur's Gate: Enhanced Edition - https://www.youtube.com/watch?v=MYCpn3hN1Us&list=PLszYe7po2j13cC_hQuPa5uQyXyjA-6wuG

Serpent in the Staglands - https://www.youtube.com/watch?v=mCDBtQh0Zgw&list=PLszYe7po2j13oXq0rrGH7BbQHR4iJBcWF

Pathfinder: Kingmaker Enhanced Edition - https://www.youtube.com/watch?v=-h_bNA0nHcA&list=PLszYe7po2j10C9YEkTVSvhvWpGKLGFM8V

Watch and Buy:
Tyranny Playlist - https://www.youtube.com/playlist?list=PLszYe7po2j11xiyPTVaUKt9_HuLQ80Q_V&playnext=1&index=1

Tyranny on Steam - https://store.steampowered.com/app/362960/Tyranny/

Tyranny on GOG - https://www.gog.com/game/tyranny_commander_edition"
"cTTFh0J7LoM","Visit with Verse - Tyranny - Let's Play - 2","BringItDon","2021-02-11","2021-02-11","https://i.ytimg.com/vi/cTTFh0J7LoM/hqdefault.jpg","Episode 2 of Let's Play Tyranny is here! We speak to our Scarlet Chorus companion, Verse. Enjoy!

About the Game:
Play an RPG with meaningful, world-altering choices, unique and memorable companions, and a new perspective on morality. Tyranny casts you as the arbiter of law in a world devastated by war and conquered by a despot. Will you work inside the system or try to dismantle it… and will it be for the glory of Kyros, for the good of the world, or for your own ambition?

From Obsidian Entertainment, the team behind Pillars of Eternity, Fallout: New Vegas, and South Park: The Stick of Truth, Tyranny is a classic-styled RPG with a new and original story, shaped and molded by your actions. The very layout of the world will be altered by your decisions as you choose sides, make allies and enemies, and fight for your own vision of law and order in an immersive and reactive story.

Other Games:
ATOM RPG 1.1 - https://www.youtube.com/watch?v=6KJl3HHakbw&list=PLszYe7po2j13H4bPU8a_ayx2ABH3bozWS

Baldur's Gate: Enhanced Edition - https://www.youtube.com/watch?v=MYCpn3hN1Us&list=PLszYe7po2j13cC_hQuPa5uQyXyjA-6wuG

Serpent in the Staglands - https://www.youtube.com/watch?v=mCDBtQh0Zgw&list=PLszYe7po2j13oXq0rrGH7BbQHR4iJBcWF

Pathfinder: Kingmaker Enhanced Edition - https://www.youtube.com/watch?v=-h_bNA0nHcA&list=PLszYe7po2j10C9YEkTVSvhvWpGKLGFM8V

Watch and Buy:
Tyranny Playlist - https://www.youtube.com/playlist?list=PLszYe7po2j11xiyPTVaUKt9_HuLQ80Q_V&playnext=1&index=1

Tyranny on Steam - https://store.steampowered.com/app/362960/Tyranny/

Tyranny on GOG - https://www.gog.com/game/tyranny_commander_edition"
"AmqHurGp6lQ","Minor Merchant Dispute - Tyranny - Let's Play - 3","BringItDon","2021-02-12","2021-02-12","https://i.ytimg.com/vi/AmqHurGp6lQ/hqdefault.jpg","Episode 3 of Let's Play Tyranny is here! We settle some minor disputes on our way to the Disfavored Camp. Enjoy!

About the Game:
Play an RPG with meaningful, world-altering choices, unique and memorable companions, and a new perspective on morality. Tyranny casts you as the arbiter of law in a world devastated by war and conquered by a despot. Will you work inside the system or try to dismantle it… and will it be for the glory of Kyros, for the good of the world, or for your own ambition?

From Obsidian Entertainment, the team behind Pillars of Eternity, Fallout: New Vegas, and South Park: The Stick of Truth, Tyranny is a classic-styled RPG with a new and original story, shaped and molded by your actions. The very layout of the world will be altered by your decisions as you choose sides, make allies and enemies, and fight for your own vision of law and order in an immersive and reactive story.

Other Games:
ATOM RPG 1.1 - https://www.youtube.com/watch?v=6KJl3HHakbw&list=PLszYe7po2j13H4bPU8a_ayx2ABH3bozWS

Baldur's Gate: Enhanced Edition - https://www.youtube.com/watch?v=MYCpn3hN1Us&list=PLszYe7po2j13cC_hQuPa5uQyXyjA-6wuG

Serpent in the Staglands - https://www.youtube.com/watch?v=mCDBtQh0Zgw&list=PLszYe7po2j13oXq0rrGH7BbQHR4iJBcWF

Pathfinder: Kingmaker Enhanced Edition - https://www.youtube.com/watch?v=-h_bNA0nHcA&list=PLszYe7po2j10C9YEkTVSvhvWpGKLGFM8V

Watch and Buy:
Tyranny Playlist - https://www.youtube.com/playlist?list=PLszYe7po2j11xiyPTVaUKt9_HuLQ80Q_V&playnext=1&index=1

Tyranny on Steam - https://store.steampowered.com/app/362960/Tyranny/

Tyranny on GOG - https://www.gog.com/game/tyranny_commander_edition"
"nxkheRF-dAk","Conversing with Commanders - Tyranny - Let's Play - 4","BringItDon","2021-02-13","2021-02-13","https://i.ytimg.com/vi/nxkheRF-dAk/hqdefault.jpg","Episode 4 of Let's Play Tyranny is here! We speak to soldiers in the Disfavored Camp, then meet with the Archons Graven Ashe and the Voices of Nerat. Enjoy!

About the Game:
Play an RPG with meaningful, world-altering choices, unique and memorable companions, and a new perspective on morality. Tyranny casts you as the arbiter of law in a world devastated by war and conquered by a despot. Will you work inside the system or try to dismantle it… and will it be for the glory of Kyros, for the good of the world, or for your own ambition?

From Obsidian Entertainment, the team behind Pillars of Eternity, Fallout: New Vegas, and South Park: The Stick of Truth, Tyranny is a classic-styled RPG with a new and original story, shaped and molded by your actions. The very layout of the world will be altered by your decisions as you choose sides, make allies and enemies, and fight for your own vision of law and order in an immersive and reactive story.

Other Games:
ATOM RPG 1.1 - https://www.youtube.com/watch?v=6KJl3HHakbw&list=PLszYe7po2j13H4bPU8a_ayx2ABH3bozWS

Baldur's Gate: Enhanced Edition - https://www.youtube.com/watch?v=MYCpn3hN1Us&list=PLszYe7po2j13cC_hQuPa5uQyXyjA-6wuG

Serpent in the Staglands - https://www.youtube.com/watch?v=mCDBtQh0Zgw&list=PLszYe7po2j13oXq0rrGH7BbQHR4iJBcWF

Pathfinder: Kingmaker Enhanced Edition - https://www.youtube.com/watch?v=-h_bNA0nHcA&list=PLszYe7po2j10C9YEkTVSvhvWpGKLGFM8V

Watch and Buy:
Tyranny Playlist - https://www.youtube.com/playlist?list=PLszYe7po2j11xiyPTVaUKt9_HuLQ80Q_V&playnext=1&index=1

Tyranny on Steam - https://store.steampowered.com/app/362960/Tyranny/

Tyranny on GOG - https://www.gog.com/game/tyranny_commander_edition"
"et-CbUoHFAw","A Confined Companion - Tyranny - Let's Play - 5","BringItDon","2021-02-14","2021-02-14","https://i.ytimg.com/vi/et-CbUoHFAw/hqdefault.jpg","Episode 5 of Let's Play Tyranny is here! We chat with Graven Ashe, then agree to assist Erenyos and the Disfavored, gaining Barik as a companion. Enjoy!

About the Game:
Play an RPG with meaningful, world-altering choices, unique and memorable companions, and a new perspective on morality. Tyranny casts you as the arbiter of law in a world devastated by war and conquered by a despot. Will you work inside the system or try to dismantle it… and will it be for the glory of Kyros, for the good of the world, or for your own ambition?

From Obsidian Entertainment, the team behind Pillars of Eternity, Fallout: New Vegas, and South Park: The Stick of Truth, Tyranny is a classic-styled RPG with a new and original story, shaped and molded by your actions. The very layout of the world will be altered by your decisions as you choose sides, make allies and enemies, and fight for your own vision of law and order in an immersive and reactive story.

Other Games:
ATOM RPG 1.1 - https://www.youtube.com/watch?v=6KJl3HHakbw&list=PLszYe7po2j13H4bPU8a_ayx2ABH3bozWS

Baldur's Gate: Enhanced Edition - https://www.youtube.com/watch?v=MYCpn3hN1Us&list=PLszYe7po2j13cC_hQuPa5uQyXyjA-6wuG

Serpent in the Staglands - https://www.youtube.com/watch?v=mCDBtQh0Zgw&list=PLszYe7po2j13oXq0rrGH7BbQHR4iJBcWF

Pathfinder: Kingmaker Enhanced Edition - https://www.youtube.com/watch?v=-h_bNA0nHcA&list=PLszYe7po2j10C9YEkTVSvhvWpGKLGFM8V

Watch and Buy:
Tyranny Playlist - https://www.youtube.com/playlist?list=PLszYe7po2j11xiyPTVaUKt9_HuLQ80Q_V&playnext=1&index=1

Tyranny on Steam - https://store.steampowered.com/app/362960/Tyranny/

Tyranny on GOG - https://www.gog.com/game/tyranny_commander_edition"
"ZxSDexrf6LA","Befriending Barik - Tyranny - Let's Play - 6","BringItDon","2021-02-15","2021-02-15","https://i.ytimg.com/vi/ZxSDexrf6LA/hqdefault.jpg","Episode 6 of Let's Play Tyranny is here! We get to know our newest, armor-clad companion, Barik. Enjoy!

About the Game:
Play an RPG with meaningful, world-altering choices, unique and memorable companions, and a new perspective on morality. Tyranny casts you as the arbiter of law in a world devastated by war and conquered by a despot. Will you work inside the system or try to dismantle it… and will it be for the glory of Kyros, for the good of the world, or for your own ambition?

From Obsidian Entertainment, the team behind Pillars of Eternity, Fallout: New Vegas, and South Park: The Stick of Truth, Tyranny is a classic-styled RPG with a new and original story, shaped and molded by your actions. The very layout of the world will be altered by your decisions as you choose sides, make allies and enemies, and fight for your own vision of law and order in an immersive and reactive story.

Other Games:
ATOM RPG 1.1 - https://www.youtube.com/watch?v=6KJl3HHakbw&list=PLszYe7po2j13H4bPU8a_ayx2ABH3bozWS

Baldur's Gate: Enhanced Edition - https://www.youtube.com/watch?v=MYCpn3hN1Us&list=PLszYe7po2j13cC_hQuPa5uQyXyjA-6wuG

Serpent in the Staglands - https://www.youtube.com/watch?v=mCDBtQh0Zgw&list=PLszYe7po2j13oXq0rrGH7BbQHR4iJBcWF

Pathfinder: Kingmaker Enhanced Edition - https://www.youtube.com/watch?v=-h_bNA0nHcA&list=PLszYe7po2j10C9YEkTVSvhvWpGKLGFM8V

Watch and Buy:
Tyranny Playlist - https://www.youtube.com/playlist?list=PLszYe7po2j11xiyPTVaUKt9_HuLQ80Q_V&playnext=1&index=1

Tyranny on Steam - https://store.steampowered.com/app/362960/Tyranny/

Tyranny on GOG - https://www.gog.com/game/tyranny_commander_edition"
"7iXEEgA_LvA","Intercepted by Insurrectionists - Tyranny - Let's Play - 7","BringItDon","2021-02-16","2021-02-16","https://i.ytimg.com/vi/7iXEEgA_LvA/hqdefault.jpg","Episode 7 of Let's Play Tyranny is here! We head to the Scarlet Chorus Camp, but are intercepted by the water mage, Eb. Enjoy!

About the Game:
Play an RPG with meaningful, world-altering choices, unique and memorable companions, and a new perspective on morality. Tyranny casts you as the arbiter of law in a world devastated by war and conquered by a despot. Will you work inside the system or try to dismantle it… and will it be for the glory of Kyros, for the good of the world, or for your own ambition?

From Obsidian Entertainment, the team behind Pillars of Eternity, Fallout: New Vegas, and South Park: The Stick of Truth, Tyranny is a classic-styled RPG with a new and original story, shaped and molded by your actions. The very layout of the world will be altered by your decisions as you choose sides, make allies and enemies, and fight for your own vision of law and order in an immersive and reactive story.

Other Games:
ATOM RPG 1.1 - https://www.youtube.com/watch?v=6KJl3HHakbw&list=PLszYe7po2j13H4bPU8a_ayx2ABH3bozWS

Baldur's Gate: Enhanced Edition - https://www.youtube.com/watch?v=MYCpn3hN1Us&list=PLszYe7po2j13cC_hQuPa5uQyXyjA-6wuG

Serpent in the Staglands - https://www.youtube.com/watch?v=mCDBtQh0Zgw&list=PLszYe7po2j13oXq0rrGH7BbQHR4iJBcWF

Pathfinder: Kingmaker Enhanced Edition - https://www.youtube.com/watch?v=-h_bNA0nHcA&list=PLszYe7po2j10C9YEkTVSvhvWpGKLGFM8V

Watch and Buy:
Tyranny Playlist - https://www.youtube.com/playlist?list=PLszYe7po2j11xiyPTVaUKt9_HuLQ80Q_V&playnext=1&index=1

Tyranny on Steam - https://store.steampowered.com/app/362960/Tyranny/

Tyranny on GOG - https://www.gog.com/game/tyranny_commander_edition"
"pjcsh4Od_TA","Scarlet Chorus Camp - Tyranny - Let's Play - 8","BringItDon","2021-02-17","2021-02-17","https://i.ytimg.com/vi/pjcsh4Od_TA/hqdefault.jpg","Episode 8 of Let's Play Tyranny is here! We speak to the Scarlet Chorus in their camp, and agree to help them with a couple of quests. Enjoy!

About the Game:
Play an RPG with meaningful, world-altering choices, unique and memorable companions, and a new perspective on morality. Tyranny casts you as the arbiter of law in a world devastated by war and conquered by a despot. Will you work inside the system or try to dismantle it… and will it be for the glory of Kyros, for the good of the world, or for your own ambition?

From Obsidian Entertainment, the team behind Pillars of Eternity, Fallout: New Vegas, and South Park: The Stick of Truth, Tyranny is a classic-styled RPG with a new and original story, shaped and molded by your actions. The very layout of the world will be altered by your decisions as you choose sides, make allies and enemies, and fight for your own vision of law and order in an immersive and reactive story.

Other Games:
ATOM RPG 1.1 - https://www.youtube.com/watch?v=6KJl3HHakbw&list=PLszYe7po2j13H4bPU8a_ayx2ABH3bozWS

Baldur's Gate: Enhanced Edition - https://www.youtube.com/watch?v=MYCpn3hN1Us&list=PLszYe7po2j13cC_hQuPa5uQyXyjA-6wuG

Serpent in the Staglands - https://www.youtube.com/watch?v=mCDBtQh0Zgw&list=PLszYe7po2j13oXq0rrGH7BbQHR4iJBcWF

Pathfinder: Kingmaker Enhanced Edition - https://www.youtube.com/watch?v=-h_bNA0nHcA&list=PLszYe7po2j10C9YEkTVSvhvWpGKLGFM8V

Watch and Buy:
Tyranny Playlist - https://www.youtube.com/playlist?list=PLszYe7po2j11xiyPTVaUKt9_HuLQ80Q_V&playnext=1&index=1

Tyranny on Steam - https://store.steampowered.com/app/362960/Tyranny/

Tyranny on GOG - https://www.gog.com/game/tyranny_commander_edition"
"mRaaWEitZQE","Saving a Snarky Sage - Tyranny - Let's Play - 9","BringItDon","2021-02-18","2021-02-18","https://i.ytimg.com/vi/mRaaWEitZQE/hqdefault.jpg","Episode 9 of Let's Play Tyranny is here! We interrogate a prisoner and find a new ally in a Sage of the School of Ink and Quill, Lantry. Enjoy!

About the Game:
Play an RPG with meaningful, world-altering choices, unique and memorable companions, and a new perspective on morality. Tyranny casts you as the arbiter of law in a world devastated by war and conquered by a despot. Will you work inside the system or try to dismantle it… and will it be for the glory of Kyros, for the good of the world, or for your own ambition?

From Obsidian Entertainment, the team behind Pillars of Eternity, Fallout: New Vegas, and South Park: The Stick of Truth, Tyranny is a classic-styled RPG with a new and original story, shaped and molded by your actions. The very layout of the world will be altered by your decisions as you choose sides, make allies and enemies, and fight for your own vision of law and order in an immersive and reactive story.

Other Games:
ATOM RPG 1.1 - https://www.youtube.com/watch?v=6KJl3HHakbw&list=PLszYe7po2j13H4bPU8a_ayx2ABH3bozWS

Baldur's Gate: Enhanced Edition - https://www.youtube.com/watch?v=MYCpn3hN1Us&list=PLszYe7po2j13cC_hQuPa5uQyXyjA-6wuG

Serpent in the Staglands - https://www.youtube.com/watch?v=mCDBtQh0Zgw&list=PLszYe7po2j13oXq0rrGH7BbQHR4iJBcWF

Pathfinder: Kingmaker Enhanced Edition - https://www.youtube.com/watch?v=-h_bNA0nHcA&list=PLszYe7po2j10C9YEkTVSvhvWpGKLGFM8V

Watch and Buy:
Tyranny Playlist - https://www.youtube.com/playlist?list=PLszYe7po2j11xiyPTVaUKt9_HuLQ80Q_V&playnext=1&index=1

Tyranny on Steam - https://store.steampowered.com/app/362960/Tyranny/

Tyranny on GOG - https://www.gog.com/game/tyranny_commander_edition"
