"Playlist URL","https://www.youtube.com/playlist?list=PLiiEr5EE-Ygxa6iVLgdMMZllSxQJY_Lcl"
"Playlist title","Why You Should Watch"
"Playlist author","Super Eyepatch Wolf"
"Videos","19"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"nVena5MgShU","Why You Should Watch Outlaw Star","Super Eyepatch Wolf","2020-05-12","2020-05-09","https://i.ytimg.com/vi/nVena5MgShU/hqdefault.jpg","Do you enjoy overly sentimental videos about old anime?? No? Me Neither. But unfortunately, but here's me talking about Outlaw Star.

Patreon: https://www.patreon.com/Supereyepatchwolf
Tshirts: https://www.fangamer.com/collections/super-eyepatch-wolf
Twitch: https://www.twitch.tv/supereyepatchwolf

Lets Fight a Boss Podcast:

Itunes: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2
Sound Cloud: https://soundcloud.com/letsfightaboss
Youtube: https://www.youtube.com/channel/UCawXJIKUj2o_tFPMZ4xiXBw

Other Super Eyepatch Wolf stuff

Instagram: https://www.instagram.com/super_eyepatch_wolf/
Twitter: https://twitter.com/EyePatchWolf

Song List:
https://imgur.com/a/r2GG1Al"
"rQaUEr65eaI","Why You Should Watch/ Read: Berserk","Super Eyepatch Wolf","2020-04-23","2016-09-10","https://i.ytimg.com/vi/rQaUEr65eaI/hqdefault.jpg","I cant belive its been five years since I made this video. My new video on Berserk:
https://www.youtube.com/watch?v=UBrUVqZ_pO8

PATREON:
https://www.patreon.com/Supereyepatchwolf

Instagram: https://www.instagram.com/super_eyepatch_wolf/

TWITTER: https://twitter.com/EyePatchWolf

Lets Fight a Boss Podcast EP 31:

Itunes- https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2

Sound Cloud-  https://soundcloud.com/letsfightaboss

Spoilers from 13:26 to 17:20"
"hvXw_5jlW3Y","Why You Should Watch: Cowboy Bebop","Super Eyepatch Wolf","2020-04-23","2017-02-04","https://i.ytimg.com/vi/hvXw_5jlW3Y/hqdefault.jpg","Patreon:
https://www.patreon.com/Supereyepatchwolf

Twitter: https://twitter.com/EyePatchWolf
Instagram: https://www.instagram.com/super_eyepatch_wolf/

Sax Dragon/ Carl Catron:
https://www.youtube.com/watch?v=Yf2Ltjvf-ng

Carls Patreon (Help him out, hes a great dood):
https://www.patreon.com/carlcatron

Digibros ""Your Gonna carry that weight"":
https://www.youtube.com/watch?v=Ip5CpjXR4CI

Lets Fight a Boss video game podcast:
Itunes: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2

Sound Cloud: https://soundcloud.com/letsfightaboss

Youtube: https://www.youtube.com/watch?v=dXLtu0JhMnM

Intro Music is Viliots ending theme from Tekken 4, all other music from Carl Catron."
"5DHEr87uwgE","Why You Should Watch Yu Yu Hakusho","Super Eyepatch Wolf","2020-04-23","2017-04-03","https://i.ytimg.com/vi/5DHEr87uwgE/hqdefault.jpg","Patreon:
https://www.patreon.com/Supereyepatchwolf

Twitter https://twitter.com/EyePatchWolf
Instagram: https://www.instagram.com/super_eyepatch_wolf/

Lets Fight a Boss video game podcast:

Itunes: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2

Sound Cloud: https://soundcloud.com/letsfightaboss

Youtube: https://www.youtube.com/watch?v=dXLtu0JhMnM

Song List:
Black Burn- Killer 7 Ost
YYH sound track- Time Limit
YYH sound track- Smile Bomb
YYH sound track-Subete ga Owatta
YYH sound track- Sensuis Territory
YYH sound track- Sentou Kaishi
YYH sound track- Tataki no Hate (which roughly translates to ""fight to fight"" which I love -sew)"
"zIzpA1Lqluw","Why You Should Watch Kaiji Ultimate Survivor","Super Eyepatch Wolf","2020-04-23","2017-09-30","https://i.ytimg.com/vi/zIzpA1Lqluw/hqdefault.jpg","Patreon:
https://www.patreon.com/Supereyepatchwolf

Space BG from Footageisland
https://www.youtube.com/user/footageisland

Animation used for Heros Journey segment:
https://www.youtube.com/watch?v=Hhk4N9A0oCA

Further reading on the Heroes Joureny
http://www.thewritersjourney.com/hero's_journey.htm

Lets Fight a Boss Podcast:

Itunes: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2
Sound Cloud: https://soundcloud.com/letsfightaboss
Youtube: https://www.youtube.com/channel/UCawXJIKUj2o_tFPMZ4xiXBw

Twitter: https://twitter.com/EyePatchWolf

Song List:

Black Sun- Kaiji OST
Memories- Kaiji OST
Transperant- Kaiji OST
Kaiji Theme- Kaiji OST
Despair- Kaiji OST
Kaiji Theme- Kaiji OST
Fate- Kaiji OST"
"eeSlvuDhC6A","Why You Should Watch Mob Psycho 100","Super Eyepatch Wolf","2020-04-23","2016-11-20","https://i.ytimg.com/vi/eeSlvuDhC6A/hqdefault.jpg","PATREON:
https://www.patreon.com/Supereyepatchwolf

TWITTER: https://twitter.com/EyePatchWolf
Instagram: https://www.instagram.com/super_eyepatch_wolf/

BOSS-CAST:

Itunes: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2
Youtube: https://www.youtube.com/watch?v=8rHm8HRfagU
Sound Cloud: https://soundcloud.com/letsfightaboss/episode-36-ghost-babies

Songs:

Tekken 4 ost_ Lee/ Vilote ending
Mob Psycho Ost- Ending Theme
Tekken 4 ost- Paul Ending
Tekken 4 ost_ Lee/ Vilote ending
Kaiji Ost- Basement
Kill la Kill ost- Kill@ill
Mob Psycho Ost- Mob Psycho Opening"
"uVagWJhvVbM","Why You Should Watch Paranoia Agent","Super Eyepatch Wolf","2020-04-23","2017-10-31","https://i.ytimg.com/vi/uVagWJhvVbM/hqdefault.jpg","Patreon:
https://www.patreon.com/Supereyepatchwolf

Lets Fight a Boss Podcast:

Itunes: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2
Sound Cloud: https://soundcloud.com/letsfightaboss
Youtube: https://www.youtube.com/channel/UCawXJIKUj2o_tFPMZ4xiXBw

Twitter: https://twitter.com/EyePatchWolf
Instagram: https://www.instagram.com/super_eyepatch_wolf/

Song List:
The last Mariachi- Silent Hill 4 OST
Penatgon Jr Theme- Lucha Underground OST
Silent Hill Shattered Memories- Different Persons
Anxious- Boketto
Who is Zero 9 Hours 9 persons 9 Doors OST
Welcome to Despiar Acadaemy- Super Dangan Ronpa 2 OST
Toubou- PAranoia Agent OST"
"MYtz2ZhKxFE","Why You Should Watch/ Read One Piece","Super Eyepatch Wolf","2020-04-23","2017-06-27","https://i.ytimg.com/vi/MYtz2ZhKxFE/hqdefault.jpg","Patreon:
https://www.patreon.com/Supereyepatchwolf

Lets Fight a Boss Podcast:

Itunes: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2
Sound Cloud: https://soundcloud.com/letsfightaboss

Youtube: https://www.youtube.com/channel/UCawXJIKUj2o_tFPMZ4xiXBw

Twitter: https://twitter.com/EyePatchWolf
Instagram: https://www.instagram.com/super_eyepatch_wolf/

The Appeal of One Piece: Where to Start

https://www.youtube.com/watch?v=2ZqnC-eVwrE

Song List:
His Theme - Undertale OST
Old Friends - Transistor OST
Gateless -  Transistor OST
Transperant II - Kaiji OSt
Fetus- Tekken 4 OST (Tekken 4 gets a bad rap, its a very atmospheric fighting game)
Devils Pit Round 1 - Tekken 7 OST"
"PgUKUZfihhg","Why You Should Watch: Hajime No Ippo","Super Eyepatch Wolf","2016-06-04","2016-06-04","https://i.ytimg.com/vi/PgUKUZfihhg/hqdefault.jpg","PATREON: https://www.patreon.com/Supereyepatchwolf

TWITTER: https://twitter.com/EyePatchWolf

LETS FIGHT A BOSS PODCAST:
https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2"
"yjzbiKnyAv4","Why You Should Watch Made in Abyss","Super Eyepatch Wolf","2020-04-23","2017-11-18","https://i.ytimg.com/vi/yjzbiKnyAv4/hqdefault.jpg","Patreon:
https://www.patreon.com/Supereyepatchwolf

The Canipa Effects video and Masuyama:
https://www.youtube.com/watch?v=mOIgFB8c248

Lets Fight a Boss Podcast:

Itunes: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2
Sound Cloud: https://soundcloud.com/letsfightaboss
Youtube: https://www.youtube.com/channel/UCawXJIKUj2o_tFPMZ4xiXBw

Twitter: https://twitter.com/EyePatchWolf
Instagram: https://www.instagram.com/super_eyepatch_wolf/

Song List:

Froxic- Floating Point
To The Abyss! - Made ina Abyss OST
The First Layer - Made in Abyss OST
Forest of the Abyss -  Made in Abyss OST
New World -  Made in Abyss OST
Give Up - Lisa the Painful OST
Depthes of the Abyss- Made in Abyss OST

Tags:
Made in Abyss, Rico, Reg, Nanachi, Ep 10,"
