"Playlist URL","https://www.youtube.com/playlist?list=PL1Be_cMfHOEdkH80ZgXSDrHgQ3rpFzNJd"
"Playlist title","Baldur's Gate 2 Enhanced Edition: Shadows of Amn [DONE]"
"Playlist author","aulddragon"
"Videos","231"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"d-VSxP1aoC0","Baldur's Gate 2 Enhanced Edition: Shadows of Amn — Introduction","aulddragon","2020-08-13","2020-08-14","https://i.ytimg.com/vi/d-VSxP1aoC0/hqdefault.jpg","Welcome to Baldur's Gate 2 Enhanced Edition: Shadows of Amn! This playthrough utilizes the version of Elmindreda that I created (using the same stats) for my stream-exclusive playthrough of the Enhanced Edition of Baldur's Gate, with the intention of importing her into Siege of Dragonspear and Baldur's Gate 2. Join me for yet another of the Avatar's adventures!

---------------------------------------------


The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdkH80ZgXSDrHgQ3rpFzNJd


---------------------------------------------

Past Infinity Engine Playlists:
Baldur's Gate (Original): http://www.youtube.com/playlist?list=PL5466FB5E0C896926
Siege of Dragonspear: https://www.youtube.com/playlist?list=PL1Be_cMfHOEfVhD7U_26trAmratazPoJ6
Icewind Dale Enhanced Edition: http://www.youtube.com/playlist?list=PL1Be_cMfHOEdRQpFVDDijP7xkPN1G0Kf8
Planescape Torment Enhanced Edition: http://www.youtube.com/playlist?list=PL1Be_cMfHOEegFUGKZJRG1m0dHgv4kVow

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"XTnLaxWyeM4","Baldur's Gate 2 Enhanced Edition: Shadows of Amn — Part 1 - Jailbreak","aulddragon","2020-08-13","2020-08-14","https://i.ytimg.com/vi/XTnLaxWyeM4/hqdefault.jpg","Just who is this wizard who has captured us, tortured us, and slain some of our friends?! And more importantly, once again, *where is my stuff?!*


This playthrough utilizes the version of Elmindreda that I created (using the same stats) for my stream-exclusive playthrough of the Enhanced Edition of Baldur's Gate, with the intention of importing her into Siege of Dragonspear and Baldur's Gate 2. Join me for yet another of the Avatar's adventures!

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdkH80ZgXSDrHgQ3rpFzNJd

---------------------------------------------

Past Infinity Engine Playlists:
Baldur's Gate (Original): http://www.youtube.com/playlist?list=PL5466FB5E0C896926
Siege of Dragonspear: https://www.youtube.com/playlist?list=PL1Be_cMfHOEfVhD7U_26trAmratazPoJ6
Icewind Dale Enhanced Edition: http://www.youtube.com/playlist?list=PL1Be_cMfHOEdRQpFVDDijP7xkPN1G0Kf8
Planescape Torment Enhanced Edition: http://www.youtube.com/playlist?list=PL1Be_cMfHOEegFUGKZJRG1m0dHgv4kVow

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"RoMI5EgVJ0s","BG2EE: Shadows of Amn — Part 2 - Mephitous Minions","aulddragon","2020-08-13","2020-08-15","https://i.ytimg.com/vi/RoMI5EgVJ0s/hqdefault.jpg","The resident wizard has really filled his lab with a lot of minor inner planar creatures for some reason.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdkH80ZgXSDrHgQ3rpFzNJd

---------------------------------------------

Past Infinity Engine Playlists:
Baldur's Gate (Original): http://www.youtube.com/playlist?list=PL5466FB5E0C896926
Siege of Dragonspear: https://www.youtube.com/playlist?list=PL1Be_cMfHOEfVhD7U_26trAmratazPoJ6
Icewind Dale Enhanced Edition: http://www.youtube.com/playlist?list=PL1Be_cMfHOEdRQpFVDDijP7xkPN1G0Kf8
Planescape Torment Enhanced Edition: http://www.youtube.com/playlist?list=PL1Be_cMfHOEegFUGKZJRG1m0dHgv4kVow

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"lU_cRWo9DRE","BG2EE: Shadows of Amn — Part 3 - Powering Up Capsules","aulddragon","2020-08-13","2020-08-16","https://i.ytimg.com/vi/lU_cRWo9DRE/hqdefault.jpg","So we have some anachronistic batteries, I guess we might as well see what these experiments have to say.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdkH80ZgXSDrHgQ3rpFzNJd

---------------------------------------------

Past Infinity Engine Playlists:
Baldur's Gate (Original): http://www.youtube.com/playlist?list=PL5466FB5E0C896926
Siege of Dragonspear: https://www.youtube.com/playlist?list=PL1Be_cMfHOEfVhD7U_26trAmratazPoJ6
Icewind Dale Enhanced Edition: http://www.youtube.com/playlist?list=PL1Be_cMfHOEdRQpFVDDijP7xkPN1G0Kf8
Planescape Torment Enhanced Edition: http://www.youtube.com/playlist?list=PL1Be_cMfHOEegFUGKZJRG1m0dHgv4kVow

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"kEsEKELS7OA","BG2EE: Shadows of Amn — Part 4 - Opulent Bedrooms","aulddragon","2020-08-13","2020-08-17","https://i.ytimg.com/vi/kEsEKELS7OA/hqdefault.jpg","Well, since the wizard stole all of my stuff, it is only fair that I take all of his.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdkH80ZgXSDrHgQ3rpFzNJd

---------------------------------------------

Past Infinity Engine Playlists:
Baldur's Gate (Original): http://www.youtube.com/playlist?list=PL5466FB5E0C896926
Siege of Dragonspear: https://www.youtube.com/playlist?list=PL1Be_cMfHOEfVhD7U_26trAmratazPoJ6
Icewind Dale Enhanced Edition: http://www.youtube.com/playlist?list=PL1Be_cMfHOEdRQpFVDDijP7xkPN1G0Kf8
Planescape Torment Enhanced Edition: http://www.youtube.com/playlist?list=PL1Be_cMfHOEegFUGKZJRG1m0dHgv4kVow

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"K6fMTZD5es4","BG2EE: Shadows of Amn — Part 5 - Planar Space","aulddragon","2020-08-13","2020-08-18","https://i.ytimg.com/vi/K6fMTZD5es4/hqdefault.jpg","Despite all of the elemental themes in this place, I do not get the impression the resident wizard is all that interested in the elemental planes.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdkH80ZgXSDrHgQ3rpFzNJd

---------------------------------------------

Past Infinity Engine Playlists:
Baldur's Gate (Original): http://www.youtube.com/playlist?list=PL5466FB5E0C896926
Siege of Dragonspear: https://www.youtube.com/playlist?list=PL1Be_cMfHOEfVhD7U_26trAmratazPoJ6
Icewind Dale Enhanced Edition: http://www.youtube.com/playlist?list=PL1Be_cMfHOEdRQpFVDDijP7xkPN1G0Kf8
Planescape Torment Enhanced Edition: http://www.youtube.com/playlist?list=PL1Be_cMfHOEegFUGKZJRG1m0dHgv4kVow

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"pU3xODHy4mc","BG2EE: Shadows of Amn — Part 6 - Nearing the Exit","aulddragon","2020-08-13","2020-08-19","https://i.ytimg.com/vi/pU3xODHy4mc/hqdefault.jpg","I can taste freedom!

Wait, no, I think I got some duergar sweat in my mouth. Bleh.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdkH80ZgXSDrHgQ3rpFzNJd

---------------------------------------------

Past Infinity Engine Playlists:
Baldur's Gate (Original): http://www.youtube.com/playlist?list=PL5466FB5E0C896926
Siege of Dragonspear: https://www.youtube.com/playlist?list=PL1Be_cMfHOEfVhD7U_26trAmratazPoJ6
Icewind Dale Enhanced Edition: http://www.youtube.com/playlist?list=PL1Be_cMfHOEdRQpFVDDijP7xkPN1G0Kf8
Planescape Torment Enhanced Edition: http://www.youtube.com/playlist?list=PL1Be_cMfHOEegFUGKZJRG1m0dHgv4kVow

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"2vKw-P6zJ6c","BG2EE: Shadows of Amn — Part 7 - Accursed Rules!","aulddragon","2020-08-13","2020-08-20","https://i.ytimg.com/vi/2vKw-P6zJ6c/hqdefault.jpg","I demand habeas corpus for Imoen! She was just defending herself!

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdkH80ZgXSDrHgQ3rpFzNJd

---------------------------------------------

Past Infinity Engine Playlists:
Baldur's Gate (Original): http://www.youtube.com/playlist?list=PL5466FB5E0C896926
Siege of Dragonspear: https://www.youtube.com/playlist?list=PL1Be_cMfHOEfVhD7U_26trAmratazPoJ6
Icewind Dale Enhanced Edition: http://www.youtube.com/playlist?list=PL1Be_cMfHOEdRQpFVDDijP7xkPN1G0Kf8
Planescape Torment Enhanced Edition: http://www.youtube.com/playlist?list=PL1Be_cMfHOEegFUGKZJRG1m0dHgv4kVow

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"UMqONMsbg7c","BG2EE: Shadows of Amn — Part 8 - Not Brooking An Insult","aulddragon","2020-08-19","2020-08-21","https://i.ytimg.com/vi/UMqONMsbg7c/hqdefault.jpg","What happens when a dwarf gets on the bad side of an Avatar who has had a very bad day?

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdkH80ZgXSDrHgQ3rpFzNJd

---------------------------------------------

Past Infinity Engine Playlists:
Baldur's Gate (Original): http://www.youtube.com/playlist?list=PL5466FB5E0C896926
Siege of Dragonspear: https://www.youtube.com/playlist?list=PL1Be_cMfHOEfVhD7U_26trAmratazPoJ6
Icewind Dale Enhanced Edition: http://www.youtube.com/playlist?list=PL1Be_cMfHOEdRQpFVDDijP7xkPN1G0Kf8
Planescape Torment Enhanced Edition: http://www.youtube.com/playlist?list=PL1Be_cMfHOEegFUGKZJRG1m0dHgv4kVow

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"HrkUWzH_c5g","BG2EE: Shadows of Amn — Part 9 - Gratuitous Planar References","aulddragon","2020-08-19","2020-08-22","https://i.ytimg.com/vi/HrkUWzH_c5g/hqdefault.jpg","Wow, it's so strange that all of these special items are here in this little shop! It's almost as if it were a reference to another game by the same developer or something!

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdkH80ZgXSDrHgQ3rpFzNJd

---------------------------------------------

Past Infinity Engine Playlists:
Baldur's Gate (Original): http://www.youtube.com/playlist?list=PL5466FB5E0C896926
Siege of Dragonspear: https://www.youtube.com/playlist?list=PL1Be_cMfHOEfVhD7U_26trAmratazPoJ6
Icewind Dale Enhanced Edition: http://www.youtube.com/playlist?list=PL1Be_cMfHOEdRQpFVDDijP7xkPN1G0Kf8
Planescape Torment Enhanced Edition: http://www.youtube.com/playlist?list=PL1Be_cMfHOEegFUGKZJRG1m0dHgv4kVow

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
