"Playlist URL","https://www.youtube.com/playlist?list=PL1Be_cMfHOEdLP4q1Gk3_NEHA0bCR9NJo"
"Playlist title","Fallout: A Post-Nuclear Role Playing Game [Done]"
"Playlist author","aulddragon"
"Videos","53"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"m4ugedNkEiY","Let's Play ""Fallout"" Part 0 - Introduction","aulddragon","2017-08-28","2017-08-28","https://i.ytimg.com/vi/m4ugedNkEiY/hqdefault.jpg","Elmindreda the Avatar must set out into the post apocalyptic wasteland surrounding Los Angeles to find a new water purification chip for her vault, and she would really appreciate it if people would stop blaming the apocalypse on her casting the Armageddon spell, thank you very much.

---------------------------------------------

Fallout: A Post-Nuclear Role Playing Game is a critically acclaimed RPG originally released in 1997 by Interplay. Fallout is set in 2161, long after a nuclear war has devastated an alternate retro-futuristic world, and those who survived unscathed did so in underground vaults.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdLP4q1Gk3_NEHA0bCR9NJo

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"Pnt5A3smATY","Let's Play ""Fallout"" Part 1 - Post-Apocalyptic Avatar","aulddragon","2017-08-28","2017-08-28","https://i.ytimg.com/vi/Pnt5A3smATY/hqdefault.jpg","Elmindreda the Avatar must set out into the post apocalyptic wasteland surrounding Los Angeles to find a new water purification chip for her vault, and she would really appreciate it if people would stop blaming the apocalypse on her casting the Armageddon spell, thank you very much.

---------------------------------------------

Fallout: A Post-Nuclear Role Playing Game is a critically acclaimed RPG originally released in 1997 by Interplay. Fallout is set in 2161, long after a nuclear war has devastated an alternate retro-futuristic world, and those who survived unscathed did so in underground vaults.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdLP4q1Gk3_NEHA0bCR9NJo

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"9fYPgehE47w","Let's Play ""Fallout"" Part 2 - Staying Home","aulddragon","2017-08-28","2017-08-29","https://i.ytimg.com/vi/9fYPgehE47w/hqdefault.jpg","Elmindreda the Avatar must set out into the post apocalyptic wasteland surrounding Los Angeles to find a new water purification chip for her vault, and she would really appreciate it if people would stop blaming the apocalypse on her casting the Armageddon spell, thank you very much.

---------------------------------------------

Fallout: A Post-Nuclear Role Playing Game is a critically acclaimed RPG originally released in 1997 by Interplay. Fallout is set in 2161, long after a nuclear war has devastated an alternate retro-futuristic world, and those who survived unscathed did so in underground vaults.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdLP4q1Gk3_NEHA0bCR9NJo

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"T3prARAr3YE","Let's Play ""Fallout"" Part 3 - Throwing Shade","aulddragon","2017-08-28","2017-08-30","https://i.ytimg.com/vi/T3prARAr3YE/hqdefault.jpg","Elmindreda the Avatar must set out into the post apocalyptic wasteland surrounding Los Angeles to find a new water purification chip for her vault, and she would really appreciate it if people would stop blaming the apocalypse on her casting the Armageddon spell, thank you very much.

---------------------------------------------

Fallout: A Post-Nuclear Role Playing Game is a critically acclaimed RPG originally released in 1997 by Interplay. Fallout is set in 2161, long after a nuclear war has devastated an alternate retro-futuristic world, and those who survived unscathed did so in underground vaults.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdLP4q1Gk3_NEHA0bCR9NJo

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"euuZuMwocx4","Let's Play ""Fallout"" Part 4 - Scorpion Slaying","aulddragon","2017-08-28","2017-08-31","https://i.ytimg.com/vi/euuZuMwocx4/hqdefault.jpg","Elmindreda the Avatar must set out into the post apocalyptic wasteland surrounding Los Angeles to find a new water purification chip for her vault, and she would really appreciate it if people would stop blaming the apocalypse on her casting the Armageddon spell, thank you very much.

---------------------------------------------

Fallout: A Post-Nuclear Role Playing Game is a critically acclaimed RPG originally released in 1997 by Interplay. Fallout is set in 2161, long after a nuclear war has devastated an alternate retro-futuristic world, and those who survived unscathed did so in underground vaults.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdLP4q1Gk3_NEHA0bCR9NJo

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"ENoobYFQACg","Let's Play ""Fallout"" Part 5 - Vault 15","aulddragon","2017-08-31","2017-09-01","https://i.ytimg.com/vi/ENoobYFQACg/hqdefault.jpg","Elmindreda the Avatar must set out into the post apocalyptic wasteland surrounding Los Angeles to find a new water purification chip for her vault, and she would really appreciate it if people would stop blaming the apocalypse on her casting the Armageddon spell, thank you very much.

---------------------------------------------

Fallout: A Post-Nuclear Role Playing Game is a critically acclaimed RPG originally released in 1997 by Interplay. Fallout is set in 2161, long after a nuclear war has devastated an alternate retro-futuristic world, and those who survived unscathed did so in underground vaults.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdLP4q1Gk3_NEHA0bCR9NJo

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"PmaT32zgvq8","Let's Play ""Fallout"" Part 6 - Tandinapping!","aulddragon","2017-08-31","2017-09-02","https://i.ytimg.com/vi/PmaT32zgvq8/hqdefault.jpg","Elmindreda the Avatar must set out into the post apocalyptic wasteland surrounding Los Angeles to find a new water purification chip for her vault, and she would really appreciate it if people would stop blaming the apocalypse on her casting the Armageddon spell, thank you very much.

---------------------------------------------

Fallout: A Post-Nuclear Role Playing Game is a critically acclaimed RPG originally released in 1997 by Interplay. Fallout is set in 2161, long after a nuclear war has devastated an alternate retro-futuristic world, and those who survived unscathed did so in underground vaults.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdLP4q1Gk3_NEHA0bCR9NJo

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"9ER9yvvr7uI","Let's Play ""Fallout"" Part 7 - Khan-versation","aulddragon","2017-08-31","2017-09-03","https://i.ytimg.com/vi/9ER9yvvr7uI/hqdefault.jpg","Elmindreda the Avatar must set out into the post apocalyptic wasteland surrounding Los Angeles to find a new water purification chip for her vault, and she would really appreciate it if people would stop blaming the apocalypse on her casting the Armageddon spell, thank you very much.

---------------------------------------------

Fallout: A Post-Nuclear Role Playing Game is a critically acclaimed RPG originally released in 1997 by Interplay. Fallout is set in 2161, long after a nuclear war has devastated an alternate retro-futuristic world, and those who survived unscathed did so in underground vaults.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdLP4q1Gk3_NEHA0bCR9NJo

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"1gQcnU5olc8","Let's Play ""Fallout"" Part 8 - Taxing the Khans","aulddragon","2017-08-31","2017-09-04","https://i.ytimg.com/vi/1gQcnU5olc8/hqdefault.jpg","Elmindreda the Avatar must set out into the post apocalyptic wasteland surrounding Los Angeles to find a new water purification chip for her vault, and she would really appreciate it if people would stop blaming the apocalypse on her casting the Armageddon spell, thank you very much.

---------------------------------------------

Fallout: A Post-Nuclear Role Playing Game is a critically acclaimed RPG originally released in 1997 by Interplay. Fallout is set in 2161, long after a nuclear war has devastated an alternate retro-futuristic world, and those who survived unscathed did so in underground vaults.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdLP4q1Gk3_NEHA0bCR9NJo

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"JazMH95R34M","Let's Play ""Fallout"" Part 9 - Junktown","aulddragon","2017-08-31","2017-09-05","https://i.ytimg.com/vi/JazMH95R34M/hqdefault.jpg","Elmindreda the Avatar must set out into the post apocalyptic wasteland surrounding Los Angeles to find a new water purification chip for her vault, and she would really appreciate it if people would stop blaming the apocalypse on her casting the Armageddon spell, thank you very much.

---------------------------------------------

Fallout: A Post-Nuclear Role Playing Game is a critically acclaimed RPG originally released in 1997 by Interplay. Fallout is set in 2161, long after a nuclear war has devastated an alternate retro-futuristic world, and those who survived unscathed did so in underground vaults.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdLP4q1Gk3_NEHA0bCR9NJo

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
