"Playlist URL","https://www.youtube.com/playlist?list=PL1Be_cMfHOEcSvZF1hTcw3uGKWQBaut6t"
"Playlist title","Indiana Jones and the Last Crusade: The Graphic Adventure [Done]"
"Playlist author","aulddragon"
"Videos","11"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"UbkKtQTOITE","Indiana Jones and the Last Crusade — Part 1 - Crossing Students","aulddragon","2019-05-30","2019-05-30","https://i.ytimg.com/vi/UbkKtQTOITE/hqdefault.jpg","Somehow I feel like these students will remember this tomorrow...

---------------------------------------------

Indiana Jones and the Last Crusade: The Graphic Adventure is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcSvZF1hTcw3uGKWQBaut6t

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"TAfne_QdldE","Indiana Jones and the Last Crusade — Part 2 - Flying the Friendly Skies","aulddragon","2019-05-30","2019-05-31","https://i.ytimg.com/vi/TAfne_QdldE/hqdefault.jpg","Alright, dad, I GUESS I'll come rescue you.

---------------------------------------------

Indiana Jones and the Last Crusade: The Graphic Adventure is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcSvZF1hTcw3uGKWQBaut6t

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"Y5rD1a2x5wc","Indiana Jones and the Last Crusade — Part 3 - Searching the Stacks","aulddragon","2019-05-30","2019-06-01","https://i.ytimg.com/vi/Y5rD1a2x5wc/hqdefault.jpg","This library seems to have some strange specialized sections.

---------------------------------------------

Indiana Jones and the Last Crusade: The Graphic Adventure is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcSvZF1hTcw3uGKWQBaut6t

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"Q9_GeE5b-fs","Indiana Jones and the Last Crusade — Part 4 - Into the Catacombs","aulddragon","2019-05-30","2019-06-02","https://i.ytimg.com/vi/Q9_GeE5b-fs/hqdefault.jpg","These seem slightly more extensive than I recall from the movie.

---------------------------------------------

Indiana Jones and the Last Crusade: The Graphic Adventure is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcSvZF1hTcw3uGKWQBaut6t

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"TbsV9HOhMzw","Indiana Jones and the Last Crusade — Part 5 - The Knight's Tomb","aulddragon","2019-05-30","2019-06-03","https://i.ytimg.com/vi/TbsV9HOhMzw/hqdefault.jpg","Surely Doctor Jones can fit the shield in his satchel!

---------------------------------------------

Indiana Jones and the Last Crusade: The Graphic Adventure is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcSvZF1hTcw3uGKWQBaut6t

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"8f6k8siHF2U","Indiana Jones and the Last Crusade — Part 6 - Master of DIsguise","aulddragon","2019-06-03","2019-06-04","https://i.ytimg.com/vi/8f6k8siHF2U/hqdefault.jpg","I guess when all of your conversations are in plain text, there's no accents to give you away as not being German!

---------------------------------------------

Indiana Jones and the Last Crusade: The Graphic Adventure is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcSvZF1hTcw3uGKWQBaut6t

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"qZHXPm5h5D8","Indiana Jones and the Last Crusade — Part 7 - Secret Stash","aulddragon","2019-06-03","2019-06-05","https://i.ytimg.com/vi/qZHXPm5h5D8/hqdefault.jpg","Wow! They had a paint-by-numbers Mona Lisa! So valuable!

---------------------------------------------

Indiana Jones and the Last Crusade: The Graphic Adventure is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcSvZF1hTcw3uGKWQBaut6t

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"rBVVxOnW1sQ","Indiana Jones and the Last Crusade — Part 8 - Goose-Stepping Morons","aulddragon","2019-06-06","2019-06-06","https://i.ytimg.com/vi/rBVVxOnW1sQ/hqdefault.jpg","But I guess people intent on burning written works probably wouldn't have the intellectual curiosity to check what they've signed.

---------------------------------------------

Indiana Jones and the Last Crusade: The Graphic Adventure is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcSvZF1hTcw3uGKWQBaut6t

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"4gL7-7BpXFE","Indiana Jones and the Last Crusade — Part 9 - Dirigible of Doom","aulddragon","2019-06-06","2019-06-07","https://i.ytimg.com/vi/4gL7-7BpXFE/hqdefault.jpg","There sure are a lot of guards inside this zeppelin!

---------------------------------------------

Indiana Jones and the Last Crusade: The Graphic Adventure is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcSvZF1hTcw3uGKWQBaut6t

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"ck2T5L5EsNI","Indiana Jones and the Last Crusade — Part 10 - Multipass","aulddragon","2019-06-06","2019-06-08","https://i.ytimg.com/vi/ck2T5L5EsNI/hqdefault.jpg","Sure is nice we got that travel pass signed by der Furher himself!

---------------------------------------------

Indiana Jones and the Last Crusade: The Graphic Adventure is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcSvZF1hTcw3uGKWQBaut6t

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
