"Playlist URL","https://www.youtube.com/playlist?list=PL1Be_cMfHOEeQHIBT69RG4gJSOqpk52Fm"
"Playlist title","Let's Play Syndicate (1993) [Done]"
"Playlist author","aulddragon"
"Videos","23"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"2e1P8BTMsnE","Let's Play ""Syndicate"" Part 00 - Introduction","aulddragon","2016-07-10","2016-07-10","https://i.ytimg.com/vi/2e1P8BTMsnE/hqdefault.jpg","Welcome to the dystopian near future, where giant multinational corporations rule governments, and product is pushed with a side of bullets.

Watch the whole series on the Playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEeQHIBT69RG4gJSOqpk52Fm

Buy Syndicate Plus on GoG.com:
https://www.gog.com/game/syndicate"
"eEZs0HpEe3I","Let's Play ""Syndicate"" Part 01 - The Dawning of a New Empire","aulddragon","2016-07-10","2016-07-10","https://i.ytimg.com/vi/eEZs0HpEe3I/hqdefault.jpg","And so begins the tale of Avatar Inc.'s rise to global marketplace domination.

Watch the whole series on the Playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEeQHIBT69RG4gJSOqpk52Fm

Buy Syndicate Plus on GoG.com:
https://www.gog.com/game/syndicate"
"Z-h4gWnrAb0","Let's Play ""Syndicate"" Part 02 - Extradimensional Vehicles","aulddragon","2016-07-10","2016-07-11","https://i.ytimg.com/vi/Z-h4gWnrAb0/hqdefault.jpg","Cars in syndicate can hold any number of people. They finally perfected extradimensional clown car technology!

Watch the whole series on the Playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEeQHIBT69RG4gJSOqpk52Fm

Buy Syndicate Plus on GoG.com:
https://www.gog.com/game/syndicate"
"bcABD0UnYlA","Let's Play ""Syndicate"" Part 03 - Persuading the Populace","aulddragon","2016-07-10","2016-07-12","https://i.ytimg.com/vi/bcABD0UnYlA/hqdefault.jpg","""Excuse me, I'd like to talk to you about the wide range of fine products offered by Avatar Inc.!""

Watch the whole series on the Playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEeQHIBT69RG4gJSOqpk52Fm

Buy Syndicate Plus on GoG.com:
https://www.gog.com/game/syndicate"
"JL-R7xVeCOo","Let's Play ""Syndicate"" Part 04 - And The Lamps Begin To Break","aulddragon","2016-07-10","2016-07-13","https://i.ytimg.com/vi/JL-R7xVeCOo/hqdefault.jpg","Everyone's favorite failure scene makes its first appearance!

Watch the whole series on the Playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEeQHIBT69RG4gJSOqpk52Fm

Buy Syndicate Plus on GoG.com:
https://www.gog.com/game/syndicate"
"FE4PFh7Nhok","Let's Play ""Syndicate"" Part 05 - Bad Form, Sir!","aulddragon","2016-07-10","2016-07-14","https://i.ytimg.com/vi/FE4PFh7Nhok/hqdefault.jpg","One of our corrupt politicians is refusing to do our bidding! This is just not done, sir!

Watch the whole series on the Playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEeQHIBT69RG4gJSOqpk52Fm

Buy Syndicate Plus on GoG.com:
https://www.gog.com/game/syndicate"
"AhSrSgPal4k","Let's Play ""Syndicate"" Part 06 - Armed Reconnaisance","aulddragon","2016-07-10","2016-07-15","https://i.ytimg.com/vi/AhSrSgPal4k/hqdefault.jpg","Recon means shooting everyone, right?

Watch the whole series on the Playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEeQHIBT69RG4gJSOqpk52Fm

Buy Syndicate Plus on GoG.com:
https://www.gog.com/game/syndicate"
"ZCVF6pRtbm8","Let's Play ""Syndicate"" Part 07 - Sniper Fire","aulddragon","2016-07-10","2016-07-16","https://i.ytimg.com/vi/ZCVF6pRtbm8/hqdefault.jpg","Bandit Leaders and City Councilmembers, I would like to introduce you to a good friend of mine.

Watch the whole series on the Playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEeQHIBT69RG4gJSOqpk52Fm

Buy Syndicate Plus on GoG.com:
https://www.gog.com/game/syndicate"
"izl5yHaiu8k","Let's Play ""Syndicate"" Part 08 - Befriending Reporters","aulddragon","2016-07-10","2016-07-17","https://i.ytimg.com/vi/izl5yHaiu8k/hqdefault.jpg","Let's persuade some well-connected reporters that our market plan and products are the best for the world.

Watch the whole series on the Playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEeQHIBT69RG4gJSOqpk52Fm

Buy Syndicate Plus on GoG.com:
https://www.gog.com/game/syndicate"
"VY2kLdzbcCQ","Let's Play ""Syndicate"" Part 09 - Introducing the Gauss Gun","aulddragon","2016-07-10","2016-07-18","https://i.ytimg.com/vi/VY2kLdzbcCQ/hqdefault.jpg","It has a very... interesting shape, does it not?

Watch the whole series on the Playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEeQHIBT69RG4gJSOqpk52Fm

Buy Syndicate Plus on GoG.com:
https://www.gog.com/game/syndicate"
