"Playlist URL","https://www.youtube.com/playlist?list=PL1Be_cMfHOEcoJa12PvPfKERksau6xrM8"
"Playlist title","Let's Play The Banner Saga [Done]"
"Playlist author","aulddragon"
"Videos","27"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"JgUsFzb_ma8","Let's Play ""The Banner Saga""! Part 01 - Welcome to Tutorials!","aulddragon","2014-04-05","2014-03-20","https://i.ytimg.com/vi/JgUsFzb_ma8/hqdefault.jpg","Let's Play ""The Banner Saga,"" a Norse-mythology inspired tactical RPG from Stoic!

We begin the game with a simple battle to learn the game mechanics."
"IkxwtLxe1Bc","Let's Play ""The Banner Saga""! Part 02 - The Journey North","aulddragon","2014-04-05","2014-03-22","https://i.ytimg.com/vi/IkxwtLxe1Bc/hqdefault.jpg","Let's Play ""The Banner Saga,"" a Norse-mythology inspired tactical RPG from Stoic!

After taking care of business in Strand, we join some new friends and begin the journey north."
"sDgHi8C7pwA","Let's Play ""The Banner Saga""! Part 03 - The Dread Dredge","aulddragon","2014-04-05","2014-03-24","https://i.ytimg.com/vi/sDgHi8C7pwA/hqdefault.jpg","Let's Play ""The Banner Saga,"" a Norse-mythology inspired tactical RPG from Stoic!

As if the sun stopping wasn't bad enough, the ancient Dredge have made a return."
"2SGTYxI1dHQ","Let's Play ""The Banner Saga""! Part 04 - Escape from the Dredge","aulddragon","2014-04-05","2014-03-26","https://i.ytimg.com/vi/2SGTYxI1dHQ/hqdefault.jpg","Let's Play ""The Banner Saga,"" a Norse-mythology inspired tactical RPG from Stoic!

Chapter 2 takes us from the old Varl Ubin to the humana Rook and Alette, whose village is under attack by the Dredge"
"AMSUGxsLLF4","Let's Play ""The Banner Saga""! Part 05 - The Twins","aulddragon","2014-04-05","2014-03-28","https://i.ytimg.com/vi/AMSUGxsLLF4/hqdefault.jpg","Let's Play ""The Banner Saga,"" a Norse-mythology inspired tactical RPG from Stoic!

We come across a village where sentiments are split on whether to believe that the Dredge have returned or not. Let's exacerbate them!"
"qJG8PFfKtGM","Let's Play ""The Banner Saga""! Part 06 - Frostvellr's Problems","aulddragon","2014-04-05","2014-03-30","https://i.ytimg.com/vi/qJG8PFfKtGM/hqdefault.jpg","Let's Play ""The Banner Saga,"" a Norse-mythology inspired tactical RPG from Stoic!

We make our way to Frostellr, where they've closed the city to refugees in the face of the threat from the Dredge, and we have no good choices."
"i6X6cMQXANQ","Let's Play ""The Banner Saga""! Part 07 - Focus Shift","aulddragon","2014-04-05","2014-04-01","https://i.ytimg.com/vi/i6X6cMQXANQ/hqdefault.jpg","Let's Play ""The Banner Saga,"" a Norse-mythology inspired tactical RPG from Stoic!

The game cliffhangers me after I cliffhanger you!

The recording ran long, so I split it between two episodes, hence the abrupt end."
"9eZ-zeW9QBg","Let's Play ""The Banner Saga""! Part 08 - This Means War!","aulddragon","2014-04-05","2014-04-03","https://i.ytimg.com/vi/9eZ-zeW9QBg/hqdefault.jpg","Let's Play ""The Banner Saga,"" a Norse-mythology inspired tactical RPG from Stoic!

In this episode, we discover just what all those non-hero warriors are for..."
"tH2DlTIFkAc","Let's Play ""The Banner Saga""! Part 09 - Baiting a Trap","aulddragon","2014-04-05","2014-04-05","https://i.ytimg.com/vi/tH2DlTIFkAc/hqdefault.jpg","Let's Play ""The Banner Saga,"" a Norse-mythology inspired tactical RPG from Stoic!

We spot some Dredge, and bait them into attacking us."
"LrfPi-sSWtk","Let's Play ""The Banner Saga""! Part 10 - Noooo!","aulddragon","2014-04-07","2014-04-07","https://i.ytimg.com/vi/LrfPi-sSWtk/hqdefault.jpg","Let's Play ""The Banner Saga,"" a Norse-mythology inspired tactical RPG from Stoic!

Dick move, game, dick move!"
"m28F3SOBSsg","Let's Play ""The Banner Saga""! Part 11 - Ridgehorn","aulddragon","2014-04-09","2014-04-09","https://i.ytimg.com/vi/m28F3SOBSsg/hqdefault.jpg","Let's Play ""The Banner Saga,"" a Norse-mythology inspired tactical RPG from Stoic!

After rescuing some Varl, we make it to Ridgehorn, where we find considerable damage by the Dredge. This bodes poorly..."
"2cHNWG8Y9CU","Let's Play ""The Banner Saga""! Part 12 - Lovely Grofheim!","aulddragon","2014-04-11","2014-04-11","https://i.ytimg.com/vi/2cHNWG8Y9CU/hqdefault.jpg","Let's Play ""The Banner Saga,"" a Norse-mythology inspired tactical RPG from Stoic!

We finally make it Grofheim, where all our problems will be solv...crap."
"41o74diDEJ4","Let's Play ""The Banner Saga""! Part 13 - Return to Frostvellr","aulddragon","2014-04-13","2014-04-13","https://i.ytimg.com/vi/41o74diDEJ4/hqdefault.jpg","Let's Play ""The Banner Saga,"" a Norse-mythology inspired tactical RPG from Stoic!

The situation in Frostvellr has gone from bad to worse. Perhaps it is time to leave..."
"XEy_6k6nBl8","Let's Play ""The Banner Saga""! Part 14 - Traversing the Wastes","aulddragon","2014-04-15","2014-04-15","https://i.ytimg.com/vi/XEy_6k6nBl8/hqdefault.jpg","Let's Play ""The Banner Saga,"" a Norse-mythology inspired tactical RPG from Stoic!

Leaving Fostvellr, we head out into the desolate wastes... Which we probably should have done in the first place."
"2JM8SW35ro0","Let's Play ""The Banner Saga""! Part 15 - Onto Grofheim","aulddragon","2014-04-17","2014-04-17","https://i.ytimg.com/vi/2JM8SW35ro0/hqdefault.jpg","Let's Play ""The Banner Saga,"" a Norse-mythology inspired tactical RPG from Stoic!

We leave Wyrmtoe and head towards Grofheim. I'm sure everything will be just fine there."
"g6FUPNlZ7lI","Let's Play ""The Banner Saga""! Part 16 - Einartoft","aulddragon","2014-04-19","2014-04-19","https://i.ytimg.com/vi/g6FUPNlZ7lI/hqdefault.jpg","Let's Play ""The Banner Saga,"" a Norse-mythology inspired tactical RPG from Stoic!

We flee from some sort of creature that can shatter mountains, and make our way to the Varl city of Eirnartoft, where we are not exactly welcome."
"RGHHOycE1rs","Let's Play ""The Banner Saga""! Part 17 - Desperation","aulddragon","2014-04-21","2014-04-21","https://i.ytimg.com/vi/RGHHOycE1rs/hqdefault.jpg","Let's Play ""The Banner Saga,"" a Norse-mythology inspired tactical RPG from Stoic!

Bellower, the worst of the Dredge. A giant serpent. Stubborn varl who refuse to destroy their bridge. ...We're kinda screwed."
"SxkoQFMZb1Y","Let's Play ""The Banner Saga""! Part 18 - Human vs. Varl","aulddragon","2014-04-23","2014-04-23","https://i.ytimg.com/vi/SxkoQFMZb1Y/hqdefault.jpg","Let's Play ""The Banner Saga,"" a Norse-mythology inspired tactical RPG from Stoic!

Our plan to save the varl does not please the varl. Remember what I said in the last episode?"
"v2NXfYYM4EU","Let's Play ""The Banner Saga""! Part 19 - Haukstorp","aulddragon","2014-04-25","2014-04-25","https://i.ytimg.com/vi/v2NXfYYM4EU/hqdefault.jpg","Let's Play ""The Banner Saga,"" a Norse-mythology inspired tactical RPG from Stoic!

Much needed supplies are not found in Haukstorp..."
