"Playlist URL","https://www.youtube.com/playlist?list=PL7EEF97998988A937"
"Playlist title","Let's Play X-Com: UFO Defense [Done]"
"Playlist author","aulddragon"
"Videos","61"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"XD2tTsQkU80","Let's Play ""X-Com: UFO Defense"" Part 01 - The Many Names of David Ryder Edition","aulddragon","2011-06-22","2011-06-22","https://i.ytimg.com/vi/XD2tTsQkU80/hqdefault.jpg","Let's Play X-Com: UFO Defense (a.k.a. UFO: Enemy Unknown)! I'm not doing anything special with this Let's Play, just having fun. I know how to win the game fast, but that's not my goal.

Any subscribers who wish to be X-Com operatives may do so by leaving a comment! Feel free to suggest more names in a similar vein to those I'm currently using, as well!

I'll be uploading these concurrently with my other LPs; so worry not about missing episodes of Secret of the Silver Blades!

Full Playlist for X-Com: UFO Defense: https://www.youtube.com/playlist?list=PL7EEF97998988A937

Team 1:
Slab Bulkhead
Fist Rockbone
Butch Deadlift
Bold Bigflank
Splint Chesthair
Flint Ironstag
Bolt Vanderhuge
Thick McRunfast
Frigid McTurndown
Stompy Von Asskick
Blast Hardcheese
Buff Drinklots
Trunk Slamchest

Not in Team 1:
Stump Beefknob
Smash Lampjaw
Vera Dangerous
Punch Rockgroin
Buck Plankchest
Stump Chunkman

KIA:
Fridge Largemeat
Punt Speedchunk

Total Operative Losses:
2"
"Z0mbbtbaNa0","Let's Play ""X-Com: UFO Defense"" Part 02 - Night Terrors!","aulddragon","2011-06-24","2011-06-24","https://i.ytimg.com/vi/Z0mbbtbaNa0/hqdefault.jpg","Let's Play X-Com: UFO Defense (a.k.a. UFO: Enemy Unknown)!

Our first Terror mission is fairly successful despite being at night. We have quickly come to realize that our normal weapons really aren't cutting it though.

Any subscribers who wish to be X-Com operatives may do so by leaving a comment! Feel free to suggest more names in a similar vein to those I'm currently using, as well!

Sorry about the length of this episode, I'll try to keep subsequent episodes at a more reasonable length.

Full Playlist for X-Com: UFO Defense: https://www.youtube.com/playlist?list=PL7EEF97998988A937

Team 1:
Captain Slab Bulkhead
Squaddie Larris Magpie
Sergeant Butch Deadlift
Squaddie Splint Chesthair
Squaddie Flint Ironstag
Squaddie Thick McRunfast
Squaddie Frigid McTurndown
Sergeant Buff Drinklots
Squaddie Trunk Slamchest

Not in Team 1:
Sergeant Fist Rockbone (Wounded)
Rookie Stump Beefknob
Rookie Smash Lampjaw
Rookie Vera Dangerous
Rookie Punch Rockgroin
Rookie Buck Plankchest
Rookie Stump Chunkman

KIA:
Rookie Blast Hardcheese
Rookie Bold Bigflank
Squaddie Bolt Vanderhuge
Rookie Stompy Von Asskick

Total Operative Losses:
6"
"2ANO5qrrCMQ","Let's Play ""X-Com: UFO Defense"" Part 03 - Frigid's heart chills permanently","aulddragon","2011-06-25","2011-06-25","https://i.ytimg.com/vi/2ANO5qrrCMQ/hqdefault.jpg","Let's Play X-Com: UFO Defense (a.k.a. UFO: Enemy Unknown)!

In this episode, we go to collect the remains of the ship we shot down before the mission in episode 2! And this time, the episode is a more reasonable length!

I recorded this on Thursday if you're wondering about the reference at the beginning.

Full Playlist for X-Com: UFO Defense: https://www.youtube.com/playlist?list=PL7EEF97998988A937

Team 1:
Captain Slab Bulkhead
Squaddie Larris Magpie
Sergeant Butch Deadlift
Squaddie Splint Chesthair
Squaddie Flint Ironstag
Squaddie Thick McRunfast
Sergeant Buff Drinklots
Squaddie Trunk Slamchest
Rookie Stump Beefknob
Rookie Smash Lampjaw
Rookie Vera Dangerous
Rookie Punch Rockgroin
Rookie Buck Plankchest
Rookie Stump Chunkman

Not in Team 1:
Sergeant Fist Rockbone (Wounded)
Rookie Christie Cannon
Rookie Foxy Miles
Rookie Dirk Hardpeck
Rookie Rip Steakface

KIA:
Squaddie Frigid McTurndown

Total Operative Losses:
7"
"KJTQq8qU-bc","Let's Play ""X-Com: UFO Defense"" Part 04 - Mountain Crash!","aulddragon","2011-06-25","2011-06-25","https://i.ytimg.com/vi/KJTQq8qU-bc/hqdefault.jpg","Let's Play X-Com: UFO Defense (a.k.a. UFO: Enemy Unknown)!

We shoot down another alien ship, which crashes in one of the rarest areas on the map, the mountains!  During the mission, subscriber-trooper Larris Magpie proves his worth!

Full Playlist for X-Com: UFO Defense: https://www.youtube.com/playlist?list=PL7EEF97998988A937

Team 1:
Captain Slab Bulkhead
Squaddie Larris Magpie
Sergeant Butch Deadlift
Squaddie Splint Chesthair
Squaddie Flint Ironstag
Squaddie Thick McRunfast
Sergeant Buff Drinklots
Sergeant Trunk Slamchest
Rookie Stump Beefknob
Rookie Smash Lampjaw
Rookie Vera Dangerous
Rookie Punch Rockgroin
Rookie Buck Plankchest
Rookie Stump Chunkman

Not in Team 1:
Sergeant Fist Rockbone (Wounded)
Rookie Christie Cannon
Rookie Foxy Miles
Rookie Dirk Hardpeck
Rookie Rip Steakface
Rookie Slate Slabrock

KIA:
None

Total Operative Losses:
7"
"o53Km_aSkoU","Let's Play ""X-Com: UFO Defense"" Part 05 - Mastering broadside-barn shooting","aulddragon","2011-06-25","2011-06-25","https://i.ytimg.com/vi/o53Km_aSkoU/hqdefault.jpg","Let's Play X-Com: UFO Defense (a.k.a. UFO: Enemy Unknown)!

This time we manage to down the smallest vessel, and Vera Dangerous proves her skill at shooting the broad side of a barn.

Full Playlist for X-Com: UFO Defense: https://www.youtube.com/playlist?list=PL7EEF97998988A937

Team 1:
Captain Slab Bulkhead
Squaddie Larris Magpie
Sergeant Butch Deadlift
Squaddie Splint Chesthair
Squaddie Flint Ironstag
Squaddie Thick McRunfast
Sergeant Buff Drinklots
Sergeant Trunk Slamchest
Rookie Stump Beefknob
Rookie Smash Lampjaw
Rookie Vera Dangerous
Rookie Punch Rockgroin
Rookie Buck Plankchest
Rookie Stump Chunkman

Not in Team 1:
Sergeant Fist Rockbone (Wounded)
Rookie Christie Cannon
Rookie Foxy Miles
Rookie Dirk Hardpeck
Rookie Rip Steakface
Rookie Slate Slabrock

KIA:
None

Total Operative Losses:
7"
"WBt7Aogf5Bc","Let's Play ""X-Com: UFO Defense"" Part 06 - Easing back into things","aulddragon","2011-07-07","2011-07-07","https://i.ytimg.com/vi/WBt7Aogf5Bc/hqdefault.jpg","Let's Play X-Com: UFO Defense (a.k.a. UFO: Enemy Unknown)!

An easy mission after returning from vacation, and I have a funny X-Com story to tell from the plane trip!

Full Playlist for X-Com: UFO Defense: https://www.youtube.com/playlist?list=PL7EEF97998988A937

Team 1:
Captain Slab Bulkhead
Squaddie Larris Magpie
Sergeant Butch Deadlift
Squaddie Splint Chesthair
Squaddie Flint Ironstag
Squaddie Thick McRunfast
Sergeant Buff Drinklots
Sergeant Trunk Slamchest
Rookie Stump Beefknob
Rookie Smash Lampjaw
Rookie Vera Dangerous
Rookie Punch Rockgroin
Rookie Buck Plankchest
Rookie Stump Chunkman

Not in Team 1:
Sergeant Fist Rockbone (Wounded)
Rookie Christie Cannon
Rookie Foxy Miles
Rookie Dirk Hardpeck
Rookie Rip Steakface
Rookie Slate Slabrock

KIA:
None

Total Operative Losses:
7"
"SMCTFiOERJ4","Let's Play ""X-Com: UFO Defense"" Part 07 - Terror in Berlin!","aulddragon","2011-07-07","2011-07-07","https://i.ytimg.com/vi/SMCTFiOERJ4/hqdefault.jpg","Let's Play X-Com: UFO Defense (a.k.a. UFO: Enemy Unknown)!

Sectoids terrorize Berlin, in hopes of fouling beer production! THIS CANNOT BE ALLOWED TO HAPPEN, EVEN IF WE ALMOST DOUBLE OUR CASUALTY COUNT!

Full Playlist for X-Com: UFO Defense: https://www.youtube.com/playlist?list=PL7EEF97998988A937

Team 1:
Captain Slab Bulkhead
Squaddie Larris Magpie
Squaddie Flint Ironstag
Squaddie Thick McRunfast
Sergeant Trunk Slamchest
Squaddie Stump Beefknob
Squaddie Punch Rockgroin

Not in Team 1:
Sergeant Fist Rockbone
Rookie Christie Cannon
Rookie Foxy Miles
Rookie Dirk Hardpeck
Rookie Rip Steakface
Rookie Slate Slabrock
Squaddie Vera Dangerous (Wounded)

KIA:
Sergeant Butch Deadlift
Squaddie Splint Chesthair
Sergeant Buff Drinklots
Rookie Smash Lampjaw
Rookie Buck Plankchest
Rookie Stump Chunkman

Total Operative Losses:
13"
"pZmPa8rifBs","Let's Play ""X-Com: UFO Defense"" Part 08 - Floaters hate Kiwis","aulddragon","2011-07-09","2011-07-09","https://i.ytimg.com/vi/pZmPa8rifBs/hqdefault.jpg","Let's Play X-Com: UFO Defense (a.k.a. UFO: Enemy Unknown)!

Floaters terrorize Wellington; I think they had small flightless birds or something. Luckily floaters are one of the easier enemies to combat; we still lose some cannon fodder, er, I mean valuable rookie troopers!

Full Playlist for X-Com: UFO Defense: https://www.youtube.com/playlist?list=PL7EEF97998988A937

Team 1:
Squaddie Larris Magpie
Squaddie Christie Cannon
Squaddie Whip Slagcheek
Squaddie Flint Ironstag
Squaddie Foxy Miles
Squaddie Thick McRunfast
Squaddie Slate Slabrock
Rookie Dirk Hardpeck
Sergeant Trunk Slamchest
Squaddie Stump Beefknob
Sergeant Punch Rockgroin
Rookie Cherry Stompenfoot

Not in Team 1:
Captain Slab Bulkhead
Sergeant Fist Rockbone
Rookie Punch Sideiron
Rookie Gristle McThornbody
Squaddie Vera Dangerous (Wounded)
Rookie Slake Fistcrunch

KIA:
Rookie Crud Bonemeal
Rookie Rip Steakface

Total Operative Losses:
15"
"0PtmjikNwBo","Let's Play ""X-Com: UFO Defense"" Part 09 - Swarmed by Floaters!!","aulddragon","2011-07-10","2011-07-10","https://i.ytimg.com/vi/0PtmjikNwBo/hqdefault.jpg","Let's Play X-Com: UFO Defense (a.k.a. UFO: Enemy Unknown)!

SUDDENLY, FLOATERS!  THOUSANDS OF THEM!
Well, okay, just four ships; however, it's one Very Large, two Larges, and a Small. I can't take them all on at once! It looks like they're all planning to make Alien Bases, too. We have to choose one, and we choose a Supply Ship.

Full Playlist for X-Com: UFO Defense: https://www.youtube.com/playlist?list=PL7EEF97998988A937

Team 1:
Squaddie Larris Magpie
Rookie Buff Hardback
Squaddie Whip Slagcheek
Squaddie Flint Ironstag
Squaddie Foxy Miles
Squaddie Thick McRunfast
Squaddie Slate Slabrock
Sergeant Trunk Slamchest
Squaddie Stump Beefknob
Sergeant Punch Rockgroin

Not in Team 1:
Captain Slab Bulkhead
Sergeant Fist Rockbone
Rookie Punch Sideiron
Rookie Gristle McThornbody
Rookie Slake Fistcrunch
Rookie Aurora Vengence

KIA:
Squaddie Christie Cannon
Rookie Dirk Hardpeck
Rookie Cherry Stompenfoot
Squaddie Vera Dangerous

Total Operative Losses:
19"
"cKy774NhZIs","Let's Play ""X-Com: UFO Defense"" Part 10 - Intercepting Supplies","aulddragon","2011-07-12","2011-07-12","https://i.ytimg.com/vi/cKy774NhZIs/hqdefault.jpg","Let's Play X-Com: UFO Defense (a.k.a. UFO: Enemy Unknown)!

We intercept another landed Supply Ship, and the battle goes a bit better than last time, but we still lose some troopers.

Full Playlist for X-Com: UFO Defense: https://www.youtube.com/playlist?list=PL7EEF97998988A937

Team 1:
Squaddie Larris Magpie
Rookie Buff Hardback
Squaddie Whip Slagcheek
Squaddie Flint Ironstag
Squaddie Foxy Miles
Squaddie Thick McRunfast
Squaddie Slate Slabrock
Sergeant Trunk Slamchest
Rookie Gristle McThornbody
Sergeant Punch Rockgroin
Rookie Slake Fistcrunch

Not in Team 1:
Captain Slab Bulkhead
Sergeant Fist Rockbone

KIA:
Rookie Aurora Vengence
Rookie Punch Sideiron
Squaddie Stump Beefknob

Total Operative Losses:
22"
"efojQKYxyVU","Let's Play ""X-Com: UFO Defense"" Part 11 - Not yet ready for that base...","aulddragon","2011-07-14","2011-07-14","https://i.ytimg.com/vi/efojQKYxyVU/hqdefault.jpg","Let's Play X-Com: UFO Defense (a.k.a. UFO: Enemy Unknown)!

Well, we're not quite ready to attack that floater base, so we get some new troops, and then shoot down and attack a large scout. BattleBunny shines in his first combat, and jumps past Larris in the ranks!  I hope there's no ""friendly fire"" over this...

Full Playlist for X-Com: UFO Defense: https://www.youtube.com/playlist?list=PL7EEF97998988A937

Team 1:
Squaddie Larris Magpie
Squaddie Buff Hardback
Squaddie Bob Johnson
Squaddie Flint Ironstag
Squaddie Foxy Miles
Squaddie Thick McRunfast
Squaddie Slate Slabrock
Rookie Blast Thickneck
Sergeant Battle Bunny
Sergeant Trunk Slamchest
Squaddie Gristle McThornbody
Rookie Sheena Swiftkick
Sergeant Punch Rockgroin
Rookie Shimmy Lithebody

Not in Team 1:
Captain Slab Bulkhead
Sergeant Fist Rockbone
Squaddie Whip Slagcheek (Wounded)
Rookie Crunch Buttsteak
Rookie Shiva McSlayn
Squaddie Slake Fistcrunch (Wounded)

KIA:
None

Total Operative Losses:
22"
"WuiKw0YIzi0","Let's Play ""X-Com: UFO Defense"" Part 12 - We Shoot Down a Terror Ship!","aulddragon","2011-07-16","2011-07-16","https://i.ytimg.com/vi/WuiKw0YIzi0/hqdefault.jpg","Let's Play X-Com: UFO Defense (a.k.a. UFO: Enemy Unknown)!

We manage to shoot down a Terror Ship! This is definitely a worthy mission to take on to prepare for our invasion of that alien base.

Full Playlist for X-Com: UFO Defense: https://www.youtube.com/playlist?list=PL7EEF97998988A937

Team 1:
Squaddie Larris Magpie
Squaddie Buff Hardback
Squaddie Bob Johnson
Squaddie Flint Ironstag
Squaddie Thick McRunfast
Squaddie Slate Slabrock
Squaddie Blast Thickneck
Sergeant Battle Bunny
Sergeant Trunk Slamchest
Squaddie Sheena Swiftkick
Sergeant Punch Rockgroin
Rookie Shimmy Lithebody

Not in Team 1:
Captain Slab Bulkhead
Sergeant Fist Rockbone
Squaddie Whip Slagcheek
Rookie Crunch Buttsteak
Rookie Shiva McSlayn
Squaddie Slake Fistcrunch

KIA:
Squaddie Foxy Miles
Squaddie Gristle McThornbody

Total Operative Losses:
24"
"NP9hX5PxB8Q","Let's Play ""X-Com: UFO Defense"" Part 13 - Lucky 13 Alien Base Attack!","aulddragon","2011-07-19","2011-07-18","https://i.ytimg.com/vi/NP9hX5PxB8Q/hqdefault.jpg","Let's Play X-Com: UFO Defense (a.k.a. UFO: Enemy Unknown)!

Our thirteenth video, and our first assault on an Alien Base!  Will we succeed? Or will we get completely slaughtered?  And will we get a commander? All these questions, and more, will be answered in this episode of Let's Play X-Com! (Sponsored in part by Lasers Inc. Lasers!  When you just want to fill those damn aliens full of lots of holes!)

Full Playlist for X-Com: UFO Defense: https://www.youtube.com/playlist?list=PL7EEF97998988A937

Team 1:
Squaddie Larris Magpie
Squaddie Buff Hardback
Squaddie Whip Slagcheek
Squaddie Flint Ironstag
Squaddie Thick McRunfast
Squaddie Blast Thickneck
Sergeant Battle Bunny
Rookie Crunch Buttsteak
Sergeant Trunk Slamchest
Squaddie Sheena Swiftkick
Sergeant Punch Rockgroin
Rookie Shimmy Lithebody

Not in Team 1:
Captain Slab Bulkhead
Sergeant Fist Rockbone
Rookie Shiva McSlayn
Squaddie Slake Fistcrunch

KIA:
Squaddie Bob Johnson
Squaddie Slate Slabrock

Total Operative Losses:
26"
"NKoMDaKCgDQ","Let's Play ""X-Com: UFO Defense"" Part 14 - Floater Terror?  Hardly.","aulddragon","2011-07-21","2011-07-21","https://i.ytimg.com/vi/NKoMDaKCgDQ/hqdefault.jpg","Let's Play X-Com: UFO Defense (a.k.a. UFO: Enemy Unknown)!

We shoot down another terrorship, and have a very successful mission, only losing an expendable rookie!

Full Playlist for X-Com: UFO Defense: https://www.youtube.com/playlist?list=PL7EEF97998988A937

Team 1:
Squaddie Larris Magpie
Squaddie Buff Hardback
Squaddie Whip Slagcheek
Squaddie Flint Ironstag
Squaddie Thick McRunfast
Rookie Troy McGreggor
Squaddie Blast Thickneck
Sergeant Battle Bunny
Sergeant Trunk Slamchest
Rookie Shiva McSlayn
Squaddie Sheena Swiftkick
Sergeant Punch Rockgroin
Rookie Shimmy Lithebody

Not in Team 1:
Captain Slab Bulkhead
Sergeant Fist Rockbone
Rookie Slab Squatthrust
Rookie Lump Beefbroth
Rookie Touch Rustrod
Squaddie Slake Fistcrunch

KIA:
Rookie Crunch Buttsteak

Total Operative Losses:
27"
