"Playlist URL","https://www.youtube.com/playlist?list=PL1Be_cMfHOEegFUGKZJRG1m0dHgv4kVow"
"Playlist title","Planescape: Torment Enhanced Edition [Done]"
"Playlist author","aulddragon"
"Videos","107"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"Sc4Nm2ePajk","Let's Play ""Planescape: Torment Enhanced Edition"" Part 000 - Introduction","aulddragon","2017-04-12","2017-04-11","https://i.ytimg.com/vi/Sc4Nm2ePajk/hqdefault.jpg","Planescape: Torment is a critically acclaimed RPG originally released in 1999 by Interplay, and remastered as an Enhanced Edition for modern systems by Beamdog. Planescape: Torment follows the Nameless One as he awakes in the Mortuary of Sigil, the city at the center of the Outer Planes, and attempts to figure out just who he is and how he got there.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEegFUGKZJRG1m0dHgv4kVow

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"iFmuqADQ-ec","Let's Play ""Planescape: Torment Enhanced Edition"" Part 001 - I'm Alive!","aulddragon","2017-04-12","2017-04-11","https://i.ytimg.com/vi/iFmuqADQ-ec/hqdefault.jpg","Planescape: Torment is a critically acclaimed RPG originally released in 1999 by Interplay, and remastered as an Enhanced Edition for modern systems by Beamdog. Planescape: Torment follows the Nameless One as he awakes in the Mortuary of Sigil, the city at the center of the Outer Planes, and attempts to figure out just who he is and how he got there.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEegFUGKZJRG1m0dHgv4kVow

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"QepZY4eTCDc","Let's Play ""Planescape: Torment Enhanced Edition"" Part 002 - Talkative Zombies","aulddragon","2017-04-12","2017-04-12","https://i.ytimg.com/vi/QepZY4eTCDc/hqdefault.jpg","Planescape: Torment is a critically acclaimed RPG originally released in 1999 by Interplay, and remastered as an Enhanced Edition for modern systems by Beamdog. Planescape: Torment follows the Nameless One as he awakes in the Mortuary of Sigil, the city at the center of the Outer Planes, and attempts to figure out just who he is and how he got there.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEegFUGKZJRG1m0dHgv4kVow

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"qNQwzR1ZD24","Let's Play ""Planescape: Torment Enhanced Edition"" Part 003 - Deionarra","aulddragon","2017-04-12","2017-04-12","https://i.ytimg.com/vi/qNQwzR1ZD24/hqdefault.jpg","Planescape: Torment is a critically acclaimed RPG originally released in 1999 by Interplay, and remastered as an Enhanced Edition for modern systems by Beamdog. Planescape: Torment follows the Nameless One as he awakes in the Mortuary of Sigil, the city at the center of the Outer Planes, and attempts to figure out just who he is and how he got there.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEegFUGKZJRG1m0dHgv4kVow

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"5mrLDB4_9UA","Let's Play ""Planescape: Torment Enhanced Edition"" Part 004 - Into the Hive","aulddragon","2017-04-12","2017-04-13","https://i.ytimg.com/vi/5mrLDB4_9UA/hqdefault.jpg","Planescape: Torment is a critically acclaimed RPG originally released in 1999 by Interplay, and remastered as an Enhanced Edition for modern systems by Beamdog. Planescape: Torment follows the Nameless One as he awakes in the Mortuary of Sigil, the city at the center of the Outer Planes, and attempts to figure out just who he is and how he got there.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEegFUGKZJRG1m0dHgv4kVow

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"7eQKJzpY9bU","Let's Play ""Planescape: Torment Enhanced Edition"" Part 005 - Talkin' In The Streets","aulddragon","2017-04-12","2017-04-14","https://i.ytimg.com/vi/7eQKJzpY9bU/hqdefault.jpg","Planescape: Torment is a critically acclaimed RPG originally released in 1999 by Interplay, and remastered as an Enhanced Edition for modern systems by Beamdog. Planescape: Torment follows the Nameless One as he awakes in the Mortuary of Sigil, the city at the center of the Outer Planes, and attempts to figure out just who he is and how he got there.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEegFUGKZJRG1m0dHgv4kVow

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"2vd2JUORr_E","Let's Play ""Planescape: Torment Enhanced Edition"" Part 006 - Getting Sidequests","aulddragon","2017-04-12","2017-04-15","https://i.ytimg.com/vi/2vd2JUORr_E/hqdefault.jpg","Planescape: Torment is a critically acclaimed RPG originally released in 1999 by Interplay, and remastered as an Enhanced Edition for modern systems by Beamdog. Planescape: Torment follows the Nameless One as he awakes in the Mortuary of Sigil, the city at the center of the Outer Planes, and attempts to figure out just who he is and how he got there.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEegFUGKZJRG1m0dHgv4kVow

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"P5L-4Bzx1tM","Let's Play ""Planescape: Torment Enhanced Edition"" Part 007 - Discussing Dustmen","aulddragon","2017-04-12","2017-04-16","https://i.ytimg.com/vi/P5L-4Bzx1tM/hqdefault.jpg","Planescape: Torment is a critically acclaimed RPG originally released in 1999 by Interplay, and remastered as an Enhanced Edition for modern systems by Beamdog. Planescape: Torment follows the Nameless One as he awakes in the Mortuary of Sigil, the city at the center of the Outer Planes, and attempts to figure out just who he is and how he got there.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEegFUGKZJRG1m0dHgv4kVow

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"IDxJjbuVXr0","Let's Play ""Planescape: Torment Enhanced Edition"" Part 008 - Pummeling Thugs","aulddragon","2017-04-17","2017-04-17","https://i.ytimg.com/vi/IDxJjbuVXr0/hqdefault.jpg","Planescape: Torment is a critically acclaimed RPG originally released in 1999 by Interplay, and remastered as an Enhanced Edition for modern systems by Beamdog. Planescape: Torment follows the Nameless One as he awakes in the Mortuary of Sigil, the city at the center of the Outer Planes, and attempts to figure out just who he is and how he got there.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEegFUGKZJRG1m0dHgv4kVow

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"Devh2sx81Dg","Let's Play ""Planescape: Torment Enhanced Edition"" Part 009 - Bartertown","aulddragon","2017-04-17","2017-04-18","https://i.ytimg.com/vi/Devh2sx81Dg/hqdefault.jpg","Planescape: Torment is a critically acclaimed RPG originally released in 1999 by Interplay, and remastered as an Enhanced Edition for modern systems by Beamdog. Planescape: Torment follows the Nameless One as he awakes in the Mortuary of Sigil, the city at the center of the Outer Planes, and attempts to figure out just who he is and how he got there.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEegFUGKZJRG1m0dHgv4kVow

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon:
https://www.patreon.com/AuldDragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
