"Playlist URL","https://www.youtube.com/playlist?list=PL1Be_cMfHOEcFbSEb_oHCYj0wQvWQglOC"
"Playlist title","Stellaris: Federations [Done]"
"Playlist author","aulddragon"
"Videos","87"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"of0PbA_w8aw","Stellaris: Federations — Part 1 - Rising From The Past","aulddragon","2020-03-16","2020-03-16","https://i.ytimg.com/vi/of0PbA_w8aw/hqdefault.jpg","Millenia after our heyday ruling the galaxy, it is time to return to the galactic stage with the Remnant Origin in the new Federations expansion for Stellaris!

Stellaris: Federations, which was provided to me early by Paradox, is due out on March 17th.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcFbSEb_oHCYj0wQvWQglOC

---------------------------------------------

Past Stellaris Playlists:
Empire of Dragonia: http://27VSjhk
The R'hoch Clans w/Zerfall: http://bit.ly/2avQIGq
Stellaris: Leviathans: http://bit.ly/2ecxsV9
Stellaris: Utopia: The Flesh is Weak: http://bit.ly/2nZUoJZ
Stellaris: Utopia: Agrarian Idyll: http://bit.ly/2sYDWgC
Stellaris: Synthetic Dawn: http://bit.ly/2yiUmzm
Stellaris: Apocalypse: http://bit.ly/2ohnZwD
Stellaris: Distant Stars: http://bit.ly/2rWWwD6

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon or Ko-fi:
https://www.patreon.com/AuldDragon
https://ko-fi.com/aulddragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"iS-odVXcZlQ","Stellaris: Federations — Part 2 - Old Colony","aulddragon","2020-03-16","2020-03-17","https://i.ytimg.com/vi/iS-odVXcZlQ/hqdefault.jpg","Millenia after our heyday ruling the galaxy, it is time to return to the galactic stage with the Remnant Origin in the new Federations expansion for Stellaris!

Stellaris: Federations, which was provided to me early by Paradox, is due out on March 17th.

---------------------------------------------

The series is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEcFbSEb_oHCYj0wQvWQglOC

---------------------------------------------

Past Stellaris Playlists:
Empire of Dragonia: http://27VSjhk
The R'hoch Clans w/Zerfall: http://bit.ly/2avQIGq
Stellaris: Leviathans: http://bit.ly/2ecxsV9
Stellaris: Utopia: The Flesh is Weak: http://bit.ly/2nZUoJZ
Stellaris: Utopia: Agrarian Idyll: http://bit.ly/2sYDWgC
Stellaris: Synthetic Dawn: http://bit.ly/2yiUmzm
Stellaris: Apocalypse: http://bit.ly/2ohnZwD
Stellaris: Distant Stars: http://bit.ly/2rWWwD6

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon or Ko-fi:
https://www.patreon.com/AuldDragon
https://ko-fi.com/aulddragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"1csEoayLrIM","Stellaris: Federations — Part 3 - A New Neighbor","aulddragon","2020-03-17","2020-03-17","https://i.ytimg.com/vi/1csEoayLrIM/hqdefault.jpg","Millennia after our heyday ruling the galaxy, it is time to return to the galactic stage with the Remnant Origin in the new Federations expansion for Stellaris!

Stellaris: Federations, which was provided to me early by Paradox, is due out on March 17th.

---------------------------------------------

The series is best viewed from the playlist:
http://bit.ly/2wYj6Rt

---------------------------------------------

Past Stellaris Playlists:
Empire of Dragonia: http://27VSjhk
The R'hoch Clans w/Zerfall: http://bit.ly/2avQIGq
Stellaris: Leviathans: http://bit.ly/2ecxsV9
Stellaris: Utopia: The Flesh is Weak: http://bit.ly/2nZUoJZ
Stellaris: Utopia: Agrarian Idyll: http://bit.ly/2sYDWgC
Stellaris: Synthetic Dawn: http://bit.ly/2yiUmzm
Stellaris: Apocalypse: http://bit.ly/2ohnZwD
Stellaris: Distant Stars: http://bit.ly/2rWWwD6
Stellaris: Megacorp: http://bit.ly/2BGGpiD

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon or Ko-fi:
https://www.patreon.com/AuldDragon
https://ko-fi.com/aulddragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"Ihisfo2VktI","Stellaris: Federations — Part 4 - What a Cherk","aulddragon","2020-03-17","2020-03-17","https://i.ytimg.com/vi/Ihisfo2VktI/hqdefault.jpg","Millennia after our heyday ruling the galaxy, it is time to return to the galactic stage with the Remnant Origin in the new Federations expansion for Stellaris!

Stellaris: Federations, which was provided to me early by Paradox, is due out on March 17th.

---------------------------------------------

The series is best viewed from the playlist:
http://bit.ly/2wYj6Rt

---------------------------------------------

Past Stellaris Playlists:
Empire of Dragonia: http://27VSjhk
The R'hoch Clans w/Zerfall: http://bit.ly/2avQIGq
Stellaris: Leviathans: http://bit.ly/2ecxsV9
Stellaris: Utopia: The Flesh is Weak: http://bit.ly/2nZUoJZ
Stellaris: Utopia: Agrarian Idyll: http://bit.ly/2sYDWgC
Stellaris: Synthetic Dawn: http://bit.ly/2yiUmzm
Stellaris: Apocalypse: http://bit.ly/2ohnZwD
Stellaris: Distant Stars: http://bit.ly/2rWWwD6
Stellaris: Megacorp: http://bit.ly/2BGGpiD

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon or Ko-fi:
https://www.patreon.com/AuldDragon
https://ko-fi.com/aulddragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"3Ey0h3G5rho","Stellaris: Federations — Part 5 - Rubricator","aulddragon","2020-03-17","2020-03-18","https://i.ytimg.com/vi/3Ey0h3G5rho/hqdefault.jpg","Millennia after our heyday ruling the galaxy, it is time to return to the galactic stage with the Remnant Origin in the new Federations expansion for Stellaris!

Stellaris: Federations, which was provided to me early by Paradox, is due out on March 17th.

---------------------------------------------

The series is best viewed from the playlist:
http://bit.ly/2wYj6Rt

---------------------------------------------

Past Stellaris Playlists:
Empire of Dragonia: http://27VSjhk
The R'hoch Clans w/Zerfall: http://bit.ly/2avQIGq
Stellaris: Leviathans: http://bit.ly/2ecxsV9
Stellaris: Utopia: The Flesh is Weak: http://bit.ly/2nZUoJZ
Stellaris: Utopia: Agrarian Idyll: http://bit.ly/2sYDWgC
Stellaris: Synthetic Dawn: http://bit.ly/2yiUmzm
Stellaris: Apocalypse: http://bit.ly/2ohnZwD
Stellaris: Distant Stars: http://bit.ly/2rWWwD6
Stellaris: Megacorp: http://bit.ly/2BGGpiD

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon or Ko-fi:
https://www.patreon.com/AuldDragon
https://ko-fi.com/aulddragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"aeTBTgvmLn0","Stellaris: Federations — Part 6 - Hostile Surroundings","aulddragon","2020-03-17","2020-03-19","https://i.ytimg.com/vi/aeTBTgvmLn0/hqdefault.jpg","Millennia after our heyday ruling the galaxy, it is time to return to the galactic stage with the Remnant Origin in the new Federations expansion for Stellaris!

Stellaris: Federations, which was provided to me early by Paradox, is due out on March 17th.

---------------------------------------------

The series is best viewed from the playlist:
http://bit.ly/2wYj6Rt

---------------------------------------------

Past Stellaris Playlists:
Empire of Dragonia: http://27VSjhk
The R'hoch Clans w/Zerfall: http://bit.ly/2avQIGq
Stellaris: Leviathans: http://bit.ly/2ecxsV9
Stellaris: Utopia: The Flesh is Weak: http://bit.ly/2nZUoJZ
Stellaris: Utopia: Agrarian Idyll: http://bit.ly/2sYDWgC
Stellaris: Synthetic Dawn: http://bit.ly/2yiUmzm
Stellaris: Apocalypse: http://bit.ly/2ohnZwD
Stellaris: Distant Stars: http://bit.ly/2rWWwD6
Stellaris: Megacorp: http://bit.ly/2BGGpiD

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon or Ko-fi:
https://www.patreon.com/AuldDragon
https://ko-fi.com/aulddragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"IwQM81aEGak","Stellaris: Federations — Part 7 - Keep Off the Grass","aulddragon","2020-03-17","2020-03-20","https://i.ytimg.com/vi/IwQM81aEGak/hqdefault.jpg","Millennia after our heyday ruling the galaxy, it is time to return to the galactic stage with the Remnant Origin in the new Federations expansion for Stellaris!

Stellaris: Federations, which was provided to me early by Paradox, is due out on March 17th.

---------------------------------------------

The series is best viewed from the playlist:
http://bit.ly/2wYj6Rt

---------------------------------------------

Past Stellaris Playlists:
Empire of Dragonia: http://27VSjhk
The R'hoch Clans w/Zerfall: http://bit.ly/2avQIGq
Stellaris: Leviathans: http://bit.ly/2ecxsV9
Stellaris: Utopia: The Flesh is Weak: http://bit.ly/2nZUoJZ
Stellaris: Utopia: Agrarian Idyll: http://bit.ly/2sYDWgC
Stellaris: Synthetic Dawn: http://bit.ly/2yiUmzm
Stellaris: Apocalypse: http://bit.ly/2ohnZwD
Stellaris: Distant Stars: http://bit.ly/2rWWwD6
Stellaris: Megacorp: http://bit.ly/2BGGpiD

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon or Ko-fi:
https://www.patreon.com/AuldDragon
https://ko-fi.com/aulddragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"lI03hZbmpw8","Stellaris: Federations — Part 8 - A Unique Metal","aulddragon","2020-03-20","2020-03-21","https://i.ytimg.com/vi/lI03hZbmpw8/hqdefault.jpg","Millennia after our heyday ruling the galaxy, it is time to return to the galactic stage with the Remnant Origin in the new Federations expansion for Stellaris!

Stellaris: Federations, which was provided to me early by Paradox, is due out on March 17th.

---------------------------------------------

The series is best viewed from the playlist:
http://bit.ly/2wYj6Rt

---------------------------------------------

Past Stellaris Playlists:
Empire of Dragonia: http://27VSjhk
The R'hoch Clans w/Zerfall: http://bit.ly/2avQIGq
Stellaris: Leviathans: http://bit.ly/2ecxsV9
Stellaris: Utopia: The Flesh is Weak: http://bit.ly/2nZUoJZ
Stellaris: Utopia: Agrarian Idyll: http://bit.ly/2sYDWgC
Stellaris: Synthetic Dawn: http://bit.ly/2yiUmzm
Stellaris: Apocalypse: http://bit.ly/2ohnZwD
Stellaris: Distant Stars: http://bit.ly/2rWWwD6
Stellaris: Megacorp: http://bit.ly/2BGGpiD

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon or Ko-fi:
https://www.patreon.com/AuldDragon
https://ko-fi.com/aulddragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"H0MNl-OfXlk","Stellaris: Federations — Part 9 - Familiar Shrines","aulddragon","2020-03-20","2020-03-22","https://i.ytimg.com/vi/H0MNl-OfXlk/hqdefault.jpg","Millennia after our heyday ruling the galaxy, it is time to return to the galactic stage with the Remnant Origin in the new Federations expansion for Stellaris!

Stellaris: Federations, which was provided to me early by Paradox, is due out on March 17th.

---------------------------------------------

The series is best viewed from the playlist:
http://bit.ly/2wYj6Rt

---------------------------------------------

Past Stellaris Playlists:
Empire of Dragonia: http://27VSjhk
The R'hoch Clans w/Zerfall: http://bit.ly/2avQIGq
Stellaris: Leviathans: http://bit.ly/2ecxsV9
Stellaris: Utopia: The Flesh is Weak: http://bit.ly/2nZUoJZ
Stellaris: Utopia: Agrarian Idyll: http://bit.ly/2sYDWgC
Stellaris: Synthetic Dawn: http://bit.ly/2yiUmzm
Stellaris: Apocalypse: http://bit.ly/2ohnZwD
Stellaris: Distant Stars: http://bit.ly/2rWWwD6
Stellaris: Megacorp: http://bit.ly/2BGGpiD

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon or Ko-fi:
https://www.patreon.com/AuldDragon
https://ko-fi.com/aulddragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"JFjynYeIC4w","Stellaris: Federations — Part 10 - Adopting an AI","aulddragon","2020-03-20","2020-03-23","https://i.ytimg.com/vi/JFjynYeIC4w/hqdefault.jpg","Millennia after our heyday ruling the galaxy, it is time to return to the galactic stage with the Remnant Origin in the new Federations expansion for Stellaris!

Stellaris: Federations, which was provided to me early by Paradox, is due out on March 17th.

---------------------------------------------

The series is best viewed from the playlist:
http://bit.ly/2wYj6Rt

---------------------------------------------

Past Stellaris Playlists:
Empire of Dragonia: http://27VSjhk
The R'hoch Clans w/Zerfall: http://bit.ly/2avQIGq
Stellaris: Leviathans: http://bit.ly/2ecxsV9
Stellaris: Utopia: The Flesh is Weak: http://bit.ly/2nZUoJZ
Stellaris: Utopia: Agrarian Idyll: http://bit.ly/2sYDWgC
Stellaris: Synthetic Dawn: http://bit.ly/2yiUmzm
Stellaris: Apocalypse: http://bit.ly/2ohnZwD
Stellaris: Distant Stars: http://bit.ly/2rWWwD6
Stellaris: Megacorp: http://bit.ly/2BGGpiD

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon or Ko-fi:
https://www.patreon.com/AuldDragon
https://ko-fi.com/aulddragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
