"Playlist URL","https://www.youtube.com/playlist?list=PL1Be_cMfHOEeMYbc4Vf17YDAd7FLvnMQq"
"Playlist title","The Darkside Detective Season 2: A Fumble in the Dark [DONE]"
"Playlist author","aulddragon"
"Videos","47"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"fCK2c7y5aOg","Darkside Detective Season 2: A Fumble in the Dark — Part 1 - Little Lost Partner","aulddragon","2021-04-28","2021-04-29","https://i.ytimg.com/vi/fCK2c7y5aOg/hqdefault.jpg","Welcome back to The Darkside Detective, with Season 2: A Fumble in the Dark! Re return to find Detective McQueen continuing to search for his best friend and partner Officer Patrick Dooley, who vanished at the end of Season 1. With the help of Inspooktor Extraordinaire Raxa, can we find him, and get back to helping Twin Lakes with its Darkside problems?

---------------------------------------------

The Darkside Detective Season 2: A Fumble in the Dark is best viewed from the playlist:

https://www.youtube.com/playlist?list=PL1Be_cMfHOEeMYbc4Vf17YDAd7FLvnMQq


Revisit the original cases from The Darkside Detective:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdcnv9w-SB7zbZ8T6NS8X2j

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon or Ko-fi:
https://www.patreon.com/AuldDragon
https://ko-fi.com/aulddragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"jWN54AYYF1k","Darkside Detective S2 — Part 2 - Aww, Nuts","aulddragon","2021-04-28","2021-04-30","https://i.ytimg.com/vi/jWN54AYYF1k/hqdefault.jpg","Well, let's see if we can help out Dick Brickman with his numerically inclined squirrel.

---------------------------------------------

The Darkside Detective Season 2: A Fumble in the Dark is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEeMYbc4Vf17YDAd7FLvnMQq

Revisit the original cases from The Darkside Detective:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdcnv9w-SB7zbZ8T6NS8X2j

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon or Ko-fi:
https://www.patreon.com/AuldDragon
https://ko-fi.com/aulddragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"uiVkaHKDFT8","Darkside Detective S2 — Part 3 - Detective About Town","aulddragon","2021-04-28","2021-05-01","https://i.ytimg.com/vi/uiVkaHKDFT8/hqdefault.jpg","C'mon Raxa, there are things about town we need to gather! Don't let the statuary outside Yog-Sothothoby's bother you, though.

---------------------------------------------

The Darkside Detective Season 2: A Fumble in the Dark is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEeMYbc4Vf17YDAd7FLvnMQq

Revisit the original cases from The Darkside Detective:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdcnv9w-SB7zbZ8T6NS8X2j

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon or Ko-fi:
https://www.patreon.com/AuldDragon
https://ko-fi.com/aulddragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"68E8DxMlOcE","Darkside Detective S2 — Part 4 - Moist, Delicious Cookies","aulddragon","2021-04-28","2021-05-02","https://i.ytimg.com/vi/68E8DxMlOcE/hqdefault.jpg","Mmmm, so moist and delicious! These Sea Hag cookies have such a strange allure to them!

---------------------------------------------

The Darkside Detective Season 2: A Fumble in the Dark is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEeMYbc4Vf17YDAd7FLvnMQq

Revisit the original cases from The Darkside Detective:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdcnv9w-SB7zbZ8T6NS8X2j

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon or Ko-fi:
https://www.patreon.com/AuldDragon
https://ko-fi.com/aulddragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"vkNktmshAQE","Darkside Detective S2 — Part 5 - Squirrelling Around","aulddragon","2021-04-29","2021-05-03","https://i.ytimg.com/vi/vkNktmshAQE/hqdefault.jpg","Only Merl the Squirrel can help us now!

---------------------------------------------

The Darkside Detective Season 2: A Fumble in the Dark is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEeMYbc4Vf17YDAd7FLvnMQq

Revisit the original cases from The Darkside Detective:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdcnv9w-SB7zbZ8T6NS8X2j

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon or Ko-fi:
https://www.patreon.com/AuldDragon
https://ko-fi.com/aulddragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"xiOa_HZpSL8","Darkside Detective S2 — Part 6 - Sweet Sabotage","aulddragon","2021-04-29","2021-05-04","https://i.ytimg.com/vi/xiOa_HZpSL8/hqdefault.jpg","Well, let's find out just what the Sea Hags are up to back here...

---------------------------------------------

The Darkside Detective Season 2: A Fumble in the Dark is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEeMYbc4Vf17YDAd7FLvnMQq

Revisit the original cases from The Darkside Detective:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdcnv9w-SB7zbZ8T6NS8X2j

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon or Ko-fi:
https://www.patreon.com/AuldDragon
https://ko-fi.com/aulddragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"M3Nk8BZ4Gac","Darkside Detective S2 — Part 7 - Dialing the Other Side","aulddragon","2021-04-29","2021-05-05","https://i.ytimg.com/vi/M3Nk8BZ4Gac/hqdefault.jpg","Raxa, you have some explaining when this is all over...

---------------------------------------------

The Darkside Detective Season 2: A Fumble in the Dark is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEeMYbc4Vf17YDAd7FLvnMQq

Revisit the original cases from The Darkside Detective:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdcnv9w-SB7zbZ8T6NS8X2j

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon or Ko-fi:
https://www.patreon.com/AuldDragon
https://ko-fi.com/aulddragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"Z5ne0dgMYKI","Darkside Detective S2 — Part 8 - Process of Elimination","aulddragon","2021-05-05","2021-05-06","https://i.ytimg.com/vi/Z5ne0dgMYKI/hqdefault.jpg","Now we just need to narrow down where Dooley is, and we can bring him back!

---------------------------------------------

The Darkside Detective Season 2: A Fumble in the Dark is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEeMYbc4Vf17YDAd7FLvnMQq

Revisit the original cases from The Darkside Detective:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdcnv9w-SB7zbZ8T6NS8X2j

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon or Ko-fi:
https://www.patreon.com/AuldDragon
https://ko-fi.com/aulddragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"2ccWcHJJZ3U","Darkside Detective S2 — Part 9 - Retirees Gone Wild","aulddragon","2021-05-05","2021-05-07","https://i.ytimg.com/vi/2ccWcHJJZ3U/hqdefault.jpg","WOOO, PARTY AT THE OLD FOLKS' HOME!

---------------------------------------------

The Darkside Detective Season 2: A Fumble in the Dark is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEeMYbc4Vf17YDAd7FLvnMQq

Revisit the original cases from The Darkside Detective:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdcnv9w-SB7zbZ8T6NS8X2j

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon or Ko-fi:
https://www.patreon.com/AuldDragon
https://ko-fi.com/aulddragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
"_10y56kXL7Y","Darkside Detective S2 — Part 10 - Setting Up for a Soak","aulddragon","2021-05-05","2021-05-08","https://i.ytimg.com/vi/_10y56kXL7Y/hqdefault.jpg","It's time these old folks got wet.

---------------------------------------------

The Darkside Detective Season 2: A Fumble in the Dark is best viewed from the playlist:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEeMYbc4Vf17YDAd7FLvnMQq

Revisit the original cases from The Darkside Detective:
https://www.youtube.com/playlist?list=PL1Be_cMfHOEdcnv9w-SB7zbZ8T6NS8X2j

---------------------------------------------

Enjoying the series? Please consider leaving a like and/or a comment, as that helps the video return higher in search results. Want to help more directly? Consider supporting me on Patreon or Ko-fi:
https://www.patreon.com/AuldDragon
https://ko-fi.com/aulddragon

Twitter:  http://twitter.com/AuldDragon
Facebook:  http://www.facebook.com/AuldDragon
Discord:  http://discord.gg/dmVenBA"
