"Playlist URL","https://www.youtube.com/playlist?list=PLLUxIGUvOzFYwKg0eqkl468lERdIoczjb"
"Playlist title","anime"
"Playlist author","John Grey"
"Videos","17"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"8xFZgPclu3c","Why You Should Watch/ Read Jojos Bizarre Adventure: Diamond Is Unbreakable","Super Eyepatch Wolf","2023-10-14","2017-12-23","https://i.ytimg.com/vi/8xFZgPclu3c/hqdefault.jpg","Correction:
That Rohan section is completely inaccurate, Rohan is actually YOUNGER in the side more comic than he is in the main story of part 4, meaning that the point I was trying to make there is invalid.
There’s actually a really good wave motion article about it that gets it right:

https://wavemotioncannon.com/2016/09/07/hirohiko-araki-a-bizarre-authors-profile/rohan/

Apologies for the misinformation.

The Long Awaited Why You Should Watch Jojos Bizarre Adventure Part 4: Diamond is Unbreakable

Patreon:https://www.patreon.com/Supereyepatchwolf

Lets Fight a Boss Podcast:

Itunes: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2
Sound Cloud: https://soundcloud.com/letsfightaboss
Youtube: https://www.youtube.com/channel/UCawXJIKUj2o_tFPMZ4xiXBw

Twitter: https://twitter.com/EyePatchWolf
Instagram: https://www.instagram.com/super_eyepatch_wolf/


Sources:
Many Different pieces of info:
Manga in Theory and Practice: The Craft of Creating Manga - Hirohiko Araki

Great article from wave motion on Araki/ Rohan:
https://wavemotioncannon.com/2016/09/07/hirohiko-araki-a-bizarre-authors-profile/

Song List:

Crazy Noisy Bizarre World - Jojos Bizarre Adventure Op 1
Tranquility - 999 OST
Hidden Malice- Jojo Part 4 OST
King, Queen and Slave, Persona 5 OST
Showtime- Va-11-hall-a OST
Kyouki no Koi- Jojo Part 4 OST
Another Face, Same Mind - Jojo Part 4 OST
Childs Mind - Kaiji OST"
"lgIuhkG63_s","Why You Should Watch Jo Jos Bizarre Adventure  (Part 1)","Super Eyepatch Wolf","2023-10-14","2016-04-02","https://i.ytimg.com/vi/lgIuhkG63_s/hqdefault.jpg","PATREON:
https://www.patreon.com/Supereyepatchwolf

Instagram: https://www.instagram.com/super_eyepatch_wolf/

Twitter: @eyepatchwolf

 https://twitter.com/EyePatchWolf

Podcast: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2"
"SJTbNiFcbzg","Why you Should Watch: Jojos Bizarre Adventure Part 2: Battle Tendancy","Super Eyepatch Wolf","2023-10-14","2016-07-10","https://i.ytimg.com/vi/SJTbNiFcbzg/hqdefault.jpg","PATREON:
 https://www.patreon.com/Supereyepatchwolf

Instagram: https://www.instagram.com/super_eyepatch_wolf/

TWITTER:
https://twitter.com/EyePatchWolf

Lets Fight a Boss Podcast:
https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2

Spoilers are 22:37- 26:10"
"ZDeyXHpe428","Why You Should Watch Jojos Bizarre Adventure: Stardust Crusaders","Super Eyepatch Wolf","2023-10-14","2016-12-23","https://i.ytimg.com/vi/ZDeyXHpe428/hqdefault.jpg","PATREON:
https://www.patreon.com/Supereyepatchwolf

TWITTER: https://twitter.com/EyePatchWolf
Instagram: https://www.instagram.com/super_eyepatch_wolf/

LETS FIGHT A BOSS GAME OF THE YEAR:

Itunes:
https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2

You tube:
https://www.youtube.com/watch?v=Q2vHHI61mP4

Sound Cloud:
https://soundcloud.com/letsfightaboss/ep-39-game-of-the-year-battle-of-hopes-and-dreams

SONGS:

Stand Proud- Jojos Part 3 ost
Inner Shrine- Tekken 4 ost
DLZ- Tv on the Radio
The Plot lurking in the Mist-  Jojos Part 3 ost
Imminence-  Jojos Part 3 ost
Noble Pope- Jojos Part 3 ost"
"tEDhWT2hmr8","Why You Should Watch Jojos Bizarre Adventure Part 5: Golden Wind","Super Eyepatch Wolf","2023-10-14","2019-11-23","https://i.ytimg.com/vi/tEDhWT2hmr8/hqdefault.jpg","We're talking Jojo's Bizarre Adventure Part 5 Golden Wind, our beautiful boy Giorno, Bruno, and MAYBE just maybe, explain how King Crimson Works.

Patreon: https://www.patreon.com/Supereyepatchwolf
Tshirts: https://www.fangamer.com/collections/super-eyepatch-wolf
Twitch: https://www.twitch.tv/supereyepatchwolf
Twitter: https://twitter.com/EyePatchWolf
Insta: https://www.instagram.com/super_eyepatch_wolf/

Voices From:
Woolie Vs - https://www.youtube.com/channel/UCyOJzQzyDGihKpTO3-zyhYg
Red Bard - https://www.youtube.com/channel/UCQuZgTeDkLjVdsO6Ahg9Qjw
Falldogs - https://twitter.com/falldogs
Foxcade - https://www.youtube.com/channel/UCOgYxEFQIVkmo4865ap0Zbw
The Sphere Hunter - https://www.youtube.com/channel/UCJhsl2VeLfSXzkutwlICyZw

Lets Fight a Boss Podcast:

Itunes: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2
Sound Cloud: https://soundcloud.com/letsfightaboss
Youtube: https://www.youtube.com/channel/UCawXJIKUj2o_tFPMZ4xiXBw

Song List:

https://imgur.com/a/PMZ5JVf"
"hVYzc2Xpup0","The Manga That Breaks People","Super Eyepatch Wolf","2023-10-14","2020-05-31","https://i.ytimg.com/vi/hVYzc2Xpup0/hqdefault.jpg","Here’s a video on the heart warming story of a mother and son and their inspirational journey to over come adversity.

Patreon: https://www.patreon.com/Supereyepatchwolf
Tshirts: https://www.fangamer.com/collections/super-eyepatch-wolf
Twitch: https://www.twitch.tv/supereyepatchwolf

Lets Fight a Boss Podcast:

Itunes:
https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2
Sound Cloud: https://soundcloud.com/letsfightaboss
Youtube: https://www.youtube.com/channel/UCawXJIKUj2o_tFPMZ4xiXBw

Other Super Eyepatch Wolf stuff

Instagram: https://www.instagram.com/super_eyepatch_wolf/
Twitter: https://twitter.com/EyePatchWolf

Sources:
https://www.eiagroup.com/facial-expressions-explored/

https://www.smithsonianmag.com/science-nature/the-enchanting-sea-monsters-on-medieval-maps-1805646/

Why Horror Sedueces- by Mathias Clasen (Book)


Song List:

https://imgur.com/a/2pkjg8n"
"UsCflZqDtCw","The Insanity of Gantz and Why You Should Care","Super Eyepatch Wolf","2023-10-14","2019-09-29","https://i.ytimg.com/vi/UsCflZqDtCw/hqdefault.jpg","From Hiroya Oku, the guy who made Inuyashiki, Gantz is a really weird series and I’m gonna talk about it now.

Patreon: https://www.patreon.com/Supereyepatchwolf
Tshirts: https://www.fangamer.com/collections/super-eyepatch-wolf

Lets Fight a Boss Podcast:

Itunes: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2
Sound Cloud: https://soundcloud.com/letsfightaboss
Youtube: https://www.youtube.com/channel/UCawXJIKUj2o_tFPMZ4xiXBw

Other Super Eyepatch Wolf stuff

Instagram: https://www.instagram.com/super_eyepatch_wolf/
Twitter: https://twitter.com/EyePatchWolf
Twitch: https://www.twitch.tv/supereyepatchwolf

Sources:
https://kodanshacomics.com/2017/11/27/hiroya-oku-interview/
https://kodanshacomics.com/2016/02/23/hiroya-oku-interview-part-1/
https://www.youtube.com/watch?v=gJH2fjr2MhY
https://gigazine.net/gsc_news/en/20161006-gantz-o-hiroya-oku-interview
https://otakumode.com/news/52eae86f35ba15077f00022f/An-Exclusive-Interview-with-Hiroya-Oku%E2%80%9CPleasure-to-meet-you-EVENING!%E2%80%9D
https://mangabrog.wordpress.com/2014/07/13/hiroya-oku-on-gantz/

Song List:
https://imgur.com/a/ldWepWr"
"8er83V2OJ1o","The Bizarre Modern Reality of The Simpsons","Super Eyepatch Wolf","2023-10-14","2019-08-17","https://i.ytimg.com/vi/8er83V2OJ1o/hqdefault.jpg","Here is a video where I argue passionately about Simpsons Memes. Enjoy.

Patreon: https://www.patreon.com/Supereyepatchwolf
My previous video on The Simpsons: https://www.youtube.com/watch?v=KqFNbCcyFkk
Tshirts: https://www.fangamer.com/collections/super-eyepatch-wolf

Lets Fight a Boss Podcast:

Itunes: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2
Sound Cloud: https://soundcloud.com/letsfightaboss
Youtube: https://www.youtube.com/channel/UCawXJIKUj2o_tFPMZ4xiXBw

Other Super Eyepatch Wolf stuff

Instagram: https://www.instagram.com/super_eyepatch_wolf/
Twitter: https://twitter.com/EyePatchWolf
Twitch: https://www.twitch.tv/supereyepatchwolf

I've been told some of the editing is tough on people with Epilepsy, time stamps below:
3:20-3:39
5:31-5:58
Possibly 8:07-8:17

SIMPSONWAVE SECTION
21:55-22:16
22:49- approx 22:55
23:00-23:16!
23:37-23:52!!!!!
24:00-24:26
24:27-24:37!!
25:06-25:30!
SIMPSONWAVE ENDS AT 25:31

25:52-25:55
26:02-26:09!
27:37-27:53
Maybe 28:03-28:24

FEATURING

SIMPSONS ANIMATIONS:

Bartkira The Animation: https://www.youtube.com/watch?v=0SWt6OQ4Nl4
Electronic Simpsons Music - S3RL & Radio Gosha https://www.youtube.com/watch?v=5JVQA2aWgpE
Weird Simpsons VHS:
https://www.youtube.com/watch?v=IEIzuJZj03U
Simpsons Couch Gag (You’re Next):
https://www.youtube.com/watch?v=_NT2ZiPIukw&

Note: Due to the character limit in Youtube descriptions I couldnt include all the links like I originally intended, to see a FULL list of all videos featured, go here: https://eyepatchwolf.tumblr.com/post/187060243519/full-simpsons-video-links

SIMPSONS INSTAGRAM:

Scenic Simpsons:
https://www.instagram.com/scenic_simpsons/?hl=en
Surreal Simpsons:
https://www.instagram.com/surrealsimpsons/?hl=en
Psychedelic Simpsons:
https://www.instagram.com/psychedelic.simpsons/?hl=en
Open Mouth Simpsons:
https://www.instagram.com/openmouthsimpsons/?hl=en
Squinty Eyed Simpsons:
https://www.instagram.com/squintyeyedsimpsons/?hl=en
Worst Simpsons Faces:
https://www.instagram.com/worstsimpsonsfaces/?hl=en
Lynchian Simpsons:
https://www.instagram.com/lynchiansimpsons/?hl=en

STEAMED HAMS:

But Theres a Different Animator Every 13 seconds:
https://www.youtube.com/watch?v=a8R3qHKS-dk
[ʸᵀᴾᴹᵛ] Steamed Hams Inc.:
https://www.youtube.com/watch?v=aRsOBFhNjVM
Steamed Hams but Chalmers is Everywhere:
https://www.youtube.com/watch?v=-tUx4eksG1g
Steamed Hams but it's Earthbound
https://www.youtube.com/watch?v=WKHahGY_5Qk
Steamed Hams but it's edited in the style of Nier Automata
https://www.youtube.com/watch?v=L-XtMNYHsZc
Steamed Hams but it's WWF No Mercy:
https://www.youtube.com/watch?v=o0f73ww5ehE


Don’t talk about this in the video but this guy did a cool video essay just on steamed hams:
https://www.youtube.com/watch?v=RsxoiWu0i3k


SIMPSONS COMICS/ ZINES:

Marge Simpsons Anime:
https://margesimpsonanime.tumblr.com/
Depressing Simpsons Comics:
https://www.etsy.com/listing/478073212/depressing-simpsons-comics-zine
Ballad of Dark Homer (4 Pages as part of a large gallery)
http://gunshowcomic.com/447
Simpsons Unreal Estate:
http://www.mrdoyle.com/gallery
Article About Simpsons Fan Zines (apologies, alot of the Zines dont have a direct web link):
https://www.vice.com/en_uk/article/a3j39j/the-true-spirit-of-the-simpsons-lives-on-in-these-bootleg-zines


BARTKIRA
http://www.bartkira.com/



SIMPSONS WAVE:

Lucien Hughes:
２１０ ＬＩＬＡＣ ＳＫＹ
https://www.youtube.com/watch?v=COPAV3onrKs
C R I S I S
https://www.youtube.com/watch?v=FCb3rblTEds
DEAD BART:
https://www.youtube.com/watch?v=5DrvXlCtCXw
ＳＵＮＤＡＹ ＳＣＨＯＯＬ
https://www.youtube.com/watch?v=rTfa-9aCTYg


Sources:

Fantastic write up by Dead Homer Society on Simpsons tapped out:
https://deadhomersociety.com/tag/the-simpsons-tapped-out/

Simpsons Tv Ratings (based on Nielsen ratings, the standard used by american Tv broadcasting ) :
https://tvseriesfinale.com/tv-show/the-simpsons-season-30-ratings/

Forbes article on Simpsons Ratings:
https://www.forbes.com/sites/niallmccarthy/2017/04/20/30-years-on-and-the-simpsons-isnt-aging-well-infographic/#55427bb26967

Most image of bootleg merchandise from:
https://twitter.com/bootlegbart

Review Scores for The Simpsons taken from review aggregates of Rotten Tomatos (Season by Season Audience Score, insufficient data for critic score) and IMDB, (Review aggregate of individual episode IMDB ratings)

Source: Electronic Arts Q1 FY14 Financial Report:
https://news.ea.com/press-release/archive/electronic-arts-reports-q1-fy14-financial-results


Song List:
https://imgur.com/a/vuqKdMJ"
"kkg9BhISfdA","""Non Battle"" Battle Anime","Super Eyepatch Wolf","2023-10-14","2019-05-04","https://i.ytimg.com/vi/kkg9BhISfdA/hqdefault.jpg","I like them anime where like, people fight but they don't actually fight. You know. Death Note, Kaguya Love is War, Promised Neverland and stuff.

Patreon: https://www.patreon.com/Supereyepatchwolf

Lets Fight a Boss Podcast:

Itunes: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2
Sound Cloud: https://soundcloud.com/letsfightaboss
Youtube: https://www.youtube.com/channel/UCawXJIKUj2o_tFPMZ4xiXBw

https://www.twitch.tv/supereyepatchwolf
Instagram: https://www.instagram.com/super_eyepatch_wolf/
Twitter: https://twitter.com/EyePatchWolf

Sources:
http://www.koreatimes.co.kr/www/news/include/print.asp?newsIdx=16193

https://www.telegraph.co.uk/news/worldnews/asia/japan/2796701/Cartoon-character-from-Kami-no-Shizuku-drives-up-wine-sales-in-Japan.html

https://www.theguardian.com/lifeandstyle/2010/sep/22/french-winemaker-vintage-manga-cartoon

https://www.reuters.com/article/idUST29578320070604

Song List:

https://imgur.com/a/tjxx889"
"TBtaqdXIVv8","Watch this video if you want, I dunno, whatever","Super Eyepatch Wolf","2023-10-14","2018-06-23","https://i.ytimg.com/vi/TBtaqdXIVv8/hqdefault.jpg","Tekkonkinkreet is a 2006 anime movie about two homeless children who can fly

Patreon: https://www.patreon.com/Supereyepatchwolf

Let’s Fight a Boss Podcast:

Itunes: https://itunes.apple.com/ie/podcast/lets-fight-a-boss/id1048483221?mt=2
Sound Cloud: https://soundcloud.com/letsfightaboss
Youtube: https://www.youtube.com/channel/UCawXJIKUj2o_tFPMZ4xiXBw

Twitter: https://twitter.com/EyePatchWolf
Instagram: https://www.instagram.com/super_eyepatch_wolf/

Song List

https://imgur.com/a/HBHV8qN"
