"Playlist URL","https://www.youtube.com/playlist?list=PLLUxIGUvOzFY8Ald7SdJNkXj_GpyeuDJF"
"Playlist title","drawing"
"Playlist author","John Grey"
"Videos","10"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"DHZOjiWpN_Y","Leg Drawing Mistakes","Proko","2023-10-14","2023-10-12","https://i.ytimg.com/vi/DHZOjiWpN_Y/hqdefault.jpg","Balancing gesture and structure can be tricky! We want to show movement but we need to maintain the stability of the body as well.

Learn more in the full video linked by this video's title!"
"w-7g9VjZQhk","This Fundamental Principal Is The Secret to Drawing Teeth!","Tim Mcburnie - The Drawing Codex","2023-10-14","2023-10-13","https://i.ytimg.com/vi/w-7g9VjZQhk/hqdefault.jpg","Line and Color Quick Start Guide: https://www.thedrawingcodex.com/quickstart

Level up your anatomy and structural drawing! Lets Draw Some TEETH!!!
In this video we go over the concept of Suggestion as it relates to drawing. And especially as it relates to drawing teeth.

Often to draw well we need to understand the underlying form in detail... so we can softly hint at it. A few light strokes can be all you need... as long as you know what's meant to be there.

Teeth are a great way to understand this idea!

Basic Drawing Fundamentals of Teeth: https://youtu.be/FwU0PM2pHjs
How Many Teeth Should You Draw??? : https://youtu.be/oY0liwRZQnA

A big part of the art journey is figuring out how you apply these concepts into your own work and style!

If you want to learn about the techniques I am using based on the Loomis Method you can check out these videos:

Building The Figure - https://youtu.be/wCrGfGZhLWU
Posing The Figure - https://youtu.be/udky6ANxWws
Different Body Types - https://youtu.be/arTzl9gKRNw

Drawing an Action Pose - https://youtu.be/82gOxlqzoSM

With most types of stylised types of art - There is often a mix of structure and perspective and technical drawing.... combined with symbols and abstract features.



Happy Drawing!

Tim Mcburnie

Learn Drawing and Illustration from me: www.thedrawingcodex.com

Portfolio: www.timmcburnie.com
www.artstation.com/tim-mcburnie
www.instagram.com/timmcburnie
twitter.com/timmcburnie"
"sqltfkMIdcw","This is by FAR the #1 art skill 🛑 #drawingtips #learntodraw  #howtodraw","Marc Brunet","2023-10-14","2023-10-06","https://i.ytimg.com/vi/sqltfkMIdcw/hqdefault.jpg","👨‍🎨 Serious about your art? Check out my ART School program here! ➡️ cgart.school"
"aovyWGBj-nc","Design Theory: Composition","Sinix Design","2023-10-14","2023-09-14","https://i.ytimg.com/vi/aovyWGBj-nc/hqdefault.jpg","In this episode, we go over the theoretical side of composition.  Learning to observe the importance of focal interest and focal rest in an image is key to mastering compositions.

!! Upcoming BRAINSTORM classes !!
https://www.brainstormschool.com/dt1

If you enjoy the design theory aspect of art, my upcoming (Oct-Nov 2023) class is heavily focused on letting you explore this stuff with a fun online class setting.

!! the usual links !!
Now streaming regularly on twitch: https://www.twitch.tv/sinixdesign

Instagram is @sinixdesign

Visit my patreon at: https://www.patreon.com/sinix

Chill out with my Spotify playlist:  https://open.spotify.com/playlist/17t0DNy6yagcdLuoXXpwDk

 #art #artschool #composition"
"9QEGEBK6nIY","How to Learn MORE Digital Painting (Intermediate)","Sinix Design","2023-10-14","2021-05-26","https://i.ytimg.com/vi/9QEGEBK6nIY/hqdefault.jpg","The intermediate guide to learning digital painting.  Picks up where the beginner video leaves off.  Slightly more advanced tips and tricks, but it shouldn't feel too far from the first one.

Beginner:  https://youtu.be/iwRa5qTnr8o

Reference photo from 流弋__ :  https://weibo.com/p/1005052694510872

!! the usual links !!
Now streaming regularly on twitch: https://www.twitch.tv/sinixdesign

Instagram is @sinixdesign

Twitter:  https://twitter.com/sinix777

Visit my patreon at: https://www.patreon.com/sinix

Stop by my public Discord!!   https://discord.gg/NRfDnRW

#arttutorial #art #artschool"
"rPWa5kSwVGE","This Simple Line Trick Will Transform Your Comic Art!","David Finch","2023-10-14","2023-06-11","https://i.ytimg.com/vi/rPWa5kSwVGE/hqdefault.jpg","This video is all about shape language for comic art.  Great anatomy and lighting obviously are the foundation of great figure drawing, but I wanted to spotlight a very simple trick that will bring your figures to the next level.  Shape language is a pretty universal concept, but I wanted to give you my insights into how it can relate to your line drawing specifically.  Be sure to draw along with this one and try it yourself!

Thanks so much for watching!  If you enjoyed, please hit like and subscribe, and share with your friends.


Merch is now available!  Visit https://david-finch.myspreadshop.com/"
"WNAkphRcKBs","Too many students skip this stage of drawing","Alphonso Dunn","2023-10-14","2023-08-29","https://i.ytimg.com/vi/WNAkphRcKBs/hqdefault.jpg","MY ONLINE COURSE
https://COURSES.ALPHONSODUNN.COM
----------------------------------------­­-----------------------------------------
MY BOOKS
New Pen & Ink Drawing  Workbook: https://amzn.to/2CZjLVp
Pen & Ink Drawing: A Simple Guide:  http://bit.ly/dunnbook1
----------------------------------------­­-----------------------------------------
SOCIAL MEDIA:
https://www.instagram.com/alphonsodunnart
https://www.facebook.com/AlphonsoDunn
----------------------------------------­­-----------------------------------------

VIDEO DESCRIPTION:
In this video we discuss a invaluable part of drawing that beginners and drawing students tend to avoid or not employ as much as they should. Paradoxically they often believe it makes them look like amateurs but using it will actually help them to learn to draw like the pros

#sketching   #drawingtips   #alphonsodunn
----------------------------------------­­-----------------------------------------
GENERAL DRAWING MATERIALS:
 #2 HB Pencil http://amzn.to/2s8lAHR
Bic Ballpoint Pen http://amzn.to/2t9mnXo
Pigma micron pens http://amzn.to/2qZhdg8
Pigma micron pen 003 http://amzn.to/2sGliJl
Copic Multiliner SP refillable http://amzn.to/2t9JzVC Copic Multiliner Disposable http://amzn.to/2t9o0ob White ink pen http://amzn.to/2qAS3n8
2mm Lead Holder: http://amzn.to/2roC66K
2mm Lead pointer/sharpner: http://amzn.to/2roLt6f http://amzn.to/2sdZQIK Kneaded
Eraser: http://amzn.to/2s8lAHR
Retractable Eraser http://amzn.to/2rmZzlJ
Strathmore Smooth Bristol Paper http://amzn.to/2tWmdCn
Canson Multi-media paper http://amzn.to/2rky1RW
Schmincke Watercolors http://amzn.to/2rkP1aq
Sakura Koi Watercolor Field Set http://amzn.to/2rEHYtj
 ----------------------------------------­­-----------------------------------------"
"d0wIBdAH914","What subjects are best to improve your drawing?","Alphonso Dunn","2023-10-14","2023-04-10","https://i.ytimg.com/vi/d0wIBdAH914/hqdefault.jpg","MY ONLINE COURSE
https://COURSES.ALPHONSODUNN.COM
----------------------------------------­­-----------------------------------------
MY BOOKS
New Pen & Ink Drawing  Workbook: https://amzn.to/2CZjLVp
Pen & Ink Drawing: A Simple Guide:  http://bit.ly/dunnbook1
----------------------------------------­­-----------------------------------------
SOCIAL MEDIA:
https://www.instagram.com/alphonsodunnart
https://www.facebook.com/AlphonsoDunn
----------------------------------------­­-----------------------------------------

VIDEO DESCRIPTION:
In this video we take a look at the issue students normally have of not knowing what to draw to improve their drawing. Should you draw still lifes, figures, portraits, cartoons, flowers, and fruits, urban scenes?

#getbetter  #drawingvideo   #alphonsodunn
----------------------------------------­­-----------------------------------------
GENERAL DRAWING MATERIALS:
 #2 HB Pencil http://amzn.to/2s8lAHR
Bic Ballpoint Pen http://amzn.to/2t9mnXo
Pigma micron pens http://amzn.to/2qZhdg8
Pigma micron pen 003 http://amzn.to/2sGliJl
Copic Multiliner SP refillable http://amzn.to/2t9JzVC Copic Multiliner Disposable http://amzn.to/2t9o0ob White ink pen http://amzn.to/2qAS3n8
2mm Lead Holder: http://amzn.to/2roC66K
2mm Lead pointer/sharpner: http://amzn.to/2roLt6f http://amzn.to/2sdZQIK Kneaded
Eraser: http://amzn.to/2s8lAHR
Retractable Eraser http://amzn.to/2rmZzlJ
Strathmore Smooth Bristol Paper http://amzn.to/2tWmdCn
Canson Multi-media paper http://amzn.to/2rky1RW
Schmincke Watercolors http://amzn.to/2rkP1aq
Sakura Koi Watercolor Field Set http://amzn.to/2rEHYtj
 ----------------------------------------­­-----------------------------------------"
"oFLWlBQUKxY","HOW TO DRAW Consistent Character faces","Trent Kaniuga","2023-10-14","2023-07-27","https://i.ytimg.com/vi/oFLWlBQUKxY/hqdefault.jpg","🖌️ -Tutorials/Templates/Brushes - https://gumroad.com/trentk

🖌️ -Books + Merch - http://www.aquatic-moon.com
🖌️ -Discord = https://discord.gg/vvAQpRA
🖌️ -Twilight Monk Game on Steam- https://store.steampowered.com/app/1911940/Twilight_Monk/

HOW TO DRAW Consistent Character faces
HOW TO DRAW CHARACTERS consistenty looking the same for your comic or animation
Many artists struggle with character consistency and that can confuse the reader or viewer of your comic or your animation.

Games I've worked on -
CURRENTLY WORKING ON- Twilight Monk Metroidvania
Fortnite (Environment concept art)
Overwatch (Environment concept art + Sprays artwork)
League of Legends (Character design + Environment concept art, UI + Icons)
Diablo 3 (Character design + Environment concept art)
Hearthstone (Illustration)
Burning Crusade(Character design + Environment concept art)
Wrath of the Lich King (Character design + Environment concept art)
Indivisible (Environment concept art)
Final Fight Streetwise (Voice Acting + Character Design + World Design + Cutscene Direction + Co writer on script)
He Man GBA (Pixel Art)
Terminator 3 GBA (Art Direction + Pixel Art)
CannonBallers (Character + World design)
Ikeda: The Scrap Hunter (Programming + Art + Design)
Goblins and Gnomes (Concept Art)

Books available-
CreeD Re:Imaginary (2021) - 2 part Comic series
Twilight Monk - Return of the Ancients  (2021) - Illustrated Novel
Twilight Monk Secrets of Kung Fulio (2020) - Illustrated Novel
Escape from Giants Crown (2019) - Illustrated Novella
World Of Twilight Monk Vol 1 (2019) Art Book
The Man and the Moonken (2019) - Illustrated Novella
The Beast of Tuksa (2018) - Illustrated Novella
Twilight Monk (2012) - 2 Graphic Novels
Nova Colony (2009) - 1 Graphic Novel
CreeD (1993-2007) - Comic Book Series
Ghost Rider (2000) - Comic Book Series
The Fuzz (1997) - Comic Book"
"p4rwhifXNCw","Select What You Want in Geometry Nodes - Blender Tutorial","Erindale","2023-10-14","2023-09-03","https://i.ytimg.com/vi/p4rwhifXNCw/hqdefault.jpg","Grab the new simulation courses: https://www.nodegroup.xyz/mastering-simulation-nodes-bundle
Check out my new platform for technical artists: https://www.nodegroup.xyz/

In today's lesson we're going to be diving deep into selections. Learning this well will be transformative to you rprocedural workflows, not just in Geometry Nodes but across all procedural systems.

Grab my file here: https://www.patreon.com/posts/88721784/

Correction: Accumulate Field node's ""Total"" output does not tell you how many elemtns have been counted, it returns the sum total of whatever values it has counted up. When the Value is 1 as in mine, that means it added 1 per element which is why I worded it that way.

$40 off a holographic display? Yes please. https://look.glass/erin
Geometry Nodes Toolkit: https://gum.co/erintools
Merch? https://erindale.threadless.com/

Discord: https://discord.gg/erindalexyz

Courses
Beginner Geometry Nodes: https://www.canopy.games/p/bcs-geometry-nodes-3x?affcode=379023_i5skfa8n
Advanced Geometry Nodes: https://www.canopy.games/p/advanced-geometry-nodes-for-blender-3-3-1?product_id=4353058?affcode=379023_i5skfa8n
Procedural Materials: https://www.canopy.games/p/procedural-materials-in-blender?affcode=379023_i5skfa8n

Contents:
00:00 - Intro
02:12 - What are selections?
03:19 - Booleans
06:16 - Joining Booleans
07:55 - What is an index?
08:45 - Vertex Group Selection
10:14 - How floats are interpolated
11:30 - Float to Integer node
13:16 - Selections with Empties
16:27 - Index-based Selections
19:12 - Selecting a grid row
20:50 - Selecting a grid column
23:06 -  Duplicate Index
24:55 - Mesh Island Index
26:10 - Index per point per island
28:11 - Splines
29:05 - Spline Parameter Index
30:47 - Index on Spline Domain
32:50 - Position-based Selections
35:19 - Normal-based Selections
37:15 - Raycasted Selections
40:10 - Curve Attribute Selections
42:20 - Curve Corner Selections
47:08 - Expand Selections
53:35 - Flatten Region Exercise

Patreon: https://www.patreon.com/erindale
Threads: https://www.threads.net/e.r.i.n.d.a.l.e/
Twitter: https://twitter.com/erindale_xyz
Instagram: https://www.instagram.com/e.r.i.n.d.a.l.e/
Gumroad: https://gumroad.com/erindale
Blender Market: https://blendermarket.com/creators/erindale"
