"Playlist URL","https://www.youtube.com/playlist?list=PLLUxIGUvOzFYrl_nSklliKbboWXOZtK2q"
"Playlist title","longplays"
"Playlist author","John Grey"
"Videos","37"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"Y_sxuDFz73Y","Longplay of Pokémon Silver/Gold","LongplayArchive","2023-10-14","2021-07-23","https://i.ytimg.com/vi/Y_sxuDFz73Y/hqdefault.jpg","Longplay of Pokémon Silver, played as the NTSC version on the Game Boy Color. This game's version was released on Nov. 21th, 1999. Tell us what you think by leaving a comment down below!

Johto
0:00:00​ - Start
0:21:59 - Battle Silver
0:47:07 - Gym Battle Falkner, Zephyr Badge
1:11:25 - Saving The Slowpokes
1:26:04 - Gym Battle Bugsy, Hive Badge
1:38:52 - Catching Farfetch'd
1:58:08 - Gym Battle Whitney, Plain Badge
2:22:44 - Sudowoodo Encounter
2:41:46 - Gym Battle Morty, Fog Badge
3:02:59 - Lighthouse
3:41:05 - Gym Battle Chuck, Storm Badge
4:00:18 - Shiny Gyarados Encounter
4:05:27 - Helping Lance
4:43:54 - Gym Battle Pryce, Glacier Badge
4:59:31 - Lighthouse
5:05:13 - Gym Battle Jasmine, Mineral Badge
5:11:20 - Team Rocket Radio Tower
5:36:26 - Battle Silver
5:40:59 - Team Rocket
6:25:47 - Gym Battle Clair, Rising Badge
6:35:29 - Receiving Master Ball
6:54:17 - Battle Silver
7:00:08 - Pokemon League Will
7:05:03 - Pokemon League Koga
7:10:05 - Pokemon League Bruno
7:14:52 - Pokemon League Karen
7:19:32 - Pokemon League Champion Lance
7:32:24 - Pokemons in the League
7:33:09 - Credits

Kanto
7:37:19 - Boarding The S.S Aqua
7:55:08 - Gym Battle Erika, Rainbow Badge
8:00:21 - Gym Battle Sabrina, Marsh Badge
8:04:29 - The Six Trainers
8:20:17 - Gym Battle Misty, Cascade Badge

Johto
8:40:47 - Lugia Encounter

8:53:07 - Gym Battle Lt. Surge, Thunder Badge
8:56:59 - Snorlax Encounter
9:01:04 - Gym Battle Brock, Boulder Badge
9:09:00 - Gym Battle Blaine, Volcano Badge
9:12:46 - Gym Battle Janine, Soul Badge
9:12:46 - Gym Battle Blue, Earth Badge
9:26:15 - Professor Oak
9:31:44 - Battle Red
9:42:40 - Credits
9:52:51 - Ho-Oh Encounter

By: Terua"
"iO7DCpyJC-w","Dead Rising 2 100% Co-Op Speedrun World Record [5:27:38]","Nemz38","2023-10-14","2017-03-06","https://i.ytimg.com/vi/iO7DCpyJC-w/hqdefault.jpg","►TWITCH - http://www.twitch.tv/Nemz38
►MERCH - https://shop.spreadshirt.com/nemz38/
►TWITTER - https://www.twitter.com/Nemz38
►Come chat with me! - https://discordapp.com/invite/nemz38
►OUTRO - https://www.youtube.com/watch?v=D0M6kRkncKk&feature=youtu.be"
"QnHR7nI5yu4","Dead Rising Full Gameplay Walkthrough (All Survivors, Psychopaths, Overtime)","RabidRetrospectGames","2023-10-14","2016-07-08","https://i.ytimg.com/vi/QnHR7nI5yu4/hqdefault.jpg","Our Patreon! - https://www.patreon.com/user?u=2795437

Dead Rising Full Gameplay Walkthrough. This is a Dead Rising Walkthrough that contains All Cutscenes, Survivors, and Boss Fights in one video.

Full Games Playlist: https://www.youtube.com/playlist?list=PLYD0s9u6Ol25uYPq4QCexC0OpVtNwr2Rl

Subscribe Here
https://www.youtube.com/channel/UCm4WlDrdOOSbht-NKQ0uTeg?sub_confirmation=1

Twitch Channel Here
http://www.twitch.tv/rabidretrospectgames

Awesome Royalty Free Music
https://www.youtube.com/user/myuuji/about
Be sure to drop a like and leave a comment below."
"WC-mKjDJl_U","Fable 3 - Longplay (Good Walkthrough) Full Game [No Commentary]","Loopy Longplays","2023-10-14","2019-05-10","https://i.ytimg.com/vi/WC-mKjDJl_U/hqdefault.jpg","Fable 3 is quite the game, I played this one alot when it came out. A little to much, the biggest reason I did is because I loved Fable 2 so much. I wanted more Albion. This game has many flaws yes I see many of them. Fable 2 is better in so many ways. But I think this game does other things in a different or unique way. For one, the inventory system being in the sanctuary and seeing and looking at your items instead of a menu is really cool. I for one enjoyed it. The water, this sounds simple but it is my favorite water from any video game I have ever played, the way it looks is just wow. I could just sit there looking at it. Also some of the quests are unique I love the quest called ''The Game'' is one of my favorite Fable quests.

Sadly I have quite a few gripes with fable 3. One is the world, it feels kinda dead, fable 1 and 2 had funny and cool villagers,
 travelling salesmen, the open world feels linear with not much happening kill wolves, bandits, hollowmen or hobbes. But for no real purpose. But there is alot to find in the world Silver keys, golden keys, plants, and books. Another major thing wrong is the jobs they feel very meh, Fable 2 had woodcutting, blacksmith and bartendering all which felt very different and suited various playstyles. You want to hear the latest gossip and drunk villagers bartender, you want to go crazy forging swords blacksmith, you want to listen to the peaceful calm music and hear the wind blowing and rustling of the trees while you watch the sun rise and set become a woodcutter. Fable 3's mini jobs have you quickly pressing buttons with no sync and no real fun. Lute heroes the worst, I just want to play music, heck music from your own game :(
Two last things you need so much gold to much, and the rent system uhh that is garbage.. why they never added a repair all is beyond me, to tedious to own multiple proprieties and have to fix them every hour for 10mins of repair.

So listen I have annoyances with this game but there is alot of good, I mean Peter Molyneux himself said they easily needed another year of development on this game. His favorite Fable game is Fable 2. So anywho this game has an really well written and fun DLC which I will have a special longplay for coming soon. I want to close on a good note I have played this game alot I loved the open desert, The creepy quest  in the desert with Walter and you stranded there. Becoming a ruler and having to make tough decisions is not easy and that was unique to play too.

Anyways look how much I have written about this game, believe I could go into way more detail and talk way more about it but bottom line is its fun and despite its rough spots it still is fun to play. With all this being said I hope you enjoy this longplay :)


Gameplay recorded by Loopy





👻              👻               👻                👻                 👻




If you feel like donating, 100% of the donations will be for buying more games to do longplays of. If you have requests when donating on paypal, please leave a message of the game your donating for. As I will try to make it a priority.

Paypal donation link - https://www.paypal.me/LoopyLongplays

Patreon donation link - https://www.patreon.com/loopylongplays

Twitter page - https://twitter.com/Loopylongplays"
"Op7EWz9Su5Q","Xbox 360 Longplay [090] Fable 3 (part 01 of 11)","World of Longplays","2023-10-14","2013-02-04","https://i.ytimg.com/vi/Op7EWz9Su5Q/hqdefault.jpg","http://www.longplays.org

Played by: kireev20000

I was a fan of Fable 2, I loved the interaction with the people, the cities, and how you could make the game your own. Fable 3 is a good successor to the Fable storyline. The main plot is engaging and the wit/humor found within keeps you laughing. The game does a good job of mixing up the action, bringing you to different places and having you accomplish varying tasks throughout. However, Fable 3 is essentially a cut down version of Fable 2. While removing the menus was generally a good thing, the Fable 3 team went too far. -
Disclaimer: Most videos by World of Longplays use SaveStates!"
"X-06_sW8dvg","PS4 Longplay [034] P.T. (Prototype)","World of Longplays","2023-10-14","2016-12-18","https://i.ytimg.com/vi/X-06_sW8dvg/hqdefault.jpg","http://www.longplays.org

Played by: Spazbo4

A very scary teaser game for a cancelled game that everybody wanted.

 The game is very confusing especially the very end on what exactly you need to do but I managed to do it somehow and edited out a bit of me wandering around because for the last part it seems you need a microphone plugged into your PS4 and I didn't realise that mine wasn't plugged in all the way until very late while recording but I edited that part out

 I didn't even get a PS4 until this game was already off the PSN store but I managed to put it on my account through a friend's PS4 so I had to do some proxy magic in order to download the game -
Disclaimer: Most videos by World of Longplays use SaveStates!"
"2b22-usNLW8","Homeworld 1: Remastered - The Movie 1080p","Low Tech Gaming","2023-10-14","2017-03-08","https://i.ytimg.com/vi/2b22-usNLW8/hqdefault.jpg","Thank you for watching and please like and Subscribe XD"
"cz978TVz60w","PC Longplay [940] Bayonetta","World of Longplays","2023-10-14","2019-08-05","https://i.ytimg.com/vi/cz978TVz60w/hqdefault.jpg","http://www.longplays.org

Played by: RickyC

I wanted to aim for an all alfheim and encounters run however I missed one encounter on one of the last chapters. I began the encounter but I couldnt find the last spawn. All alfheims are completed however.

The game is more difficult than I remember but I feel i get the hang of it towards the end. There is one mob encounter that I always seem to fail at however, and one bad encounter can screw you over quite badly. I probably should have experimented with more of the weapons as well, as once I found a nice combo or two I tended to stick at it.

From what I remember there was one time I had edit in a different run for that chapter due to reasons. So the end trophies for that chapter may not line up. I ended up being one shotted quite a few times by the end boss, when you continue you end up in the middle of the fight. I edited this death out but the cut will not be perfect. I edit one more death out in the game like this were an instant kill move got me. End trophies may not align due to this, as deaths give you huge penalties in the end. I get lost a couple of times during the game, or I forget what to do, but they're relativity short lived.

Chapter I: 00:36:45
Chapter II: 01:03:41
Chapter III: 01:43:43
Chapter IV: 02:18:31
Chapter V: 02:32:08
Chapter VI: 03:15:42
Chapter VII: 03:57:49
Chapter VIII: 04:08:54
Chapter IX: 04:25:57
Chapter X: 04:53:15
Chapter XI: 05:26:36
Chapter XII: 05:37:15
Chapter XIII: 06:10:41
Chapter XIV: 06:22:39
Chapter XV: 06:51:53
Epilogue: 07:51:39 -
Disclaimer: Most videos by World of Longplays use SaveStates!"
"oe-exivOLfE","PC Longplay [945] Prison Architect","World of Longplays","2023-10-14","2018-11-02","https://i.ytimg.com/vi/oe-exivOLfE/hqdefault.jpg","http://www.longplays.org

Played by: JagOfTroy

This contains the story mode for Prison architect.

I enjoyed this type of strategy game along with follow-ups they have made in this same style. -
Disclaimer: Most videos by World of Longplays use SaveStates!"
"1uGT2J-_Kt0","METAL GEAR SOLID 3 Gameplay Walkthrough FULL GAME (4K 60FPS) REMASTERED","Shirrako","2023-10-14","2020-12-21","https://i.ytimg.com/vi/1uGT2J-_Kt0/hqdefault.jpg","Metal Gear Solid 3 Snake Eater Gameplay Walkthrough PS3 PS5 PC No Commentary 2160p 60fps HD let's play playthrough review guide
Showcasing all cutscenes movie edition, all boss fights / boss fights, side missions, upgrades, outfits / costumes, all characters, best moments, final boss and true ending, secret ending.
Subscribe for more!

Shirrako Store: https://teespring.com/stores/shirrako-store
Discord: https://discord.com/invite/shirrako
Follow me on Facebook: https://www.facebook.com/ShirrakoGaming/
Follow me on Twitch: http://www.twitch.tv/shirrakogaming
Follow me on Twitter: https://twitter.com/shirrakogaming"
