"Playlist URL","https://www.youtube.com/playlist?list=PLLUxIGUvOzFY3ycZpVQ1K0jvA-V_EgDa7"
"Playlist title","tv"
"Playlist author","John Grey"
"Videos","24"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"YtUgnySlcI0","Mr. Benn: Red Knight","Noggin/Nick Jr. Classics","2023-10-14","2018-02-17","https://i.ytimg.com/vi/YtUgnySlcI0/hqdefault.jpg",""
"VdoJ7yq8fkk","Mr Benn - Hunter Full Episode","The Insurance Emporium","2023-10-14","2017-06-14","https://i.ytimg.com/vi/VdoJ7yq8fkk/hqdefault.jpg","Mr Benn wakes up one morning and decides to take a walk. On the way, he comes across plenty of animals and it gives him an idea for an adventure. Visiting his favourite fancy dress shop, he explains his idea to the Shopkeeper. The Shopkeeper immediately knows what to do and gives Mr Benn a pith helmet, whereupon he is magically transported to a jungle.

Indulging in your passions really can make your life magical! Visit https://www.theinsuranceemporium.co.uk/ and find out how you could protect the things that matter to you!"
"5MrPLH4r90Q","Mr. Benn: Clown","Noggin/Nick Jr. Classics","2023-10-14","2018-02-17","https://i.ytimg.com/vi/5MrPLH4r90Q/hqdefault.jpg",""
"J3nditAHzjw","Mr. Benn: Balloonist","Noggin/Nick Jr. Classics","2023-10-14","2018-02-17","https://i.ytimg.com/vi/J3nditAHzjw/hqdefault.jpg",""
"ki45Dfxdu_4","Mr. Benn: Wizard","Noggin/Nick Jr. Classics","2023-10-14","2018-02-17","https://i.ytimg.com/vi/ki45Dfxdu_4/hqdefault.jpg",""
"R3XVJ17uysM","Mr Benn  - 5 ep. The Spaceman","Rus Jak","2023-10-14","2015-01-06","https://i.ytimg.com/vi/R3XVJ17uysM/hqdefault.jpg",""
"PwFj_m7pD4k","Mr. Benn: Cook","Noggin/Nick Jr. Classics","2023-10-14","2018-02-17","https://i.ytimg.com/vi/PwFj_m7pD4k/hqdefault.jpg",""
"tg7H8GLevg0","Mr. Benn: Caveman","Noggin/Nick Jr. Classics","2023-10-14","2018-02-17","https://i.ytimg.com/vi/tg7H8GLevg0/hqdefault.jpg",""
"NN-xmyjbMSU","Mr Benn   Zoo Keeper","Duncan Lamont","2023-10-14","2017-08-03","https://i.ytimg.com/vi/NN-xmyjbMSU/hqdefault.jpg",""
"GndX_p_Z-VI","Mr. Benn - Diver (Frogman)","Noggin/Nick Jr. Classics","2023-10-14","2018-02-17","https://i.ytimg.com/vi/GndX_p_Z-VI/hqdefault.jpg",""
"-YKLz2wepUg","Mr. Benn: Cowboy","Noggin/Nick Jr. Classics","2023-10-14","2018-02-17","https://i.ytimg.com/vi/-YKLz2wepUg/hqdefault.jpg",""
"vjb0EvJA-WE","Mr. Benn: Aladdin (Magic Carpet)","Noggin/Nick Jr. Classics","2023-10-14","2018-02-17","https://i.ytimg.com/vi/vjb0EvJA-WE/hqdefault.jpg",""
"3QQFJqOmh5I","Mr. Benn: Pirate","Noggin/Nick Jr. Classics","2023-10-14","2018-02-17","https://i.ytimg.com/vi/3QQFJqOmh5I/hqdefault.jpg",""
"AJktIKyAvPI","Mr. Benn: Gladiator","Noggin/Nick Jr. Classics","2023-10-14","2018-02-17","https://i.ytimg.com/vi/AJktIKyAvPI/hqdefault.jpg",""
"8NwGRvbwQe0","Ivor the Engine - Intro Theme Tune Animated Titles","Slurpy Studios Animation","2023-10-14","2018-01-17","https://i.ytimg.com/vi/8NwGRvbwQe0/hqdefault.jpg","Year: 1959 (original) 1975-77
No. of series: 4 (3 b&w, 1 colour)
No. of episodes: 72 (32 b&w, 40 colour)
Composer: Vernon Elliott"
"eoZHVf6jZ1I","Ivor the Engine - Daydreaming","TheKipperRunsAgain","2023-10-14","2010-05-08","https://i.ytimg.com/vi/eoZHVf6jZ1I/hqdefault.jpg","My first attempt at a music video for several years - and it's been even longer since I did a non-Thomas one like this. The song is simply titled ""Daydreaming"", and is performed by Joe Campbell.

DISCLAIMER: I do not own copyright for either the footage or the audio. This video is merely for entertainment purposes only, no money will be made from it. If you own copyright, please contact me and I will gladly take it down."
"kG7N49lkDlo","Ivor The Engine - Repaint - An Original Animation","Terrier55Stepney","2023-10-14","2019-09-28","https://i.ytimg.com/vi/kG7N49lkDlo/hqdefault.jpg","Subscribe on Patreon and get exclusive content: https://www.patreon.com/terrier55stepney
I don't feel like Ivor The Engine gets enough love, but its sweet and soothing nature where problems are never as bad as they seem certainly makes it worthy of more attention!
Therefore, I wrote this little piece to have a go at animating a demo scene from Ivor in the original style, using the original artwork (with thanks to 'The Art of Smallfilms').
It is very rugged at the best of times, and nothing really happens, but hopefully something I can improve upon as I try more stop-motion animating in the future, and perhaps a proper episode of Ivor. For now, big thanks to Stuart for bringing the characters and sounds to life:  https://www.youtube.com/channel/UCiLs0CyiO0Mpi0lkRbn8Iug
and to SudrianSteam for the Ivor theme: https://soundcloud.com/user-56276101"
"bEUqJROxMTI","Ivor the Engine - Episode 1","CFRailway","2023-10-14","2012-03-24","https://i.ytimg.com/vi/bEUqJROxMTI/hqdefault.jpg","For the first time in many months Ivor The Engine returns to CFRailway like never before, in he very own remake! The first remake of it's kind shows the first ever Ivor the engine episode. The Ivor the engine was made from the Locolines plans but built using a stronger material by Andy, one of the CFR team. Thanks for watching and keep following!"
