"Playlist URL","https://www.youtube.com/playlist?list=PL5dr1EHvfwpMfbYzdeDTrJQK2kuf-1Gph"
"Playlist title","Let's Play The Elder Scrolls III: Morrowind"
"Playlist author","Keith Ballard"
"Videos","91"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"EKF0TLYlo9M","Let's Play The Elder Scrolls III: Morrowind Part 1 (Patreon Chosen Game)","Keith Ballard","2017-05-05","2017-05-04","https://i.ytimg.com/vi/EKF0TLYlo9M/hqdefault.jpg","Watch more The Elder Scrolls III: Morrowind! https://www.youtube.com/playlist?list=PL5dr1EHvfwpMfbYzdeDTrJQK2kuf-1Gph

Support what I do by subscribing on Patreon! https://www.patreon.com/SebastianSB

My Twitter: https://twitter.com/SebastianSB

Join our Discord: https://discord.gg/CxtuCpW

Buy The Elder Scrolls III: Morrowind - Game of the Year Edition on Steam: http://store.steampowered.com/app/22320/The_Elder_Scrolls_III_Morrowind_Game_of_the_Year_Edition/

Game Description:

The Elder Scrolls III: Morrowind® Game of the Year Edition includes Morrowind plus all of the content from the Bloodmoon and Tribunal expansions. The original Mod Construction Set is not included in this package.

An epic, open-ended single-player RPG, Morrowind allows you to create and play any kind of character imaginable. You can choose to follow the main storyline and find the source of the evil blight that plagues the land, or set off on your own to explore strange locations and develop your character based on their actions throughout the game. Featuring stunning 3D graphics, open-ended gameplay, and an incredible level of detail and interactivity, Morrowind offers a gameplay experience like no other.
In Tribunal, you journey to the capital city of Morrowind, called Mournhold, to meet the other two god-kings of Morrowind, Almalexia and Sotha Sil. Your journey will lead you to the Clockwork City of Sotha Sil and massive, epic-sized dungeons, where strange and deadly creatures await you, including goblins, lich lords, and the mysterious Fabricants.

Bloodmoon takes you to the frozen Island of Solstheim where you'll experience snow, blizzards, and new creatures, including frost trolls, ice minions, and wolves... just to name a few. You'll have a choice of stories to follow and have the opportunity to defend the colony, take control over how the colony is built up, and eliminate the werewolves. Or, you can decide to join the werewolves and become one of them, opening up a whole new style of gameplay.

Key features:

Players can take their existing Morrowind characters and save games and continue their adventures in the Morrowind GotY edition

Adds up to 80 hours of new gameplay and quests for current Morrowind players

Explore the forests, caves, and snow-covered wastelands of the island of Solstheim

Delve into new, epic-sized dungeons and visit the Capital City of Mournhold and the Clockwork City of Sotha Sil

Fight new creatures including bears and wolves, lich lords and goblins, ice minions and spriggans

Direct the construction of a mining colony and face the threat of savage werewolves

Become a werewolf and indulge your thirst for the hunt

New armor and weapons including Nordic Mail and Ice blades"
"4SdLIcO1ImU","Let's Play The Elder Scrolls III: Morrowind Part 2 (Patreon Chosen Game)","Keith Ballard","2017-05-05","2017-05-05","https://i.ytimg.com/vi/4SdLIcO1ImU/hqdefault.jpg","Watch more The Elder Scrolls III: Morrowind! https://www.youtube.com/playlist?list=PL5dr1EHvfwpMfbYzdeDTrJQK2kuf-1Gph

Support what I do by subscribing on Patreon! https://www.patreon.com/SebastianSB

My Twitter: https://twitter.com/SebastianSB

Join our Discord: https://discord.gg/CxtuCpW

Buy The Elder Scrolls III: Morrowind - Game of the Year Edition on Steam: http://store.steampowered.com/app/22320/The_Elder_Scrolls_III_Morrowind_Game_of_the_Year_Edition/

Game Description:

The Elder Scrolls III: Morrowind® Game of the Year Edition includes Morrowind plus all of the content from the Bloodmoon and Tribunal expansions. The original Mod Construction Set is not included in this package.

An epic, open-ended single-player RPG, Morrowind allows you to create and play any kind of character imaginable. You can choose to follow the main storyline and find the source of the evil blight that plagues the land, or set off on your own to explore strange locations and develop your character based on their actions throughout the game. Featuring stunning 3D graphics, open-ended gameplay, and an incredible level of detail and interactivity, Morrowind offers a gameplay experience like no other.
In Tribunal, you journey to the capital city of Morrowind, called Mournhold, to meet the other two god-kings of Morrowind, Almalexia and Sotha Sil. Your journey will lead you to the Clockwork City of Sotha Sil and massive, epic-sized dungeons, where strange and deadly creatures await you, including goblins, lich lords, and the mysterious Fabricants.

Bloodmoon takes you to the frozen Island of Solstheim where you'll experience snow, blizzards, and new creatures, including frost trolls, ice minions, and wolves... just to name a few. You'll have a choice of stories to follow and have the opportunity to defend the colony, take control over how the colony is built up, and eliminate the werewolves. Or, you can decide to join the werewolves and become one of them, opening up a whole new style of gameplay.

Key features:

Players can take their existing Morrowind characters and save games and continue their adventures in the Morrowind GotY edition

Adds up to 80 hours of new gameplay and quests for current Morrowind players

Explore the forests, caves, and snow-covered wastelands of the island of Solstheim

Delve into new, epic-sized dungeons and visit the Capital City of Mournhold and the Clockwork City of Sotha Sil

Fight new creatures including bears and wolves, lich lords and goblins, ice minions and spriggans

Direct the construction of a mining colony and face the threat of savage werewolves

Become a werewolf and indulge your thirst for the hunt

New armor and weapons including Nordic Mail and Ice blades"
"DZTtfab3Vv4","Let's Play The Elder Scrolls III: Morrowind Part 3 (Patreon Chosen Game)","Keith Ballard","2017-05-06","2017-05-06","https://i.ytimg.com/vi/DZTtfab3Vv4/hqdefault.jpg","Watch more The Elder Scrolls III: Morrowind! https://www.youtube.com/playlist?list=PL5dr1EHvfwpMfbYzdeDTrJQK2kuf-1Gph

Support what I do by subscribing on Patreon! https://www.patreon.com/SebastianSB

My Twitter: https://twitter.com/SebastianSB

Join our Discord: https://discord.gg/CxtuCpW

Buy The Elder Scrolls III: Morrowind - Game of the Year Edition on Steam: http://store.steampowered.com/app/22320/The_Elder_Scrolls_III_Morrowind_Game_of_the_Year_Edition/

Game Description:

The Elder Scrolls III: Morrowind® Game of the Year Edition includes Morrowind plus all of the content from the Bloodmoon and Tribunal expansions. The original Mod Construction Set is not included in this package.

An epic, open-ended single-player RPG, Morrowind allows you to create and play any kind of character imaginable. You can choose to follow the main storyline and find the source of the evil blight that plagues the land, or set off on your own to explore strange locations and develop your character based on their actions throughout the game. Featuring stunning 3D graphics, open-ended gameplay, and an incredible level of detail and interactivity, Morrowind offers a gameplay experience like no other.
In Tribunal, you journey to the capital city of Morrowind, called Mournhold, to meet the other two god-kings of Morrowind, Almalexia and Sotha Sil. Your journey will lead you to the Clockwork City of Sotha Sil and massive, epic-sized dungeons, where strange and deadly creatures await you, including goblins, lich lords, and the mysterious Fabricants.

Bloodmoon takes you to the frozen Island of Solstheim where you'll experience snow, blizzards, and new creatures, including frost trolls, ice minions, and wolves... just to name a few. You'll have a choice of stories to follow and have the opportunity to defend the colony, take control over how the colony is built up, and eliminate the werewolves. Or, you can decide to join the werewolves and become one of them, opening up a whole new style of gameplay.

Key features:

Players can take their existing Morrowind characters and save games and continue their adventures in the Morrowind GotY edition

Adds up to 80 hours of new gameplay and quests for current Morrowind players

Explore the forests, caves, and snow-covered wastelands of the island of Solstheim

Delve into new, epic-sized dungeons and visit the Capital City of Mournhold and the Clockwork City of Sotha Sil

Fight new creatures including bears and wolves, lich lords and goblins, ice minions and spriggans

Direct the construction of a mining colony and face the threat of savage werewolves

Become a werewolf and indulge your thirst for the hunt

New armor and weapons including Nordic Mail and Ice blades"
"whaY3b1Al60","Let's Play The Elder Scrolls III: Morrowind Part 4 (Patreon Chosen Game)","Keith Ballard","2017-05-07","2017-05-07","https://i.ytimg.com/vi/whaY3b1Al60/hqdefault.jpg","Watch more The Elder Scrolls III: Morrowind! https://www.youtube.com/playlist?list=PL5dr1EHvfwpMfbYzdeDTrJQK2kuf-1Gph

Support what I do by subscribing on Patreon! https://www.patreon.com/SebastianSB

My Twitter: https://twitter.com/SebastianSB

Join our Discord: https://discord.gg/CxtuCpW

Buy The Elder Scrolls III: Morrowind - Game of the Year Edition on Steam: http://store.steampowered.com/app/22320/The_Elder_Scrolls_III_Morrowind_Game_of_the_Year_Edition/

Game Description:

The Elder Scrolls III: Morrowind® Game of the Year Edition includes Morrowind plus all of the content from the Bloodmoon and Tribunal expansions. The original Mod Construction Set is not included in this package.

An epic, open-ended single-player RPG, Morrowind allows you to create and play any kind of character imaginable. You can choose to follow the main storyline and find the source of the evil blight that plagues the land, or set off on your own to explore strange locations and develop your character based on their actions throughout the game. Featuring stunning 3D graphics, open-ended gameplay, and an incredible level of detail and interactivity, Morrowind offers a gameplay experience like no other.
In Tribunal, you journey to the capital city of Morrowind, called Mournhold, to meet the other two god-kings of Morrowind, Almalexia and Sotha Sil. Your journey will lead you to the Clockwork City of Sotha Sil and massive, epic-sized dungeons, where strange and deadly creatures await you, including goblins, lich lords, and the mysterious Fabricants.

Bloodmoon takes you to the frozen Island of Solstheim where you'll experience snow, blizzards, and new creatures, including frost trolls, ice minions, and wolves... just to name a few. You'll have a choice of stories to follow and have the opportunity to defend the colony, take control over how the colony is built up, and eliminate the werewolves. Or, you can decide to join the werewolves and become one of them, opening up a whole new style of gameplay.

Key features:

Players can take their existing Morrowind characters and save games and continue their adventures in the Morrowind GotY edition

Adds up to 80 hours of new gameplay and quests for current Morrowind players

Explore the forests, caves, and snow-covered wastelands of the island of Solstheim

Delve into new, epic-sized dungeons and visit the Capital City of Mournhold and the Clockwork City of Sotha Sil

Fight new creatures including bears and wolves, lich lords and goblins, ice minions and spriggans

Direct the construction of a mining colony and face the threat of savage werewolves

Become a werewolf and indulge your thirst for the hunt

New armor and weapons including Nordic Mail and Ice blades"
"eHC2fbM6cVs","Let's Play The Elder Scrolls III: Morrowind Part 5 (Patreon Chosen Game)","Keith Ballard","2017-05-08","2017-05-08","https://i.ytimg.com/vi/eHC2fbM6cVs/hqdefault.jpg","Watch more The Elder Scrolls III: Morrowind! https://www.youtube.com/playlist?list=PL5dr1EHvfwpMfbYzdeDTrJQK2kuf-1Gph

Support what I do by subscribing on Patreon! https://www.patreon.com/SebastianSB

My Twitter: https://twitter.com/SebastianSB

Join our Discord: https://discord.gg/CxtuCpW

Buy The Elder Scrolls III: Morrowind - Game of the Year Edition on Steam: http://store.steampowered.com/app/22320/The_Elder_Scrolls_III_Morrowind_Game_of_the_Year_Edition/

Game Description:

The Elder Scrolls III: Morrowind® Game of the Year Edition includes Morrowind plus all of the content from the Bloodmoon and Tribunal expansions. The original Mod Construction Set is not included in this package.

An epic, open-ended single-player RPG, Morrowind allows you to create and play any kind of character imaginable. You can choose to follow the main storyline and find the source of the evil blight that plagues the land, or set off on your own to explore strange locations and develop your character based on their actions throughout the game. Featuring stunning 3D graphics, open-ended gameplay, and an incredible level of detail and interactivity, Morrowind offers a gameplay experience like no other.
In Tribunal, you journey to the capital city of Morrowind, called Mournhold, to meet the other two god-kings of Morrowind, Almalexia and Sotha Sil. Your journey will lead you to the Clockwork City of Sotha Sil and massive, epic-sized dungeons, where strange and deadly creatures await you, including goblins, lich lords, and the mysterious Fabricants.

Bloodmoon takes you to the frozen Island of Solstheim where you'll experience snow, blizzards, and new creatures, including frost trolls, ice minions, and wolves... just to name a few. You'll have a choice of stories to follow and have the opportunity to defend the colony, take control over how the colony is built up, and eliminate the werewolves. Or, you can decide to join the werewolves and become one of them, opening up a whole new style of gameplay.

Key features:

Players can take their existing Morrowind characters and save games and continue their adventures in the Morrowind GotY edition

Adds up to 80 hours of new gameplay and quests for current Morrowind players

Explore the forests, caves, and snow-covered wastelands of the island of Solstheim

Delve into new, epic-sized dungeons and visit the Capital City of Mournhold and the Clockwork City of Sotha Sil

Fight new creatures including bears and wolves, lich lords and goblins, ice minions and spriggans

Direct the construction of a mining colony and face the threat of savage werewolves

Become a werewolf and indulge your thirst for the hunt

New armor and weapons including Nordic Mail and Ice blades"
"G-JeVCpGZE0","Let's Play The Elder Scrolls III: Morrowind Part 6 (Patreon Chosen Game)","Keith Ballard","2017-05-09","2017-05-09","https://i.ytimg.com/vi/G-JeVCpGZE0/hqdefault.jpg","Watch more The Elder Scrolls III: Morrowind! https://www.youtube.com/playlist?list=PL5dr1EHvfwpMfbYzdeDTrJQK2kuf-1Gph

Support what I do by subscribing on Patreon! https://www.patreon.com/SebastianSB

My Twitter: https://twitter.com/SebastianSB

Join our Discord: https://discord.gg/CxtuCpW

Buy The Elder Scrolls III: Morrowind - Game of the Year Edition on Steam: http://store.steampowered.com/app/22320/The_Elder_Scrolls_III_Morrowind_Game_of_the_Year_Edition/

Game Description:

The Elder Scrolls III: Morrowind® Game of the Year Edition includes Morrowind plus all of the content from the Bloodmoon and Tribunal expansions. The original Mod Construction Set is not included in this package.

An epic, open-ended single-player RPG, Morrowind allows you to create and play any kind of character imaginable. You can choose to follow the main storyline and find the source of the evil blight that plagues the land, or set off on your own to explore strange locations and develop your character based on their actions throughout the game. Featuring stunning 3D graphics, open-ended gameplay, and an incredible level of detail and interactivity, Morrowind offers a gameplay experience like no other.
In Tribunal, you journey to the capital city of Morrowind, called Mournhold, to meet the other two god-kings of Morrowind, Almalexia and Sotha Sil. Your journey will lead you to the Clockwork City of Sotha Sil and massive, epic-sized dungeons, where strange and deadly creatures await you, including goblins, lich lords, and the mysterious Fabricants.

Bloodmoon takes you to the frozen Island of Solstheim where you'll experience snow, blizzards, and new creatures, including frost trolls, ice minions, and wolves... just to name a few. You'll have a choice of stories to follow and have the opportunity to defend the colony, take control over how the colony is built up, and eliminate the werewolves. Or, you can decide to join the werewolves and become one of them, opening up a whole new style of gameplay.

Key features:

Players can take their existing Morrowind characters and save games and continue their adventures in the Morrowind GotY edition

Adds up to 80 hours of new gameplay and quests for current Morrowind players

Explore the forests, caves, and snow-covered wastelands of the island of Solstheim

Delve into new, epic-sized dungeons and visit the Capital City of Mournhold and the Clockwork City of Sotha Sil

Fight new creatures including bears and wolves, lich lords and goblins, ice minions and spriggans

Direct the construction of a mining colony and face the threat of savage werewolves

Become a werewolf and indulge your thirst for the hunt

New armor and weapons including Nordic Mail and Ice blades"
"CDQGSUX3Rco","Let's Play The Elder Scrolls III: Morrowind Part 7 (Patreon Chosen Game)","Keith Ballard","2017-05-10","2017-05-10","https://i.ytimg.com/vi/CDQGSUX3Rco/hqdefault.jpg","Watch more The Elder Scrolls III: Morrowind! https://www.youtube.com/playlist?list=PL5dr1EHvfwpMfbYzdeDTrJQK2kuf-1Gph

Support what I do by subscribing on Patreon! https://www.patreon.com/SebastianSB

My Twitter: https://twitter.com/SebastianSB

Join our Discord: https://discord.gg/CxtuCpW

Buy The Elder Scrolls III: Morrowind - Game of the Year Edition on Steam: http://store.steampowered.com/app/22320/The_Elder_Scrolls_III_Morrowind_Game_of_the_Year_Edition/

Game Description:

The Elder Scrolls III: Morrowind® Game of the Year Edition includes Morrowind plus all of the content from the Bloodmoon and Tribunal expansions. The original Mod Construction Set is not included in this package.

An epic, open-ended single-player RPG, Morrowind allows you to create and play any kind of character imaginable. You can choose to follow the main storyline and find the source of the evil blight that plagues the land, or set off on your own to explore strange locations and develop your character based on their actions throughout the game. Featuring stunning 3D graphics, open-ended gameplay, and an incredible level of detail and interactivity, Morrowind offers a gameplay experience like no other.
In Tribunal, you journey to the capital city of Morrowind, called Mournhold, to meet the other two god-kings of Morrowind, Almalexia and Sotha Sil. Your journey will lead you to the Clockwork City of Sotha Sil and massive, epic-sized dungeons, where strange and deadly creatures await you, including goblins, lich lords, and the mysterious Fabricants.

Bloodmoon takes you to the frozen Island of Solstheim where you'll experience snow, blizzards, and new creatures, including frost trolls, ice minions, and wolves... just to name a few. You'll have a choice of stories to follow and have the opportunity to defend the colony, take control over how the colony is built up, and eliminate the werewolves. Or, you can decide to join the werewolves and become one of them, opening up a whole new style of gameplay.

Key features:

Players can take their existing Morrowind characters and save games and continue their adventures in the Morrowind GotY edition

Adds up to 80 hours of new gameplay and quests for current Morrowind players

Explore the forests, caves, and snow-covered wastelands of the island of Solstheim

Delve into new, epic-sized dungeons and visit the Capital City of Mournhold and the Clockwork City of Sotha Sil

Fight new creatures including bears and wolves, lich lords and goblins, ice minions and spriggans

Direct the construction of a mining colony and face the threat of savage werewolves

Become a werewolf and indulge your thirst for the hunt

New armor and weapons including Nordic Mail and Ice blades"
"fuM71neeJuo","Let's Play The Elder Scrolls III: Morrowind Part 8 (Patreon Chosen Game)","Keith Ballard","2017-05-11","2017-05-11","https://i.ytimg.com/vi/fuM71neeJuo/hqdefault.jpg","Watch more The Elder Scrolls III: Morrowind! https://www.youtube.com/playlist?list=PL5dr1EHvfwpMfbYzdeDTrJQK2kuf-1Gph

Support what I do by subscribing on Patreon! https://www.patreon.com/SebastianSB

My Twitter: https://twitter.com/SebastianSB

Join our Discord: https://discord.gg/CxtuCpW

Buy The Elder Scrolls III: Morrowind - Game of the Year Edition on Steam: http://store.steampowered.com/app/22320/The_Elder_Scrolls_III_Morrowind_Game_of_the_Year_Edition/

Game Description:

The Elder Scrolls III: Morrowind® Game of the Year Edition includes Morrowind plus all of the content from the Bloodmoon and Tribunal expansions. The original Mod Construction Set is not included in this package.

An epic, open-ended single-player RPG, Morrowind allows you to create and play any kind of character imaginable. You can choose to follow the main storyline and find the source of the evil blight that plagues the land, or set off on your own to explore strange locations and develop your character based on their actions throughout the game. Featuring stunning 3D graphics, open-ended gameplay, and an incredible level of detail and interactivity, Morrowind offers a gameplay experience like no other.
In Tribunal, you journey to the capital city of Morrowind, called Mournhold, to meet the other two god-kings of Morrowind, Almalexia and Sotha Sil. Your journey will lead you to the Clockwork City of Sotha Sil and massive, epic-sized dungeons, where strange and deadly creatures await you, including goblins, lich lords, and the mysterious Fabricants.

Bloodmoon takes you to the frozen Island of Solstheim where you'll experience snow, blizzards, and new creatures, including frost trolls, ice minions, and wolves... just to name a few. You'll have a choice of stories to follow and have the opportunity to defend the colony, take control over how the colony is built up, and eliminate the werewolves. Or, you can decide to join the werewolves and become one of them, opening up a whole new style of gameplay.

Key features:

Players can take their existing Morrowind characters and save games and continue their adventures in the Morrowind GotY edition

Adds up to 80 hours of new gameplay and quests for current Morrowind players

Explore the forests, caves, and snow-covered wastelands of the island of Solstheim

Delve into new, epic-sized dungeons and visit the Capital City of Mournhold and the Clockwork City of Sotha Sil

Fight new creatures including bears and wolves, lich lords and goblins, ice minions and spriggans

Direct the construction of a mining colony and face the threat of savage werewolves

Become a werewolf and indulge your thirst for the hunt

New armor and weapons including Nordic Mail and Ice blades"
"LLI3c-BYed8","Let's Play The Elder Scrolls III: Morrowind Part 9 (Patreon Chosen Game)","Keith Ballard","2017-05-12","2017-05-12","https://i.ytimg.com/vi/LLI3c-BYed8/hqdefault.jpg","Watch more The Elder Scrolls III: Morrowind! https://www.youtube.com/playlist?list=PL5dr1EHvfwpMfbYzdeDTrJQK2kuf-1Gph

Support what I do by subscribing on Patreon! https://www.patreon.com/SebastianSB

My Twitter: https://twitter.com/SebastianSB

Join our Discord: https://discord.gg/CxtuCpW

Buy The Elder Scrolls III: Morrowind - Game of the Year Edition on Steam: http://store.steampowered.com/app/22320/The_Elder_Scrolls_III_Morrowind_Game_of_the_Year_Edition/

Game Description:

The Elder Scrolls III: Morrowind® Game of the Year Edition includes Morrowind plus all of the content from the Bloodmoon and Tribunal expansions. The original Mod Construction Set is not included in this package.

An epic, open-ended single-player RPG, Morrowind allows you to create and play any kind of character imaginable. You can choose to follow the main storyline and find the source of the evil blight that plagues the land, or set off on your own to explore strange locations and develop your character based on their actions throughout the game. Featuring stunning 3D graphics, open-ended gameplay, and an incredible level of detail and interactivity, Morrowind offers a gameplay experience like no other.
In Tribunal, you journey to the capital city of Morrowind, called Mournhold, to meet the other two god-kings of Morrowind, Almalexia and Sotha Sil. Your journey will lead you to the Clockwork City of Sotha Sil and massive, epic-sized dungeons, where strange and deadly creatures await you, including goblins, lich lords, and the mysterious Fabricants.

Bloodmoon takes you to the frozen Island of Solstheim where you'll experience snow, blizzards, and new creatures, including frost trolls, ice minions, and wolves... just to name a few. You'll have a choice of stories to follow and have the opportunity to defend the colony, take control over how the colony is built up, and eliminate the werewolves. Or, you can decide to join the werewolves and become one of them, opening up a whole new style of gameplay.

Key features:

Players can take their existing Morrowind characters and save games and continue their adventures in the Morrowind GotY edition

Adds up to 80 hours of new gameplay and quests for current Morrowind players

Explore the forests, caves, and snow-covered wastelands of the island of Solstheim

Delve into new, epic-sized dungeons and visit the Capital City of Mournhold and the Clockwork City of Sotha Sil

Fight new creatures including bears and wolves, lich lords and goblins, ice minions and spriggans

Direct the construction of a mining colony and face the threat of savage werewolves

Become a werewolf and indulge your thirst for the hunt

New armor and weapons including Nordic Mail and Ice blades"
"zAfyh78hL_M","Let's Play The Elder Scrolls III: Morrowind Part 10 (Patreon Chosen Game)","Keith Ballard","2017-05-13","2017-05-13","https://i.ytimg.com/vi/zAfyh78hL_M/hqdefault.jpg","Watch more The Elder Scrolls III: Morrowind! https://www.youtube.com/playlist?list=PL5dr1EHvfwpMfbYzdeDTrJQK2kuf-1Gph

Support what I do by subscribing on Patreon! https://www.patreon.com/SebastianSB

My Twitter: https://twitter.com/SebastianSB

Join our Discord: https://discord.gg/CxtuCpW

Buy The Elder Scrolls III: Morrowind - Game of the Year Edition on Steam: http://store.steampowered.com/app/22320/The_Elder_Scrolls_III_Morrowind_Game_of_the_Year_Edition/

Game Description:

The Elder Scrolls III: Morrowind® Game of the Year Edition includes Morrowind plus all of the content from the Bloodmoon and Tribunal expansions. The original Mod Construction Set is not included in this package.

An epic, open-ended single-player RPG, Morrowind allows you to create and play any kind of character imaginable. You can choose to follow the main storyline and find the source of the evil blight that plagues the land, or set off on your own to explore strange locations and develop your character based on their actions throughout the game. Featuring stunning 3D graphics, open-ended gameplay, and an incredible level of detail and interactivity, Morrowind offers a gameplay experience like no other.
In Tribunal, you journey to the capital city of Morrowind, called Mournhold, to meet the other two god-kings of Morrowind, Almalexia and Sotha Sil. Your journey will lead you to the Clockwork City of Sotha Sil and massive, epic-sized dungeons, where strange and deadly creatures await you, including goblins, lich lords, and the mysterious Fabricants.

Bloodmoon takes you to the frozen Island of Solstheim where you'll experience snow, blizzards, and new creatures, including frost trolls, ice minions, and wolves... just to name a few. You'll have a choice of stories to follow and have the opportunity to defend the colony, take control over how the colony is built up, and eliminate the werewolves. Or, you can decide to join the werewolves and become one of them, opening up a whole new style of gameplay.

Key features:

Players can take their existing Morrowind characters and save games and continue their adventures in the Morrowind GotY edition

Adds up to 80 hours of new gameplay and quests for current Morrowind players

Explore the forests, caves, and snow-covered wastelands of the island of Solstheim

Delve into new, epic-sized dungeons and visit the Capital City of Mournhold and the Clockwork City of Sotha Sil

Fight new creatures including bears and wolves, lich lords and goblins, ice minions and spriggans

Direct the construction of a mining colony and face the threat of savage werewolves

Become a werewolf and indulge your thirst for the hunt

New armor and weapons including Nordic Mail and Ice blades"
