"Playlist URL","https://www.youtube.com/playlist?list=PLLUxIGUvOzFZ3O19Xryjbkcl6TND2x1kD"
"Playlist title","downbeat_music"
"Playlist author","John Grey"
"Videos","67"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"TA9deCtUNGM","Goodbye","Bo Burnham - Topic","2023-11-27","2021-06-09","https://i.ytimg.com/vi/TA9deCtUNGM/hqdefault.jpg","Provided to YouTube by Ingrooves

Goodbye · Bo Burnham

INSIDE

℗ 2021 Attic Bedroom, Corp. under exclusive license to IMPERIAL

Released on: 2021-06-10

Composer, Writer: Bo Burnham

Auto-generated by YouTube."
"jC1rWb1ZM34","The Dead South - Broken Cowboy - 1/9/2020 - Paste Studio NYC - New York, NY","Paste Magazine","2023-11-27","2020-01-14","https://i.ytimg.com/vi/jC1rWb1ZM34/hqdefault.jpg","The Dead South - Broken Cowboy
Recorded Live - Paste Studio NYC - New York, NY
More The Dead South: https://www.pastemagazine.com/search?t=The+Dead+South&m=Video

Audio: Taro Hyodo
Video: Brad Wagner"
"z6-7gjgVg7E","The Dead South – Broken Cowboy (Official Audio)","The Dead South","2023-11-27","2022-09-21","https://i.ytimg.com/vi/z6-7gjgVg7E/hqdefault.jpg","Official Audio for Broken Cowboy by The Dead South

Stream The Dead South's single ""Broken Cowboy""
https://SixShooterRecords.lnk.to/SugarAndJoyID

Stream/Download ""Sugar & Joy"":
https://SixShooterRecords.lnk.to/SugarAndJoyID

---

Follow The Dead South
Facebook: http://facebook.com/thedeadsouth
Instagram: https://instagram.com/thedeadsouth
Twitter: https://twitter.com/thedeadsouth4
TikTok: https://tiktok.com/@thedeadsouth

Join The Dead South’s mailing list:
https://www.thedeadsouth.com/newsletter

---

Lyrics:

It's been a long dark dirty road
And pocket full of gold
I've been out here now
All on my own
It's real quiet here
Just the way I like it here
There's no one to bother me
Except

In 1955, born into Wadena's pride
I laid my head on that
Milligan creek bed
When I was a young man
I helped build this land
Oh, I put down these rails as a
CPR man

Thought I'd live forever
With my heart in my pocket
Oh, my gun by my side
And my feelings in a locket

Well, that was a cold year in '77
But I married my wife
We had two kids
I gave her a daughter
She gave me a son
And we rode those damn horses 'til we had none

Fist still like flyin'
Doing things for dyin'
Oh, I should have put that old gun away

Well I, I am a broken Cowboy
And I don't feel right no more
'Cause I am a broken Cowboy

Livin' life in the fast lane
Racing cars and robbing trains
I thought I had it all
Then one day, I got the call
A father's worst dream
My son went down and I

The colours deceive me
As I see grey
Oh, you're cutting me down with those
Cold words you're saying
Then you called me, brother
But this can't be so, 'cause you
Slander my name, anywhere the wind will blow

Well, I am a broken cowboy
And I don't feel right no more
'Cause I am a broken cowboy
Yes, I am a broken cowboy

It's been a long dark dirty road
But a pocket full of gold
And I've been out here now
All on my own
Well, it's real quiet here
Just the way I like it here
There's no one to bother me
Except that old taunting tree

#thedeadsouth #sugarandjoy"
"g4UZRYShjYU","Hurt - Nine Inch Nails (Bardcore | Medieval Style Cover)","Hildegard von Blingin'","2023-11-27","2023-05-23","https://i.ytimg.com/vi/g4UZRYShjYU/hqdefault.jpg","Greetings all! I'm back with another bardcore cover, which in some ways is a cover of a cover. Hurt was written by Trent Reznor of Nine Inch Nails, and famously covered by Johnny Cash only 7 months before his death. I'm throwing my hat in the ring with a somewhat unusual take on the theme, but had to stop myself from bawling while recording even with the altered lyrics. Some of the words resisted change of any kind. No matter the context, this song gets you right in the human frailty.

Listen now on Spotify: https://open.spotify.com/track/6vwZvIGhXV18gHJu748IFq?si=6f351bcd91f54a83

Consider supporting the channel on Patreon: https://patreon.com/hildegardvonblingin

You get extra points if you can tell which character the art is based on.
The art:
A heavily altered Miniature of Conrad III of Germany from Chronica Regia Coloniensis (Cologne Kings' Chronicle; Cologne; ca. 1240). Brussels, Bibliothèque Royale, Ms. 467, fol. 64v

Lyrics:
I fell upon my sword
To see if I could die
I woke upon the morn,
And still I was alive
The arrow tears a hole,
The old familiar sting
The fates hold out my thread,
But cannot cut the string

What have I become?
My sweetest friend
Everyone I love fades away in the end
And thou couldst have it all
My empire of dirt
I will let thee down
I will make thee hurt

I wear this crown of thorns
Upon my liar's chair
Full of broken thoughts
I cannot repair
Beneath the stains of time
The feelings disappear
Thou art someone else
And I am still right here

What have I become?
My sweetest friend
Everyone I love fades away in the end
And thou couldst have it all
My empire of dirt
I will let thee down
I will make thee hurt
If I could start again
A thousand leagues away
I would keep my oath
I would find a way"
"WfLBKHffLLM","bo burnham - inside (8 bit compilation - part 2)","disphing","2023-11-27","2021-09-02","https://i.ytimg.com/vi/WfLBKHffLLM/hqdefault.jpg","THANKS FOR 1000 SUBSCRIBERS
i did NOT expect the reaction from the previous part tysm
every song from parts 1 and 2 are available to download here:
https://www.toneden.io/tcv4qeto36buq4u64ymujt9hy/post/bo-burnham-inside-8-bit

obviously there are some songs i missed; i probably won't end up uploading them to youtube, but i WILL upload them to the google drive folder if you want to check them out

0:00 Bezos I
1:00 Sexting
4:20 Problematic
7:33 30
10:08 Shit
11:27 Welcome to the Internet

---------------------------------------------------------------------------------
https://linktr.ee/disphing
https://www.instagram.com/dsphng
https://www.twitter.com/disphing
https://www.soundcloud.com/disphing
https://discord.gg/yrXE3we"
"1jfiC8ib0wg","bo burnham - inside (8 bit compilation - part 1)","disphing","2023-11-27","2021-07-30","https://i.ytimg.com/vi/1jfiC8ib0wg/hqdefault.jpg","look i made you some content
feel free to use this in videos and stuff but please PLEASE credit meeee
free download: https://www.toneden.io/tcv4qeto36buq4u64ymujt9hy/post/bo-burnham-inside-8-bit

00:00 Content
01:38 Comedy
06:52 FaceTime With My Mom
09:13 White Woman's Instagram
13:14 Look Who's Inside Again
14:33 All Eyes On Me
18:10 Goodbye

---------------------------------------------------------------------------------
https://linktr.ee/disphing
https://www.instagram.com/dsphng
https://www.twitter.com/disphing
https://www.soundcloud.com/disphing
https://discord.gg/yrXE3we"
"P3MecrIgFtw","Steve Reich: WTC 9/11 | Mallet Quartet | Dance Patterns – Kronos Quartet (Audio video)","Faces of Classical Music – 8","2023-11-27","2016-09-09","https://i.ytimg.com/vi/P3MecrIgFtw/hqdefault.jpg","Faces of Classical Music
http://facesofclassicalmusic.blogspot.com/
•

More information:
http://facesofclassicalmusic.blogspot.gr/2016/09/steve-reich-wtc-911-mallet-quartet.html

Steve Reich (b. 1936)

1. WTC 9/11 (2010) [00:00]

i. 9/11
ii. 2010
iii. WTC

Kronos Quartet:
David Harrington, violin
John Sherba, violin
Hank Dutt, viola
Jeffrey Zeigler, cello

Recorded February 21-24, 2011, at Studio Trilogy, San Francisco


2. Mallet Quartet (2009) [15:52]

i. Fast
ii. Slow
iii. Fast

Sō Percussion:
Eric Beach & Jason Treuting, vibraphone
Josh Quillen & Adam Sliwinski, marimba

Recorded March 22, 2011, in Studio C of Avatar Studios, New York


3. Dance Patterns (2002) [30:36]

James Preiss & Thad Wheeler, vibraphone
Frank Cassara & Garry Kvistad, xylophone
Edmund Niemann & Nurit Tilles, piano

Recorded December 13, 2004, in Studio A of Avatar Studios, New York


Nonesuch Records 2011

(HD 1080p – Audio video)

More information:
http://facesofclassicalmusic.blogspot.gr/2016/09/steve-reich-wtc-911-mallet-quartet.html

•
Faces of Classical Music
http://facesofclassicalmusic.blogspot.com/"
"B_yqP-WBigs","Nine Inch Nails - Acoustic in Chicago (Audio)","Felipe NIN","2023-11-27","2014-05-08","https://i.ytimg.com/vi/B_yqP-WBigs/hqdefault.jpg","This performance is known as The CRC Sessions, Acoustic in Chicago or Live and Deconstructed in Chicago 2000.
Please go to: http://www.nin.com/
Setlist:
00:00 Something I Can Never Have
06:18 The Day The World Went Away
11:37 Hurt (Take one)
16:24 Even Deeper
21:54 The Big Come Down
26:20 The Fragile
31:05 Hurt (Take two)

Lineup:
Charlie Clouser: Keyboards, programming, backing vocals
Jerome Dillon: Drums, percussion
Robin Finck: Guitar, backing vocals
Danny Lohner: Bass, guitar, backing vocals
Trent Reznor: Vocals, piano

Info:
On April 27, 2000 Nine Inch Nails played a special show at the Chicago Recording Company. Some of the songs (specifically ""Something I Can Never Have"", ""The Day The World Went Away"" and ""Hurt"") were performed in new, stripped-down form, considered acoustic, and are thought to have inspired Still, part of the And All That Could Have Been release."
"VRgshqOv-xM","Hugh Laurie - Let Them Talk A Celebration of New Orleans Blues - 2011 HDTV 1080p EN Diablo","David GIRARD","2023-11-27","2018-06-01","https://i.ytimg.com/vi/VRgshqOv-xM/hqdefault.jpg",""
"Ku3iH37hsuk","""Hurt"" - Nine Inch Nails // piano improvisation","ixi music","2023-11-27","2021-07-27","https://i.ytimg.com/vi/Ku3iH37hsuk/hqdefault.jpg","My improvisation of ""Hurt"" for solo piano, recorded after I finished analyzing the song's harmony. There's also a nod to a melody from ""Epiphany"" from the Soul OST, as well as The Downward Spiral melodic theme. Thank you for watching!
NOW AVAILABLE for download on Bandcamp along with all piano covers from The Downward Spiral! https://iximusix.bandcamp.com/album/the-downward-spiral-reimagined-for-piano

My song breakdown videos cannot be monetized due to music copyright laws. If you'd like to support me in making these videos:
🎹  Buy the The Downward Spiral: Reimagined for Piano on Bandcamp: https://iximusix.bandcamp.com/album/the-downward-spiral-reimagined-for-piano
 🤚 Join my PATREON - more videos & song covers, album/score listening parties, sheet music, & educational content: https://www.patreon.com/iximusic
👍  Like, subscribe, ring the notification bell, and share
💄 TIP JAR (buy me a lipstick): https://www.buymeacoffee.com/iximusic
MY ANALYSIS OF HURT: https://youtu.be/1EJN_D9YjVI
""HURT"" live at Self Destruct Tour 1995: https://www.youtube.com/watch?v=dhh21crSohs
___________
SPECIAL BIG PIG THANK YOU to my Patrons: Victoria Hogg, Dario Cotti, Zachary Stevens, Darius McCaskey, John Kirkilis, Ada Cohen, James M. Bowers, Beguile, Philip Sharp, Kevin Meyer, Eric Blum, richchupac, JTScott Gentzen, Dustin Sinkey, Justin Owens, Ste McFreeman, Shane Gartner, Andrew Hussey, Jeff Hamm, Katie Murphy, Tyler Shaw, brandon, Tim Moore, Bradley Kemp, echothirteen, Patrick LaRue, Fernando, John Schadegg, Brian Gunn, Jake Cole, Kyle Krull, Marc Jeray, Giorgio Tidei, Vesuvian, Luc De Brouwer, snettles1143, Justin Montgomery, Erik Hermansen, Jerry Langwell, Andrés Fernandez, Brian Hard, Max Hodges, Travis Ames, Joseph Martin Giralt, Noah, Gaven Cornaby, Matt Shepcar, Midwinter Minis, Michael Thomas, Kent Overstreet, Sid Sothoth, Matt Standish, Toney Vecchio, Shane Welch, Michael Elliot, Brian, Stephen Marsh, Christophe, Simon Evans, wolfheart, Nick Teague, Sam, Daniel Baer, Adam Chmielowiec, Chris Power, Matt Spurlin, Kai Ellis, Rory Wilson, Arenow, Forrest Karbowski, Dan Kelly, Skippityboo, Nate Beckman, Chrifis, Andrew Stimson, Joseph Souder, Konrad P-Kala, Brian Gunn, Jake Cole, Seth Startix, Etvid, Rick Grush, Rickard Enfors, Alexander Ekman, Josh Allard, Steve Bock, dreamsaremaps, Maze, HeliosVIII, Wayne Bristol, Dluck75, Jesse Russel, Marc Résibois, Joel, Samtallic, Filip Marcinowski, Black Magic Ti, Jerry Burch, Mark Olsen, Adam Khrystofer Hamilton, Lon Farenwald, Dr. Jeff, andrea cerini, N0UGHT, Elle Lassiter, Jan Scholtz, Thomas Rishel, HeathSoSpooky, Ted Carrol, Travis Hyde, Sean Vaske, noah yagi, Jesse Russell, Thomas Hohenester, Kai Bertsch, Dream in Digital, LEBRUN Fabien, Anastasia Beaverhausen, Eugene Leeds, Cesar, Marl, Bryan Dych, Jonathan, A.David Silverman, madartichoke, Matt, Anthony Grant, Celeste Epstein, Kieran Yanner, Watch Clark, Brian Bitner, Mike James Gallagher, Sammantha L, Moritz Bunkus, JJ, Renaud Bédard, Kevin T Hall, Stevie Sanchez, Blake Walker, dave, Tabitha Sheehan, Charnel Mansion, Atom Fellows, Matthew Thompson, thismachineisobsolete, Ben Wills, Brady Matteson, Richard Cortez, Mike Stanley, Shawboy278, Cameron C. Brown, Matt Munro, TrufflePig42, Sean Bowman, Gage Henderson, Melody Klein, Guillaume Pelletier Auger, Steve G, Gabriel, Paul Means, Jay Farris, Chad, Austin Amberg, fiarce, Nathaniel Garcia, Drew Celestino, Kevin Connell, Jessica Farrow, Liz Washer, Phrenological, Hovan Tajerian, Ericw1, Len Marchewka, Danielle, Colin Brockwiz, Alec Collins, João Veiga, and SATAN OVISION."
