"Playlist URL","https://www.youtube.com/playlist?list=PLzDeS-SWRIMMIGE6K4fzwKYRS2IdlCP3M"
"Playlist title","Kentucky Route Zero"
"Playlist author","Laila Dyer"
"Videos","27"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"gUXiGmGkY98","Kentucky Route Zero (Ep. 1 – Equus Oils)","Laila Dyer","2018-02-28","2018-02-25","https://i.ytimg.com/vi/gUXiGmGkY98/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Kentucky Route Zero, a mesmerizing point and click adventure game.

Official site:
http://kentuckyroutezero.com/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMIGE6K4fzwKYRS2IdlCP3M"
"gH0975qUR_I","Kentucky Route Zero (Ep. 2 – Shannon and the Mine)","Laila Dyer","2018-02-28","2018-02-27","https://i.ytimg.com/vi/gH0975qUR_I/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Kentucky Route Zero, a mesmerizing point and click adventure game.

Official site:
http://kentuckyroutezero.com/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMIGE6K4fzwKYRS2IdlCP3M"
"Ne_lM1OE0mk","Kentucky Route Zero (Ep. 3 – The Zero)","Laila Dyer","2018-03-07","2018-03-01","https://i.ytimg.com/vi/Ne_lM1OE0mk/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Kentucky Route Zero, a mesmerizing point and click adventure game.

Official site:
http://kentuckyroutezero.com/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMIGE6K4fzwKYRS2IdlCP3M"
"trmO5tsEZPA","Kentucky Route Zero (Ep. 4 – The Museum)","Laila Dyer","2018-03-07","2018-03-03","https://i.ytimg.com/vi/trmO5tsEZPA/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Kentucky Route Zero, a mesmerizing point and click adventure game.

Official site:
http://kentuckyroutezero.com/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMIGE6K4fzwKYRS2IdlCP3M"
"xpfdgl5Rk4o","Kentucky Route Zero (Ep. 5 – Ezra and Truman)","Laila Dyer","2018-03-07","2018-03-04","https://i.ytimg.com/vi/xpfdgl5Rk4o/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Kentucky Route Zero, a mesmerizing point and click adventure game.

Official site:
http://kentuckyroutezero.com/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMIGE6K4fzwKYRS2IdlCP3M"
"pt6rqS_2AFQ","Kentucky Route Zero (Ep. 6 – Johnny and Junebug)","Laila Dyer","2018-03-07","2018-03-05","https://i.ytimg.com/vi/pt6rqS_2AFQ/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Kentucky Route Zero, a mesmerizing point and click adventure game.

Official site:
http://kentuckyroutezero.com/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMIGE6K4fzwKYRS2IdlCP3M"
"0zzFVscqMQs","Kentucky Route Zero (Ep. 7 – Lower Depths)","Laila Dyer","2018-03-07","2018-03-06","https://i.ytimg.com/vi/0zzFVscqMQs/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Kentucky Route Zero, a mesmerizing point and click adventure game.

Official site:
http://kentuckyroutezero.com/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMIGE6K4fzwKYRS2IdlCP3M"
"lknjyjlh26I","Kentucky Route Zero (Ep. 8 – Hall of the Mountain King)","Laila Dyer","2018-03-17","2018-03-07","https://i.ytimg.com/vi/lknjyjlh26I/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Kentucky Route Zero, a mesmerizing point and click adventure game.

Official site:
http://kentuckyroutezero.com/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMIGE6K4fzwKYRS2IdlCP3M"
"nLEIEMCQy2M","Kentucky Route Zero (Ep. 9 – Xanadu)","Laila Dyer","2018-03-17","2018-03-08","https://i.ytimg.com/vi/nLEIEMCQy2M/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Kentucky Route Zero, a mesmerizing point and click adventure game.

Official site:
http://kentuckyroutezero.com/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMIGE6K4fzwKYRS2IdlCP3M"
"zkRNeM8VQTo","Kentucky Route Zero (Ep. 10 – The Strangers Pt. 1)","Laila Dyer","2018-03-17","2018-03-09","https://i.ytimg.com/vi/zkRNeM8VQTo/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Kentucky Route Zero, a mesmerizing point and click adventure game.

Official site:
http://kentuckyroutezero.com/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMIGE6K4fzwKYRS2IdlCP3M"
