"Playlist URL","https://www.youtube.com/playlist?list=PLzDeS-SWRIMMV7Pxu6-hxZPsbD4YWd61s"
"Playlist title","Night in the Woods"
"Playlist author","Laila Dyer"
"Videos","24"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"XsY7_nmqCIc","Night in the Woods (Ep. 1 – Home Again)","Laila Dyer","2018-08-29","2018-07-28","https://i.ytimg.com/vi/XsY7_nmqCIc/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Night in the Woods (2017), an adventure game where Mae returns to their hometown after dropping out of college.

You can buy it at, among other places:
https://finji.itch.io/night-in-the-woods
https://store.steampowered.com/app/481510/Night_in_the_Woods/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMV7Pxu6-hxZPsbD4YWd61s"
"xMXFpbL_2n8","Night in the Woods (Ep. 2 – Old Friends)","Laila Dyer","2018-08-29","2018-07-30","https://i.ytimg.com/vi/xMXFpbL_2n8/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Night in the Woods (2017), an adventure game where Mae returns to their hometown after dropping out of college.

You can buy it at, among other places:
https://finji.itch.io/night-in-the-woods
https://store.steampowered.com/app/481510/Night_in_the_Woods/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMV7Pxu6-hxZPsbD4YWd61s"
"_wlgYIc2Y1I","Night in the Woods (Ep. 3 – Tech Support)","Laila Dyer","2018-08-29","2018-08-01","https://i.ytimg.com/vi/_wlgYIc2Y1I/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Night in the Woods (2017), an adventure game where Mae returns to their hometown after dropping out of college.

You can buy it at, among other places:
https://finji.itch.io/night-in-the-woods
https://store.steampowered.com/app/481510/Night_in_the_Woods/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMV7Pxu6-hxZPsbD4YWd61s"
"CA3H46YFE3c","Night in the Woods (Ep. 4 – Watch Yourself, Mae)","Laila Dyer","2018-08-29","2018-08-03","https://i.ytimg.com/vi/CA3H46YFE3c/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Night in the Woods (2017), an adventure game where Mae returns to their hometown after dropping out of college.

You can buy it at, among other places:
https://finji.itch.io/night-in-the-woods
https://store.steampowered.com/app/481510/Night_in_the_Woods/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMV7Pxu6-hxZPsbD4YWd61s"
"UrXpM2WSMPQ","Night in the Woods (Ep. 5 – The Party)","Laila Dyer","2018-08-29","2018-08-05","https://i.ytimg.com/vi/UrXpM2WSMPQ/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Night in the Woods (2017), an adventure game where Mae returns to their hometown after dropping out of college.

You can buy it at, among other places:
https://finji.itch.io/night-in-the-woods
https://store.steampowered.com/app/481510/Night_in_the_Woods/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMV7Pxu6-hxZPsbD4YWd61s"
"Vp40mFuVQ9o","Night in the Woods (Ep. 6 – Dusk Stars)","Laila Dyer","2018-08-29","2018-08-07","https://i.ytimg.com/vi/Vp40mFuVQ9o/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Night in the Woods (2017), an adventure game where Mae returns to their hometown after dropping out of college.

You can buy it at, among other places:
https://finji.itch.io/night-in-the-woods
https://store.steampowered.com/app/481510/Night_in_the_Woods/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMV7Pxu6-hxZPsbD4YWd61s"
"2DvwFgO5NQg","Night in the Woods (Ep. 7 – The Mall)","Laila Dyer","2018-08-29","2018-08-09","https://i.ytimg.com/vi/2DvwFgO5NQg/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Night in the Woods (2017), an adventure game where Mae returns to their hometown after dropping out of college.

You can buy it at, among other places:
https://finji.itch.io/night-in-the-woods
https://store.steampowered.com/app/481510/Night_in_the_Woods/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMV7Pxu6-hxZPsbD4YWd61s"
"gwnu-_7acWU","Night in the Woods (Ep. 8 – House Call)","Laila Dyer","2018-08-29","2018-08-11","https://i.ytimg.com/vi/gwnu-_7acWU/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Night in the Woods (2017), an adventure game where Mae returns to their hometown after dropping out of college.

You can buy it at, among other places:
https://finji.itch.io/night-in-the-woods
https://store.steampowered.com/app/481510/Night_in_the_Woods/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMV7Pxu6-hxZPsbD4YWd61s"
"lME01w2VbeM","Night in the Woods (Ep. 9 – Mallard)","Laila Dyer","2018-08-29","2018-08-13","https://i.ytimg.com/vi/lME01w2VbeM/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Night in the Woods (2017), an adventure game where Mae returns to their hometown after dropping out of college.

You can buy it at, among other places:
https://finji.itch.io/night-in-the-woods
https://store.steampowered.com/app/481510/Night_in_the_Woods/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMV7Pxu6-hxZPsbD4YWd61s"
"EMB9DGgZTzk","Night in the Woods (Ep. 10 – Knives)","Laila Dyer","2018-08-29","2018-08-15","https://i.ytimg.com/vi/EMB9DGgZTzk/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Night in the Woods (2017), an adventure game where Mae returns to their hometown after dropping out of college.

You can buy it at, among other places:
https://finji.itch.io/night-in-the-woods
https://store.steampowered.com/app/481510/Night_in_the_Woods/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMV7Pxu6-hxZPsbD4YWd61s"
"IB7-DmebnsM","Night in the Woods (Ep. 11 – Cycles)","Laila Dyer","2018-08-29","2018-08-17","https://i.ytimg.com/vi/IB7-DmebnsM/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Night in the Woods (2017), an adventure game where Mae returns to their hometown after dropping out of college.

You can buy it at, among other places:
https://finji.itch.io/night-in-the-woods
https://store.steampowered.com/app/481510/Night_in_the_Woods/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMV7Pxu6-hxZPsbD4YWd61s"
"UURCEoz9twY","Night in the Woods (Ep. 12 – Harfest)","Laila Dyer","2018-08-29","2018-08-19","https://i.ytimg.com/vi/UURCEoz9twY/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Night in the Woods (2017), an adventure game where Mae returns to their hometown after dropping out of college.

You can buy it at, among other places:
https://finji.itch.io/night-in-the-woods
https://store.steampowered.com/app/481510/Night_in_the_Woods/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMV7Pxu6-hxZPsbD4YWd61s"
"gUkMx7-_Yhk","Night in the Woods (Ep. 13 – Spooky Research)","Laila Dyer","2018-08-29","2018-08-21","https://i.ytimg.com/vi/gUkMx7-_Yhk/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Night in the Woods (2017), an adventure game where Mae returns to their hometown after dropping out of college.

You can buy it at, among other places:
https://finji.itch.io/night-in-the-woods
https://store.steampowered.com/app/481510/Night_in_the_Woods/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMV7Pxu6-hxZPsbD4YWd61s"
"XZiEvoohDWY","Night in the Woods (Ep. 14 – Poetry Society)","Laila Dyer","2018-08-29","2018-08-23","https://i.ytimg.com/vi/XZiEvoohDWY/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Night in the Woods (2017), an adventure game where Mae returns to their hometown after dropping out of college.

You can buy it at, among other places:
https://finji.itch.io/night-in-the-woods
https://store.steampowered.com/app/481510/Night_in_the_Woods/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMV7Pxu6-hxZPsbD4YWd61s"
"vW95KFVlNfQ","Night in the Woods (Ep. 15 – Rabies)","Laila Dyer","2018-08-29","2018-08-25","https://i.ytimg.com/vi/vW95KFVlNfQ/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Night in the Woods (2017), an adventure game where Mae returns to their hometown after dropping out of college.

You can buy it at, among other places:
https://finji.itch.io/night-in-the-woods
https://store.steampowered.com/app/481510/Night_in_the_Woods/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMV7Pxu6-hxZPsbD4YWd61s"
"aJXXqqhA80w","Night in the Woods (Ep. 16 – Graveyard)","Laila Dyer","2018-08-29","2018-08-27","https://i.ytimg.com/vi/aJXXqqhA80w/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Night in the Woods (2017), an adventure game where Mae returns to their hometown after dropping out of college.

You can buy it at, among other places:
https://finji.itch.io/night-in-the-woods
https://store.steampowered.com/app/481510/Night_in_the_Woods/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMV7Pxu6-hxZPsbD4YWd61s"
"rsxNgTzBC64","Night in the Woods (Ep. 17 – God)","Laila Dyer","2018-09-28","2018-08-29","https://i.ytimg.com/vi/rsxNgTzBC64/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Night in the Woods (2017), an adventure game where Mae returns to their hometown after dropping out of college.

You can buy it at, among other places:
https://finji.itch.io/night-in-the-woods
https://store.steampowered.com/app/481510/Night_in_the_Woods/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMV7Pxu6-hxZPsbD4YWd61s"
