"Playlist URL","https://www.youtube.com/playlist?list=PLzDeS-SWRIMMQHF-NF_KmHyDiSAHMbyEY"
"Playlist title","Pathologic 2"
"Playlist author","Laila Dyer"
"Videos","107"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"Z5KXfRJjTLo","Pathologic 2 (Ep. 1 – The Play Begins Anew)","Laila Dyer","2019-05-24","2019-05-24","https://i.ytimg.com/vi/Z5KXfRJjTLo/hqdefault.jpg","You can support me on Patreon and get bonus playthroughs: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Pathologic 2, a sequel/re-imagining of the original Pathologic. Made by Ice-Pick Lodge, one of my favorite developers because of their moody and strange creations. Join me as I play as a doctor brought home by an alarming letter from our dad, only to find a plague sweeping across the isolated town.

Official site:
https://www.pathologic-game.com/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMQHF-NF_KmHyDiSAHMbyEY"
"6o5yREr6T_E","Pathologic 2 (Ep. 2 – Fellow Traveler)","Laila Dyer","2019-05-25","2019-05-25","https://i.ytimg.com/vi/6o5yREr6T_E/hqdefault.jpg","You can support me on Patreon and get bonus playthroughs: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Pathologic 2, a sequel/re-imagining of the original Pathologic. Made by Ice-Pick Lodge, one of my favorite developers because of their moody and strange creations. Join me as I play as a doctor brought home by an alarming letter from our dad, only to find a plague sweeping across the isolated town.

Official site:
https://www.pathologic-game.com/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMQHF-NF_KmHyDiSAHMbyEY"
"1AhojeA48hc","Pathologic 2 (Ep. 3 – Talon and Beak)","Laila Dyer","2019-05-26","2019-05-26","https://i.ytimg.com/vi/1AhojeA48hc/hqdefault.jpg","You can support me on Patreon and get bonus playthroughs: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Pathologic 2, a sequel/re-imagining of the original Pathologic. Made by Ice-Pick Lodge, one of my favorite developers because of their moody and strange creations. Join me as I play as a doctor brought home by an alarming letter from our dad, only to find a plague sweeping across the isolated town.

Official site:
https://www.pathologic-game.com/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMQHF-NF_KmHyDiSAHMbyEY"
"jeb4BjHbWNo","Pathologic 2 (Ep. 4 – Scrap Names)","Laila Dyer","2019-05-27","2019-05-27","https://i.ytimg.com/vi/jeb4BjHbWNo/hqdefault.jpg","You can support me on Patreon and get bonus playthroughs: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Pathologic 2, a sequel/re-imagining of the original Pathologic. Made by Ice-Pick Lodge, one of my favorite developers because of their moody and strange creations. Join me as I play as a doctor brought home by an alarming letter from our dad, only to find a plague sweeping across the isolated town.

Official site:
https://www.pathologic-game.com/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMQHF-NF_KmHyDiSAHMbyEY"
"q08tjIdrvew","Pathologic 2 (Ep. 5 – Bad Grief)","Laila Dyer","2019-05-28","2019-05-28","https://i.ytimg.com/vi/q08tjIdrvew/hqdefault.jpg","You can support me on Patreon and get bonus playthroughs: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Pathologic 2, a sequel/re-imagining of the original Pathologic. Made by Ice-Pick Lodge, one of my favorite developers because of their moody and strange creations. Join me as I play as a doctor brought home by an alarming letter from our dad, only to find a plague sweeping across the isolated town.

Official site:
https://www.pathologic-game.com/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMQHF-NF_KmHyDiSAHMbyEY"
"7ZE_ULCu6t4","Pathologic 2 (Ep. 6 – The Earth is Breathing)","Laila Dyer","2019-05-28","2019-05-28","https://i.ytimg.com/vi/7ZE_ULCu6t4/hqdefault.jpg","You can support me on Patreon and get bonus playthroughs: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Pathologic 2, a sequel/re-imagining of the original Pathologic. Made by Ice-Pick Lodge, one of my favorite developers because of their moody and strange creations. Join me as I play as a doctor brought home by an alarming letter from our dad, only to find a plague sweeping across the isolated town.

Official site:
https://www.pathologic-game.com/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMQHF-NF_KmHyDiSAHMbyEY"
"YfzgOFpKzwA","Pathologic 2 (Ep. 7 – My Bones)","Laila Dyer","2019-05-29","2019-05-29","https://i.ytimg.com/vi/YfzgOFpKzwA/hqdefault.jpg","You can support me on Patreon and get bonus playthroughs: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Pathologic 2, a sequel/re-imagining of the original Pathologic. Made by Ice-Pick Lodge, one of my favorite developers because of their moody and strange creations. Join me as I play as a doctor brought home by an alarming letter from our dad, only to find a plague sweeping across the isolated town.

Official site:
https://www.pathologic-game.com/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMQHF-NF_KmHyDiSAHMbyEY"
"NZzUVRd4M58","Pathologic 2 (Ep. 8 – Surgery)","Laila Dyer","2019-05-30","2019-05-30","https://i.ytimg.com/vi/NZzUVRd4M58/hqdefault.jpg","You can support me on Patreon and get bonus playthroughs: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Pathologic 2, a sequel/re-imagining of the original Pathologic. Made by Ice-Pick Lodge, one of my favorite developers because of their moody and strange creations. Join me as I play as a doctor brought home by an alarming letter from our dad, only to find a plague sweeping across the isolated town.

Official site:
https://www.pathologic-game.com/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMQHF-NF_KmHyDiSAHMbyEY"
"EozPIbKPwHo","Pathologic 2 (Ep. 9 – From the Top)","Laila Dyer","2019-05-30","2019-05-30","https://i.ytimg.com/vi/EozPIbKPwHo/hqdefault.jpg","You can support me on Patreon and get bonus playthroughs: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Pathologic 2, a sequel/re-imagining of the original Pathologic. Made by Ice-Pick Lodge, one of my favorite developers because of their moody and strange creations. Join me as I play as a doctor brought home by an alarming letter from our dad, only to find a plague sweeping across the isolated town.

Official site:
https://www.pathologic-game.com/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMQHF-NF_KmHyDiSAHMbyEY"
"wV0bsn5I4Qc","Pathologic 2 (Ep. 10 – Poison)","Laila Dyer","2019-05-31","2019-05-31","https://i.ytimg.com/vi/wV0bsn5I4Qc/hqdefault.jpg","You can support me on Patreon and get bonus playthroughs: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Pathologic 2, a sequel/re-imagining of the original Pathologic. Made by Ice-Pick Lodge, one of my favorite developers because of their moody and strange creations. Join me as I play as a doctor brought home by an alarming letter from our dad, only to find a plague sweeping across the isolated town.

Official site:
https://www.pathologic-game.com/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMQHF-NF_KmHyDiSAHMbyEY"
