"Playlist URL","https://www.youtube.com/playlist?list=PLzDeS-SWRIMNrdRJ27WXuwyHgmOhHvdY7"
"Playlist title","Prey"
"Playlist author","Laila Dyer"
"Videos","25"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"xQ8p76TDfPY","Prey (Ep. 1 – Good Morning, Morgan)","Laila Dyer","2017-10-14","2017-09-22","https://i.ytimg.com/vi/xQ8p76TDfPY/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Prey (2017), a System Shock inspired game by Arkane Studios. I’m running on the Nightmare difficulty.

Official site:
https://prey.bethesda.net/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMNrdRJ27WXuwyHgmOhHvdY7"
"FWy9Gh-21uE","Prey (Ep. 2 – Talos I Lobby)","Laila Dyer","2017-10-14","2017-09-24","https://i.ytimg.com/vi/FWy9Gh-21uE/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Prey (2017), a System Shock inspired game by Arkane Studios. I’m running on the Nightmare difficulty.

Official site:
https://prey.bethesda.net/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMNrdRJ27WXuwyHgmOhHvdY7"
"vrbp2xaUkbo","Prey (Ep. 3 – Trauma Center)","Laila Dyer","2017-10-14","2017-09-26","https://i.ytimg.com/vi/vrbp2xaUkbo/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Prey (2017), a System Shock inspired game by Arkane Studios. I’m running on the Nightmare difficulty.

Official site:
https://prey.bethesda.net/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMNrdRJ27WXuwyHgmOhHvdY7"
"cKzvqtvncGM","Prey (Ep. 4 – Hardware Labs)","Laila Dyer","2017-10-14","2017-09-28","https://i.ytimg.com/vi/cKzvqtvncGM/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Prey (2017), a System Shock inspired game by Arkane Studios. I’m running on the Nightmare difficulty.

Official site:
https://prey.bethesda.net/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMNrdRJ27WXuwyHgmOhHvdY7"
"SOXafFbK1s0","Prey (Ep. 5 – The Video)","Laila Dyer","2017-10-14","2017-09-30","https://i.ytimg.com/vi/SOXafFbK1s0/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Prey (2017), a System Shock inspired game by Arkane Studios. I’m running on the Nightmare difficulty.

Official site:
https://prey.bethesda.net/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMNrdRJ27WXuwyHgmOhHvdY7"
"BzWU9lGXSAY","Prey (Ep. 6 - Psychotronics)","Laila Dyer","2017-10-14","2017-10-02","https://i.ytimg.com/vi/BzWU9lGXSAY/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Prey (2017), a System Shock inspired game by Arkane Studios. I’m running on the Nightmare difficulty.

Official site:
https://prey.bethesda.net/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMNrdRJ27WXuwyHgmOhHvdY7"
"Vk1Vc-Kr2Ug","Prey (Ep. 7 – The Morgue)","Laila Dyer","2017-10-14","2017-10-04","https://i.ytimg.com/vi/Vk1Vc-Kr2Ug/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Prey (2017), a System Shock inspired game by Arkane Studios. I’m running on the Nightmare difficulty.

Official site:
https://prey.bethesda.net/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMNrdRJ27WXuwyHgmOhHvdY7"
"I5EUHt9iix0","Prey (Ep. 8 – G.U.T.S.)","Laila Dyer","2017-10-14","2017-10-06","https://i.ytimg.com/vi/I5EUHt9iix0/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Prey (2017), a System Shock inspired game by Arkane Studios. I’m running on the Nightmare difficulty.

Official site:
https://prey.bethesda.net/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMNrdRJ27WXuwyHgmOhHvdY7"
"Moo8MoeRzHA","Prey (Ep. 9 - Arboretum)","Laila Dyer","2017-10-14","2017-10-09","https://i.ytimg.com/vi/Moo8MoeRzHA/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Prey (2017), a System Shock inspired game by Arkane Studios. I’m running on the Nightmare difficulty.

Official site:
https://prey.bethesda.net/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMNrdRJ27WXuwyHgmOhHvdY7"
"lNGpo_JoQJo","Prey (Ep. 10 – Volunteer Testing)","Laila Dyer","2017-10-14","2017-10-10","https://i.ytimg.com/vi/lNGpo_JoQJo/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Prey (2017), a System Shock inspired game by Arkane Studios. I’m running on the Nightmare difficulty.

Official site:
https://prey.bethesda.net/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMNrdRJ27WXuwyHgmOhHvdY7"
"fhiyd7-tPCI","Prey (Ep. 11 – Shuttle Bay)","Laila Dyer","2017-10-14","2017-10-12","https://i.ytimg.com/vi/fhiyd7-tPCI/hqdefault.jpg","You can support me on Patreon: https://www.patreon.com/MarshallDyer
You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of Prey (2017), a System Shock inspired game by Arkane Studios. I’m running on the Nightmare difficulty.

Official site:
https://prey.bethesda.net/

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMNrdRJ27WXuwyHgmOhHvdY7"
