"Playlist URL","https://www.youtube.com/playlist?list=PLzDeS-SWRIMMJSX5rkn59UsvWxPTD5WbJ"
"Playlist title","STASIS"
"Playlist author","Laila Dyer"
"Videos","14"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"iJ13I1yn01Y","STASIS (Ep. 1 - Eerie Silence)","Laila Dyer","2015-09-01","2015-09-01","https://i.ytimg.com/vi/iJ13I1yn01Y/hqdefault.jpg","You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of STASIS, a point-and-click sci-fi horror adventure game.

Learn more about STASIS from the main site:
http://stasisgame.com/web/page.php?p=about

You can buy STASIS from:
https://www.gog.com/game/stasis
http://store.steampowered.com/app/380150

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMJSX5rkn59UsvWxPTD5WbJ"
"f5M8tSt_NsA","STASIS (Ep. 2 - A Voice in the Darkness)","Laila Dyer","2015-09-03","2015-09-03","https://i.ytimg.com/vi/f5M8tSt_NsA/hqdefault.jpg","You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of STASIS, a point-and-click sci-fi horror adventure game.

Learn more about STASIS from the main site:
http://stasisgame.com/web/page.php?p=about

You can buy STASIS from:
https://www.gog.com/game/stasis
http://store.steampowered.com/app/380150

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMJSX5rkn59UsvWxPTD5WbJ"
"bzl6we_q5vk","STASIS (Ep. 3 - The Cloning Vats)","Laila Dyer","2015-09-03","2015-09-05","https://i.ytimg.com/vi/bzl6we_q5vk/hqdefault.jpg","You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of STASIS, a point-and-click sci-fi horror adventure game.

Learn more about STASIS from the main site:
http://stasisgame.com/web/page.php?p=about

You can buy STASIS from:
https://www.gog.com/game/stasis
http://store.steampowered.com/app/380150

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMJSX5rkn59UsvWxPTD5WbJ"
"qLMu600GED4","STASIS (Ep. 4 - The Last Words of the Dead)","Laila Dyer","2015-09-03","2015-09-07","https://i.ytimg.com/vi/qLMu600GED4/hqdefault.jpg","You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of STASIS, a point-and-click sci-fi horror adventure game.

Learn more about STASIS from the main site:
http://stasisgame.com/web/page.php?p=about

You can buy STASIS from:
https://www.gog.com/game/stasis
http://store.steampowered.com/app/380150

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMJSX5rkn59UsvWxPTD5WbJ"
"g_w8pYcGXuE","STASIS (Ep. 5 - The Sewers)","Laila Dyer","2015-09-03","2015-09-09","https://i.ytimg.com/vi/g_w8pYcGXuE/hqdefault.jpg","You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of STASIS, a point-and-click sci-fi horror adventure game.

Learn more about STASIS from the main site:
http://stasisgame.com/web/page.php?p=about

You can buy STASIS from:
https://www.gog.com/game/stasis
http://store.steampowered.com/app/380150

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMJSX5rkn59UsvWxPTD5WbJ"
"jBYy3QsLKlQ","STASIS (Ep. 6 - Medical Bay)","Laila Dyer","2015-09-06","2015-09-11","https://i.ytimg.com/vi/jBYy3QsLKlQ/hqdefault.jpg","You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of STASIS, a point-and-click sci-fi horror adventure game.

Learn more about STASIS from the main site:
http://stasisgame.com/web/page.php?p=about

You can buy STASIS from:
https://www.gog.com/game/stasis
http://store.steampowered.com/app/380150

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMJSX5rkn59UsvWxPTD5WbJ"
"Teiyi5fOVz0","STASIS (Ep. 7 - Tampering)","Laila Dyer","2015-09-06","2015-09-13","https://i.ytimg.com/vi/Teiyi5fOVz0/hqdefault.jpg","You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of STASIS, a point-and-click sci-fi horror adventure game.

Learn more about STASIS from the main site:
http://stasisgame.com/web/page.php?p=about

You can buy STASIS from:
https://www.gog.com/game/stasis
http://store.steampowered.com/app/380150

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMJSX5rkn59UsvWxPTD5WbJ"
"KbziIKtEmBk","STASIS (Ep. 8 - The Surgery)","Laila Dyer","2015-09-07","2015-09-15","https://i.ytimg.com/vi/KbziIKtEmBk/hqdefault.jpg","You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of STASIS, a point-and-click sci-fi horror adventure game.

Learn more about STASIS from the main site:
http://stasisgame.com/web/page.php?p=about

You can buy STASIS from:
https://www.gog.com/game/stasis
http://store.steampowered.com/app/380150

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMJSX5rkn59UsvWxPTD5WbJ"
"YcF8VzkmZZ8","STASIS (Ep. 9 - Hydroponics)","Laila Dyer","2015-09-09","2015-09-17","https://i.ytimg.com/vi/YcF8VzkmZZ8/hqdefault.jpg","You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of STASIS, a point-and-click sci-fi horror adventure game.

Learn more about STASIS from the main site:
http://stasisgame.com/web/page.php?p=about

You can buy STASIS from:
https://www.gog.com/game/stasis
http://store.steampowered.com/app/380150

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMJSX5rkn59UsvWxPTD5WbJ"
"H24rafFpayU","STASIS (Ep. 10 - Project SEED)","Laila Dyer","2015-09-11","2015-09-19","https://i.ytimg.com/vi/H24rafFpayU/hqdefault.jpg","You can follow me on Twitter at: https://twitter.com/Marshall_Dyer

Welcome to my playthrough of STASIS, a point-and-click sci-fi horror adventure game.

Learn more about STASIS from the main site:
http://stasisgame.com/web/page.php?p=about

You can buy STASIS from:
https://www.gog.com/game/stasis
http://store.steampowered.com/app/380150

Playlist:
https://www.youtube.com/playlist?list=PLzDeS-SWRIMMJSX5rkn59UsvWxPTD5WbJ"
