"Playlist URL","https://www.youtube.com/playlist?list=PLfzQo8kbnq_laLoK5zWR2Egcbb_OLKpQ4"
"Playlist title","Northernlion best of"
"Playlist author","LTK"
"Videos","76"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"by9PzCtqE20","The Binding of Isaac: Rebirth - Let's Play - Episode 85 [The Host]","Northernlion","2017-12-30","2014-11-26","https://i.ytimg.com/vi/by9PzCtqE20/hqdefault.jpg","Seed: 2CVL BJJQ

Subscribe to my channel for more gaming videos!:  http://bit.ly/Northernlion

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!

Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion

As Northernlion, I produce a variety of gaming content for YouTube every single day. Be sure to tune in if you're interested in reviews, previews, first impressions videos, gameplay, walkthroughs, and playthroughs of new releases, my favorite classic games, as well as my favorites from the world of indie gaming. Thanks for watching (and reading this description!) and I hope I'll see you again."
"xqC7x8I5amE","The Binding of Isaac: AFTERBIRTH+ - Northernlion Plays - Episode 82 [Avarice]","Northernlion","2017-02-14","2017-02-13","https://i.ytimg.com/vi/xqC7x8I5amE/hqdefault.jpg","Afterbirth+ on Steam: http://store.steampowered.com/app/570660/

Afterbirth+ is finally out! Check out my runs and watch as we become...really real Platinum God?

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Buy my shirts! https://www.districtlines.com/NorthernLion
Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion
-----------------------------------------------
About this game:

When Isaac’s mother starts hearing the voice of God demanding a sacrifice be made to prove her faith, Isaac escapes into the basement facing droves of deranged enemies, lost brothers and sisters, his fears, and eventually his mother.

Gameplay
The Binding of Isaac is a randomly generated action RPG shooter with heavy Rogue-like elements. Following Isaac on his journey players will find bizarre treasures that change Isaac’s form giving him super human abilities and enabling him to fight off droves of mysterious creatures, discover secrets and fight his way to safety."
"BKLw8VlPVrM","The Binding of Isaac: AFTERBIRTH+ - Northernlion Plays - Episode 81 [Dark Crown]","Northernlion","2017-02-13","2017-02-13","https://i.ytimg.com/vi/BKLw8VlPVrM/hqdefault.jpg","Afterbirth+ on Steam: http://store.steampowered.com/app/570660/

Afterbirth+ is finally out! Check out my runs and watch as we become...really real Platinum God?

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Buy my shirts! https://www.districtlines.com/NorthernLion
Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion
-----------------------------------------------
About this game:

When Isaac’s mother starts hearing the voice of God demanding a sacrifice be made to prove her faith, Isaac escapes into the basement facing droves of deranged enemies, lost brothers and sisters, his fears, and eventually his mother.

Gameplay
The Binding of Isaac is a randomly generated action RPG shooter with heavy Rogue-like elements. Following Isaac on his journey players will find bizarre treasures that change Isaac’s form giving him super human abilities and enabling him to fight off droves of mysterious creatures, discover secrets and fight his way to safety."
"JERxRYh7v50","The Binding of Isaac: AFTERBIRTH+ - Northernlion Plays - Episode 103 [Don't Talk To Me Or My Sons]","Northernlion","2017-02-24","2017-02-24","https://i.ytimg.com/vi/JERxRYh7v50/hqdefault.jpg","Afterbirth+ on Steam: http://store.steampowered.com/app/570660/

Afterbirth+ is finally out! Check out my runs and watch as we become...really real Platinum God?

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Buy my shirts! https://www.districtlines.com/NorthernLion
Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion
-----------------------------------------------
About this game:

When Isaac’s mother starts hearing the voice of God demanding a sacrifice be made to prove her faith, Isaac escapes into the basement facing droves of deranged enemies, lost brothers and sisters, his fears, and eventually his mother.

Gameplay
The Binding of Isaac is a randomly generated action RPG shooter with heavy Rogue-like elements. Following Isaac on his journey players will find bizarre treasures that change Isaac’s form giving him super human abilities and enabling him to fight off droves of mysterious creatures, discover secrets and fight his way to safety."
"JcVtF8kW3u8","The Binding of Isaac: AFTERBIRTH+ - Northernlion Plays - Episode 105 [Fieri]","Northernlion","2017-02-25","2017-02-25","https://i.ytimg.com/vi/JcVtF8kW3u8/hqdefault.jpg","Afterbirth+ on Steam: http://store.steampowered.com/app/570660/

Afterbirth+ is finally out! Check out my runs and watch as we become...really real Platinum God?

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Buy my shirts! https://www.districtlines.com/NorthernLion
Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion
-----------------------------------------------
About this game:

When Isaac’s mother starts hearing the voice of God demanding a sacrifice be made to prove her faith, Isaac escapes into the basement facing droves of deranged enemies, lost brothers and sisters, his fears, and eventually his mother.

Gameplay
The Binding of Isaac is a randomly generated action RPG shooter with heavy Rogue-like elements. Following Isaac on his journey players will find bizarre treasures that change Isaac’s form giving him super human abilities and enabling him to fight off droves of mysterious creatures, discover secrets and fight his way to safety."
"TYgT_AsXHqo","The Binding of Isaac: AFTERBIRTH+ - Northernlion Plays - Episode 153 [Reinvent]","Northernlion","2017-03-21","2017-03-21","https://i.ytimg.com/vi/TYgT_AsXHqo/hqdefault.jpg","Afterbirth+ on Steam: http://store.steampowered.com/app/570660/

Afterbirth+ is finally out! Check out my runs and watch as we become...really real Platinum God?

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Buy my shirts! https://www.districtlines.com/NorthernLion
Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion
-----------------------------------------------
About this game:

When Isaac’s mother starts hearing the voice of God demanding a sacrifice be made to prove her faith, Isaac escapes into the basement facing droves of deranged enemies, lost brothers and sisters, his fears, and eventually his mother.

Gameplay
The Binding of Isaac is a randomly generated action RPG shooter with heavy Rogue-like elements. Following Isaac on his journey players will find bizarre treasures that change Isaac’s form giving him super human abilities and enabling him to fight off droves of mysterious creatures, discover secrets and fight his way to safety."
"K9rH22obLDQ","The Binding of Isaac: AFTERBIRTH+ - Northernlion Plays - Episode 384 [Bracket]","Northernlion","2017-12-14","2017-08-07","https://i.ytimg.com/vi/K9rH22obLDQ/hqdefault.jpg","Afterbirth+ on Steam: http://store.steampowered.com/app/570660/

Afterbirth+ is finally out! Check out my runs and watch as we become...really real Platinum God?

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Buy my shirts! https://www.districtlines.com/NorthernLion
Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion
-----------------------------------------------
About this game:

When Isaac’s mother starts hearing the voice of God demanding a sacrifice be made to prove her faith, Isaac escapes into the basement facing droves of deranged enemies, lost brothers and sisters, his fears, and eventually his mother.

Gameplay
The Binding of Isaac is a randomly generated action RPG shooter with heavy Rogue-like elements. Following Isaac on his journey players will find bizarre treasures that change Isaac’s form giving him super human abilities and enabling him to fight off droves of mysterious creatures, discover secrets and fight his way to safety."
"A-dMPTQ4R3E","The Binding of Isaac: AFTERBIRTH+ - Northernlion Plays - Episode 482 [Exuberance]","Northernlion","2017-11-14","2017-11-13","https://i.ytimg.com/vi/A-dMPTQ4R3E/hqdefault.jpg","Afterbirth+ on Steam: http://store.steampowered.com/app/570660/

Afterbirth+ is finally out! Check out my runs and watch as we become...really real Platinum God?

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Buy my shirts! https://www.districtlines.com/NorthernLion
Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion
-----------------------------------------------
About this game:

When Isaac’s mother starts hearing the voice of God demanding a sacrifice be made to prove her faith, Isaac escapes into the basement facing droves of deranged enemies, lost brothers and sisters, his fears, and eventually his mother.

Gameplay
The Binding of Isaac is a randomly generated action RPG shooter with heavy Rogue-like elements. Following Isaac on his journey players will find bizarre treasures that change Isaac’s form giving him super human abilities and enabling him to fight off droves of mysterious creatures, discover secrets and fight his way to safety."
"CQLiIKBLnTg","The Binding of Isaac: AFTERBIRTH+ - Northernlion Plays - Episode 511 [Returned]","Northernlion","2017-12-12","2017-12-12","https://i.ytimg.com/vi/CQLiIKBLnTg/hqdefault.jpg","Afterbirth+ on Steam: http://store.steampowered.com/app/570660/

Afterbirth+ is finally out! Check out my runs and watch as we become...really real Platinum God?

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Buy my shirts! https://www.districtlines.com/NorthernLion
Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion
-----------------------------------------------
About this game:

When Isaac’s mother starts hearing the voice of God demanding a sacrifice be made to prove her faith, Isaac escapes into the basement facing droves of deranged enemies, lost brothers and sisters, his fears, and eventually his mother.

Gameplay
The Binding of Isaac is a randomly generated action RPG shooter with heavy Rogue-like elements. Following Isaac on his journey players will find bizarre treasures that change Isaac’s form giving him super human abilities and enabling him to fight off droves of mysterious creatures, discover secrets and fight his way to safety."
"q7WsfoEkwFQ","The Binding of Isaac: AFTERBIRTH+ - Northernlion Plays - Episode 516 [Diagram]","Northernlion","2017-12-17","2017-12-17","https://i.ytimg.com/vi/q7WsfoEkwFQ/hqdefault.jpg","Afterbirth+ on Steam: http://store.steampowered.com/app/570660/

Afterbirth+ is finally out! Check out my runs and watch as we become...really real Platinum God?

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Buy my shirts! https://www.districtlines.com/NorthernLion
Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion
-----------------------------------------------
About this game:

When Isaac’s mother starts hearing the voice of God demanding a sacrifice be made to prove her faith, Isaac escapes into the basement facing droves of deranged enemies, lost brothers and sisters, his fears, and eventually his mother.

Gameplay
The Binding of Isaac is a randomly generated action RPG shooter with heavy Rogue-like elements. Following Isaac on his journey players will find bizarre treasures that change Isaac’s form giving him super human abilities and enabling him to fight off droves of mysterious creatures, discover secrets and fight his way to safety."
"QIhBn_4x1ss","The Binding of Isaac: AFTERBIRTH+ - Northernlion Plays - Episode 528 [Garth]","Northernlion","2017-12-30","2017-12-29","https://i.ytimg.com/vi/QIhBn_4x1ss/hqdefault.jpg","Afterbirth+ on Steam: http://store.steampowered.com/app/570660/

Afterbirth+ is finally out! Check out my runs and watch as we become...really real Platinum God?

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Buy my shirts! https://www.districtlines.com/NorthernLion
Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion
-----------------------------------------------
About this game:

When Isaac’s mother starts hearing the voice of God demanding a sacrifice be made to prove her faith, Isaac escapes into the basement facing droves of deranged enemies, lost brothers and sisters, his fears, and eventually his mother.

Gameplay
The Binding of Isaac is a randomly generated action RPG shooter with heavy Rogue-like elements. Following Isaac on his journey players will find bizarre treasures that change Isaac’s form giving him super human abilities and enabling him to fight off droves of mysterious creatures, discover secrets and fight his way to safety."
"lxFz9ifgssk","The Binding of Isaac: AFTERBIRTH+ - Northernlion Plays - Episode 529 [Compromise]","Northernlion","2017-12-31","2017-12-30","https://i.ytimg.com/vi/lxFz9ifgssk/hqdefault.jpg","Afterbirth+ on Steam: http://store.steampowered.com/app/570660/

Afterbirth+ is finally out! Check out my runs and watch as we become...really real Platinum God?

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Buy my shirts! https://www.districtlines.com/NorthernLion
Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion
-----------------------------------------------
About this game:

When Isaac’s mother starts hearing the voice of God demanding a sacrifice be made to prove her faith, Isaac escapes into the basement facing droves of deranged enemies, lost brothers and sisters, his fears, and eventually his mother.

Gameplay
The Binding of Isaac is a randomly generated action RPG shooter with heavy Rogue-like elements. Following Isaac on his journey players will find bizarre treasures that change Isaac’s form giving him super human abilities and enabling him to fight off droves of mysterious creatures, discover secrets and fight his way to safety."
"h-u8ciQqmL0","Hollow Knight - Northernlion Plays - Episode 6 [Praying]","Northernlion","2017-04-22","2017-03-22","https://i.ytimg.com/vi/h-u8ciQqmL0/hqdefault.jpg","Hollow Knight on Steam: http://store.steampowered.com/app/367520/

Hollow Knight is a new Metroidvania from Team Cherry that made waves with its release earlier this month. Join me as we explore the macabre town of Dirtmouth together!

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Buy my shirts! https://www.districtlines.com/NorthernLion
Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion
-----------------------------------------------
About this game:

Brave the Depths of a Forgotten Kingdom
Beneath the fading town of Dirtmouth sleeps an ancient, ruined kingdom. Many are drawn below the surface, searching for riches, or glory, or answers to old secrets.

Hollow Knight is a classically styled 2D action adventure across a vast interconnected world. Explore twisting caverns, ancient cities and deadly wastes; battle tainted creatures and befriend bizarre bugs; and solve ancient mysteries at the kingdom's heart."
"QQzgqYl94ls","Northernlion and Friends Play - PlayerUnknown's Battlegrounds - Episode 125","Northernlion","2017-08-04","2017-08-04","https://i.ytimg.com/vi/QQzgqYl94ls/hqdefault.jpg","PlayerUnknown's Battlegrounds on Steam: http://store.steampowered.com/app/578080/

MALF: http://youtube.com/michaelalfox
Austin: http://twitch.tv/last_grey_wolf
Dan: http://youtube.com/dangheesling

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Buy my shirts! https://www.districtlines.com/NorthernLion
Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion
-----------------------------------------------
About this game:

ABOUT THIS GAME

PLAYERUNKNOWN'S BATTLEGROUNDS is a last-man-standing shooter being developed with community feedback. Starting with nothing, players must fight to locate weapons and supplies in a battle to be the lone survivor. This realistic, high tension game is set on a massive 8x8 km island with a level of detail that showcases Unreal Engine 4's capabilities."
