"Playlist URL","https://www.youtube.com/playlist?list=PLxFedd8iO9QcMlUOCw7sBu8MUs16f4ZHE"
"Playlist title","Northernlion's Trainwreck City"
"Playlist author","Walter"
"Videos","49"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"Hc2OrSVeyII","The Binding of Isaac: Rebirth - Let's Play - Episode 121 [Permanent]","Northernlion","2021-05-31","2014-12-08","https://i.ytimg.com/vi/Hc2OrSVeyII/hqdefault.jpg","seed: AHQ0 Z9KC

Subscribe to my channel for more gaming videos!:  http://bit.ly/Northernlion

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!

Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion

As Northernlion, I produce a variety of gaming content for YouTube every single day. Be sure to tune in if you're interested in reviews, previews, first impressions videos, gameplay, walkthroughs, and playthroughs of new releases, my favorite classic games, as well as my favorites from the world of indie gaming. Thanks for watching (and reading this description!) and I hope I'll see you again."
"T_6eoUaqtbs","The Binding of Isaac: Rebirth - Let's Play - Episode 523 [Crest]","Northernlion","2021-05-21","2015-06-01","https://i.ytimg.com/vi/T_6eoUaqtbs/hqdefault.jpg","Subscribe to my channel for more gaming videos!:  http://bit.ly/Northernlion

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!

Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion

As Northernlion, I produce a variety of gaming content for YouTube every single day. Be sure to tune in if you're interested in reviews, previews, first impressions videos, gameplay, walkthroughs, and playthroughs of new releases, my favorite classic games, as well as my favorites from the world of indie gaming. Thanks for watching (and reading this description!) and I hope I'll see you again."
"1igUAxnzrZ4","The Binding of Isaac: AFTERBIRTH - Let's Play - Episode 287 [Idiot]","Northernlion","2021-05-28","2016-03-20","https://i.ytimg.com/vi/1igUAxnzrZ4/hqdefault.jpg","Northernlion merch: http://districtlines.com/Northernlion

Subscribe to my channel for more gaming videos!:  http://bit.ly/Northernlion

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!

Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion

As Northernlion, I produce a variety of gaming content for YouTube every single day. Be sure to tune in if you're interested in reviews, previews, first impressions videos, gameplay, walkthroughs, and playthroughs of new releases, my favorite classic games, as well as my favorites from the world of indie gaming. Thanks for watching (and reading this description!) and I hope I'll see you again."
"sc4ygckfLQo","The Binding of Isaac: AFTERBIRTH - Let's Play - Episode 526 [Styx]","Northernlion","2021-05-24","2016-10-29","https://i.ytimg.com/vi/sc4ygckfLQo/hqdefault.jpg","Seed: PBZ4 8HB6

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Buy my shirts! https://www.districtlines.com/NorthernLion
Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion
-----------------------------------------------"
"0qjM9xFPP_E","The Binding of Isaac: Antibirth - Northernlion Plays - Episode 8 [Impatience]","Northernlion","2021-05-25","2016-12-29","https://i.ytimg.com/vi/0qjM9xFPP_E/hqdefault.jpg","Get Antibirth here for free: https://antibirth.com/

The Binding of Isaac: Antibirth is a free mod/expansion for The Binding of Isaac: Rebirth released by fans and community members. It adds a lot of new content to the game, including new items, synergies, bosses, alternate paths to complete the game, characters, and more. Check it out!

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Buy my shirts! https://www.districtlines.com/NorthernLion
Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion
-----------------------------------------------"
"MyhYzq7gNBo","The Binding of Isaac: Antibirth - Northernlion Plays - Episode 26 [Tunnel Vision]","Northernlion","2021-05-21","2017-01-10","https://i.ytimg.com/vi/MyhYzq7gNBo/hqdefault.jpg","Get Antibirth here for free: https://antibirth.com/

The Binding of Isaac: Antibirth is a free mod/expansion for The Binding of Isaac: Rebirth released by fans and community members. It adds a lot of new content to the game, including new items, synergies, bosses, alternate paths to complete the game, characters, and more. Check it out!

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Buy my shirts! https://www.districtlines.com/NorthernLion
Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion
-----------------------------------------------"
"sbmzVabyfVs","The Binding of Isaac: Antibirth - Northernlion Plays - Episode 36 [Yuck]","Northernlion","2021-05-25","2017-01-20","https://i.ytimg.com/vi/sbmzVabyfVs/hqdefault.jpg","Get Antibirth here for free: https://antibirth.com/

The Binding of Isaac: Antibirth is a free mod/expansion for The Binding of Isaac: Rebirth released by fans and community members. It adds a lot of new content to the game, including new items, synergies, bosses, alternate paths to complete the game, characters, and more. Check it out!

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Buy my shirts! https://www.districtlines.com/NorthernLion
Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion
-----------------------------------------------"
"3scIapKvwa0","The Binding of Isaac: AFTERBIRTH+ - Northernlion Plays - Episode 486 [Exhausted]","Northernlion","2021-05-21","2017-11-17","https://i.ytimg.com/vi/3scIapKvwa0/hqdefault.jpg","Afterbirth+ on Steam: http://store.steampowered.com/app/570660/

Afterbirth+ is finally out! Check out my runs and watch as we become...really real Platinum God?

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Buy my shirts! https://www.districtlines.com/NorthernLion
Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion
-----------------------------------------------
About this game:

When Isaac’s mother starts hearing the voice of God demanding a sacrifice be made to prove her faith, Isaac escapes into the basement facing droves of deranged enemies, lost brothers and sisters, his fears, and eventually his mother.

Gameplay
The Binding of Isaac is a randomly generated action RPG shooter with heavy Rogue-like elements. Following Isaac on his journey players will find bizarre treasures that change Isaac’s form giving him super human abilities and enabling him to fight off droves of mysterious creatures, discover secrets and fight his way to safety."
"rEOgZTW3yPY","The Binding of Isaac: AFTERBIRTH+ - Northernlion Plays - Episode 489 [Incremental]","Northernlion","2021-05-23","2017-11-20","https://i.ytimg.com/vi/rEOgZTW3yPY/hqdefault.jpg","Afterbirth+ on Steam: http://store.steampowered.com/app/570660/

Afterbirth+ is finally out! Check out my runs and watch as we become...really real Platinum God?

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Buy my shirts! https://www.districtlines.com/NorthernLion
Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion
-----------------------------------------------
About this game:

When Isaac’s mother starts hearing the voice of God demanding a sacrifice be made to prove her faith, Isaac escapes into the basement facing droves of deranged enemies, lost brothers and sisters, his fears, and eventually his mother.

Gameplay
The Binding of Isaac is a randomly generated action RPG shooter with heavy Rogue-like elements. Following Isaac on his journey players will find bizarre treasures that change Isaac’s form giving him super human abilities and enabling him to fight off droves of mysterious creatures, discover secrets and fight his way to safety."
"U5FAbxfwcek","The Binding of Isaac: AFTERBIRTH+ - Northernlion Plays - Episode 498 [Um]","Northernlion","2021-05-21","2017-11-29","https://i.ytimg.com/vi/U5FAbxfwcek/hqdefault.jpg","Afterbirth+ on Steam: http://store.steampowered.com/app/570660/

Afterbirth+ is finally out! Check out my runs and watch as we become...really real Platinum God?

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Buy my shirts! https://www.districtlines.com/NorthernLion
Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion
-----------------------------------------------
About this game:

When Isaac’s mother starts hearing the voice of God demanding a sacrifice be made to prove her faith, Isaac escapes into the basement facing droves of deranged enemies, lost brothers and sisters, his fears, and eventually his mother.

Gameplay
The Binding of Isaac is a randomly generated action RPG shooter with heavy Rogue-like elements. Following Isaac on his journey players will find bizarre treasures that change Isaac’s form giving him super human abilities and enabling him to fight off droves of mysterious creatures, discover secrets and fight his way to safety."
